,Concept_ID,ga,vep
0,Auge::N,súil,sil'm
1,Ohr::N,cluas,korv
2,Nase::N,soc,nena
3,Mund::N,béal,su
4,Zahn::N,fiacail,pi
5,Zahn::N,fiacail,hambaz
6,Zunge::N,teanga,kel'
7,Lippe::N,liopa,hul'
8,Wange::N,grua,modpolišk
9,Wange::N,leiceann,modpolišk
10,Gesicht::N,éadan,mod
11,Gesicht::N,aghaidh,mod
12,Stirn::N,baithis,oc
13,Stirn::N,clár éadain,oc
14,Haar::N,gruaig,tuk
15,Haar::N,gruaig,hibuz
16,Schnurrbart::N,croiméal,habinod
17,Bart::N,féasóg,bard
18,Kinn::N,smig,löug
19,Kiefer[Anatomie]::N,giall,hambazlu
20,Kehle::N,scornach,kurk
21,Hals::N,muinéal,kagl
22,Genick::N,baic,tagarai
23,Kopf::N,ceann,pä
24,Rücken::N,droim,sel'g
25,Bauch::N,bolg,vac
26,Bauch::N,bolg,koht
27,Nabel::N,imleacán,naba
28,Busen::N,cíoch,niža
29,Brust::N,brollach,rind
30,Schulter::N,gualainn,oug
31,Arm::N,lámh,käzi
32,Ellenbogen::N,uillinn,künambruz
33,Hand::N,lámh,käzi
34,Hand::N,lámh,käzitera
35,Handfläche::N,bos,kämen
36,Finger::N,méar,sor'm
37,Fingernagel::N,ionga,künz'
38,Nagel[Anatomie]::N,ionga,künz'
39,Zeh::N,ladhar,barbaz
40,Fuß::N,cos,jaug
41,Fuß::N,troigh,jaug
42,Ferse::N,sáil,kand
43,Knie::N,glúin,komb
44,Knie::N,glúin,pol'v
45,Oberschenkel::N,ceathrú,riiže
46,Bein::N,cos,jaug
47,Körper::N,corp,hibj
48,Körper::N,colainn,hibj
49,Haut::N,cneas,nahk
50,Haut::N,craiceann,nahk
51,Blut::N,fuil,čak
52,Blut::N,fuil,veri
53,Sehne::N,teannán,jände
54,Sehne::N,féitheog,jände
55,Knochen::N,cnámh,lu
56,Gehirn::N,inchinn,aivod
57,Herz::N,croí,südäin
58,Magen::N,bolg,südäikoht
59,Magen::N,goile,südäikoht
60,Leber::N,ae,maks
61,Atem::N,anáil,hengaiduz
62,Hunger::N,ocras,näl'g
63,Träne::N,deoir,kündal'
64,Geschmack::N,blas,magu
65,Geruch::N,boladh,haju
66,Schlaf::N,suan,uni
67,Schlaf::N,codladh,uni
68,Traum::N,taibhreamh,unikuva
69,Himmel::N,spéir,taivaz
70,Sonne::N,grian,päiväine
71,Mond::N,ré,kudmaine
72,Mond::N,gealach,kudmaine
73,Stern::N,rinn,tähtaz
74,Stern::N,réalta,tähtaz
75,Luft::N,aer,il'm
76,Wind::N,gaoth,döl
77,Wind::N,gaoth,tullei
78,Welle::N,tonn,ald
79,Welle::N,tonn,laineh
80,Wasser::N,uisce,vezi
81,Stein::N,cloch,kivi
82,Boden::N,talamh,ma
83,Boden::N,talamh,pohj
84,Erde::N,cré,ma
85,Erde::N,ithir,ma
86,Staub::N,dusta,pölü
87,Staub::N,deannach,pölü
88,Rauch::N,toit,savu
89,Rauch::N,deatach,savu
90,Funke::N,drithle,kibin
91,Feuer::N,tine,lämoi
92,Licht::N,solas,vauktuz
93,Schatten::N,scáth,pil'vez
94,Schatten::N,scáth,kuvahaine
95,Wetter::N,aimsir,sä
96,Nebel::N,ceo,sumeg
97,Wolke::N,néal,pil'v
98,Wolke::N,scamall,pil'v
99,Regen::N,báisteach,vihm
100,Regen::N,fearthainn,vihm
101,Schnee::N,sneachta,lumi
102,Eis::N,oighear,jä
103,Frost::N,sioc,hala
104,Frost::N,sioc,pakaine
105,Kälte::N,fuacht,vilu
106,Hitze::N,teas,räk
107,Hitze::N,teocht,räk
108,Raureif::N,sioc bán,hüde
109,Regenbogen::N,stua ceatha,jumalanbembel'
110,Regenbogen::N,bogha báistí,jumalanbembel'
111,Donner::N,toirneach,juru
112,Donner::N,toirneach,jumalanjuru
113,Strömung::N,sruth,joksmuz
114,Tropfen::N,deoir,tilkuine
115,Schaum::N,cúr,vaht
116,Schmutz::N,salachar,redu
117,Schmutz::N,salachar,pačak
118,See::N,loch,järv
119,Sumpf::N,portach,so
120,Moor::N,caorán,so
121,Moor::N,móinteán,so
122,Wiese::N,cluain,nit
123,Wiese::N,móinéar,nit
124,Wald::N,coill,mec
125,Wald::N,foraois,mec
126,Hügel::N,ard,kukaz
127,Anhöhe::N,ard,kukaz
128,Anhöhe::N,ardán,kukaz
129,Berg::N,sliabh,mägi
130,Gipfel::N,barr,ladv
131,Gipfel::N,mullach,ladv
132,Höhle::N,uaimh,mägionduz
133,Höhle::N,pluais,mägionduz
134,Abhang::N,fána,paute
135,Quelle::N,foinse,lähte
136,Bach::N,sruthán,oja
137,Fluss::N,abhainn,jogi
138,Ufer::N,bruach,rand
139,Küste::N,cósta,randišt
140,Küste::N,cladach,randišt
141,Festland::N,míntír,kuivma
142,Meer::N,muir,meri
143,Meer::N,farraige,meri
144,Bucht::N,bá,laht
145,Bucht::N,cuan,laht
146,Insel::N,inis,sar'
147,Insel::N,oileán,sar'
148,Blume::N,bláth,änik
149,Gras::N,féar,hein
150,Wurzel::N,rúta,jur'
151,Wurzel::N,fréamh,jur'
152,Baum::N,crann,pu
153,Stamm::N,stoc,tüvi
154,Stamm::N,tamhan,tüvi
155,Rinde::N,coirt,kor'
156,Rinde::N,craiceann,kor'
157,Ast::N,géag,oks
158,Zweig::N,géag,oks
159,Zweig::N,géag,barb
160,Zweig::N,craobh,oks
161,Zweig::N,craobh,barb
162,Blatt::N,duille,lehtez
163,Blatt::N,duilleog,lehtez
164,Birke::N,beith,koiv
165,Birke::N,crann beithe,koiv
166,Kiefer[Baum]::N,péine,pedai
167,Weide[Baum]::N,saileach,raid
168,Tanne::N,giúis,kuz'
169,Horn::N,adharc,sar'v
170,Feder::N,cleite,höuneh
171,Fell::N,clúmh,nahk
172,Flügel::N,eite,suug
173,Flügel::N,sciathán,suug
174,Klaue::N,crúb,künz'
175,Klaue::N,crobh,künz'
176,Kralle::N,crobh,künz'
177,Schwanz::N,eireaball,händ
178,Ei::N,ubh,muna
179,Nest::N,nead,peza
180,Bau::N,brocais,uru
181,Tier::N,ainmhí,živat
182,Tier::N,beithíoch,živat
183,Herde::N,tréad,kogo
184,Kuh::N,bó,lehm
185,Bulle::N,tarbh,härg
186,Pferd::N,each,hebo
187,Pferd::N,capall,hebo
188,Schaf::N,caora,lambaz
189,Schwein::N,muc,siga
190,Hund::N,madra,koir
191,Katze::N,cat,kaži
192,Bär::N,béar,kondi
193,Eichhörnchen::N,iora,orav
194,Elch::N,eilc,hirb'
195,Fuchs::N,sionnach,reboi
196,Fuchs::N,madra rua,reboi
197,Hase::N,giorria,jäniš
198,Maus::N,luch,hir'
199,Wolf::N,mac tíre,händikaz
200,Vogel::N,éan,lind
