,Concept_ID,de,be
761,vergehen::V,vergehen,праходзіць
762,erscheinen::V,erscheinen,зʼявіцца
763,verschwinden::V,verschwinden,знікнуць
764,sinken::V,sinken,спадаць
765,abnehmen::V,abnehmen,паменшыцца
766,zunehmen::V,zunehmen,павялічвацца
767,steigen::V,steigen,паднімацца
768,wachsen::V,wachsen,расці
769,glänzen::V,glänzen,блішчаць
770,funkeln::V,funkeln,бліскаць
771,lärmen::V,lärmen,шумець
772,läuten::V,läuten,званіць
773,klingeln::V,klingeln,званіць
774,klirren::V,klirren,бразгаць
775,brausen::V,brausen,бушаваць
776,rauschen::V,rauschen,шастаць
777,klingen::V,klingen,гучаць
778,bellen::V,bellen,брахаць
779,heulen::V,heulen,выць
780,blasen::V,blasen,дзьмухнуць
781,pfeifen::V,pfeifen,свістаць
782,schreien::V,schreien,крычаць
783,stöhnen::V,stöhnen,стагнаць
784,zittern::V,zittern,дрыжаць
785,leben::V,leben,жыць
786,geboren werden::V,geboren werden,нарадзіцца
787,atmen::V,atmen,дыхаць
788,trinken::V,trinken,піць
789,essen::V,essen,есці
790,schlucken::V,schlucken,глытаць
791,müde werden::V,müde werden,стаміцца
792,einschlafen::V,einschlafen,заснуць
793,schlafen::V,schlafen,спаць
794,aufwachen::V,aufwachen,рассыпацца
795,aufstehen::V,aufstehen,устаць
796,sich erholen::V,sich erholen,адпачываць
797,krank werden::V,krank werden,захварэць
798,krank sein::V,krank sein,хварэць
799,schmerzen::V,schmerzen,балець
800,husten::V,husten,кашляць
801,genesen::V,genesen,паправіцца
802,genesen::V,genesen,паздаравець
803,sterben::V,sterben,памерці
804,umkommen::V,umkommen,загінуць
805,sich bewegen::V,sich bewegen,рухацца
806,sich rühren::V,sich rühren,варушыцца
807,sich erheben::V,sich erheben,устаць
808,sich setzen::V,sich setzen,сесці
809,hinfallen::V,hinfallen,упасці
810,laufen::V,laufen,хадзіць
811,schreiten::V,schreiten,шагаць
812,schreiten::V,schreiten,крочыць
813,spazierengehen::V,spazierengehen,гуляць
814,eilen::V,eilen,спяшацца
815,sich beeilen::V,sich beeilen,спяшацца
816,sausen::V,sausen,імчацца
817,rennen::V,rennen,бегаць
818,springen::V,springen,скакаць
819,klettern::V,klettern,лазіць
820,schaukeln::V,schaukeln,гайдацца
821,kriechen::V,kriechen,поўзаць
822,schwimmen::V,schwimmen,плаваць
823,tauchen::V,tauchen,ныраць
824,rudern::V,rudern,веславаць
825,fahren::V,fahren,ехаць
826,fliegen::V,fliegen,лятаць
827,gehen::V,gehen,ісці
828,weggehen::V,weggehen,пайсці
829,abfahren::V,abfahren,адʼяжджаць
830,anhalten::V,anhalten,спыніцца
831,anhalten::V,anhalten,затрымацца
832,hineingehen::V,hineingehen,уваходзіць
833,eintreten::V,eintreten,увайсці
834,kommen::V,kommen,прыйсці
835,ankommen::V,ankommen,прыбыць
836,zurückkommen::V,zurückkommen,вярнуцца
837,bleiben::V,bleiben,застацца
838,warten::V,warten,чакаць
839,erwarten::V,erwarten,чакаць
840,suchen::V,suchen,шукаць
841,finden::V,finden,знайсці
842,versuchen::V,versuchen,прабаваць
843,vorbereiten::V,vorbereiten,падрыхтаваць
844,lieben::V,lieben,кахаць
845,mögen::V,mögen,любіць
846,lachen::V,lachen,смяяцца
847,rühren::V,rühren,расчуліць
848,weinen::V,weinen,плакаць
849,schimpfen::V,schimpfen,лаяцца
850,sich ärgern::V,sich ärgern,сердаваць
851,sich fürchten::V,sich fürchten,баяцца
852,fürchten::V,fürchten,баяцца
853,fliehen::V,fliehen,уцякаць
854,flüchten::V,flüchten,уцячы
855,sehen::V,sehen,бачыць
856,anschauen::V,anschauen,паглядзець
857,ansehen::V,ansehen,глядзець
858,hören::V,hören,чуць
859,zuhören::V,zuhören,слухаць
860,probieren::V,probieren,каштаваць
