,Concept_ID,kl,uz
0,Auge::N,isi,ko'z
1,Ohr::N,siut,quloq
2,Mund::N,paaq,og'iz
3,Mund::N,qaneq,og'iz
4,Zahn::N,kigut,tish
5,Zunge::N,oqaq,til
6,Lippe::N,qarloq,dudoq
7,Wange::N,ersaq,bet
8,Gesicht::N,kiinaq,yuz
9,Stirn::N,qaaq,manglay
10,Haar::N,meqqoq,soch
11,Bart::N,umik,soqol
12,Kinn::N,talloq,ängak
13,Kiefer[Anatomie]::N,alleroq,iyak
14,Kehle::N,malaq,bo'g'iz
15,Hals::N,qungaseq,bo'yin
16,Genick::N,pukusuk,gardan
17,Kopf::N,niaqoq,bosh
18,Rücken::N,qimerlut,orqa
19,Bauch::N,naaq,qorin
20,Nabel::N,qalaseq,kindik
21,Busen::N,iviangeq,ämchak
22,Brust::N,iviangeq,ko'krak
23,Schulter::N,ersik,elka
24,Schulter::N,assaqqoq,elka
25,Arm::N,taleq,bilak
26,Ellenbogen::N,ikusik,tirsak
27,Hand::N,assak,qo'l
28,Handfläche::N,itumak,kaft
29,Finger::N,inuak,barmoq
30,Fingernagel::N,kikiak,tirnoq
31,Nagel[Anatomie]::N,kukik,tirnoq
32,Zeh::N,isigak,oyoq barmog'i
33,Ferse::N,kimmik,tovon
34,Knie::N,seeqqoq,tiz
35,Oberschenkel::N,uppat,son
36,Oberschenkel::N,quttoraq,son
37,Bein::N,isigak,oyoq
38,Körper::N,timi,badna
39,Haut::N,mattak,teri
40,Blut::N,aak,qon
41,Ader::N,taqaq,qon tomir
42,Sehne::N,ujalu,tomir
43,Sehne::N,ujaloq,tomir
44,Knochen::N,saanikut,suyak
45,Gehirn::N,qarasaq,miya
46,Herz::N,uummat,qalb
47,Magen::N,aqajaroq,oshqozon
48,Leber::N,tinguk,bag'ir
49,Atem::N,anerneq,dam
50,Hunger::N,kaanneq,ochlik
51,Träne::N,qia,yosh
52,Träne::N,qiak,yosh
53,Geschmack::N,qilanaartuut,tam
54,Geruch::N,tipi,jid
55,Geruch::N,tipik,jid
56,Traum::N,sinnattoq,tush
57,Traum::N,sinnattugaq,tush
58,Himmel::N,qilak,osmon
59,Sonne::N,seqineq,quyosh
60,Mond::N,qaammat,oy
61,Stern::N,ulloriaq,yulduz
62,Luft::N,silaannaq,havo
63,Wind::N,anori,el
64,Wind::N,anorsarik,el
65,Welle::N,aalappaa,to'lqin
66,Wasser::N,imeq,suv
67,Stein::N,ujarak,tosh
68,Boden::N,nateq,tuproq
69,Erde::N,issoq,er
70,Staub::N,pujualanerit,chang
71,Staub::N,pujoralanerit,chang
72,Rauch::N,iseq,tutun
73,Rauch::N,pujoq,tutun
74,Funke::N,illoorneq,yalt
75,Feuer::N,inneq,o't
76,Licht::N,qaamaneq,yorug'
77,Schatten::N,tarraq,soya
78,Wetter::N,sila,havo
79,Nebel::N,pujoq,tuman
80,Wolke::N,nuia,bulut
81,Regen::N,sialuk,yomg'ir
82,Schnee::N,aput,qor
83,Eis::N,siku,muz
84,Frost::N,issi,ajoz
85,Frost::N,issik,ajoz
86,Kälte::N,issi,ajoz
87,Hitze::N,kianneq,issiq
88,Hitze::N,kiassuseq,issiq
89,Raureif::N,kaneq,qirov
90,Regenbogen::N,neriusaaq,kamalak
91,Donner::N,kalleq,guldur
92,Tropfen::N,kuseriarneq,tomchi
93,Schaum::N,qapuk,ko'pik
94,Schmutz::N,minguk,gard
95,See::N,taseq,ko'l
96,Sumpf::N,maqulluk,botqoq
97,Wiese::N,masarsuk,o'tzor
98,Hügel::N,qattuneq,tepa
99,Hügel::N,majuariaq,tepa
100,Hügel::N,majorajaaq,tepa
101,Hügel::N,qaqqannguaq,tepa
102,Berg::N,qaqqaq,tog'
103,Höhle::N,qaarusuk,kavak
104,Abhang::N,ippik,to'sh
105,Abhang::N,sivinganeq,to'sh
106,Abhang::N,sivingajaaq,to'sh
107,Abhang::N,kussangajaaq,to'sh
108,Bach::N,kuunnguaq,o'zan
109,Fluss::N,kuuk,daryo
110,Ufer::N,sissap sinaa,sohil
111,Küste::N,sineriak,qirg'oq
112,Meer::N,imaq,dengiz
113,Bucht::N,ikeq,qo'ltiq
114,Bucht::N,kangerluk,qo'ltiq
115,Bucht::N,kangerliumaneq,qo'ltiq
116,Insel::N,qeqertaq,orol
117,Blume::N,naasoq,gul
118,Gras::N,ivigaq,sabza
119,Wurzel::N,niulutaq,tub
