,Concept_ID,ta,myv
0,Auge::N,கண்,сельме
1,Ohr::N,காது,пиле
2,Nase::N,மூக்கு,судо
3,Mund::N,வாய்,курго
4,Zahn::N,பல்,пей
5,Zunge::N,நாக்கு,кель
6,Lippe::N,உதடு,турва
7,Wange::N,கன்னம்,чамабока
8,Wange::N,கன்னம்,чамаумарь
9,Gesicht::N,முகம்,чама
10,Stirn::N,முன்னெற்றி,коня
11,Haar::N,முடி,черь
12,Schnurrbart::N,மீசை,ус
13,Schnurrbart::N,மீசை,муюк
14,Bart::N,தாடி,сакал
15,Kinn::N,கீழதாடை,уло
16,Kiefer[Anatomie]::N,தாடை,пейпакар
17,Kiefer[Anatomie]::N,தாடை,пейловажа
18,Kehle::N,தொண்டை,кирьгапарь
19,Hals::N,கழுத்து,кирьга
20,Genick::N,கழுத்து,човонь
21,Kopf::N,தலை,пря
22,Rücken::N,முதுகு,копорь
23,Bauch::N,வயிறு,пеке
24,Nabel::N,தொப்புள்,почо
25,Busen::N,மார்பகம்,поте
26,Brust::N, மார்பு,меште
27,Schulter::N,தோள்பட்டை,лавтов
28,Arm::N,கரம்,кедь
29,Ellenbogen::N,முழங்கை,кенерепакарь
30,Hand::N,கை,кедь
31,Handfläche::N,உள்ளங்கை,кедькуншка
32,Handfläche::N,உள்ளங்கை,кедьлапушка
33,Finger::N,விரல்,сур
34,Fingernagel::N,விரல் நகம்,кенже
35,Nagel[Anatomie]::N,நகம்,кенже
36,Zeh::N,கால்விரல்,пильге сур
37,Fuß::N,கால்,пильге
38,Ferse::N,குதிகால்,кочкаря
39,Knie::N,முழங்கால்,эле
40,Knie::N,முழங்கால்,эзне
41,Knie::N,முழங்கால்,кумажа
42,Oberschenkel::N,தொடை,качо
43,Bein::N,கால்,пильге
44,Körper::N,உடல்,рунго
45,Haut::N,சருமம்,киське
46,Blut::N,இரத்தம்,верь
47,Ader::N,நாளம்,сан
48,Sehne::N,தசைநார்,коське сан
49,Knochen::N,எலுமபு,пакарь
50,Gehirn::N,மூனை,удем
51,Herz::N,இதயம,седей
52,Magen::N,வயிறு,пеке
53,Leber::N,கல்லீரல்,максо
54,Atem::N,மூச்சு,лексема
55,Atem::N,மூச்சு,оймень таргсема
56,Hunger::N,பசி,вачочи
57,Träne::N,கண்ணீர்,селведь
58,Geschmack::N,நறுமணம்,тансть
59,Geruch::N,துர்நாற்றம்,чине
60,Schlaf::N,தூக்கம்,удома
61,Traum::N,கனவு,он
62,Himmel::N,வானம்,менель
63,Sonne::N,சூரியன்,чи
64,Mond::N,சந்திரன்,ков
65,Stern::N,நட்சத்திரம்,теште
66,Luft::N,காறறு,кошт
67,Wind::N,காற்று,варма
68,Welle::N,அலை,толкун
69,Wasser::N,நீர்,ведь
70,Stein::N,கல்,кев
71,Boden::N,தரை,мода
72,Erde::N,மண்,мастор
73,Staub::N,தூசி,пуль
74,Rauch::N,புகை,качамо
75,Funke::N,தீப்பொறி,сятко
76,Feuer::N,தீ,тол
77,Licht::N,வெளிச்சம்,валдо
78,Schatten::N,நிழல்,сулей
79,Schatten::N,நிழல்,сулейкс
80,Wetter::N,வானிலை,ушо
81,Nebel::N,பனிமூட்டம்,сув
82,Wolke::N,மேகம்,пель
83,Regen::N,மழை,пиземс
84,Schnee::N,உறைபனி,лов
85,Eis::N,பனிக்கட்டி,эй
86,Frost::N,உறைபனி,кельме
87,Kälte::N,குளிர்ந்த,якшамо
88,Hitze::N,சூடு,пси
89,Raureif::N,உறைபனி வெண்திரை,лекш
90,Regenbogen::N,வானவில்,пурьгинечирьке
91,Regenbogen::N,வானவில்,пурьгинеёнкс
92,Donner::N,இடி,пурьгине
93,Strömung::N,நீரோட்டம்,чудема
94,Strömung::N,நீரோட்டம்,чудевкс
95,Tropfen::N,துளி,петнявкс
96,Schaum::N,நுரை,чов
97,Schmutz::N,அழுக்கு,рудаз
98,See::N,ஏரி,эрьке
99,Sumpf::N,சதுப்பு நிலம்,чей
100,Moor::N,முட்புதற்காடு,чей
101,Wiese::N,பசும் புல்தரை,луга
102,Wald::N,காடு,вирь
103,Hügel::N,குன்று,губорь
104,Hügel::N,குன்று,пандыне
105,Anhöhe::N,பதுக்கை,губорь
106,Anhöhe::N,பதுக்கை,пандыне
107,Berg::N,மலை,пандо
108,Gipfel::N,உச்சி மாநாடு,пря
109,Höhle::N,குகை,пещера
110,Abhang::N,சரிவு,пандочама
111,Quelle::N,மூலம்,ушодкс
112,Bach::N,ஓடை,чудикерькс
113,Fluss::N,ஆறு,лей
114,Ufer::N,நீர்க்கரை,чире
115,Küste::N,கடற்கரை,лейчире
116,Festland::N,நிலம்,мода
117,Meer::N,கடல்,моря
118,Bucht::N,சிறுகுடா,усия
119,Insel::N,தீவு,усия
120,Blume::N,பூ,цеця
121,Gras::N,புல்தரை,тикше
122,Wurzel::N,வேர்,юр
123,Wurzel::N,வேர்,ундокс
124,Baum::N,மரம்,чувто
125,Stamm::N,அடிமரம்,рунго
126,Rinde::N,பட்டை,суд
127,Rinde::N,பட்டை,керь
128,Rinde::N,மரப்பட்டை,суд
129,Rinde::N,மரப்பட்டை,керь
130,Ast::N,கினை,морго
131,Zweig::N,குச்சி,тарад
132,Blatt::N,இலை,лопа
133,Birke::N,பிர்ச் மரம்,килей
134,Kiefer[Baum]::N,தேவதாரு மரம்,пиче
135,Weide[Baum]::N,மர வகைகளுள் ஒன்று,каль
136,Tanne::N,சாதிக்கய்,куз
137,Horn::N,கொம்பு,сюро
138,Feder::N,இறகு,толга
139,Fell::N,மென்முடி,пона
140,Flügel::N,இறக்கை,сёлмо
141,Klaue::N,நகம்,кенже
142,Kralle::N,நகம்,кенже
143,Schwanz::N,வால்,пуло
144,Ei::N,முட்டை,ал
145,Nest::N,கூடு,пизэ
146,Bau::N,குகை,варя
147,Bau::N,குகை,пизе
148,Tier::N,விலங்கு,ракша
149,Herde::N,கூட்டம்,стада
