,Concept_ID,et,ml
0,Auge::N,silm,കണ്ണ്
1,Ohr::N,kõrv,ചെവി
2,Nase::N,nina,മൂക്ക്
3,Mund::N,suu,വായ
4,Zahn::N,hammas,പല്ല്
5,Zunge::N,keel,നാക്ക്
6,Lippe::N,huul,ചുണ്ട്
7,Wange::N,põsk,കവിൾത്തടം
8,Gesicht::N,nägu,മുഖം
9,Stirn::N,otsmik,നെറ്റി
10,Haar::N,juus,തലമുടി
11,Schnurrbart::N,vurrud,മീശ
12,Schnurrbart::N,vuntsid,മീശ
13,Bart::N,habe,താടിരോമം
14,Kinn::N,lõug,താടി
15,Kiefer[Anatomie]::N,lõualuu,താടിയെല്ല്
16,Kehle::N,kõri,കണ്ഠനാളം
17,Hals::N,kael,കഴുത്ത്
18,Genick::N,kukal,പിടലി
19,Kopf::N,pea,തല
20,Rücken::N,selg,മുതുക്
21,Bauch::N,kõht,നയറ്
22,Nabel::N,naba,നാഭി
23,Busen::N,rind,സ്തനം
24,Brust::N,rind,സ്തനം
25,Schulter::N,õlg,തോൾ
26,Arm::N,käsivars,കൈ
27,Ellenbogen::N,küünarnukk,കൈമുട്ട്
28,Hand::N,käsi,കൈ
29,Handfläche::N,pihk,ഉള്ളം കൈ
30,Finger::N,sõrm,വിരൽ
31,Fingernagel::N,küüs,നഖം
32,Nagel[Anatomie]::N,küüs,നഖം
33,Zeh::N,varvas,കാൽവിരൽ
34,Fuß::N,jalg,കാൽപ്പാദം
35,Ferse::N,kand,ഉപ്പൂറ്റി
36,Knie::N,põlv,കാൽമുട്ട്
37,Oberschenkel::N,reis,തുട
38,Bein::N,jalg,കാൽ
39,Körper::N,ihu,ശരീരം
40,Körper::N,keha,ശരീരം
41,Haut::N,nahk,ചർമ്മം
42,Blut::N,veri,രക്തം
43,Ader::N,veen,ഞരമ്പ്
44,Sehne::N,kõõlus,സ്നായു
45,Knochen::N,luu,അസ്ഥി
46,Gehirn::N,aju,തലച്ചോറ്
47,Herz::N,süda,ഹൃദയം
48,Magen::N,magu,വയർ
49,Leber::N,maks,കരൾ
50,Atem::N,hingeõhk,ശ്വാസം
51,Atem::N,hingamine,ശ്വാസം
52,Hunger::N,nälg,വിശപ്പ്
53,Träne::N,pisar,കണ്ണീർ
54,Geschmack::N,maitse,രുചി
55,Geruch::N,lõhn,ഗന്ധം
56,Schlaf::N,uni,ഉറകും
57,Traum::N,unenägu,സ്വപ്നം
58,Himmel::N,taevas,ആകാശം
59,Sonne::N,päike,സൂര്യൻ
60,Mond::N,kuu,ചന്ദ്രൻ
61,Stern::N,täht,നക്ഷത്രം
62,Luft::N,õhk,കാറ്റ്
63,Wind::N,tuul,കാറ്റ്
64,Welle::N,laine,തിരമാല
65,Wasser::N,vesi,വെള്ളം
66,Stein::N,kivi,ശില
67,Stein::N,kivi,കല്ല്
68,Boden::N,maa,തറ
69,Boden::N,maa,നിലം
70,Boden::N,pinnas,തറ
71,Boden::N,pinnas,നിലം
72,Erde::N,maa,മണ്ണ്
73,Staub::N,põrm,പൊടി
74,Rauch::N,suits,പുക
75,Funke::N,säde,തീപ്പൊരി
76,Feuer::N,tuli,തീ
77,Licht::N,valgus,വിളക്ക്
78,Licht::N,valgus,സൂര്യപ്രകാശം
79,Schatten::N,vari,തണൽ
80,Wetter::N,ilm,കാലാവസ്ഥ
81,Nebel::N,udu,മൂടൽമഞ്ഞ്
82,Wolke::N,pilv,മേഘം
83,Regen::N,sadu,മഴ
84,Schnee::N,lumi,മഞ്ഞ്
85,Eis::N,jää,ഐസ്
86,Frost::N,pakane,മൂടൽമഞ്ഞ്
87,Kälte::N,külm,തണുപ്പ്
88,Kälte::N,külmus,തണുപ്പ്
89,Hitze::N,kuumus,ചൂട്
90,Hitze::N,palavus,ചൂട്
91,Raureif::N,härmatis,കോടമഞ്ഞ്
92,Regenbogen::N,vikerkaar,മഴവില്ല്
93,Donner::N,kõu,ഇടി
94,Donner::N,müristamine,ഇടി
95,Strömung::N,voolus,പ്രവാഹം
96,Strömung::N,jõevool,പ്രവാഹം
97,Tropfen::N,tilk,തുള്ളി
98,Schaum::N,vaht,നുര
99,Schmutz::N,pori,അഴുക്ക്
100,Schmutz::N,mustus,അഴുക്ക്
101,See::N,järv,തടാകം
102,Sumpf::N,soo,ചതുപ്പുനിലം
103,Moor::N,raba,പാഴ്നിലം
104,Wiese::N,aas,പുൽത്തകിടി
105,Wiese::N,nurm,പുൽത്തകിടി
106,Wald::N,mets,വനം
107,Wald::N,mets,കാട്
108,Hügel::N,küngas,കുന്ന്
109,Anhöhe::N,küngas,ഉയർന്ന ഭൂമി
110,Berg::N,mägi,പർവ്വതം
111,Gipfel::N,mäetipp,ഉച്ചകോടി
112,Höhle::N,koobas,ഗുഹ
113,Abhang::N,nõlvak,ചരിവ്
114,Quelle::N,allikas,ഉറവിടം
115,Bach::N,oja,അരുവി
116,Fluss::N,jõgi,നദി
117,Ufer::N,kallas,തീരം
118,Küste::N,rannik,കടൽത്തീരം
119,Festland::N,mander,കര
120,Festland::N,maismaa,കര
121,Meer::N,meri,കടൽ
122,Bucht::N,laht,ഉൾക്കടല്
123,Insel::N,saar,ദ്വീപ്
124,Blume::N,lill,പൂവ്
125,Gras::N,rohi,പുല്ല്
126,Wurzel::N,juur,വേര്
127,Baum::N,puu,മരം
128,Stamm::N,tüvi,തായ്ത്തടി
129,Rinde::N,koor,പട്ട
130,Ast::N,oks,ശാഖ
131,Zweig::N,oks,ശാഖ
132,Blatt::N,leht,ഇല
133,Birke::N,kask,പൂവരശ്
134,Kiefer[Baum]::N,mänd,പൈൻമരം
135,Weide[Baum]::N,paju,വില്ലോ
136,Tanne::N,nulg,ദേവദാരു
137,Horn::N,sarv,മൃഗത്തിൻറെ കൊമ്പ്
138,Feder::N,sulg,തൂവൽ
139,Fell::N,karvkate,മൃദുരോമം
140,Fell::N,karusnahk,മൃദുരോമം
141,Flügel::N,tiib,ചിറക്
142,Flügel::N,tiivik,ചിറക്
143,Klaue::N,küüs,നഖം
144,Kralle::N,küünis,നഖം
145,Schwanz::N,saba,വാൽ
146,Ei::N,muna,മുട്ട
147,Nest::N,pesa,കൂട്
148,Bau::N,urg,മാളം
149,Tier::N,loom,മൃഗം
150,Herde::N,kari,കൂട്ടം
151,Kuh::N,lehm,പശു
152,Bulle::N,pull,കാള
153,Pferd::N,hobune,കുതിര
154,Schaf::N,lammas,ആട്
155,Schwein::N,siga,പന്നി
156,Hund::N,koer,നായ്
157,Katze::N,kass,പൂച്ച
158,Bär::N,karu,കരടി
159,Eichhörnchen::N,orav,അണ്ണാൻ
160,Elch::N,põder,കടമാന്
161,Fuchs::N,rebane,കുറുക്കൻ
162,Hase::N,jänes,മുയൽ
163,Maus::N,hiir,ചുണ്ടലി
164,Wolf::N,hunt,ചെന്നായ
165,Vogel::N,lind,പക്ഷി
166,Schwarm::N,parv,കൂട്ടം
167,Huhn::N,kana,കോഴി
168,Hahn::N,kukk,പൂവൻകോഴി
169,Gans::N,hani,അരയന്നം
170,Adler::N,kotkas,കഴുകൻ
171,Ente::N,part,താറാവ്
172,Eule::N,kakk,മൂങ്ങ
173,Eule::N,öökull,മൂങ്ങ
174,Kranich::N,kurg,കൊക്ക്
175,Krähe::N,vares,കാക്ക
176,Kuckuck::N,kägu,കുയിൽ
177,Schwan::N,luik,അരയന്നം
178,Fisch::N,kala,മത്സ്യം
179,Barsch::N,ahven,ഒരിനം മത്സ്യം
180,Hecht::N,haug,ഒരു മത്സ്യം
181,Schlange[Tier]::N,uss,പാമ്പ്
182,Wurm::N,uss,വിര
183,Wurm::N,vagel,വിര
184,Spinne::N,ämblik,ചിലന്തി
185,Ameise::N,sipelgas,ഉറുമ്പ്
186,Laus::N,täi,പേന്
187,Mücke::N,sääsk,മശകം
188,Fliege::N,kärbes,ഈച്ച
189,Schmetterling::N,liblikas,ചിത്രശലഭം
190,Beere::N,mari,ബെറി
191,Apfel::N,õun,ആപ്പിൾ
192,Pilz::N,seen,കൂൺ
193,Zwiebel::N,sibul,സവാള
194,Saat::N,seeme,വിത്ത്
195,Korn::N,iva,ധാന്യം
196,Korn::N,tera,ധാന്യം
197,Heu::N,hein,വയ്ക്കോൽ
198,Schale::N,koor,തൊലി
199,Grube::N,kaevand,കുഴി
200,Falle::N,lõks,കെണി
201,Falle::N,püünis,കെണി
202,Schlinge::N,aas,കുടുക്ക്
203,Spur::N,jälg,ചുവട്
204,Asche::N,tuhk,ചാരം
205,Dreck::N,saast,അഴുക്ക്
206,Dreck::N,mustus,അഴുക്ക്
207,Eisen::N,raud,ഇരുമ്പ്
208,Gold::N,kuld,സ്വർണ്ണം
209,Silber::N,hõbe,വെള്ളി
210,Kohle::N,süsi,കൽക്കരി
211,Glas::N,klaas,ഗ്ലാസ്
212,Lehm::N,savi,കളിമണ്ണ്
213,Sand::N,liiv,മണൽ
214,Mensch::N,inimene,മനുഷ്യർ
215,Mann::N,mees,പുരുഷൻ
216,Frau::N,naine,സ്ത്രീ
217,Kind::N,laps,കുഞ്ഞ്
218,Junge::N,poiss,ആൺകുട്ടി
219,Mädchen::N,tüdruk,പെൺകുട്ടി
220,Familie::N,perekond,കുടുംബം
221,Großvater::N,vanaisa,അപ്പൂപ്പൻ
222,Großmutter::N,vanaema,അമ്മുമ്മ
223,Eltern::N,vanemad,മാതാപിതാക്കള്
224,Vater::N,isa,അച്ഛൻ
225,Mutter::N,ema,അമ്മ
226,Sohn::N,poeg,മകൻ
227,Tochter::N,tütar,മകൾ
228,Bruder::N,vend,ചേട്ടൻ
229,Bruder::N,vend,അനിയൻ
230,Schwester::N,õde,ചേച്ചി
231,Schwester::N,õde,അനിയത്തി
232,Onkel::N,onu,അമ്മാവൻ
233,Tante::N,tädi,മാമി
234,Ehemann::N,mees,ഭർത്താവ്
235,Ehemann::N,abikaasa,ഭർത്താവ്
236,Ehefrau::N,naine,ഭാര്യ
237,Ehefrau::N,abikaasa,ഭാര്യ
238,Freude::N,rõõm,ആഹ്ലാദം
239,Gelächter::N,naer,ചിരിയുടെ ശബ്ദം
240,Glück::N,õnn,സന്തോഷം
241,Glück::N,õnn,സന്തുഷ്ടി
242,Kummer::N,mure,ശോകം
243,Kummer::N,kurbus,ശോകം
244,Wunsch::N,soov,ആഗ്രഹം
245,Lust::N,himu,ആഗ്രഹം
246,Geist::N,vaim,ചുറുചുറുക്ക്
247,Gedanke::N,mõte,ചിന്ത
248,Gedächtnis::N,mälu,ഓർമ്മശക്തി
249,Verstand::N,aru,മനസ്സ്
250,Verstand::N,mõistus,മനസ്സ്
251,Sinn::N,tähendus,അർത്ഥം
252,Grund::N,põhjus,കാരണം
253,Wahrheit::N,tõde,സത്യം
254,Gespräch::N,kõne,സല്ലാപം
255,Gespräch::N,vestlus,സല്ലാപം
256,Märchen::N,muinasjutt,യക്ഷിക്കഥ
257,Erzählung::N,jutustus,കഥ
258,Nachricht::N,teade,സന്ദേശം
259,Neuigkeit::N,uudis,വാർത്ത
260,Name::N,nimi,പേര്
261,Rätsel::N,mõistatus,പ്രഹേളിക
