,Concept_ID,ro,kn
0,Auge::N,ochi,ಕಣ್ಣು
1,Ohr::N,ureche,ಕಿವಿ
2,Nase::N,nas,ಮೂಗು
3,Mund::N,gură,ಬಾಯಿ
4,Zahn::N,dinte,ಹಲ್ಲು
5,Zunge::N,limbă,ನಾಲಿಗೆ
6,Lippe::N,buză,ತುಟಿ
7,Wange::N,bucă,ಗಲ್ಲ
8,Wange::N,obraz,ಗಲ್ಲ
9,Gesicht::N,față,ಮುಖ
10,Gesicht::N,figură,ಮುಖ
11,Stirn::N,frunte,ಹಣೆ
12,Haar::N,păr,ಕೂದಲು
13,Schnurrbart::N,mustață,ಮೀಸೆ
14,Bart::N,barbă,ಗಡ್ಡ
15,Kinn::N,bărbie,ಗದ್ದ
16,Kiefer[Anatomie]::N,falcă,ದವಡೆ
17,Kehle::N,beregată,ಗಂಟಲು
18,Hals::N,gât,ಕೊರಳು
19,Genick::N,ceafă,ಹಿಂಗತ್ತು
20,Kopf::N,cap,ತಲೆ
21,Rücken::N,dos,ಬೆನ್ನು
22,Rücken::N,spate,ಬೆನ್ನು
23,Rücken::N,spinare,ಬೆನ್ನು
24,Bauch::N,burtă,ಹೊಟ್ಟೆ
25,Bauch::N,pântece,ಹೊಟ್ಟೆ
26,Nabel::N,buric,ಹೊಕ್ಕುಳು
27,Busen::N,sân,ಸ್ತನ
28,Brust::N,piept,ಎದೆ
29,Schulter::N,umăr,ಭುಜ
30,Schulter::N,spate,ಭುಜ
31,Arm::N,braț,ತೋಳು
32,Ellenbogen::N,cot,ಮೊಣಕೈ
33,Hand::N,mână,ಕೈ
34,Handfläche::N,palmă,ಅಂಗೈ
35,Finger::N,deget,ಕೈಬೆರಳು
36,Fingernagel::N,unghie,ಉಗುರು
37,Nagel[Anatomie]::N,unghie,ಉಗುರು
38,Zeh::N,deget de la picior,ಕಾಲ್ಬೆರಳು
39,Fuß::N,picior,ಪಾದ
40,Ferse::N,călcâi,ಹಿಮ್ಮಡಿ
41,Knie::N,genunchi,ಮಂಡಿ
42,Oberschenkel::N,coapsă,ತೊಡೆ
43,Bein::N,picior,ಕಾಲು
44,Körper::N,corp,ದೇಹ
45,Haut::N,piele,ಚರ್ಮ
46,Blut::N,sânge,ರಕ್ತ
47,Ader::N,vână,ನರ
48,Ader::N,arteră,ನರ
49,Sehne::N,tendon,ನರ
50,Knochen::N,os,ಮೂಳೆ
51,Gehirn::N,creier,ಮಿದುಳು
52,Herz::N,inimă,ಹೃದಯ
53,Magen::N,stomac,ಉದರ
54,Leber::N,ficat,ಯಕೃತ್ತು
55,Atem::N,răsuflare,ಉಸಿರು
56,Atem::N,respirație,ಉಸಿರು
57,Hunger::N,foame,ಹಸಿವು
58,Träne::N,lacrimă,ಕಣ್ಣೀರು
59,Geschmack::N,gust,ರುಚಿ
60,Geruch::N,miros,ವಾಸನೆ
61,Schlaf::N,somn,ನಿದ್ರೆ
62,Traum::N,vis,ಕನಸು
63,Himmel::N,cer,ಬಾನು
64,Sonne::N,soare,ಸೂರ್ಯ
65,Mond::N,lună,ಚಂದ್ರ
66,Stern::N,stea,ಚುಕ್ಕಿ
67,Luft::N,aer,ವಾಯು
68,Wind::N,vânt,ಗಾಳಿ
69,Welle::N,val,ಅಲೆ
70,Welle::N,undă,ಅಲೆ
71,Wasser::N,apă,ನೀರು
72,Stein::N,piatră,ಕಲ್ಲು
73,Boden::N,sol,ನೆಲ
74,Boden::N,pământ,ನೆಲ
75,Erde::N,pământ,ಭೂಮಿ
76,Staub::N,praf,ದೂಳು
77,Rauch::N,fum,ಹೊಗೆ
78,Funke::N,scânteie,ಕಿಡಿ
79,Feuer::N,foc,ಬೆಂಕಿ
80,Licht::N,lumină,ಬೆಳಕು
81,Schatten::N,umbră,ನೆರಳು
82,Wetter::N,timp,ಹವ
83,Wetter::N,vreme,ಹವ
84,Nebel::N,ceață,ಮಂಜು
85,Nebel::N,negură,ಮಂಜು
86,Wolke::N,nor,ಮೋಡ
87,Regen::N,ploaie,ಮಳೆ
88,Schnee::N,zăpadă,ಹಿಮ
89,Eis::N,gheață,ಮಂಜುಗಡ್ಡೆ
90,Frost::N,ger,ಮಂಜು
91,Kälte::N,frig,ಹಿಮ
92,Hitze::N,arșiță,ಉಷ್ಣ
93,Hitze::N,căldură,ಉಷ್ಣ
94,Raureif::N,chiciură,ಇಬ್ಬನಿ
95,Regenbogen::N,curcubeu,ಇಂದ್ರಚಾಪ
96,Donner::N,tunet,ಗುಡುಗು
97,Strömung::N,curent,ಪ್ರವಾಹ
98,Tropfen::N,picătură,ತೊಟ್ಟು
99,Schaum::N,spumă,ನೊರೆ
100,Schmutz::N,murdărie,ಕಸ
101,See::N,lac,ಸರೋವರ
102,Sumpf::N,mlaștină,ಜೌಗುಸ್ಥಳ
103,Moor::N,bărăgan,ಬಂಜರು ಭೂಮಿ
104,Wiese::N,fânaț,ಹುಲ್ಲುಗಾವಲು
105,Wiese::N,livadă,ಹುಲ್ಲುಗಾವಲು
106,Wald::N,codru,ಕಾಡು
107,Wald::N,pădure,ಕಾಡು
108,Hügel::N,deal,ಗುಡ್ಡೆ
109,Hügel::N,movilă,ಗುಡ್ಡೆ
110,Anhöhe::N,deal,ದಿಬ್ಬ
111,Anhöhe::N,ridicătură,ದಿಬ್ಬ
112,Berg::N,munte,ಮಲೆ
113,Berg::N,munte,ಪರ್ವತ
114,Gipfel::N,pisc,ಶೃಂಗ
115,Höhle::N,peșteră,ಗುಹೆ
116,Abhang::N,pantă,ಇಳಿಜಾರು
117,Abhang::N,versant,ಇಳಿಜಾರು
118,Quelle::N,izvor,ಮೂಲ
119,Bach::N,gârlă,ತೊರೆ
120,Fluss::N,râu,ನದಿ
121,Fluss::N,fluviu,ನದಿ
122,Ufer::N,mal,ತೀರ
123,Ufer::N,țărm,ತೀರ
124,Küste::N,coastă,ದಂಡೆ
125,Festland::N,uscat,ಭೂಮಿ
126,Meer::N,mare,ಕಡಲು
127,Bucht::N,golf,ಖಾರಿ
128,Insel::N,insulă,ದ್ವೀಪ
129,Blume::N,floare,ಸುಮ
130,Gras::N,iarbă,ಹುಲ್ಲು
131,Wurzel::N,rădăcină,ಬೇರು
132,Baum::N,copac,ಮರ
133,Baum::N,arbore,ಮರ
134,Stamm::N,tulpină,ಕಾಂಡ
135,Rinde::N,scoarță,ತೂಗಟಿ
136,Ast::N,cracă,ಶಾಖೆ
137,Ast::N,creangă,ಶಾಖೆ
138,Zweig::N,ramură,ರೆಂಬೆ
139,Zweig::N,creangă,ರೆಂಬೆ
140,Blatt::N,frunză,ಎಲೆ
141,Birke::N,mesteacăn,ಬರ್ಚ್ ಮರ
142,Kiefer[Baum]::N,pin,ದೇವದಾರು ಮರ
143,Weide[Baum]::N,salcie,ವಿಲೋಮರ
144,Weide[Baum]::N,răchită,ವಿಲೋಮರ
145,Tanne::N,brad,ಭದ್ರದಾರು
146,Horn::N,corn,ಕೊಂಬು
147,Feder::N,pană,ಪುಕ್ಕ
148,Fell::N,piele,ರೋಮ
149,Flügel::N,aripă,ರೆಕ್ಕೆ
150,Klaue::N,gheară,ಪಂಜ
151,Kralle::N,labă,ಉಗುರು
152,Kralle::N,gheară,ಉಗುರು
153,Schwanz::N,coadă,ಬಾಲ
154,Ei::N,ou,ಮೊಟ್ಟೆ
155,Nest::N,cuib,ಗೂಡು
156,Bau::N,bârlog,ಅಡಗುದಾಣ
157,Bau::N,vizuină,ಅಡಗುದಾಣ
158,Tier::N,animal,ಪ್ರಾಣಿ
159,Herde::N,turmă,ಗುಂಪು
160,Herde::N,cireadă,ಗುಂಪು
161,Kuh::N,vacă,ಹಸು
162,Bulle::N,taur,ಗೂಳಿ
163,Pferd::N,cal,ಕುದುರೆ
164,Schaf::N,oaie,ಕುರಿ
165,Schwein::N,porc,ಹಂದಿ
166,Hund::N,câine,ನಾಯಿ
167,Katze::N,pisică,ಬೆಕ್ಕು
168,Bär::N,urs,ಕರಡಿ
169,Eichhörnchen::N,veveriță,ಉಡುತೆ
170,Elch::N,elan,ಕಡವೆ
171,Fuchs::N,vulpe,ನರಿ
172,Hase::N,iepure,ಮೊಲ
173,Maus::N,șoarece,ಇಲಿ
174,Wolf::N,lup,ತೋಳ
175,Vogel::N,pasăre,ಪಕ್ಷಿ
176,Schwarm::N,cârd,ಗುಂಪು
177,Huhn::N,găină,ಚಿಕ್
178,Hahn::N,cocoș,ಹುಂಜ
179,Gans::N,gâscă,ವರಟೆ
180,Adler::N,vultur,ಗರುಡ
181,Ente::N,rață,ಬಾತು
182,Eule::N,bufniță,ಗೂಬೆ
183,Kranich::N,cocor,ಕೊಕ್ಕರ
184,Krähe::N,cioară,ಕಾಗೆ
185,Kuckuck::N,cuc,ಕೋಗಿಲೆ
186,Schwan::N,lebădă,ಹಂಸಪಕ್ಷಿ
187,Fisch::N,pește,ಮೀನು
188,Barsch::N,biban,ಪರ್ಚ್ ಮೀನು
189,Hecht::N,știucă,ಪೈಕ್ ಮೀನು
190,Schlange[Tier]::N,șarpe,ಹಾವು
191,Wurm::N,vierme,ಹುಳು
192,Spinne::N,păianjen,ಊರ್ಣನಾಭ
193,Ameise::N,furnică,ಇರುವೆ
194,Laus::N,păduche,ಹೇನು
195,Mücke::N,țânțar,ಸೊಳ್ಳೆ
196,Fliege::N,muscă,ನೊಣ
197,Schmetterling::N,fluture,ಪತಂಗ
198,Beere::N,boabă,ನಯವಣ್ಣು
199,Apfel::N,măr,ಸೇಬು
200,Pilz::N,burete,ಅಣಬೆ
201,Pilz::N,ciupercă,ಅಣಬೆ
202,Zwiebel::N,ceapă,ನೀರುಳ್ಳಿ
203,Saat::N,semănătură,ಬಿತ್ತ
204,Korn::N,grâu,ಬೀಜ
205,Heu::N,fân,ಕರಡ
206,Schale::N,coajă,ಹೊಟ್ಟು
207,Grube::N,groapă,ಗುಂಡಿ
208,Falle::N,cursă,ಬೋನು
209,Falle::N,capcană,ಬೋನು
210,Schlinge::N,laț,ಉರುಲು
211,Spur::N,dâră,ಜಾಡು
212,Asche::N,cenușă,ಬೂದಿ
213,Dreck::N,noroi,ಹೊಲಸು
214,Dreck::N,murdărie,ಹೊಲಸು
215,Eisen::N,fier,ಕಬ್ಬಿಣ
