,Concept_ID,kl,sv
0,Auge::N,isi,öga
1,Ohr::N,siut,öra
2,Mund::N,paaq,mun
3,Mund::N,qaneq,mun
4,Zahn::N,kigut,tand
5,Zunge::N,oqaq,tunga
6,Lippe::N,qarloq,läpp
7,Wange::N,ersaq,kind
8,Gesicht::N,kiinaq,syn
9,Gesicht::N,kiinaq,ansikte
10,Stirn::N,qaaq,panna
11,Haar::N,meqqoq,hår
12,Bart::N,umik,skägg
13,Kinn::N,talloq,haka
14,Kiefer[Anatomie]::N,alleroq,käke
15,Kehle::N,malaq,strupe
16,Hals::N,qungaseq,hals
17,Genick::N,pukusuk,nacke
18,Kopf::N,niaqoq,huvud
19,Rücken::N,qimerlut,rygg
20,Bauch::N,naaq,buk
21,Bauch::N,naaq,mage
22,Nabel::N,qalaseq,navel
23,Busen::N,iviangeq,barm
24,Brust::N,iviangeq,bröst
25,Schulter::N,ersik,skuldra
26,Schulter::N,assaqqoq,skuldra
27,Arm::N,taleq,arm
28,Ellenbogen::N,ikusik,armbåge
29,Hand::N,assak,hand
30,Handfläche::N,itumak,handflata
31,Finger::N,inuak,finger
32,Fingernagel::N,kikiak,fingernagel
33,Nagel[Anatomie]::N,kukik,nagel
34,Zeh::N,isigak,tå
35,Ferse::N,kimmik,häl
36,Knie::N,seeqqoq,knä
37,Oberschenkel::N,uppat,lår
38,Oberschenkel::N,quttoraq,lår
39,Bein::N,isigak,ben
40,Körper::N,timi,kropp
41,Haut::N,mattak,hud
42,Haut::N,mattak,skinn
43,Blut::N,aak,blod
44,Ader::N,taqaq,åder
45,Sehne::N,ujalu,sena
46,Sehne::N,ujaloq,sena
47,Knochen::N,saanikut,ben
48,Gehirn::N,qarasaq,hjärna
49,Herz::N,uummat,hjärta
50,Magen::N,aqajaroq,mage
51,Leber::N,tinguk,lever
52,Atem::N,anerneq,anda
53,Atem::N,anerneq,andedräkt
54,Hunger::N,kaanneq,svält
55,Hunger::N,kaanneq,hunger
56,Träne::N,qia,tår
57,Träne::N,qiak,tår
58,Geschmack::N,qilanaartuut,smak
59,Geruch::N,tipi,lukt
60,Geruch::N,tipik,lukt
61,Traum::N,sinnattoq,dröm
62,Traum::N,sinnattugaq,dröm
