,Concept_ID,uz,hi
0,Auge::N,ko'z,आँख
1,Auge::N,ko'z,चक्षु
2,Ohr::N,quloq,कान
3,Ohr::N,quloq,कर्ण
4,Nase::N,burun,नाक
5,Nase::N,burun,नासा
6,Mund::N,og'iz,मुख
7,Mund::N,og'iz,मुँह
8,Zahn::N,tish,दंत
9,Zahn::N,tish,दाँत
10,Zunge::N,til,जीभ
11,Zunge::N,til,ज़बान
12,Zunge::N,til,जिह्वा
13,Lippe::N,dudoq,ओंठ
14,Lippe::N,dudoq,होंठ
15,Wange::N,bet,गाल
16,Wange::N,bet,कपोल
17,Gesicht::N,yuz,मुँह
18,Gesicht::N,yuz,चेहरा
19,Stirn::N,manglay,माथा
20,Stirn::N,manglay,मस्तक
21,Haar::N,soch,बाल
22,Schnurrbart::N,mo'ylov,मूँछें
23,Bart::N,soqol,दाढ़ी
24,Kinn::N,ängak,चिबुक
25,Kiefer[Anatomie]::N,iyak,जबड़ा
26,Kehle::N,bo'g'iz,गला
27,Hals::N,bo'yin,गला
28,Hals::N,bo'yin,गरदन
29,Genick::N,gardan,गरदन
30,Genick::N,gardan,ग्रीवा
31,Kopf::N,bosh,सिर
32,Kopf::N,bosh,शीर्ष
33,Rücken::N,orqa,पीठ
34,Bauch::N,qorin,उदर
35,Nabel::N,kindik,नाभि
36,Nabel::N,kindik,ढोंढी
37,Busen::N,ämchak,कुच
38,Busen::N,ämchak,स्तन
39,Brust::N,ko'krak,वक्ष
40,Schulter::N,elka,कंधा
41,Schulter::N,elka,स्कंध
42,Arm::N,bilak,बाँह
43,Arm::N,bilak,बाज़ू
44,Ellenbogen::N,tirsak,कुहनी
45,Hand::N,qo'l,हाथ
46,Hand::N,qo'l,हस्त
47,Handfläche::N,kaft,हथेली
48,Finger::N,barmoq,उँगली
49,Finger::N,barmoq,अँगुली
50,Fingernagel::N,tirnoq,नख
51,Fingernagel::N,tirnoq,नाख़ून
52,Nagel[Anatomie]::N,tirnoq,नख
53,Nagel[Anatomie]::N,tirnoq,नाख़ून
54,Zeh::N,oyoq barmog'i,उँगली
55,Zeh::N,oyoq barmog'i,पाँव की उँगली
56,Fuß::N,oyoq,चरण
57,Fuß::N,oyoq,पाँव
58,Ferse::N,tovon,एड़ी
59,Knie::N,tiz,जानु
60,Knie::N,tiz,घुटना
61,Oberschenkel::N,son,उरु
62,Bein::N,oyoq,टाँग
63,Körper::N,badna,तन
64,Körper::N,badna,देह
65,Körper::N,badna,शरीर
66,Haut::N,teri,चर्म
67,Haut::N,teri,त्वचा
68,Blut::N,qon,लहू
69,Blut::N,qon,ख़ून
70,Ader::N,qon tomir,रग
71,Ader::N,qon tomir,शिरा
72,Sehne::N,tomir,कंडरा
73,Sehne::N,tomir,स्नायु
74,Knochen::N,suyak,अस्थि
75,Gehirn::N,miya,दिमाग़
76,Gehirn::N,miya,मस्तिष्क
77,Herz::N,qalb,दिल
78,Herz::N,qalb,हृदय
79,Magen::N,oshqozon,मेदा
80,Magen::N,oshqozon,अमाशय
81,Leber::N,bag'ir,जिगर
82,Leber::N,bag'ir,यकृत्
83,Atem::N,dam,दम
84,Atem::N,dam,साँस
85,Atem::N,dam,श्वास
86,Hunger::N,ochlik,भूख
87,Hunger::N,ochlik,क्षुधा
88,Träne::N,yosh,आँसू
89,Träne::N,yosh,अश्रु
90,Geschmack::N,tam,स्वाद
91,Geschmack::N,tam,ज़ायक़ा
92,Geruch::N,jid,बू
93,Geruch::N,jid,गंध
94,Schlaf::N,uyqu,नींद
95,Schlaf::N,uyqu,निद्रा
96,Traum::N,tush,सपना
97,Traum::N,tush,स्वप्न
98,Himmel::N,osmon,आकाश
99,Himmel::N,osmon,आसमान
100,Sonne::N,quyosh,रवि
101,Sonne::N,quyosh,सूरज
102,Sonne::N,quyosh,सूर्य
103,Mond::N,oy,चाँद
104,Mond::N,oy,चंद्र
105,Stern::N,yulduz,तारा
106,Stern::N,yulduz,सितारा
107,Luft::N,havo,हवा
108,Luft::N,havo,वायु
109,Wind::N,el,पाद
110,Welle::N,to'lqin,लहर
111,Welle::N,to'lqin,तरंग
112,Wasser::N,suv,जल
113,Wasser::N,suv,पानी
114,Stein::N,tosh,पत्थर
115,Boden::N,tuproq,मिट्टी
116,Erde::N,er,भूमि
117,Erde::N,er,ज़मीन
118,Staub::N,chang,धूल
119,Rauch::N,tutun,धूआँ
120,Rauch::N,tutun,धुम्र
121,Funke::N,yalt,चिनगारी
122,Funke::N,yalt,स्फुलिंग
123,Feuer::N,o't,आग
124,Feuer::N,o't,आतिश
125,Feuer::N,o't,अग्नि
126,Licht::N,yorug',रोशनी
127,Licht::N,yorug',प्रकाश
128,Schatten::N,soya,छाया
129,Schatten::N,soya,परछाई
130,Wetter::N,havo,ऋतु
131,Wetter::N,havo,मौसम
132,Nebel::N,tuman,धुँध
133,Nebel::N,tuman,कुहरा
134,Wolke::N,bulut,मेघ
135,Wolke::N,bulut,अभ्र
136,Regen::N,yomg'ir,मेंह
137,Regen::N,yomg'ir,बारिश
138,Schnee::N,qor,हिम
139,Schnee::N,qor,बर्फ़
140,Eis::N,muz,हिम
141,Eis::N,muz,बर्फ़
142,Frost::N,ajoz,ठंड
143,Kälte::N,ajoz,सर्दी
144,Kälte::N,ajoz,शीतलता
145,Hitze::N,issiq,ताप
146,Hitze::N,issiq,गरमी
147,Raureif::N,qirov,पाला
148,Regenbogen::N,kamalak,इंद्र-धनुष
149,Donner::N,guldur,गरज
150,Donner::N,guldur,मेघ-गर्जन
151,Strömung::N,oqim,बहाव
152,Strömung::N,oqim,प्रवाह
153,Tropfen::N,tomchi,बूँद
154,Schaum::N,ko'pik,झाग
155,Schmutz::N,gard,गंद
156,Schmutz::N,gard,कीचड़
157,See::N,ko'l,झील
158,See::N,ko'l,सरोवर
159,Sumpf::N,botqoq,दलदल
160,Sumpf::N,botqoq,धँसान
161,Moor::N,qir-adir,झाबर
162,Moor::N,qir-adir,धँसान
163,Wiese::N,o'tzor,घास-स्थल
