,Concept_ID,sah,be
0,Auge::N,харах,вока
1,Ohr::N,кулгаах,вуха
2,Nase::N,мурун,нос
3,Mund::N,айах,рот
4,Zahn::N,тиис,зуб
5,Zunge::N,тыл,язык
6,Lippe::N,уос,губа
7,Wange::N,иэдэс,шчака
8,Gesicht::N,сирэй,твар
9,Stirn::N,сүүс,лоб
10,Haar::N,баттах,волас
11,Haar::N,баттах,валасы
12,Schnurrbart::N,уос бытыга,вус
13,Schnurrbart::N,уос бытыга,вусы
14,Bart::N,сэҥийэ бытыга,барада
15,Kinn::N,сэҥийэ,падбародак
16,Kiefer[Anatomie]::N,сыҥаах,сківіца
17,Kehle::N,тамах,горла
18,Kehle::N,күөмэй,горла
19,Hals::N,моой,шыя
20,Genick::N,кэтэх,патыліца
21,Kopf::N,бас,галава
22,Rücken::N,көҕүс,спіна
23,Bauch::N,ис,жывот
24,Nabel::N,киин,пупок
25,Busen::N,эмиий,грудзі
26,Brust::N,түөс,грудзі
27,Schulter::N,сарын,плячо
28,Arm::N,илии,рука
29,Ellenbogen::N,тоҕонох,локаць
30,Hand::N,илии,кісць
31,Handfläche::N,ытыс,далонь
32,Finger::N,тарбах,палец
33,Fingernagel::N,тыҥырах,ногаць
34,Nagel[Anatomie]::N,тыҥырах,ногаць
35,Zeh::N,тарбах,палец
36,Fuß::N,уллуҥах,нага
37,Ferse::N,тилэх,пята
38,Ferse::N,тилэх,пятка
39,Knie::N,тобук,калена
40,Knie::N,дьилбэк,калена
41,Oberschenkel::N,уллук,бядро
42,Oberschenkel::N,уллук,сцягно
43,Oberschenkel::N,өттүк,бядро
44,Oberschenkel::N,өттүк,сцягно
45,Bein::N,атах,нага
46,Körper::N,бэйэ,цела
47,Haut::N,тирии,скура
48,Blut::N,хаан,кроў
49,Ader::N,вена,вена
50,Ader::N,вена,сасуд
51,Ader::N,күөх_тымыр,вена
52,Ader::N,күөх_тымыр,сасуд
53,Sehne::N,иҥиир,жыла
54,Sehne::N,иҥиир,цеціва
55,Sehne::N,иҥиир,сухажылле
56,Knochen::N,уҥуох,косць
57,Knochen::N,уҥгуох,косць
58,Gehirn::N,мэйии,мозг
59,Herz::N,сүрэх,сэрца
60,Magen::N,куртах,страўнік
61,Leber::N,быар,печань
62,Atem::N,тыын,дыханне
63,Hunger::N,аас,голад
64,Träne::N,харах уута,сляза
65,Geschmack::N,амтан,смак
66,Geruch::N,сыт,пах
67,Schlaf::N,утуйуу,сон
68,Traum::N,түүл,сон
69,Himmel::N,халлаан,неба
70,Sonne::N,күн,сонца
71,Mond::N,ый,месяц
72,Stern::N,сулус,зорка
73,Luft::N,салгын,паветра
74,Wind::N,тыал,вецер
75,Welle::N,долгун,хваля
76,Welle::N,балхаан,хваля
77,Wasser::N,уу,вада
78,Stein::N,таас,камень
79,Boden::N,сир,глеба
80,Erde::N,буор,зямля
81,Staub::N,быыл,пыл
82,Rauch::N,буруо,дым
83,Funke::N,кыым,іскра
84,Feuer::N,уот,агонь
85,Licht::N,уот,святло
86,Schatten::N,күлүк,цень
87,Wetter::N,күн-дьыл,пагода
88,Wetter::N,күн-дьыл,надворʼе
89,Nebel::N,туман,туман
90,Wolke::N,былыт,воблака
91,Regen::N,самыыр,дождж
92,Schnee::N,хаар,снег
93,Eis::N,муус,лёд
94,Frost::N,тымныы,мароз
95,Kälte::N,тымныы,холад
96,Hitze::N,куйаас,спёка
97,Raureif::N,кырыа,іней
98,Regenbogen::N,кустук,вясёлка
99,Donner::N,этиҥ,гром
100,Strömung::N,сүүрүк,цячэнне
101,Tropfen::N,таммах,кропля
102,Tropfen::N,хааппыла,кропля
103,Schaum::N,күүгэн,пена
104,Schmutz::N,кир,гразь
105,See::N,күөл,возера
106,Sumpf::N,бадараан,багна
107,Moor::N,дьэбэрэ,балота
108,Wiese::N,ходуһа,луг
109,Wald::N,ойуур,лес
110,Hügel::N,булгунньах,узгорак
111,Anhöhe::N,үрдэл,узвышша
112,Berg::N,хайа,гара
113,Gipfel::N,чыпчаал,вяршыня
114,Höhle::N,хайа_хаспаҕа,пячора
115,Höhle::N,көҥүс,пячора
116,Abhang::N,эниэ,схіл
117,Quelle::N,дьүүктэ,крыніца
118,Bach::N,үрүйэ,ручай
119,Fluss::N,өрүс,рака
120,Ufer::N,биэрэк,бераг
121,Küste::N,кытыл,узбярэжжа
122,Festland::N,кураанах сир,суша
123,Meer::N,муора,мора
124,Bucht::N,хомо,бухта
125,Bucht::N,бухта,бухта
126,Insel::N,арыы,востраў
127,Blume::N,сибэкки,кветка
128,Gras::N,от,трава
129,Wurzel::N,силис,корань
130,Baum::N,мас,дрэва
131,Stamm::N,умнас,ствол
132,Rinde::N,хатырык,кара
133,Ast::N,мутук,сук
134,Zweig::N,лабаа,галіна
135,Blatt::N,сэбирдэх,ліст
136,Birke::N,хатыҥ,бяроза
137,Kiefer[Baum]::N,бэс,хвоя
