,Concept_ID,xal,ml
0,Auge::N,нүдн,കണ്ണ്
1,Ohr::N,чикн,ചെവി
2,Nase::N,хамр,മൂക്ക്
3,Mund::N,амн,വായ
4,Zahn::N,шүдн,പല്ല്
5,Zunge::N,келн,നാക്ക്
6,Lippe::N,урл,ചുണ്ട്
7,Wange::N,халх,കവിൾത്തടം
8,Gesicht::N,нүр,മുഖം
9,Stirn::N,маңна,നെറ്റി
10,Haar::N,үсн,തലമുടി
11,Schnurrbart::N,сахл,മീശ
12,Bart::N,сахл,താടിരോമം
13,Bart::N,өргнә сахл,താടിരോമം
14,Kinn::N,өргн,താടി
15,Kiefer[Anatomie]::N,өргн,താടിയെല്ല്
16,Kehle::N,хол,കണ്ഠനാളം
17,Hals::N,күзүн,കഴുത്ത്
18,Genick::N,гиҗг,പിടലി
19,Kopf::N,толһа,തല
20,Rücken::N,нурһн,മുതുക്
21,Bauch::N,гесн,നയറ്
22,Nabel::N,киисн,നാഭി
23,Busen::N,көкн,സ്തനം
24,Brust::N,чееҗ,സ്തനം
25,Schulter::N,ээм,തോൾ
26,Arm::N,һар,കൈ
27,Ellenbogen::N,тоха,കൈമുട്ട്
28,Hand::N,баһлцг,കൈ
29,Handfläche::N,альхн,ഉള്ളം കൈ
30,Finger::N,хурһн,വിരൽ
31,Finger::N,һарин хурһн,വിരൽ
32,Fingernagel::N,хумсн,നഖം
33,Nagel[Anatomie]::N,хумсн,നഖം
34,Zeh::N,хурһн,കാൽവിരൽ
35,Zeh::N,көлин хурһн,കാൽവിരൽ
36,Fuß::N,тавг,കാൽപ്പാദം
37,Ferse::N,өскә,ഉപ്പൂറ്റി
38,Knie::N,өвдг,കാൽമുട്ട്
39,Oberschenkel::N,һуй,തുട
40,Bein::N,көл,കാൽ
41,Körper::N,махмуд,ശരീരം
42,Haut::N,арсн,ചർമ്മം
43,Blut::N,цусн,രക്തം
44,Ader::N,судцн,ഞരമ്പ്
45,Sehne::N,шүрүсн,സ്നായു
46,Knochen::N,ясн,അസ്ഥി
47,Gehirn::N,экн,തലച്ചോറ്
48,Herz::N,зүркн,ഹൃദയം
49,Magen::N,гесн,വയർ
50,Leber::N,элкн,കരൾ
51,Atem::N,әмсхл,ശ്വാസം
52,Hunger::N,харһнлһн,വിശപ്പ്
53,Träne::N,нульмсн,കണ്ണീർ
54,Geschmack::N,амтн,രുചി
55,Geruch::N,үнр,ഗന്ധം
56,Schlaf::N,нөр,ഉറകും
57,Traum::N,зүүдн,സ്വപ്നം
58,Himmel::N,теңгр,ആകാശം
59,Sonne::N,нарн,സൂര്യൻ
60,Mond::N,сар,ചന്ദ്രൻ
61,Stern::N,одн,നക്ഷത്രം
62,Luft::N,аһар,കാറ്റ്
63,Wind::N,салькн,കാറ്റ്
64,Welle::N,дольган,തിരമാല
65,Wasser::N,усн,വെള്ളം
66,Stein::N,чолун,ശില
67,Stein::N,чолун,കല്ല്
68,Boden::N,Һазр,തറ
69,Boden::N,Һазр,നിലം
70,Erde::N,Һазр,മണ്ണ്
71,Staub::N,тоосн,പൊടി
72,Rauch::N,утан,പുക
73,Funke::N,очн,തീപ്പൊരി
74,Feuer::N,һал,തീ
75,Licht::N,герл,വിളക്ക്
76,Licht::N,герл,സൂര്യപ്രകാശം
77,Schatten::N,сүүдр,തണൽ
78,Wetter::N,теңгр,കാലാവസ്ഥ
79,Nebel::N,будн,മൂടൽമഞ്ഞ്
80,Wolke::N,үүлн,മേഘം
81,Regen::N,хур,മഴ
82,Schnee::N,цасн,മഞ്ഞ്
83,Eis::N,мөсн,ഐസ്
84,Frost::N,киитн,മൂടൽമഞ്ഞ്
85,Kälte::N,киитн,തണുപ്പ്
86,Hitze::N,халун,ചൂട്
87,Raureif::N,цаң,കോടമഞ്ഞ്
88,Raureif::N,кирү,കോടമഞ്ഞ്
89,Regenbogen::N,солңһ,മഴവില്ല്
90,Donner::N,оһтрһун дун,ഇടി
91,Strömung::N,урсхл,പ്രവാഹം
92,Tropfen::N,дусал,തുള്ളി
93,Schaum::N,көөсн,നുര
94,Schmutz::N,кир,അഴുക്ക്
95,See::N,нур,തടാകം
96,Sumpf::N,унул,ചതുപ്പുനിലം
97,Moor::N,улм,പാഴ്നിലം
98,Wiese::N,хадлһн,പുൽത്തകിടി
99,Wald::N,ө-модн,വനം
100,Wald::N,ө-модн,കാട്
101,Hügel::N,толһа,കുന്ന്
102,Anhöhe::N,хамр,ഉയർന്ന ഭൂമി
103,Berg::N,уул,പർവ്വതം
104,Gipfel::N,ора,ഉച്ചകോടി
105,Höhle::N,хадин көндә,ഗുഹ
106,Abhang::N,ташу,ചരിവ്
107,Quelle::N,булг,ഉറവിടം
108,Bach::N,һооҗур,അരുവി
109,Fluss::N,һол,നദി
110,Ufer::N,көвә,തീരം
111,Küste::N,көвә,കടൽത്തീരം
112,Küste::N,теңгсин көвә,കടൽത്തീരം
113,Festland::N,хүүрә һазр,കര
114,Meer::N,теңгс,കടൽ
115,Bucht::N,цекә,ഉൾക്കടല്
116,Bucht::N,теңгсин цекә,ഉൾക്കടല്
117,Insel::N,арл,ദ്വീപ്
118,Blume::N,цецг,പൂവ്
119,Gras::N,ноһан,പുല്ല്
120,Wurzel::N,уңг,വേര്
121,Baum::N,модн,മരം
122,Stamm::N,шилв,തായ്ത്തടി
123,Stamm::N,һол модн,തായ്ത്തടി
124,Rinde::N,көрсн,പട്ട
125,Ast::N,ац,ശാഖ
126,Zweig::N,ац,ശാഖ
127,Blatt::N,хамтхасн,ഇല
