,Concept_ID,pt,cy
0,Auge::N,olho,llygad
1,Ohr::N,orelha,clust
2,Nase::N,nariz,trwyn
3,Mund::N,boca,ceg
4,Zahn::N,dente,dant
5,Zunge::N,língua,tafod
6,Lippe::N,lábio,gwefus
7,Wange::N,face,boch
8,Gesicht::N,cara,wyneb
9,Gesicht::N,rosto,wyneb
10,Stirn::N,testa,talcen
11,Haar::N,cabelo,blew
12,Schnurrbart::N,bigode,mwstas
13,Bart::N,barba,barf
14,Kinn::N,queixo,gên
15,Kiefer[Anatomie]::N,maxila,gên
16,Kiefer[Anatomie]::N,mandíbula,gên
17,Kehle::N,garganta,gwddf
18,Hals::N,colo,gwddf
19,Hals::N,pescoço,gwddf
20,Genick::N,nuca,gwar
21,Genick::N,nuca,gwegil
22,Kopf::N,cabeça,pen
23,Rücken::N,dorso,cefn
24,Rücken::N,costas,cefn
25,Bauch::N,ventre,bol
26,Bauch::N,barriga,bol
27,Nabel::N,umbigo,bogail
28,Busen::N,seio,bron
29,Brust::N,peito,brest
30,Schulter::N,ombro,ysgwydd
31,Arm::N,braço,braich
32,Ellenbogen::N,cotovelo,penelin
33,Hand::N,mão,llaw
34,Handfläche::N,palma,palf
35,Handfläche::N,palma da mão,palf
36,Finger::N,dedo,bys
37,Fingernagel::N,unha,ewin
38,Nagel[Anatomie]::N,unha,ewin
39,Zeh::N,dedo do pé,bys troed
40,Fuß::N,pé,troed
41,Ferse::N,calcanhar,sawdl
42,Knie::N,joelho,glin
43,Oberschenkel::N,coxa,clun
44,Bein::N,perna,coes
45,Körper::N,corpo,corff
46,Haut::N,pele,croen
47,Blut::N,sangue,gwaed
48,Ader::N,veia,gwythïen
49,Sehne::N,tendão,gewyn
50,Knochen::N,osso,asgwrn
51,Gehirn::N,cérebro,ymennydd
52,Herz::N,coração,calon
53,Magen::N,estômago,cylla
54,Magen::N,estômago,stumog
55,Leber::N,fígado,iau
56,Atem::N,fôlego,anadl
57,Hunger::N,fome,newyn
58,Träne::N,lágrima,deigryn
59,Geschmack::N,gosto,cyflas
60,Geruch::N,odor,aroglau
61,Geruch::N,cheiro,aroglau
62,Schlaf::N,sono,cwsg
63,Traum::N,sonho,breuddwyd
64,Himmel::N,céu,awyr
65,Sonne::N,sol,haul
66,Mond::N,lua,lleuad
67,Stern::N,estrela,seren
68,Luft::N,ar,awyr
69,Wind::N,vento,gwynt
70,Welle::N,onda,ton
71,Wasser::N,água,dŵr
72,Stein::N,pedra,carreg
73,Boden::N,solo,llawr
74,Erde::N,terra,pridd
75,Staub::N,pó,llwch
76,Rauch::N,fumo,mwg
77,Funke::N,faísca,gwreichioni
78,Funke::N,centelha,gwreichioni
79,Feuer::N,fogo,tân
80,Licht::N,luz,golau
81,Schatten::N,sombra,cysgod
82,Wetter::N,tempo,tywydd
83,Nebel::N,nevoeiro,niwl
84,Wolke::N,nuvem,cwmwl
85,Regen::N,chuva,glaw
86,Schnee::N,neve,ôd
87,Schnee::N,neve,eira
88,Eis::N,gelo,iâ
89,Frost::N,gelo,rhew
90,Frost::N,geada,rhew
91,Kälte::N,frio,oerni
92,Kälte::N,frio,annwyd
93,Hitze::N,ardor,gwres
94,Raureif::N,geada,barrug
95,Regenbogen::N,arco-iris,enfys
96,Donner::N,trovão,tyrfau
97,Strömung::N,corrente,cerrynt
98,Tropfen::N,gota,dafn
99,Tropfen::N,gota,diferyn
100,Schaum::N,espuma,ewyn
101,Schmutz::N,sujidade,baw
102,Schmutz::N,sujidade,budreddi
103,Schmutz::N,imundície,baw
104,Schmutz::N,imundície,budreddi
105,See::N,lago,llyn
106,Sumpf::N,charco,cors
107,Sumpf::N,pântano,cors
108,Moor::N,pântano,rhos
109,Wiese::N,prado,dôl
110,Wald::N,bosque,coedwig
111,Wald::N,floresta,coedwig
112,Hügel::N,colina,bryn
113,Anhöhe::N,alto,bryn
114,Anhöhe::N,outeiro,bryn
115,Berg::N,monte,mynydd
116,Berg::N,montanha,mynydd
117,Gipfel::N,pico,copa
118,Höhle::N,caverna,ogof
119,Abhang::N,encosta,llethr
120,Quelle::N,fonte,tarddiad
121,Quelle::N,fonte,ffynhonnell
122,Bach::N,regato,nant
123,Bach::N,regato,afonig
124,Bach::N,regato,cornant
125,Bach::N,ribeiro,nant
126,Bach::N,ribeiro,afonig
127,Bach::N,ribeiro,cornant
128,Fluss::N,rio,afon
129,Ufer::N,beira,glan
130,Küste::N,costa,traeth
131,Küste::N,costa,arfordir
132,Festland::N,terra firme,tir
133,Meer::N,mar,môr
134,Bucht::N,baía,bae
135,Insel::N,ilha,ynys
136,Blume::N,flor,blodyn
137,Gras::N,erva,glaswellt
138,Wurzel::N,raiz,gwreiddyn
139,Baum::N,árvore,coeden
140,Stamm::N,tronco,colfen
141,Stamm::N,tronco,boncyff
142,Rinde::N,casca,rhisgl
143,Ast::N,ramo,cangen
144,Zweig::N,galho,cainc
145,Zweig::N,galho,cangen
146,Blatt::N,folha,deilen
147,Birke::N,bétula,bedwen
148,Kiefer[Baum]::N,pinheiro,pinwydden
149,Weide[Baum]::N,salgueiro,helygen
150,Tanne::N,abeto,ffynidwydden
151,Horn::N,corno,corn
152,Horn::N,chifre,corn
153,Feder::N,pena,plufyn
154,Fell::N,pele,ffwr
155,Flügel::N,asa,adain
156,Klaue::N,pata,crafanc
157,Kralle::N,unha,ewin
158,Kralle::N,garra,ewin
159,Schwanz::N,rabo,cwt
160,Schwanz::N,rabo,cynffon
161,Schwanz::N,cauda,cwt
162,Schwanz::N,cauda,cynffon
163,Ei::N,ovo,wy
164,Nest::N,ninho,nyth
165,Bau::N,toca,ffau
166,Bau::N,covil,ffau
167,Tier::N,animal,anifail
168,Herde::N,rebanho,praidd
169,Herde::N,rebanho,diadell
170,Kuh::N,vaca,buwch
171,Bulle::N,touro,tarw
