,Concept_ID,is,hy
0,Auge::N,auga,աչք
1,Ohr::N,eyra,ականջ
2,Nase::N,nef,քիթ
3,Mund::N,munnur,բերան
4,Zahn::N,tönn,ատամ
5,Zunge::N,tunga,լեզու
6,Lippe::N,vör,շրթունք
7,Wange::N,kinn,այտ
8,Wange::N,kinn,թուշ
9,Wange::N,vangi,այտ
10,Wange::N,vangi,թուշ
11,Gesicht::N,andlit,դեմք
12,Stirn::N,enni,ճակատ
13,Haar::N,hár,մազ
14,Schnurrbart::N,yfirskegg,բեղ
15,Bart::N,skegg,մորուք
16,Kinn::N,haka,կզակ
17,Kiefer[Anatomie]::N,kjálki,ծնոտ
18,Kiefer[Anatomie]::N,skoltur,ծնոտ
19,Kehle::N,kverk,կոկորդ
20,Hals::N,háls,վիզ
21,Hals::N,háls,պարանոց
22,Genick::N,hnakki,ծոծրակ
23,Kopf::N,höfuð,գլուխ
24,Rücken::N,hryggur,մեջք
25,Bauch::N,kviður,փոր
26,Bauch::N,kviður,որովայն
27,Nabel::N,nafli,պորտ
28,Busen::N,barmur,ծոց
29,Brust::N,brjóst,կուրծք
30,Schulter::N,öxl,ուս
31,Arm::N,armur,թեւ
32,Arm::N,armur,բազուկ
33,Ellenbogen::N,olnbogi,արմունկ
34,Hand::N,hönd,ձեռք
35,Handfläche::N,lófi,ափ
36,Finger::N,fingur,մատ
37,Fingernagel::N,fingurnögl,եղունգ
38,Nagel[Anatomie]::N,nögl,եղունգ
39,Zeh::N,tá,ոտքի մատ
40,Fuß::N,fótur,ոտք
41,Ferse::N,hæll,գարշապար
42,Knie::N,kné,ծունկ
43,Oberschenkel::N,læri,ազդր
44,Bein::N,fótleggur,ոտք
45,Körper::N,búkur,մարմին
46,Körper::N,líkami,մարմին
47,Haut::N,húð,մաշկ
48,Haut::N,skinn,մաշկ
49,Blut::N,blóð,արյուն
50,Ader::N,æð,երակ
51,Sehne::N,sin,ջիղ
52,Sehne::N,sin,ձգտան
53,Knochen::N,bein,ոսկոր
54,Gehirn::N,heili,խելք
55,Herz::N,hjarta,սիրտ
56,Magen::N,magi,ստամոքս
57,Leber::N,lifur,լյարդ
58,Atem::N,andi,շունչ
59,Atem::N,andardráttur,շունչ
60,Hunger::N,hungur,քաղց
61,Träne::N,tár,արտասուք
62,Geschmack::N,smekkur,համ
63,Geschmack::N,smekkur,բուրմունք
64,Geruch::N,lykt,հոտ
65,Geruch::N,lykt,բուրում
66,Schlaf::N,svefn,քուն
67,Traum::N,draumur,երազ
68,Himmel::N,himinn,երկինք
69,Sonne::N,sól,արեւ
70,Mond::N,tungl,լուսին
71,Stern::N,stjarna,աստղ
72,Luft::N,loft,օդ
73,Wind::N,vindur,քամի
74,Welle::N,alda,ալիք
75,Welle::N,bylgja,ալիք
76,Wasser::N,vatn,ջուր
77,Stein::N,steinn,քար
78,Boden::N,botn,գետին
79,Erde::N,jörð,հող
80,Staub::N,ryk,փոշի
81,Staub::N,duft,փոշի
82,Rauch::N,reykur,ծուխ
83,Funke::N,neisti,կայծ
84,Feuer::N,eldur,կրակ
85,Feuer::N,eldur,հրդեհ
86,Licht::N,ljós,լույս
87,Schatten::N,skuggi,ստվեր
88,Wetter::N,veður,եղանակ
89,Nebel::N,þoka,մեգ
90,Nebel::N,þoka,մառախուղ
91,Wolke::N,ský,ամպ
92,Regen::N,regn,անձրև
93,Schnee::N,snjór,ձյուն
94,Eis::N,ís,սառույց
95,Frost::N,frost,սառնամանիք
96,Kälte::N,kuldi,դող
97,Hitze::N,hiti,շոգ
98,Raureif::N,hrím,ցօղեղեամ
99,Regenbogen::N,regnbogi,ծիածան
100,Donner::N,þruma,որոտ
101,Strömung::N,straumur,հոսանք
102,Tropfen::N,dropi,կաթիլ
103,Schaum::N,froða,փրփուր
104,Schmutz::N,óhreinindi,կեղտ
105,See::N,stöðuvatn,լիճ
106,Sumpf::N,fen,ճահիճ
107,Moor::N,mýri,ճահիճ
108,Wiese::N,engi,մարգագետին
109,Wald::N,skógur,անտառ
110,Hügel::N,hæð,բլուր
111,Hügel::N,hóll,բլուր
112,Anhöhe::N,hæð,բարձունք
113,Anhöhe::N,hóll,բարձունք
114,Berg::N,fell,լեռ
115,Berg::N,fjall,լեռ
116,Gipfel::N,tindur,գագաթ
117,Gipfel::N,tindur,կատար
118,Höhle::N,hellir,քարայր
119,Abhang::N,hlíð,լանջ
120,Abhang::N,hlíð,զառիվայր
121,Abhang::N,brekka,լանջ
122,Abhang::N,brekka,զառիվայր
123,Quelle::N,lind,աղբյուր
124,Quelle::N,uppspretta,աղբյուր
125,Bach::N,lækur,վտակ
126,Fluss::N,á,գետ
127,Fluss::N,fljót,գետ
128,Ufer::N,árbakki,ծովափ
129,Ufer::N,sjávarbakki,ծովափ
130,Küste::N,strönd,ափ
131,Küste::N,strönd,ծովափ
132,Festland::N,meginland,ցամաք
133,Meer::N,haf,ծով
134,Meer::N,sjór,ծով
135,Bucht::N,vík,հաչիւն
136,Insel::N,eyja,վղզի
137,Blume::N,blóm,ծաղիկ
138,Gras::N,gras,խոտ
139,Wurzel::N,rót,արմատ
140,Baum::N,tré,ծառ
141,Stamm::N,stofn,իրան
142,Rinde::N,börkur,կեղեւ
143,Rinde::N,börkur,հաչոց
144,Ast::N,grein,ճյուղ
145,Zweig::N,angi,ճյուղ
146,Zweig::N,kvistur,ճյուղ
147,Blatt::N,blað,տերեւ
148,Birke::N,birki,ցարասի
149,Kiefer[Baum]::N,fura,սոճի
150,Weide[Baum]::N,víðir,ուռենի
151,Tanne::N,greni,եղեւին
152,Horn::N,horn,
153,Feder::N,fjöður,փետուր
154,Fell::N,skinn,մորթի
155,Flügel::N,vængur,թեւ
156,Klaue::N,kló,չանչ
157,Kralle::N,kló,ճանկ
158,Schwanz::N,rófa,պոչ
159,Schwanz::N,skott,պոչ
160,Ei::N,egg,ձու
161,Nest::N,hreiður,բույն
162,Bau::N,greni,որջ
163,Bau::N,greni,բայոց
164,Bau::N,bæli,որջ
165,Bau::N,bæli,բայոց
166,Tier::N,dýr,կենդանի
167,Herde::N,hjörð,հոտ
168,Kuh::N,kýr,կով
169,Bulle::N,boli,ցուլ
170,Pferd::N,hestur,ձի
171,Schaf::N,kind,ոչխար
172,Schwein::N,svín,խոզ
173,Hund::N,hundur,շուն
174,Katze::N,köttur,կատու
175,Bär::N,björn,արջ
176,Eichhörnchen::N,íkorni,սկյուռ
177,Elch::N,elgur,հիւսիսային եղջերու
178,Fuchs::N,refur,աղվես
179,Hase::N,héri,նապաստակ
180,Maus::N,mús,մուկ
181,Wolf::N,úlfur,գայլ
182,Vogel::N,fugl,թռչուն
183,Schwarm::N,sægur,երամ
184,Huhn::N,hæna,հավ
185,Hahn::N,hani,աքաղաղ
186,Gans::N,gæs,սագ
187,Adler::N,örn,արծիվ
188,Ente::N,önd,բադ
189,Eule::N,uggla,բու
190,Kranich::N,trana,կռունկ
191,Krähe::N,kráka,ագռավ
192,Kuckuck::N,gaukur,կուկու
193,Schwan::N,svanur,կարապ
194,Fisch::N,fiskur,ձուկ
195,Barsch::N,aborri,պերկես
196,Hecht::N,gedda,գայլաձուկ
197,Schlange[Tier]::N,naðra,օձ
198,Wurm::N,ormur,որդ
199,Wurm::N,ormur,ճիճու
200,Spinne::N,kónguló,սարդ
201,Ameise::N,maur,միջյուն
202,Laus::N,lús,ոջիլ
203,Mücke::N,mý,մժղուկ
204,Mücke::N,mýfluga,մժղուկ
205,Fliege::N,fluga,ճանճ
206,Schmetterling::N,fiðrildi,թիթեռ
207,Beere::N,ber,հատապտուղ
208,Apfel::N,epli,խնձոր
209,Pilz::N,sveppur,սունկ
210,Zwiebel::N,laukur,սոխ
211,Saat::N,fræ,սերմ
212,Saat::N,útsæði,սերմ
213,Korn::N,korn,հատիկ
214,Heu::N,hey,խոտ
