,Concept_ID,kk,se
0,Auge::N,көз,tjelmie
1,Auge::N,көз,tjalmme
2,Auge::N,көз,čalbmi
3,Auge::N,көз,čalme
4,Auge::N,көз,čâ´lmm
5,Auge::N,көз,ча̄лльм
6,Ohr::N,құлақ,bieljie
7,Ohr::N,құлақ,biellje
8,Ohr::N,құлақ,beallji
9,Ohr::N,құлақ,pelji
10,Ohr::N,құлақ,pe´llj
11,Ohr::N,құлақ,пе̄лльй
12,Nase::N,мұрын,njuenie
13,Nase::N,мұрын,njunnje
14,Nase::N,мұрын,njunni
15,Nase::N,мұрын,njuṇe
16,Nase::N,мұрын,njuu´nn
17,Nase::N,мұрын,нюннҍ
18,Mund::N,ауыз,njaelmie
19,Mund::N,ауыз,njálmme
20,Mund::N,ауыз,njálbmi
21,Mund::N,ауыз,njälmi
22,Mund::N,ауыз,njä´lmm
23,Mund::N,ауыз,ня̄лльм
24,Zahn::N,тіс,baenie
25,Zahn::N,тіс,bádne
26,Zahn::N,тіс,bátni
27,Zahn::N,тіс,pääṇi
28,Zahn::N,тіс,pää´nn
29,Zahn::N,тіс,па̄ннҍ
30,Zunge::N,тіл,njoektjeme
31,Zunge::N,тіл,njuovtjav
32,Zunge::N,тіл,njuovčča
33,Zunge::N,тіл,njuovčâ
34,Zunge::N,тіл,njuhččâm
35,Zunge::N,тіл,нюхчем
36,Lippe::N,ерін,bangseme
37,Lippe::N,ерін,njálmmerabdda
38,Lippe::N,ерін,bavssa
39,Lippe::N,ерін,poovsâ
40,Lippe::N,ерін,põõus
41,Lippe::N,ерін,пэ̄кс
42,Wange::N,ұрт,skiehrie
43,Wange::N,ұрт,nierra
44,Wange::N,ұрт,muohtu
45,Wange::N,ұрт,nieṛâ
46,Wange::N,ұрт,njiõrr
47,Wange::N,ұрт,нӣрр
48,Gesicht::N,бет-аузы,ååredæjja
49,Gesicht::N,бет-аузы,muohto
50,Gesicht::N,бет-аузы,muođut
51,Gesicht::N,бет-аузы,ámadadju
52,Gesicht::N,бет-аузы,muáđuh
53,Gesicht::N,бет-аузы,muâđ
54,Gesicht::N,бет-аузы,ка̄ссв
55,Stirn::N,маңдай,gaalloe
56,Stirn::N,маңдай,gállo
57,Stirn::N,маңдай,gállu
58,Stirn::N,маңдай,kállu
59,Stirn::N,маңдай,käll
60,Stirn::N,маңдай,вуэххьц
61,Haar::N,қыл,voepte
62,Haar::N,қыл,vuoppta
63,Haar::N,қыл,vuokta
64,Haar::N,қыл,vuop'tâ
65,Haar::N,қыл,vuõpt
66,Haar::N,қыл,вӯппт
67,Schnurrbart::N,мұрт,bijjie-skaavtjoe
68,Schnurrbart::N,мұрт,njunjevuolskávttjá
69,Schnurrbart::N,мұрт,seamu
70,Schnurrbart::N,мұрт,siämu
71,Schnurrbart::N,мұрт,ää´bben
72,Schnurrbart::N,мұрт,о̄а̄бпан
73,Bart::N,сақал,skaavtja
74,Bart::N,сақал,skaavtjoe
75,Bart::N,сақал,skávttjá
76,Bart::N,сақал,seamu
77,Bart::N,сақал,siämu
78,Bart::N,сақал,seäm
79,Bart::N,сақал,ся̄м
80,Kinn::N,иек,gaejpie
81,Kinn::N,иек,gájbbe
82,Kinn::N,иек,gáibi
83,Kinn::N,иек,käibi
84,Kinn::N,иек,käi´bb
85,Kinn::N,иек,ка̄ййп
86,Kiefer[Anatomie]::N,жақ,gaejpie
87,Kiefer[Anatomie]::N,жақ,oalol
88,Kiefer[Anatomie]::N,жақ,oaloldákte
89,Kiefer[Anatomie]::N,жақ,gáibi
90,Kiefer[Anatomie]::N,жақ,uá'lultähti
91,Kiefer[Anatomie]::N,жақ,vuâl'lõš
92,Kiefer[Anatomie]::N,жақ,вуаллнешш
93,Kehle::N,алқым,gealoe
94,Kehle::N,алқым,tjåttå
95,Kehle::N,алқым,njiello
96,Kehle::N,алқым,čotta
97,Kehle::N,алқым,čuudâ
98,Kehle::N,алқым,čoodd
99,Kehle::N,алқым,чонт
100,Kehle::N,алқым,кэ̄ҏс
101,Hals::N,мойын,tjeapohke
102,Hals::N,мойын,tjiebet
103,Hals::N,мойын,čeabet
104,Hals::N,мойын,čiäppát
105,Hals::N,мойын,čeäppat
106,Hals::N,мойын,ча̄пэх
107,Genick::N,желке,tjovrese
108,Genick::N,желке,nisske
109,Genick::N,желке,niehkki
110,Genick::N,желке,niski
111,Genick::N,желке,niek'ki
112,Genick::N,желке,nji´šǩǩmaadd
113,Genick::N,желке,нышшькмоант
114,Kopf::N,кәллә,åejjie
115,Kopf::N,кәллә,oajvve
116,Kopf::N,кәллә,oaivi
117,Kopf::N,кәллә,uái'vi
118,Kopf::N,кәллә,vuei´vv
119,Kopf::N,кәллә,вуэййв
120,Rücken::N,арқа,rudtje
121,Rücken::N,арқа,hárddo
122,Rücken::N,арқа,tjavelk
123,Rücken::N,арқа,sealgi
124,Rücken::N,арқа,selgi
125,Rücken::N,арқа,čielgi
126,Rücken::N,арқа,seä´lǧǧ
127,Rücken::N,арқа,се̄лльк
128,Bauch::N,қарын,tjåejjie
129,Bauch::N,қарын,tjoajvve
130,Bauch::N,қарын,čoavji
131,Bauch::N,қарын,čuáv'ji
132,Bauch::N,қарын,čåu´jj
133,Bauch::N,қарын,чо̄ввьй
134,Nabel::N,кіндік,naepie
135,Nabel::N,кіндік,náhpe
136,Nabel::N,кіндік,náhpi
137,Nabel::N,кіндік,nääpi
138,Nabel::N,кіндік,nää´pp
139,Nabel::N,кіндік,на̄бпь
140,Busen::N,омырау,boenge
141,Busen::N,омырау,bållå
142,Busen::N,омырау,čižži
