,Concept_ID,eu,hr
0,Auge::N,begi,oko
1,Ohr::N,belarri,uho
2,Nase::N,sudur,nos
3,Mund::N,aho,usta
4,Zahn::N,hortz,zub
5,Zunge::N,mihi,jezik
6,Lippe::N,ezpain,usna
7,Wange::N,masail,obraz
8,Gesicht::N,aurpegi,lice
9,Stirn::N,bekoki,čelo
10,Haar::N,ile,kosa
11,Haar::N,bilo,kosa
12,Schnurrbart::N,bibote,brkovi
13,Schnurrbart::N,sudurpeko,brkovi
14,Bart::N,bizar,brada
15,Kinn::N,kokots,brada
16,Kinn::N,kokots,podbradak
17,Kiefer[Anatomie]::N,masailezur,čeljust
18,Kehle::N,eztarri,grlo
19,Hals::N,sama,vrat
20,Genick::N,garondo,zatiljak
21,Kopf::N,buru,glava
22,Rücken::N,bizkar,leđa
23,Rücken::N,bizkar,hrbat
24,Bauch::N,sabel,trbuh
25,Nabel::N,zilbor,pupak
26,Busen::N,titi,sisa
27,Busen::N,titi,njedra
28,Busen::N,ugatz,sisa
29,Busen::N,ugatz,njedra
30,Brust::N,bular,prsa
31,Schulter::N,besaburu,rame
32,Schulter::N,besaburu,pleći
33,Arm::N,beso,ruka
34,Ellenbogen::N,ukondo,lakat
35,Hand::N,esku,ruka
36,Handfläche::N,ahur,dlan
37,Finger::N,hatz,prst
38,Fingernagel::N,azazkal,nokat
39,Nagel[Anatomie]::N,azazkal,nokat
40,Zeh::N,behatz,nozni prst
41,Fuß::N,oin,noga
42,Fuß::N,oin,stopalo
43,Ferse::N,orpo,peta
44,Ferse::N,oinburu,peta
45,Knie::N,belaun,koljeno
46,Oberschenkel::N,izter,bedro
47,Bein::N,zango,noga
48,Körper::N,soin,tijelo
49,Haut::N,azal,put
50,Haut::N,azal,koža
51,Blut::N,odol,krv
52,Ader::N,zain,žila
53,Sehne::N,gihar-zain,tetiva
54,Knochen::N,hezur,kost
55,Gehirn::N,garun,
56,Gehirn::N,burmuin,
57,Herz::N,bihotz,srce
58,Magen::N,urdail,stomak
59,Magen::N,urdail,želudac
60,Leber::N,gibel,jetra
61,Atem::N,hats,dah
62,Atem::N,arnasa,dah
63,Hunger::N,gose,glad
64,Träne::N,malko,suza
65,Geschmack::N,dasta,ukus
66,Geruch::N,usain,njuh
67,Geruch::N,usain,miris
68,Schlaf::N,lo,san
69,Traum::N,amets,san
70,Himmel::N,zeru,nebo
71,Sonne::N,eguzki,sunce
72,Mond::N,ilargi,mjesec
73,Stern::N,izar,zvijezda
74,Luft::N,aire,zrak
75,Wind::N,haize,vjetar
76,Welle::N,uhin,val
77,Welle::N,uhin,talas
78,Welle::N,olatu,val
79,Welle::N,olatu,talas
80,Wasser::N,ur,voda
81,Stein::N,harri,kamen
82,Boden::N,lur,tlo
83,Boden::N,lur,zemlja
84,Boden::N,zoru,tlo
85,Boden::N,zoru,zemlja
86,Erde::N,lur,zemlja
87,Staub::N,hauts,prah
88,Staub::N,hauts,prašina
89,Rauch::N,ke,dim
90,Funke::N,zirta,iskra
91,Funke::N,zirta,varnica
92,Funke::N,txinparta,iskra
93,Funke::N,txinparta,varnica
94,Feuer::N,su,vatra
95,Licht::N,argi,svjetlo
96,Schatten::N,itzal,hlad
97,Schatten::N,itzal,sjena
98,Schatten::N,geriza,hlad
99,Schatten::N,geriza,sjena
100,Wetter::N,eguraldi,vrijeme
101,Nebel::N,laino,magla
102,Wolke::N,hodei,oblak
103,Regen::N,euri,kiša
104,Schnee::N,elur,snijeg
105,Eis::N,horma,led
106,Frost::N,izotzaldi,mraz
107,Kälte::N,hotz,studen
108,Kälte::N,hotz,hladnoća
109,Hitze::N,bero,vrućina
110,Raureif::N,antzigar,inje
111,Regenbogen::N,ostadar,duga
112,Regenbogen::N,ortzadar,duga
113,Donner::N,ostots,grom
114,Donner::N,ostots,grmljavina
115,Donner::N,ihurtzuri,grom
116,Donner::N,ihurtzuri,grmljavina
117,Strömung::N,laster,struja
118,Strömung::N,laster,strujanje
119,Tropfen::N,xorta,kap
120,Tropfen::N,xorta,kaplja
121,Schaum::N,bits,pjena
122,Schmutz::N,lohi,nečistoća
123,Schmutz::N,lohi,prljavština
124,Schmutz::N,zikin,nečistoća
125,Schmutz::N,zikin,prljavština
126,See::N,laku,jezero
127,See::N,aintzira,jezero
128,Sumpf::N,zingira,bara
129,Moor::N,zohikaztegi,močvara
130,Wiese::N,larre,livada
131,Wiese::N,belardi,livada
132,Wald::N,baso,šuma
133,Wald::N,oihan,šuma
134,Hügel::N,muino,brijeg
135,Hügel::N,muino,brežuljak
136,Hügel::N,pentoka,brijeg
137,Hügel::N,pentoka,brežuljak
138,Anhöhe::N,garai,uzvišica
139,Anhöhe::N,goragune,uzvišica
140,Berg::N,mendi,brdo
141,Gipfel::N,gain,vrh
142,Gipfel::N,tontor,vrh
143,Höhle::N,kobazulo,pećina
144,Höhle::N,kobazulo,spilja
145,Abhang::N,aldapa,obronak
146,Abhang::N,aldapa,nizbrdica
147,Quelle::N,iturri,izvor
148,Quelle::N,iturri,vrelo
149,Quelle::N,iturbegi,izvor
150,Quelle::N,iturbegi,vrelo
151,Bach::N,lats,potok
152,Bach::N,erreka,potok
153,Fluss::N,ibai,rijeka
154,Fluss::N,uhaitz,rijeka
155,Ufer::N,bazter,obala
156,Küste::N,itsasalde,obala
157,Küste::N,itsasalde,morska obala
158,Festland::N,lehor,kopno
159,Meer::N,itsaso,more
160,Bucht::N,golko,zaliv
161,Insel::N,irla,ada
162,Insel::N,irla,otok
163,Insel::N,uharte,ada
164,Insel::N,uharte,otok
165,Blume::N,lili,cvijet
166,Gras::N,belar,trava
167,Wurzel::N,zuztar,korijen
168,Wurzel::N,sustrai,korijen
169,Baum::N,zuhaitz,drvo
170,Baum::N,zuhaitz,stablo
171,Stamm::N,enbor,deblo
172,Stamm::N,enbor,stablo
173,Rinde::N,azal,kora
174,Ast::N,adar,grana
175,Zweig::N,abar,grana
176,Blatt::N,hosto,list
177,Birke::N,urki,breza
178,Kiefer[Baum]::N,ler,bor
179,Weide[Baum]::N,zume,iva
180,Weide[Baum]::N,zume,vŕba
181,Weide[Baum]::N,sahats,iva
182,Weide[Baum]::N,sahats,vŕba
183,Tanne::N,izei,jela
184,Horn::N,adar,rog
185,Feder::N,luma,pero
186,Feder::N,hegaki,pero
187,Fell::N,ile,koža
188,Fell::N,larru,koža
189,Flügel::N,hego,krilo
190,Klaue::N,atzapar,papak
191,Kralle::N,erpe,pandža
192,Kralle::N,atzapar,pandža
193,Schwanz::N,isats,rep
194,Schwanz::N,buztan,rep
195,Ei::N,arrautza,jaje
196,Nest::N,habia,gnijezdo
197,Bau::N,ohantze,jazbina
198,Tier::N,abere,životinja
199,Tier::N,piztia,životinja
200,Herde::N,saldo,krdo
201,Herde::N,saldo,stado
202,Herde::N,abere talde,krdo
203,Herde::N,abere talde,stado
204,Kuh::N,behi,krava
205,Bulle::N,zezen,bik
206,Pferd::N,zaldi,konj
207,Schaf::N,ardi,ovca
208,Schwein::N,urde,svinja
209,Schwein::N,txerri,svinja
210,Hund::N,txakur,pas
211,Hund::N,txakur,pseto
212,Katze::N,katu,mačka
213,Bär::N,hartz,medvjed
214,Eichhörnchen::N,urtxintxa,vjeverica
215,Elch::N,altze,los
216,Fuchs::N,azeri,lisica
217,Hase::N,erbi,zec
218,Maus::N,sagu,miš
219,Wolf::N,otso,vuk
220,Wolf::N,otso,kurjak
221,Vogel::N,txori,ptica
222,Vogel::N,hegazti,ptica
223,Schwarm::N,aldra,roj
224,Schwarm::N,aldra,jato
225,Huhn::N,oilo,kokoš
226,Hahn::N,oilar,kokot
227,Hahn::N,oilar,pijevac
228,Gans::N,antzara,guska
229,Adler::N,arrano,orao
230,Ente::N,ahate,patka
231,Eule::N,hontza,sova
232,Kranich::N,kurrilo,ždral
233,Krähe::N,bele,vrana
234,Kuckuck::N,kuku,kukavica
235,Schwan::N,beltxarga,labud
236,Fisch::N,arrain,riba
237,Barsch::N,perka,grgeč
238,Hecht::N,lutxo,štuka
239,Schlange[Tier]::N,suge,guja
240,Schlange[Tier]::N,suge,zmija
241,Wurm::N,har,crv
242,Spinne::N,armiarma,pauk
243,Ameise::N,inurri,mrav
244,Laus::N,zorri,uš
245,Mücke::N,eltxo,komarac
246,Fliege::N,euli,muha
247,Schmetterling::N,pinpirin,leptir
248,Schmetterling::N,tximeleta,leptir
249,Beere::N,baia,boba
250,Beere::N,baia,bobica
251,Apfel::N,sagar,jabuka
252,Pilz::N,onddo,pečurka
253,Pilz::N,perretxiko,pečurka
254,Zwiebel::N,tipula,luk
255,Zwiebel::N,tipula,kapula
256,Saat::N,haziak,sjemenje
257,Korn::N,ale,zrno
258,Korn::N,pikor,zrno
259,Heu::N,belar ondu,sijeno
260,Schale::N,azal,kora
261,Schale::N,azal,ljuska
262,Grube::N,hobi,jama
263,Falle::N,harrapagailu,zamka
264,Falle::N,harrapagailu,klopka
265,Schlinge::N,bilur,uzao
266,Schlinge::N,bilur,petlja
267,Schlinge::N,xedera,uzao
268,Schlinge::N,xedera,petlja
269,Spur::N,lorratz,trag
270,Spur::N,lorratz,slijed
271,Asche::N,errauts,pepeo
272,Dreck::N,satsukeria,blato
273,Eisen::N,burdina,željezo
274,Gold::N,urre,zlato
275,Gold::N,urregorri,zlato
276,Silber::N,zilar,srebro
277,Silber::N,urrezuri,srebro
278,Kohle::N,ikatz,ugalj
279,Kohle::N,ikatz,ugljen
280,Glas::N,beira,staklo
281,Lehm::N,buztin,glina
