,Concept_ID,et,eu
0,Auge::N,silm,begi
1,Ohr::N,kõrv,belarri
2,Nase::N,nina,sudur
3,Mund::N,suu,aho
4,Zahn::N,hammas,hortz
5,Zunge::N,keel,mihi
6,Lippe::N,huul,ezpain
7,Wange::N,põsk,masail
8,Gesicht::N,nägu,aurpegi
9,Stirn::N,otsmik,bekoki
10,Haar::N,juus,ile
11,Haar::N,juus,bilo
12,Schnurrbart::N,vurrud,bibote
13,Schnurrbart::N,vurrud,sudurpeko
14,Schnurrbart::N,vuntsid,bibote
15,Schnurrbart::N,vuntsid,sudurpeko
16,Bart::N,habe,bizar
17,Kinn::N,lõug,kokots
18,Kiefer[Anatomie]::N,lõualuu,masailezur
19,Kehle::N,kõri,eztarri
20,Hals::N,kael,sama
21,Genick::N,kukal,garondo
22,Kopf::N,pea,buru
23,Rücken::N,selg,bizkar
24,Bauch::N,kõht,sabel
25,Nabel::N,naba,zilbor
26,Busen::N,rind,titi
27,Busen::N,rind,ugatz
28,Brust::N,rind,bular
29,Schulter::N,õlg,besaburu
30,Arm::N,käsivars,beso
31,Ellenbogen::N,küünarnukk,ukondo
32,Hand::N,käsi,esku
33,Handfläche::N,pihk,ahur
34,Finger::N,sõrm,hatz
35,Fingernagel::N,küüs,azazkal
36,Nagel[Anatomie]::N,küüs,azazkal
37,Zeh::N,varvas,behatz
38,Fuß::N,jalg,oin
39,Ferse::N,kand,orpo
40,Ferse::N,kand,oinburu
41,Knie::N,põlv,belaun
42,Oberschenkel::N,reis,izter
43,Bein::N,jalg,zango
44,Körper::N,ihu,soin
45,Körper::N,keha,soin
46,Haut::N,nahk,azal
47,Blut::N,veri,odol
48,Ader::N,veen,zain
49,Sehne::N,kõõlus,gihar-zain
50,Knochen::N,luu,hezur
51,Gehirn::N,aju,garun
52,Gehirn::N,aju,burmuin
53,Herz::N,süda,bihotz
54,Magen::N,magu,urdail
55,Leber::N,maks,gibel
56,Atem::N,hingeõhk,hats
57,Atem::N,hingeõhk,arnasa
58,Atem::N,hingamine,hats
59,Atem::N,hingamine,arnasa
60,Hunger::N,nälg,gose
61,Träne::N,pisar,malko
62,Geschmack::N,maitse,dasta
63,Geruch::N,lõhn,usain
64,Schlaf::N,uni,lo
65,Traum::N,unenägu,amets
66,Himmel::N,taevas,zeru
67,Sonne::N,päike,eguzki
68,Mond::N,kuu,ilargi
69,Stern::N,täht,izar
70,Luft::N,õhk,aire
71,Wind::N,tuul,haize
72,Welle::N,laine,uhin
73,Welle::N,laine,olatu
74,Wasser::N,vesi,ur
75,Stein::N,kivi,harri
76,Boden::N,maa,lur
77,Boden::N,maa,zoru
78,Boden::N,pinnas,lur
79,Boden::N,pinnas,zoru
80,Erde::N,maa,lur
81,Staub::N,põrm,hauts
82,Rauch::N,suits,ke
83,Funke::N,säde,zirta
84,Funke::N,säde,txinparta
85,Feuer::N,tuli,su
86,Licht::N,valgus,argi
87,Schatten::N,vari,itzal
88,Schatten::N,vari,geriza
89,Wetter::N,ilm,eguraldi
90,Nebel::N,udu,laino
91,Wolke::N,pilv,hodei
92,Regen::N,sadu,euri
93,Schnee::N,lumi,elur
94,Eis::N,jää,horma
95,Frost::N,pakane,izotzaldi
96,Kälte::N,külm,hotz
97,Kälte::N,külmus,hotz
98,Hitze::N,kuumus,bero
99,Hitze::N,palavus,bero
100,Raureif::N,härmatis,antzigar
101,Regenbogen::N,vikerkaar,ostadar
102,Regenbogen::N,vikerkaar,ortzadar
103,Donner::N,kõu,ostots
104,Donner::N,kõu,ihurtzuri
105,Donner::N,müristamine,ostots
106,Donner::N,müristamine,ihurtzuri
107,Strömung::N,voolus,laster
108,Strömung::N,jõevool,laster
109,Tropfen::N,tilk,xorta
110,Schaum::N,vaht,bits
111,Schmutz::N,pori,lohi
112,Schmutz::N,pori,zikin
113,Schmutz::N,mustus,lohi
114,Schmutz::N,mustus,zikin
115,See::N,järv,laku
116,See::N,järv,aintzira
117,Sumpf::N,soo,zingira
118,Moor::N,raba,zohikaztegi
119,Wiese::N,aas,larre
120,Wiese::N,aas,belardi
121,Wiese::N,nurm,larre
122,Wiese::N,nurm,belardi
123,Wald::N,mets,baso
124,Wald::N,mets,oihan
125,Hügel::N,küngas,muino
126,Hügel::N,küngas,pentoka
127,Anhöhe::N,küngas,garai
128,Anhöhe::N,küngas,goragune
129,Berg::N,mägi,mendi
130,Gipfel::N,mäetipp,gain
131,Gipfel::N,mäetipp,tontor
132,Höhle::N,koobas,kobazulo
133,Abhang::N,nõlvak,aldapa
134,Quelle::N,allikas,iturri
135,Quelle::N,allikas,iturbegi
136,Bach::N,oja,lats
137,Bach::N,oja,erreka
138,Fluss::N,jõgi,ibai
139,Fluss::N,jõgi,uhaitz
140,Ufer::N,kallas,bazter
141,Küste::N,rannik,itsasalde
142,Festland::N,mander,lehor
143,Festland::N,maismaa,lehor
144,Meer::N,meri,itsaso
145,Bucht::N,laht,golko
146,Insel::N,saar,irla
147,Insel::N,saar,uharte
148,Blume::N,lill,lili
149,Gras::N,rohi,belar
150,Wurzel::N,juur,zuztar
151,Wurzel::N,juur,sustrai
152,Baum::N,puu,zuhaitz
153,Stamm::N,tüvi,enbor
154,Rinde::N,koor,azal
155,Ast::N,oks,adar
156,Zweig::N,oks,abar
157,Blatt::N,leht,hosto
158,Birke::N,kask,urki
159,Kiefer[Baum]::N,mänd,ler
160,Weide[Baum]::N,paju,zume
161,Weide[Baum]::N,paju,sahats
162,Tanne::N,nulg,izei
163,Horn::N,sarv,adar
164,Feder::N,sulg,luma
165,Feder::N,sulg,hegaki
166,Fell::N,karvkate,ile
167,Fell::N,karvkate,larru
168,Fell::N,karusnahk,ile
169,Fell::N,karusnahk,larru
170,Flügel::N,tiib,hego
171,Flügel::N,tiivik,hego
172,Klaue::N,küüs,atzapar
173,Kralle::N,küünis,erpe
174,Kralle::N,küünis,atzapar
175,Schwanz::N,saba,isats
176,Schwanz::N,saba,buztan
177,Ei::N,muna,arrautza
178,Nest::N,pesa,habia
179,Bau::N,urg,ohantze
180,Tier::N,loom,abere
181,Tier::N,loom,piztia
182,Herde::N,kari,saldo
183,Herde::N,kari,abere talde
184,Kuh::N,lehm,behi
185,Bulle::N,pull,zezen
186,Pferd::N,hobune,zaldi
187,Schaf::N,lammas,ardi
188,Schwein::N,siga,urde
189,Schwein::N,siga,txerri
190,Hund::N,koer,txakur
191,Katze::N,kass,katu
192,Bär::N,karu,hartz
193,Eichhörnchen::N,orav,urtxintxa
194,Elch::N,põder,altze
195,Fuchs::N,rebane,azeri
196,Hase::N,jänes,erbi
197,Maus::N,hiir,sagu
198,Wolf::N,hunt,otso
199,Vogel::N,lind,txori
200,Vogel::N,lind,hegazti
201,Schwarm::N,parv,aldra
202,Huhn::N,kana,oilo
203,Hahn::N,kukk,oilar
204,Gans::N,hani,antzara
205,Adler::N,kotkas,arrano
206,Ente::N,part,ahate
207,Eule::N,kakk,hontza
208,Eule::N,öökull,hontza
209,Kranich::N,kurg,kurrilo
210,Krähe::N,vares,bele
211,Kuckuck::N,kägu,kuku
212,Schwan::N,luik,beltxarga
213,Fisch::N,kala,arrain
214,Barsch::N,ahven,perka
215,Hecht::N,haug,lutxo
216,Schlange[Tier]::N,uss,suge
217,Wurm::N,uss,har
218,Wurm::N,vagel,har
219,Spinne::N,ämblik,armiarma
220,Ameise::N,sipelgas,inurri
221,Laus::N,täi,zorri
222,Mücke::N,sääsk,eltxo
223,Fliege::N,kärbes,euli
224,Schmetterling::N,liblikas,pinpirin
225,Schmetterling::N,liblikas,tximeleta
226,Beere::N,mari,baia
227,Apfel::N,õun,sagar
228,Pilz::N,seen,onddo
229,Pilz::N,seen,perretxiko
230,Zwiebel::N,sibul,tipula
231,Saat::N,seeme,haziak
232,Korn::N,iva,ale
233,Korn::N,iva,pikor
234,Korn::N,tera,ale
235,Korn::N,tera,pikor
236,Heu::N,hein,belar ondu
237,Schale::N,koor,azal
238,Grube::N,kaevand,hobi
239,Falle::N,lõks,harrapagailu
240,Falle::N,püünis,harrapagailu
241,Schlinge::N,aas,bilur
242,Schlinge::N,aas,xedera
243,Spur::N,jälg,lorratz
244,Asche::N,tuhk,errauts
245,Dreck::N,saast,satsukeria
246,Dreck::N,mustus,satsukeria
247,Eisen::N,raud,burdina
248,Gold::N,kuld,urre
249,Gold::N,kuld,urregorri
250,Silber::N,hõbe,zilar
251,Silber::N,hõbe,urrezuri
252,Kohle::N,süsi,ikatz
253,Glas::N,klaas,beira
254,Lehm::N,savi,buztin
255,Sand::N,liiv,harea
256,Sand::N,liiv,hondar
257,Mensch::N,inimene,gizaki
258,Mann::N,mees,gizon
259,Frau::N,naine,andere
260,Frau::N,naine,emakume
261,Kind::N,laps,haur
262,Junge::N,poiss,mutil
263,Mädchen::N,tüdruk,neska
264,Familie::N,perekond,sendi
265,Familie::N,perekond,familia
266,Großvater::N,vanaisa,aitona
267,Großvater::N,vanaisa,aitatxi
268,Großmutter::N,vanaema,amona
269,Großmutter::N,vanaema,amatxi
270,Eltern::N,vanemad,gurasoak
271,Vater::N,isa,aita
272,Mutter::N,ema,ama
273,Sohn::N,poeg,seme
274,Tochter::N,tütar,alaba
275,Bruder::N,vend,neba
276,Bruder::N,vend,anaia
277,Schwester::N,õde,ahizpa
278,Onkel::N,onu,osaba
279,Tante::N,tädi,izeba
280,Ehemann::N,mees,senar
281,Ehemann::N,abikaasa,senar
282,Ehefrau::N,naine,emazte
283,Ehefrau::N,abikaasa,emazte
284,Freude::N,rõõm,poz
285,Freude::N,rõõm,pozkari
286,Gelächter::N,naer,barre
287,Gelächter::N,naer,karkara
288,Glück::N,õnn,zori
289,Kummer::N,mure,xangrin
290,Kummer::N,mure,atsekabe
291,Kummer::N,kurbus,xangrin
292,Kummer::N,kurbus,atsekabe
293,Wunsch::N,soov,nahi
294,Wunsch::N,soov,nahikunde
295,Lust::N,himu,gogo
296,Geist::N,vaim,gogo
297,Gedanke::N,mõte,gogoeta
298,Gedächtnis::N,mälu,oroimen
299,Gedächtnis::N,mälu,gogoramen
300,Verstand::N,aru,adimen
301,Verstand::N,aru,ulermen
302,Verstand::N,mõistus,adimen
303,Verstand::N,mõistus,ulermen
304,Sinn::N,tähendus,zentzu
305,Grund::N,põhjus,zergati
306,Wahrheit::N,tõde,egia
307,Gespräch::N,kõne,hizketa
308,Gespräch::N,kõne,elkarrizketa
309,Gespräch::N,vestlus,hizketa
310,Gespräch::N,vestlus,elkarrizketa
311,Märchen::N,muinasjutt,ipuin
312,Erzählung::N,jutustus,edesti
313,Erzählung::N,jutustus,kontakizun
314,Nachricht::N,teade,albiste
315,Neuigkeit::N,uudis,berri
316,Name::N,nimi,izen
317,Rätsel::N,mõistatus,asmakizun
318,Rede::N,kõne,hitzaldi
319,Rede::N,kõne,mintzaldi
320,Sprache::N,keel,hizkuntza
321,Stimme::N,hääl,ahots
322,Wort::N,sõna,hitz
323,Zeichen::N,märk,agerbide
324,Zeichen::N,märk,agergarri
325,Ruf::N,hüüe,dei
326,Lärm::N,müra,zarata
327,Lärm::N,müra,harrabots
328,Laut::N,hääl,hots
329,Ton::N,toon,tonu
330,Ton::N,toon,soinu
331,Lied::N,laul,abesti
332,Ruhe::N,rahu,nasaitasun
333,Ruhe::N,vaikus,nasaitasun
334,Leute::N,inimesed,jende
335,Volk::N,rahvas,herri
336,Volk::N,rahvas,populu
337,Arbeit::N,töö,lan
338,Gast::N,külaline,arrotz
339,Gast::N,külaline,apopilo
340,Geschenk::N,kingitus,opari
341,Spiel::N,mäng,jolas
342,Gesellschaft::N,selts,gizarte
343,Hilfe::N,abi,helpide
344,Hilfe::N,abi,laguntza
345,Freund::N,sõber,lagun
346,Kamerad::N,sõber,adiskide
347,Kamerad::N,sõber,lagunkide
348,Angelegenheit::N,asi,afera
349,Anzahl::N,arv,kopuru
350,Anzahl::N,hulk,kopuru
351,Art::N,liik,mota
352,Stück::N,tükk,puska
353,Teil::N,osa,atal
354,Hälfte::N,pool,erdi
355,Kreis::N,ring,biribilki
356,Kreuz::N,rist,gurutze
357,Linie::N,joon,linea
358,Strich::N,joon,marra
359,Abstand::N,vahe,tarte
360,Entfernung::N,kaugus,urrunera
361,Entfernung::N,vahemaa,urrunera
362,Gegend::N,ümbrus,alderdi
363,Gegend::N,ümbrus,eskualde
364,Platz::N,ruum,leku
365,Ort::N,paik,toki
366,Seite::N,pool,albo
367,Mitte::N,keskpaik,erdi
368,Gegenstand::N,ese,gauzaki
369,Sache::N,ese,gauza
370,Rand::N,äär,ertz
371,Rand::N,serv,ertz
372,Kante::N,kant,ertz
373,Ecke::N,nurk,kantoi
374,Spitze::N,teravik,punta
375,Ende::N,ots,buru
376,Ende::N,ots,mutur
377,Ende::N,jupp,buru
378,Ende::N,jupp,mutur
379,Loch::N,auk,zulo
380,Winkel::N,nurk,zoko
381,Winkel::N,nurk,bazter
382,Muster::N,muster,eredu
383,Muster::N,muster,marrazki
384,Größe::N,suurus,kaizu
385,Größe::N,suurus,tamaina
386,Länge::N,pikkus,luzera
387,Höhe::N,kõrgus,goiera
388,Höhe::N,kõrgus,garaiera
389,Gewicht::N,kaal,hazta
390,Gewicht::N,raskus,hazta
391,Menge::N,arv,kopuru
392,Menge::N,hulk,kopuru
393,Haufen::N,hunnik,pila
394,Haufen::N,hunnik,mendoi
395,Reihe::N,rivi,ilara
396,Reihe::N,rivi,errenkada
397,Boot::N,paat,potin
398,Boot::N,paat,txalupa
399,Ruder::N,aer,arraun
400,Schlitten::N,saan,lera
401,Schlitten::N,saan,narra
402,Ski::N,suusk,eski
403,Lagerfeuer::N,lõke,su
404,Last::N,koorem,zama
405,Last::N,koorem,karga
406,Gang::N,käik,ibilera
407,Schritt::N,samm,pauso
408,Schritt::N,samm,urrats
409,Norden::N,põhi,ipar
410,Norden::N,põhi,iparralde
411,Süden::N,lõuna,hego
412,Süden::N,lõuna,hegoalde
413,Westen::N,lääs,sartalde
414,Westen::N,lääs,mendebalde
415,Osten::N,ida,ekialde
416,Osten::N,ida,sortalde
417,Holz::N,puu,zur
418,Brett::N,saelaud,ohol
419,Platte::N,plaat,lauza
420,Stütze::N,tugi,irozgarri
421,Stütze::N,tugi,bermagailu
422,Stange::N,latt,haga
423,Stange::N,teivas,haga
424,Stock::N,kepp,makila
425,Stab::N,varras,makila
426,Rohr::N,toru,hodi
427,Haus::N,maja,etxe
428,Heim::N,kodu,etxe
429,Heim::N,kodu,etxaleku
430,Ofen::N,ahi,berogailu
431,Fußboden::N,põrand,zoru
432,Tisch::N,laud,mahai
433,Stuhl::N,tool,aulki
434,Wiege::N,häll,kuma
435,Wiege::N,häll,sehaska
436,Wiege::N,kätki,kuma
437,Wiege::N,kätki,sehaska
438,Bett::N,voodi,ohe
439,Bett::N,voodi,ohatze
440,Regal::N,riiul,apalategi
441,Kiste::N,kast,kutxa
442,Fenster::N,aken,leiho
443,Tür::N,uks,ate
444,Tor::N,värav,atari
445,Zaun::N,aed,hesi
446,Zaun::N,tara,hesi
447,Dach::N,katus,teilatu
448,Leiter::N,redel,zurubi
449,Besen::N,luud,erratz
450,Spaten::N,labidas,burdinpala
451,Schaufel::N,kühvel,pala
452,Gabel::N,kahvel,sardexka
453,Löffel::N,lusikas,koilara
454,Messer::N,nuga,aizto
455,Nagel::N,nael,iltze
456,Netz::N,võrk,sare
457,Haken::N,haak,mako
458,Haken::N,konks,mako
459,Griff::N,sang,eskutoki
460,Griff::N,käepide,eskutoki
461,Schloss::N,lukk,sarraila
462,Bild::N,pilt,irudi
463,Figur::N,kuju,figura
464,Figur::N,kujund,figura
465,Puppe::N,nukk,panpina
466,Puppe::N,nukk,andrakila
467,Beutel::N,paun,zorro
468,Bündel::N,kimp,azao
469,Bündel::N,kimp,espal
470,Tasche::N,kott,poltsa
471,Eimer::N,pang,treska
472,Eimer::N,ämber,treska
473,Deckel::N,kaas,tapa
474,Deckel::N,kaas,estalki
475,Geschirr::N,nõud,baxera
476,Geschirr::N,nõud,ontziteria
477,Sack::N,kott,zaku
478,Tasse::N,tass,kikara
479,Topf::N,pada,ontzi
480,Topf::N,pada,lapiko
481,Kessel::N,pada,pazia
482,Essen::N,söök,janaldi
483,Nahrung::N,toit,jan
484,Speise::N,roog,jaki
485,Fleisch::N,liha,okela
486,Fleisch::N,liha,haragi
487,Getreide::N,teravili,labore
488,Brei::N,puder,ahi
489,Brei::N,puder,pure
490,Brot::N,sai,ogi
491,Brot::N,leib,ogi
492,Scheibe::N,viil,xerra
493,Scheibe::N,viil,pirripita
494,Scheibe::N,viilukas,xerra
495,Scheibe::N,viilukas,pirripita
496,Fett::N,rasv,urin
497,Fett::N,rasv,koipe
498,Butter::N,või,gurin
499,Öl::N,õli,olio
500,Salz::N,sool,gatz
501,Suppe::N,supp,zopa
502,Suppe::N,supp,salda
503,Honig::N,mesi,ezti
504,Milch::N,piim,esne
505,Tee::N,tee,te
506,Leder::N,nahk,larru
507,Wolle::N,vill,artile
508,Stoff::N,kangas,ehun
509,Nadel::N,nõel,orratz
510,Nadel::N,nõel,jostorratz
511,Faden::N,niit,hari
512,Knopf::N,nööp,botoi
513,Knoten::N,sõlm,korapilo
514,Farbe::N,värv,pintura
515,Kleidung::N,riided,arropa
516,Kleidung::N,riided,jantziak
517,Kleidung::N,riietus,arropa
518,Kleidung::N,riietus,jantziak
519,Hemd::N,särk,atorra
520,Hemd::N,särk,alkandora
521,Kragen::N,krae,idun
