,Concept_ID,hr,la
0,Auge::N,oko,oculus
1,Ohr::N,uho,auris
2,Nase::N,nos,nasus
3,Mund::N,usta,os
4,Zahn::N,zub,dens
5,Zunge::N,jezik,lingua
6,Lippe::N,usna,labrum
7,Wange::N,obraz,gena
8,Gesicht::N,lice,vultus
9,Stirn::N,čelo,frons
10,Haar::N,kosa,capillus
11,Schnurrbart::N,brkovi,barba labri superioris
12,Bart::N,brada,barba
13,Kinn::N,brada,mentum
14,Kinn::N,podbradak,mentum
15,Kiefer[Anatomie]::N,čeljust,mala
16,Kehle::N,grlo,iugulums
17,Hals::N,vrat,collum
18,Genick::N,zatiljak,cervices
19,Kopf::N,glava,caput
20,Rücken::N,leđa,tergum
21,Rücken::N,hrbat,tergum
22,Bauch::N,trbuh,venter
23,Nabel::N,pupak,umbilicus
24,Busen::N,sisa,sinus
25,Busen::N,njedra,sinus
26,Brust::N,prsa,pectus
27,Schulter::N,rame,umerus
28,Schulter::N,pleći,umerus
29,Arm::N,ruka,bracchium
30,Ellenbogen::N,lakat,cubitum
31,Hand::N,ruka,manus
32,Handfläche::N,dlan,palma
33,Finger::N,prst,digitus
34,Fingernagel::N,nokat,unguiculus
35,Nagel[Anatomie]::N,nokat,unguis
36,Zeh::N,nozni prst,digitus
37,Fuß::N,noga,pes
38,Fuß::N,stopalo,pes
39,Ferse::N,peta,calx
40,Knie::N,koljeno,genu
41,Oberschenkel::N,bedro,femur
42,Bein::N,noga,crus
43,Körper::N,tijelo,corpus
44,Haut::N,put,cutis
45,Haut::N,put,pellis
46,Haut::N,koža,cutis
47,Haut::N,koža,pellis
48,Blut::N,krv,sanguis
49,Ader::N,žila,vena
50,Sehne::N,tetiva,nervus
51,Knochen::N,kost,os
52,Herz::N,srce,cor
53,Herz::N,srce,animus
54,Magen::N,stomak,stomachus
55,Magen::N,želudac,stomachus
56,Leber::N,jetra,iecur
57,Atem::N,dah,spiritus
58,Hunger::N,glad,fames
59,Träne::N,suza,lacrima
60,Geschmack::N,ukus,sapor
61,Geschmack::N,ukus,gustus
62,Geruch::N,njuh,odor
63,Geruch::N,miris,odor
64,Schlaf::N,san,somnus
65,Traum::N,san,somnium
66,Himmel::N,nebo,caelum
67,Sonne::N,sunce,sol
68,Mond::N,mjesec,luna
69,Stern::N,zvijezda,sidus
70,Stern::N,zvijezda,stella
71,Luft::N,zrak,aer
72,Wind::N,vjetar,ventus
73,Welle::N,val,unda
74,Welle::N,talas,unda
75,Wasser::N,voda,aqua
76,Stein::N,kamen,lapis
77,Boden::N,tlo,solum
78,Boden::N,zemlja,solum
79,Erde::N,zemlja,terra
80,Staub::N,prah,pulvis
81,Staub::N,prašina,pulvis
82,Rauch::N,dim,fumus
83,Funke::N,iskra,scintilla
84,Funke::N,varnica,scintilla
85,Feuer::N,vatra,ignis
86,Licht::N,svjetlo,lux
87,Licht::N,svjetlo,lumen
88,Schatten::N,hlad,umbra
89,Schatten::N,sjena,umbra
90,Wetter::N,vrijeme,caelum
91,Wetter::N,vrijeme,tempestas
92,Nebel::N,magla,nebula
93,Wolke::N,oblak,nubes
94,Regen::N,kiša,imber
95,Regen::N,kiša,pluvia
96,Schnee::N,snijeg,nix
97,Eis::N,led,glacies
98,Frost::N,mraz,gelu
99,Kälte::N,studen,frigus
100,Kälte::N,hladnoća,frigus
101,Hitze::N,vrućina,calor
102,Hitze::N,vrućina,aestus
103,Raureif::N,inje,pruina
104,Regenbogen::N,duga,arcus
105,Donner::N,grom,tonitrus
106,Donner::N,grmljavina,tonitrus
107,Strömung::N,struja,fluctus
108,Strömung::N,strujanje,fluctus
109,Tropfen::N,kap,gutta
110,Tropfen::N,kaplja,gutta
111,Schaum::N,pjena,spuma
112,Schmutz::N,nečistoća,sordes
113,Schmutz::N,nečistoća,squalor
114,Schmutz::N,prljavština,sordes
115,Schmutz::N,prljavština,squalor
116,See::N,jezero,lacus
117,Sumpf::N,bara,palus
118,Moor::N,močvara,palus
119,Wiese::N,livada,pratum
120,Wald::N,šuma,silva
121,Hügel::N,brijeg,collis
122,Hügel::N,brežuljak,collis
123,Anhöhe::N,uzvišica,specula
124,Berg::N,brdo,mons
125,Gipfel::N,vrh,vertex
126,Höhle::N,pećina,caverna
127,Höhle::N,pećina,spelunca
128,Höhle::N,spilja,caverna
129,Höhle::N,spilja,spelunca
130,Abhang::N,obronak,declivum
131,Abhang::N,nizbrdica,declivum
132,Quelle::N,izvor,fons
133,Quelle::N,vrelo,fons
134,Bach::N,potok,rivus
135,Fluss::N,rijeka,flumen
136,Ufer::N,obala,ripa
137,Küste::N,obala,litus
138,Küste::N,morska obala,litus
139,Festland::N,kopno,continens
140,Meer::N,more,mare
141,Bucht::N,zaliv,sinus
142,Insel::N,ada,insula
143,Insel::N,otok,insula
144,Blume::N,cvijet,flos
145,Gras::N,trava,herba
146,Gras::N,trava,gramen
147,Wurzel::N,korijen,radix
148,Baum::N,drvo,arbor
149,Baum::N,stablo,arbor
150,Stamm::N,deblo,truncus
151,Stamm::N,stablo,truncus
152,Rinde::N,kora,cortex
153,Ast::N,grana,ramus
154,Zweig::N,grana,ramus
155,Blatt::N,list,folium
156,Birke::N,breza,betulla
157,Kiefer[Baum]::N,bor,pinus
158,Weide[Baum]::N,iva,salix
159,Weide[Baum]::N,vŕba,salix
160,Tanne::N,jela,abies
161,Horn::N,rog,cornu
162,Feder::N,pero,penna
163,Fell::N,koža,pellis
164,Flügel::N,krilo,ala
165,Klaue::N,papak,unguis
166,Kralle::N,pandža,unguis
167,Schwanz::N,rep,cauda
168,Ei::N,jaje,ovum
169,Nest::N,gnijezdo,nidus
170,Bau::N,jazbina,cavum
171,Bau::N,jazbina,latibulum
172,Tier::N,životinja,bestia
173,Herde::N,krdo,grex
174,Herde::N,stado,grex
175,Kuh::N,krava,vacca
176,Bulle::N,bik,taurus
