,Concept_ID,hi,xal
0,Auge::N,आँख,нүдн
1,Auge::N,चक्षु,нүдн
2,Ohr::N,कान,чикн
3,Ohr::N,कर्ण,чикн
4,Nase::N,नाक,хамр
5,Nase::N,नासा,хамр
6,Mund::N,मुख,амн
7,Mund::N,मुँह,амн
8,Zahn::N,दंत,шүдн
9,Zahn::N,दाँत,шүдн
10,Zunge::N,जीभ,келн
11,Zunge::N,ज़बान,келн
12,Zunge::N,जिह्वा,келн
13,Lippe::N,ओंठ,урл
14,Lippe::N,होंठ,урл
15,Wange::N,गाल,халх
16,Wange::N,कपोल,халх
17,Gesicht::N,मुँह,нүр
18,Gesicht::N,चेहरा,нүр
19,Stirn::N,माथा,маңна
20,Stirn::N,मस्तक,маңна
21,Haar::N,बाल,үсн
22,Schnurrbart::N,मूँछें,сахл
23,Bart::N,दाढ़ी,сахл
24,Bart::N,दाढ़ी,өргнә сахл
25,Kinn::N,चिबुक,өргн
26,Kiefer[Anatomie]::N,जबड़ा,өргн
27,Kehle::N,गला,хол
28,Hals::N,गला,күзүн
29,Hals::N,गरदन,күзүн
30,Genick::N,गरदन,гиҗг
31,Genick::N,ग्रीवा,гиҗг
32,Kopf::N,सिर,толһа
33,Kopf::N,शीर्ष,толһа
34,Rücken::N,पीठ,нурһн
35,Bauch::N,उदर,гесн
36,Nabel::N,नाभि,киисн
37,Nabel::N,ढोंढी,киисн
38,Busen::N,कुच,көкн
39,Busen::N,स्तन,көкн
40,Brust::N,वक्ष,чееҗ
41,Schulter::N,कंधा,ээм
42,Schulter::N,स्कंध,ээм
43,Arm::N,बाँह,һар
44,Arm::N,बाज़ू,һар
45,Ellenbogen::N,कुहनी,тоха
46,Hand::N,हाथ,баһлцг
47,Hand::N,हस्त,баһлцг
48,Handfläche::N,हथेली,альхн
49,Finger::N,उँगली,хурһн
50,Finger::N,उँगली,һарин хурһн
51,Finger::N,अँगुली,хурһн
52,Finger::N,अँगुली,һарин хурһн
53,Fingernagel::N,नख,хумсн
54,Fingernagel::N,नाख़ून,хумсн
55,Nagel[Anatomie]::N,नख,хумсн
56,Nagel[Anatomie]::N,नाख़ून,хумсн
57,Zeh::N,उँगली,хурһн
58,Zeh::N,उँगली,көлин хурһн
59,Zeh::N,पाँव की उँगली,хурһн
60,Zeh::N,पाँव की उँगली,көлин хурһн
61,Fuß::N,चरण,тавг
62,Fuß::N,पाँव,тавг
63,Ferse::N,एड़ी,өскә
64,Knie::N,जानु,өвдг
65,Knie::N,घुटना,өвдг
66,Oberschenkel::N,उरु,һуй
67,Bein::N,टाँग,көл
68,Körper::N,तन,махмуд
69,Körper::N,देह,махмуд
70,Körper::N,शरीर,махмуд
71,Haut::N,चर्म,арсн
72,Haut::N,त्वचा,арсн
73,Blut::N,लहू,цусн
74,Blut::N,ख़ून,цусн
75,Ader::N,रग,судцн
76,Ader::N,शिरा,судцн
77,Sehne::N,कंडरा,шүрүсн
78,Sehne::N,स्नायु,шүрүсн
79,Knochen::N,अस्थि,ясн
80,Gehirn::N,दिमाग़,экн
81,Gehirn::N,मस्तिष्क,экн
82,Herz::N,दिल,зүркн
83,Herz::N,हृदय,зүркн
84,Magen::N,मेदा,гесн
85,Magen::N,अमाशय,гесн
86,Leber::N,जिगर,элкн
87,Leber::N,यकृत्,элкн
88,Atem::N,दम,әмсхл
89,Atem::N,साँस,әмсхл
90,Atem::N,श्वास,әмсхл
91,Hunger::N,भूख,харһнлһн
92,Hunger::N,क्षुधा,харһнлһн
93,Träne::N,आँसू,нульмсн
