,Concept_ID,kn,cv
849,rauchen::V,ಹೊಗೆಬಿಡು,мӑкӑрлан
850,rauchen::V,ಹೊಗೆಬಿಡು,тӗтӗм кӑлар
851,regnen::V,ಸುರಿ,ҫумӑр ҫӑвать
852,gefrieren::V,ಹೆಪ್ಪುಗಟ್ಟು,шӑн
853,tauen::V,ಬೆಚ್ಚಗಾಗು,ирӗл
854,schmelzen::V,ಕರಗು,ирӗл
855,trocknen::V,ಒಣಗು,тип
856,sieden::V,ಕುದಿ,вӗре
857,faulen::V,ಕೊಳೆ,ҫӗр
858,verfaulen::V,ನಶಿಸು,ҫӗр
859,reißen::V,ಒಡೆ,ҫурӑл
860,versinken::V,ಮುಳುಗು,пут
861,vergehen::V,ಸಾಗು,ирт
862,erscheinen::V,ತೋರು,курӑн
863,erscheinen::V,ತೋರು,курӑнса кай
864,verschwinden::V,ಮಾಯವಾಗು,ҫухал
865,sinken::V,ಕುಸಿ,чак
866,abnehmen::V,ತಗ್ಗು,чак
867,zunehmen::V,ಬೆಳೆ,пысӑклан
868,steigen::V,ಉಬ್ಬು,ҫӗклен
869,wachsen::V,ಬೆಳೆ,ӳс
870,glänzen::V,ಮಿರುಗು,ҫиҫ
871,funkeln::V,ಮಿನುಗು,ялкӑш
872,funkeln::V,ಮಿನುಗು,йӑлтӑртат
873,lärmen::V,ಶಬ್ದ ಮಾಡಲು,шавла
874,läuten::V,ಬಾರಿಸು,шӑнкӑравла
875,klingeln::V,ಅನುರಣಿಸು,шӑнкӑравла
876,klirren::V,ಕಿಣಿಕಿಣಿಸು,калтлат
877,klirren::V,ಕಿಣಿಕಿಣಿಸು,шӑнкӑлтат
878,brausen::V,ಅಬ್ಬರಿಸು,ахӑр
879,rauschen::V,ಮರ್ಮರಗುಟ್ಟಿಸು,вашӑлтат
880,rauschen::V,ಮರ್ಮರಗುಟ್ಟಿಸು,чашӑлтат
881,klingen::V,ಉಸಿರು,янӑра
882,bellen::V,ಬಗುಳು,вӗр
883,heulen::V,ಅರಚು,ула
884,blasen::V,ಗಾಳಿ ಊದು,вӗр
885,pfeifen::V,ಸಿಳ್ಳೆಯೂದು,шӑхӑр
886,schreien::V,ಕರೆ,кӑшкӑр
887,stöhnen::V,ನರಳು,йынӑш
888,zittern::V,ನಡುಗು,чӗтре
889,leben::V,ಇರು,пурӑн
890,geboren werden::V,ಉಂಟಾಗು,ҫурал
891,atmen::V,ಉಸಿರು,сывла
892,trinken::V,ಕುಡಿ,ӗҫ
893,essen::V,ತಿನ್ನು,ҫи
894,schlucken::V,ನುಂಗು,ҫӑт
895,müde werden::V,ಬಳಲು,ӗшен
896,einschlafen::V,ನಿದ್ಧೆಹೋಗು,ыйха пут
897,einschlafen::V,ನಿದ್ಧೆಹೋಗು,ҫывӑрса кай
898,schlafen::V,ನಿದ್ರಿಸು,ҫывӑр
899,aufwachen::V,ಏಳು,вӑран
900,aufstehen::V,ಏಳು,тӑр
901,sich erholen::V,ಸುಧಾರಿಸು,кан
902,krank werden::V,ಬೇನೆಬೀಳು,чирле
903,krank sein::V,ಕೆಟ್ಟ ಎಂದು,чирле
904,schmerzen::V,ಕಚ್ಚು,сур
905,schmerzen::V,ಕಚ್ಚು,ырат
906,husten::V,ಕೆಮ್ಮು,ӳсӗр
907,genesen::V,ಮತ್ತೆಹೊದಿಸು,сывал
908,genesen::V,ಮತ್ತೆಹೊದಿಸು,тӳрлен
909,sterben::V,ಮೃತಪಡು,вил
910,umkommen::V,ಹಾಳಾಗು,вил
911,sich bewegen::V,ಚಲಿಸು,куҫ
912,sich rühren::V,ಕದಲು,хускал
913,sich erheben::V,ಏಳು,тӑр
914,sich setzen::V,ಕೂರು,лар
915,hinfallen::V,ಬೀಳು,ӳк
916,laufen::V,ನಡೆ,ут
917,schreiten::V,ಮೆಲ್ಲಗೆ ನಡೆ,ут
918,spazierengehen::V,ವಿಹರಿಸು,уҫӑлса ҫӳре
919,spazierengehen::V,ವಿಹರಿಸು,уткаласа ҫӳре
920,eilen::V,ಮುನ್ನುಗ್ಗು,васка
921,eilen::V,ಮುನ್ನುಗ್ಗು,хыпалан
922,sich beeilen::V,ಆತುರಪಡು,васка
923,sich beeilen::V,ಆತುರಪಡು,хыпалан
924,sausen::V,ಒಗೆ,ыткӑн
