,Concept_ID,xal,fa
0,Auge::N,нүдн,چشم
1,Ohr::N,чикн,گوش
2,Nase::N,хамр,بینی
3,Mund::N,амн,دهان
4,Zahn::N,шүдн,دندان
5,Zunge::N,келн,زبان
6,Lippe::N,урл,لب
7,Wange::N,халх,لپ
8,Gesicht::N,нүр,رو
9,Gesicht::N,нүр,چهره
10,Stirn::N,маңна,پیشانی
11,Haar::N,үсн,مو
12,Schnurrbart::N,сахл,سبیل
13,Bart::N,сахл,ریش
14,Bart::N,өргнә сахл,ریش
15,Kinn::N,өргн,چانه
16,Kiefer[Anatomie]::N,өргн,فک
17,Kiefer[Anatomie]::N,өргн,آرواره
18,Kehle::N,хол,حلق
19,Hals::N,күзүн,گردن
20,Genick::N,гиҗг,پشت گردن
21,Kopf::N,толһа,سر
22,Kopf::N,толһа,کله
23,Rücken::N,нурһн,پشت
24,Bauch::N,гесн,شکم
25,Nabel::N,киисн,ناف
26,Busen::N,көкн,پستان
27,Brust::N,чееҗ,سینه
28,Schulter::N,ээм,دوش
29,Schulter::N,ээм,شانه
30,Arm::N,һар,بازو
31,Ellenbogen::N,тоха,آرنج
32,Hand::N,баһлцг,دست
33,Handfläche::N,альхн,کف دست
34,Finger::N,хурһн,انگشت
35,Finger::N,һарин хурһн,انگشت
36,Fingernagel::N,хумсн,ناخن دست
37,Nagel[Anatomie]::N,хумсн,ناخن
38,Zeh::N,хурһн,انگشت پا
39,Zeh::N,көлин хурһн,انگشت پا
40,Fuß::N,тавг,پا
41,Ferse::N,өскә,پاشنه
42,Knie::N,өвдг,زانو
43,Oberschenkel::N,һуй,ران
44,Bein::N,көл,پا
45,Bein::N,көл,لنگ
46,Körper::N,махмуд,تن
47,Körper::N,махмуд,بدن
48,Haut::N,арсн,پوست
49,Blut::N,цусн,خون
50,Ader::N,судцн,رگ
51,Sehne::N,шүрүсн,زردپی
52,Knochen::N,ясн,استخوان
53,Gehirn::N,экн,مخ
54,Gehirn::N,экн,مغز
55,Herz::N,зүркн,دل
56,Herz::N,зүркн,قلب
57,Magen::N,гесн,معده
58,Leber::N,элкн,کبد
59,Atem::N,әмсхл,نفس
60,Hunger::N,харһнлһн,گرسنگی
61,Träne::N,нульмсн,اشک
62,Geschmack::N,амтн,مزه
63,Geruch::N,үнр,بو
64,Schlaf::N,нөр,خواب
65,Traum::N,зүүдн,رؤیا
66,Himmel::N,теңгр,فلک
67,Himmel::N,теңгр,آسمان
68,Sonne::N,нарн,آفتاب
69,Sonne::N,нарн,خورشید
70,Mond::N,сар,ماه
71,Stern::N,одн,ستاره
72,Luft::N,аһар,هوا
73,Wind::N,салькн,باد
74,Welle::N,дольган,موج
75,Wasser::N,усн,آب
76,Stein::N,чолун,سنگ
77,Boden::N,Һазр,زمین
78,Erde::N,Һазр,خاک
79,Erde::N,Һазр,زمین
80,Staub::N,тоосн,گرد
81,Staub::N,тоосн,غبار
82,Rauch::N,утан,دود
83,Funke::N,очн,جرقه
84,Feuer::N,һал,آتش
85,Licht::N,герл,نور
86,Licht::N,герл,روشنی
87,Schatten::N,сүүдр,سایه
88,Wetter::N,теңгр,هوا
89,Nebel::N,будн,مه
90,Wolke::N,үүлн,ابر
91,Regen::N,хур,باران
92,Schnee::N,цасн,برف
93,Eis::N,мөсн,یخ
94,Frost::N,киитн,یخبندان
95,Kälte::N,киитн,سرما
96,Hitze::N,халун,گرما
97,Hitze::N,халун,حرارت
98,Raureif::N,цаң,برف ریزه
99,Raureif::N,кирү,برف ریزه
100,Regenbogen::N,солңһ,رنگین‌کمان
101,Donner::N,оһтрһун дун,رعد
102,Strömung::N,урсхл,جریان
103,Tropfen::N,дусал,قطره
104,Schaum::N,көөсн,کف
105,Schmutz::N,кир,گل
106,Schmutz::N,кир,کثافت
107,See::N,нур,دریاچه
108,Sumpf::N,унул,مرداب
109,Sumpf::N,унул,باتلاق
110,Moor::N,улм,باتلاق
111,Wiese::N,хадлһн,چمن
112,Wald::N,ө-модн,جنگل
113,Hügel::N,толһа,تل
114,Hügel::N,толһа,تپه
115,Anhöhe::N,хамр,بلندی
116,Berg::N,уул,کوه
117,Gipfel::N,ора,قله
118,Höhle::N,хадин көндә,غار
119,Abhang::N,ташу,سرازیری
120,Quelle::N,булг,چشمه
121,Bach::N,һооҗур,نهر
122,Fluss::N,һол,رود
123,Ufer::N,көвә,ساحل
124,Ufer::N,көвә,کرانه
125,Küste::N,көвә,ساحل
126,Küste::N,теңгсин көвә,ساحل
127,Festland::N,хүүрә һазр,خشکی
128,Meer::N,теңгс,دریا
129,Bucht::N,цекә,خلیج
130,Bucht::N,теңгсин цекә,خلیج
131,Insel::N,арл,جزیره
132,Blume::N,цецг,گل
133,Gras::N,ноһан,علف
134,Wurzel::N,уңг,ریشه
135,Baum::N,модн,درخت
136,Stamm::N,шилв,تنه
137,Stamm::N,һол модн,تنه
138,Rinde::N,көрсн,توژ
139,Rinde::N,көрсн,پوست
140,Ast::N,ац,شاخه
141,Zweig::N,ац,شاخه
142,Blatt::N,хамтхасн,برگ
143,Birke::N,хусм модн,غان
144,Kiefer[Baum]::N,шар харһа,کاج
145,Weide[Baum]::N,удн,بید
146,Tanne::N,җөөлн цаһан модн,صنوبر
147,Horn::N,өвр,شاخ
148,Feder::N,өрвлг,پر
149,Fell::N,арсн,خز
150,Flügel::N,җивр,پر
151,Flügel::N,җивр,بال
152,Klaue::N,хумсн,چنگ
153,Klaue::N,хумсн,پنجه
154,Kralle::N,тавг,پنجه
155,Schwanz::N,сүл,دم
156,Ei::N,өндгн,تخم
157,Nest::N,үр,لانه
158,Bau::N,нүкн,بنا
159,Bau::N,нүкн,ساختمان
160,Tier::N,мал,هیوان
161,Herde::N,сүрг мал,رمه
162,Kuh::N,үкр,گاو
163,Bulle::N,бух,گاو نر
164,Pferd::N,мөрн,اسب
165,Schaf::N,хөн,گوسفند
166,Schwein::N,һаха,خوک
167,Hund::N,ноха,سگ
168,Katze::N,мис,گربه
169,Bär::N,аю,خرس
170,Eichhörnchen::N,кермн,سنجاب
171,Elch::N,хандһа,گوزن شمالی
172,Fuchs::N,арат,روباه
173,Hase::N,туула,خرگوش
174,Maus::N,хулһн,موش
175,Wolf::N,чон,گرگ
176,Vogel::N,шовун,پرنده
177,Schwarm::N,зел,دسته
178,Huhn::N,така,مرغ
179,Hahn::N,эр така,خروس
180,Gans::N,һалун,غاز
181,Adler::N,һәрд,عقاب
182,Ente::N,нуһсн,اردک
183,Ente::N,нуһсн,مرغابی
184,Eule::N,һурвлһ,جغد
185,Kranich::N,тоһрун,درنا
186,Krähe::N,шаазһа,زاغ
187,Krähe::N,шаазһа,کلاغ
188,Kuckuck::N,эргин хуцдг,فاخته
189,Schwan::N,хун,قو
190,Fisch::N,заһсн,ماهی
191,Barsch::N,шүрг,ماهی خاردار
192,Hecht::N,цурх,اردک ماهی
193,Schlange[Tier]::N,моһа,مار
194,Wurm::N,өтн,کرم
195,Spinne::N,аралҗн,عنکبوت
196,Ameise::N,шорһлҗн,مورچه
197,Laus::N,бөөсн,شپش
198,Mücke::N,бөкүн,پشه
199,Fliege::N,батхн,مگس
200,Schmetterling::N,эрвәкә,پروانه
201,Beere::N,бөөлҗрһн,گیله
202,Apfel::N,альмн,سیب
203,Pilz::N,теңгрин ки,قارچ
204,Zwiebel::N,мәңгрснә толһа,پیاز
205,Saat::N,буудян экн,بذر
206,Korn::N,экн,تخم
207,Korn::N,экн,دانه
208,Heu::N,өвсн,علف خشک
209,Schale::N,хальсн,پوست
210,Grube::N,нүкн,گودال
211,Falle::N,урх,دام
212,Falle::N,хавх,دام
213,Schlinge::N,бүтү,حلقه
214,Spur::N,мөр,رد
215,Asche::N,үмсн,خاکستر
216,Dreck::N,бальчг,کثافت
217,Eisen::N,төмр,آهن
218,Gold::N,алтн,زر
219,Gold::N,алтн,طلا
220,Silber::N,мөңгн,نقره
221,Silber::N,цаһан мөңгн,نقره
222,Kohle::N,нүүрсн,زغال
