,Concept_ID,lbe,tr
0,Auge::N,я,göz
1,Ohr::N,вичӏи,kulak
2,Nase::N,май,burun
3,Mund::N,кьацӏ,ağız
4,Zahn::N,ккарччи,diş
5,Zunge::N,маз,dil
6,Lippe::N,мурччи,dudak
7,Wange::N,чӏав,yanak
8,Gesicht::N,лажин,yüz
9,Stirn::N,ненттабакӏ,alın
10,Haar::N,чӏара,saç
11,Schnurrbart::N,ссирссилтту,bıyık
12,Bart::N,чӏири,sakal
13,Kinn::N,лунттубакӏ,çene
14,Kiefer[Anatomie]::N,ххинчулул,çene
15,Kehle::N,кьакьари,boğaz
16,Hals::N,ссурссу,boyun
17,Hals::N,ссурссу,gerdan
18,Genick::N,махъабакӏ,ense
19,Kopf::N,бакӏ,baş
20,Kopf::N,бакӏ,kafa
21,Rücken::N,ттиликӏ,arka
22,Bauch::N,лякьа,karın
23,Nabel::N,цӏумуккутӏ,göbek
24,Busen::N,ккукку,koyun
25,Brust::N,хъазам,göğüs
26,Schulter::N,хъачӏ,omuz
27,Arm::N,ка,kol
28,Ellenbogen::N,ссюрхъ,dirsek
29,Hand::N,бартка,el
30,Handfläche::N,хъат,avuç
31,Handfläche::N,хъат,el ayası
32,Handfläche::N,битӏянхъ,avuç
33,Handfläche::N,битӏянхъ,el ayası
34,Finger::N,кӏисса,parmak
35,Fingernagel::N,михь,el tırnağı
36,Nagel[Anatomie]::N,михь,tırnak
37,Zeh::N,кӏисса,ayak parmağı
38,Fuß::N,чӏанччан,ayak
39,Ferse::N,никъа,topuk
40,Knie::N,ник,diz
41,Oberschenkel::N,жира,uyluk
42,Bein::N,ччан,bacak
43,Körper::N,чурх,vücut
44,Haut::N,бурчу,cilt
45,Blut::N,оь,kan
46,Ader::N,тунну,damar
47,Sehne::N,хьхьа,kiriş
48,Knochen::N,ттаркӏ,kemik
49,Gehirn::N,ня,beyin
50,Herz::N,дакӏ,kalp
51,Herz::N,дакӏ,yürek
52,Herz::N,къюкӏ,kalp
53,Herz::N,къюкӏ,yürek
54,Magen::N,лякьа,mide
55,Atem::N,ссихӏ ласаву,nefes
56,Atem::N,ссихӏ бигьаву,nefes
57,Hunger::N,ккаши,açlık
58,Träne::N,макь,gözyaşı
59,Geschmack::N,тӏин,tat
60,Geschmack::N,тӏин,lezzet
61,Geschmack::N,тӏааьн,tat
62,Geschmack::N,тӏааьн,lezzet
63,Geruch::N,кьанкь,koku
64,Schlaf::N,шану,uyku
65,Traum::N,макӏру,düş
66,Traum::N,макӏру,rüya
67,Himmel::N,ссав,gök
68,Sonne::N,баргъ,güneş
69,Mond::N,барз,ay
70,Stern::N,цӏуку,yıldız
71,Luft::N,гьава,hava
72,Wind::N,марч,yel
73,Wind::N,марч,rüzgâr
74,Welle::N,щатӏи,dalga
75,Wasser::N,щин,su
