,Concept_ID,ady,pl
0,Auge::N,нэ,oko
1,Ohr::N,тхьакӏу́м,ucho
2,Nase::N,пэ,nos
3,Mund::N,жэ,usta
4,Zahn::N,цэ,ząb
5,Zunge::N,бзэгу,język
6,Lippe::N,ӏупшӏэ́,warga
7,Wange::N,нэкӏу́шъу,policzek
8,Gesicht::N,нэ́гу,twarz
9,Stirn::N,натӏэ́,czoło
10,Haar::N,шъхьацы́,włos
11,Haar::N,шъхьацы́,włosy
12,Bart::N,жакӏэ́,broda
13,Kinn::N,жэкӏэпэпкъ,podbródek
14,Kiefer[Anatomie]::N,жэпкъы́,czeluść
15,Kehle::N,чый,gardło
16,Hals::N,пшъэ,szyja
17,Genick::N,шъхьэпхэтыку,kark
18,Kopf::N,шъхьэ́,głowa
19,Rücken::N,кӏыбы́,plecy
20,Rücken::N,кӏыбы́,grzbiet
21,Bauch::N,ныбэ́,brzuch
22,Busen::N,бгъэ́,biust
23,Brust::N,бгъэ́,pierś
24,Schulter::N,блыпкъ,bark
25,Schulter::N,блыпкъ,ramię
26,Arm::N,ӏэ,ręka
27,Arm::N,ӏэ,ramię
28,Ellenbogen::N,ӏэнтэ́гъу,łokieć
29,Hand::N,ӏэтхьэцу,dłoń
30,Handfläche::N,ӏэ́гу,dłoń
31,Finger::N,ӏэхъуа́мб,palec
32,Fingernagel::N,ӏэбжъа́н,paznokieć
33,Nagel[Anatomie]::N,ӏэбжъа́н,paznokieć
34,Zeh::N,ӏэхъуа́мб,palec
35,Fuß::N,лъэгу,stopa
36,Ferse::N,лъэдакъэ,pięta
37,Knie::N,лъагуа́ндж,kolano
38,Oberschenkel::N,ко,udo
39,Bein::N,лъакъо́,noga
40,Körper::N,пкъышъол,ciało
41,Haut::N,кӏы́шъу,skóra
42,Blut::N,лъы,krew
43,Ader::N,льытф,żyła
44,Sehne::N,фэ,ścięgno
45,Knochen::N,къупшъхьэ́,kość
46,Gehirn::N,куцӏы,mózg
47,Herz::N,гу,serce
48,Magen::N,мышкӏу,żołądek
49,Leber::N,шӏу,wątroba
50,Atem::N,къэщэныр,dech
51,Atem::N,къэщэныр,oddech
52,Hunger::N,гъаблэ́,głód
53,Träne::N,нэпсы,łza
54,Geschmack::N,ӏэшӏугъа́кӏ,smak
55,Geruch::N,мэ,woń
56,Geruch::N,мэ,zapach
57,Schlaf::N,пчыхьы́пӏ,sen
58,Traum::N,пчыхьы́пӏ,sen
59,Himmel::N,уашъо́,niebo
60,Sonne::N,тыгъэ,słońce
61,Mond::N,мазэ,księżyc
62,Stern::N,жъуагъо́,gwiazda
63,Luft::N,жьы,powietrze
64,Wind::N,жьыбгъэ́,wiatr
65,Welle::N,ор,fala
66,Welle::N,оры,fala
67,Wasser::N,псы,woda
68,Stein::N,мыжъо́,kamień
69,Boden::N,чӏ́ыгу,grunt
70,Erde::N,чӏ́ыгу,ziemia
71,Staub::N,сап,pył
72,Staub::N,сап,kurz
73,Rauch::N,ӏугъо́,dym
74,Funke::N,мэшӏуа́ч,iskra
75,Feuer::N,машӏо́,ogień
76,Licht::N,нэфы,światło
77,Licht::N,нэфын,światło
78,Schatten::N,жьау́,cień
79,Schatten::N,ныбжьыкъу,cień
80,Nebel::N,пща́гъу,mgła
81,Wolke::N,ошъуапщэ,obłok
82,Wolke::N,ошъуапщэ,chmura
83,Regen::N,ощхы,deszcz
84,Schnee::N,осы́,śnieg
85,Eis::N,мылы,lód
86,Kälte::N,чъыӏэ́,chłód
87,Hitze::N,фэба́е,gorąco
88,Regenbogen::N, лэгъупэкъо́пс,tęcza
89,Donner::N,шыблэ́,grzmot
90,Strömung::N,ток,nurt
91,Tropfen::N,ткӏопс,kropla
92,Tropfen::N,гъуаткӏу,kropla
93,Schaum::N,тхъурбэ,piana
94,Schmutz::N,псынжъы,brud
95,See::N,хыку́м,jezioro
96,See::N,псыхъура́й,jezioro
97,Sumpf::N,орыжъ,bagno
98,Moor::N,орыжъ,bagno
99,Wiese::N,хъупӏэ́,łąka
100,Wiese::N,мэкъупӏ,łąka
101,Wald::N,мэзы́,las
102,Hügel::N,ӏуашъхь,pagórek
