,Concept_ID,av,fi
0,Ohr::N,гӏин,korva
1,Nase::N,мегӏер,nenä
2,Mund::N,кӏал,suu
3,Zahn::N,гӏус,hammas
4,Zunge::N,мацӏ,kieli
5,Lippe::N,кӏветӏ,huuli
6,Wange::N,гӏоно,poski
7,Gesicht::N,гьумер,naama
8,Gesicht::N,гьумер,kasvot
9,Stirn::N,нодо,otsa
10,Haar::N,рас,hius
11,Haar::N,рас,tukka
12,Schnurrbart::N,михъ,viikset
13,Bart::N,мегеж,parta
14,Kinn::N,нилъу,leuka
15,Kiefer[Anatomie]::N,чанагъ,leukaluu
16,Kehle::N,щекъер,kurkku
17,Hals::N,габур,kaula
18,Genick::N,гъванща,niska
19,Kopf::N,бетӏер,pää
20,Rücken::N,мугъ,selkä
21,Bauch::N,чехь,maha
22,Bauch::N,чехь,vatsa
23,Nabel::N,цӏину,napa
24,Busen::N,керен,rinta
25,Brust::N,керен,rinta
26,Schulter::N,гъажазубетӏер,olka
27,Schulter::N,гъажазубетӏер,hartia
28,Schulter::N,гъажазубетӏер,olkapää
29,Arm::N,гъеж,käsivarsi
30,Ellenbogen::N,гӏункӏрукь,kyynärpää
31,Hand::N,квер,käsi
32,Handfläche::N,огъохъат,kämmen
33,Handfläche::N,жанисахъат,kämmen
34,Finger::N,килищ,sormi
35,Fingernagel::N,малъ,kynsi
36,Nagel[Anatomie]::N,малъ,kynsi
37,Zeh::N,килищ,varvas
38,Fuß::N,хӏетӏ,jalka
39,Fuß::N,хӏетӏе,jalka
40,Ferse::N,эгъе,kantapää
41,Knie::N,наку,polvi
42,Oberschenkel::N,мачӏ,reisi
43,Bein::N,бох,jalka
44,Körper::N,къаркъала,keho
45,Körper::N,къаркъала,ruumis
46,Haut::N,тӏом,iho
47,Blut::N,би,veri
48,Ader::N,бидурихь,suoni
49,Knochen::N,ракьа,luu
50,Gehirn::N,гӏадалнах,aivot
51,Herz::N,ракӏ,sydän
52,Magen::N,кванирукъ,maha
53,Magen::N,кванирукъ,vatsa
54,Leber::N,тӏул,maksa
55,Atem::N,хӏухь,henki
56,Atem::N,хӏухь,hengitys
57,Hunger::N,ракъи,nälkä
58,Träne::N,магӏу,kyynel
59,Geschmack::N,тату,maku
60,Geruch::N,махӏ,haju
61,Schlaf::N,макьу,uni
62,Traum::N,макьу,uni
63,Himmel::N,зоб,taivas
64,Sonne::N,бакъ,aurinko
65,Mond::N,моцӏ,kuu
66,Stern::N,цӏва,tähti
67,Luft::N,гьава,ilma
68,Wind::N,гьури,tuuli
69,Welle::N,карачел,aalto
70,Wasser::N,лъим,vesi
71,Stein::N,гьецӏо,kivi
72,Boden::N,ракь,maa
73,Boden::N,ракь,maaperä
74,Erde::N,ракь,maa
75,Erde::N,дуниял,maa
76,Staub::N,хӏур,pöly
77,Rauch::N,кӏкӏуй,savu
78,Feuer::N,цӏа,tuli
79,Licht::N,канлъи,valo
80,Schatten::N,рагӏад,varjo
81,Wetter::N,гьава-бакъ,sää
82,Nebel::N,гӏодобнакӏкӏ,sumu
83,Wolke::N,накӏкӏ,pilvi
84,Regen::N,цӏад,sade
85,Schnee::N,гӏазу,lumi
86,Eis::N,цӏер,jää
87,Frost::N,замгьари,halla
88,Frost::N,замгьари,pakkanen
89,Kälte::N,квач,vilu
90,Kälte::N,квач,kylmyys
91,Hitze::N,багӏари,helle
92,Hitze::N,багӏари,kuumuus
93,Raureif::N,мартӏ,huurre
94,Regenbogen::N,нур,sateenkaari
95,Regenbogen::N,чамбара,sateenkaari
96,Donner::N,гъугъай,jyrinä
97,Donner::N,гъугъади,jyrinä
98,Strömung::N,чвахи,virtaus
99,Tropfen::N,резел,tippa
100,Tropfen::N,резел,pisara
101,Tropfen::N,тӏинкӏ,tippa
102,Tropfen::N,тӏинкӏ,pisara
103,Tropfen::N,къатӏра,tippa
104,Tropfen::N,къатӏра,pisara
105,Tropfen::N,тӏенкӏел,tippa
106,Tropfen::N,тӏенкӏел,pisara
107,Schaum::N,полоп,vaahto
108,Schmutz::N,чороклъи,loka
109,See::N,хӏор,järvi
110,Sumpf::N,хьуцӏ,suo
111,Wiese::N,мегъ,niitty
112,Wiese::N,гӏурдаллъи,niitty
113,Wald::N,рохь,metsä
114,Hügel::N,гохӏ,mäki
115,Hügel::N,гохӏ,kumpu
116,Hügel::N,гохӏ,kukkula
117,Anhöhe::N,сийитма,mäki
118,Anhöhe::N,сийитма,kumpare
119,Berg::N,мегӏер,mäki
120,Berg::N,мегӏер,vuori
121,Gipfel::N,тӏогь,laki
122,Gipfel::N,тӏогь,huippu
123,Höhle::N,нохъо,luola
124,Abhang::N,лабаллъи,rinne
125,Quelle::N,ицц,lähde
126,Bach::N,лъар,puro
127,Fluss::N,гӏор,joki
128,Ufer::N,рагӏал,ranta
129,Küste::N,рагӏал,rannikko
130,Festland::N,ракь,manner
131,Festland::N,ракъдаллъи,manner
132,Meer::N,ралъад,meri
133,Bucht::N,кӏветӏ,lahti
134,Insel::N,чӏинкӏиллъи,saari
135,Blume::N,тӏегь,kukka
136,Gras::N,хер,ruoho
137,Wurzel::N,кьибил,juuri
138,Baum::N,гъветӏ,puu
139,Stamm::N,рохти,runko
140,Rinde::N,макъар,kuori
141,Rinde::N,макъар,parkki
142,Ast::N,ноцӏ,oksa
143,Zweig::N,гӏаркьел,haara
144,Blatt::N,тӏамах,lehti
145,Birke::N,мах,koivu
146,Birke::N,махигъветӏ,koivu
147,Kiefer[Baum]::N,накӏкӏигъветӏ,mänty
148,Kiefer[Baum]::N,накӏкӏигъветӏ,petäjä
149,Weide[Baum]::N,рицӏцӏ,paju
150,Weide[Baum]::N,рицӏцӏигъветӏ,paju
151,Tanne::N,ёлка,kuusi
152,Horn::N,лълъар,sarvi
153,Feder::N,хӏули,sulka
154,Feder::N,хӏули,höyhen
155,Fell::N,тӏом,talja
156,Fell::N,цӏоко,talja
157,Flügel::N,кваркьи,siipi
158,Klaue::N,галъ,kynsi
159,Kralle::N,квачӏ,kynsi
160,Kralle::N,катиквачӏ,kynsi
161,Schwanz::N,рачӏ,häntä
162,Schwanz::N,рачӏ,pyrstö
163,Ei::N,хоно,muna
164,Nest::N,бусен,pesä
165,Bau::N,каратӏ,pesä
166,Tier::N,хӏайван,eläin
167,Herde::N,рехъен,lauma
168,Herde::N,рехъед,lauma
169,Kuh::N,гӏака,lehmä
170,Bulle::N,оц,sonni
171,Pferd::N,чу,hevonen
172,Schaf::N,чахъу,lammas
173,Schwein::N,болъон,sika
174,Hund::N,гьой,koira
175,Katze::N,кету,kissa
176,Bär::N,ци,karhu
177,Eichhörnchen::N,гвангва,orava
178,Fuchs::N,цер,kettu
179,Hase::N,гӏанкӏ,jänis
180,Maus::N,гӏункӏкӏ,hiiri
181,Wolf::N,бацӏ,susi
182,Vogel::N,хӏинчӏ,lintu
183,Schwarm::N,тӏел,parvi
184,Huhn::N,гӏанкӏу,kana
185,Hahn::N,хӏелеко,kukko
186,Gans::N,хъаз,hanhi
187,Adler::N,цӏум,kotka
188,Ente::N,ордек,ankka
189,Eule::N,беццаруз,pöllö
190,Kranich::N,къункъра,kurki
191,Krähe::N,гъеду,varis
192,Kuckuck::N,гагу,käki
193,Schwan::N,хӏанкъва,joutsen
194,Fisch::N,ччугӏа,kala
195,Barsch::N,окунь,ahven
196,Hecht::N,щука,hauki
197,Schlange[Tier]::N,борохь,käärme
198,Wurm::N,хӏапара,mato
199,Spinne::N,хъанхъра,hämähäkki
200,Ameise::N,цӏунцӏра,muurahainen
201,Laus::N,нацӏ,täi
202,Mücke::N,кӏкӏара,sääski
203,Mücke::N,кӏкӏара,hyttynen
204,Fliege::N,тӏутӏ,kärpänen
205,Schmetterling::N,кӏалкӏучӏ,perhonen
206,Apfel::N,гӏеч,omena
207,Pilz::N,гӏурдахӏан,sieni
208,Zwiebel::N,кӏочӏопер,sipuli
209,Saat::N,хьон,siemenet
210,Korn::N,мугь,jyvä
211,Korn::N,мугь,vilja
212,Heu::N,хер,heinä
213,Schale::N,хъал,kuori
214,Grube::N,гвенд,kuoppa
215,Falle::N,къор,loukku
216,Falle::N,къотен,loukku
217,Schlinge::N,кӏичӏ,ansa
218,Spur::N,лъалкӏ,jälki
219,Asche::N,рахъу,tuhka
220,Dreck::N,гъиз,lika
221,Dreck::N,хӏарщ,lika
222,Eisen::N,махх,rauta
223,Gold::N,месед,kulta
224,Silber::N,гӏарац,hopea
225,Kohle::N,тӏурччи,hiili
226,Glas::N,цӏер,lasi
227,Lehm::N,хӏатӏ,savi
228,Sand::N,сали,hiekka
229,Mensch::N,чи,ihminen
230,Mann::N,бихьинчи,mies
231,Frau::N,гӏадан,nainen
232,Kind::N,лъимер,lapsi
233,Junge::N,вас,poika
234,Mädchen::N,яс,tyttö
235,Familie::N,хъизан,perhe
236,Großvater::N,кӏудада,isoisä
237,Großmutter::N,кӏодо,isoäiti
238,Eltern::N,эбел-эмен,vanhemmat
239,Vater::N,эмен,isä
240,Mutter::N,эбел,äiti
241,Sohn::N,вас,poika
242,Tochter::N,яс,tytär
243,Bruder::N,вац,veli
244,Schwester::N,яц,sisko
245,Onkel::N,даци,eno
246,Onkel::N,даци,setä
247,Tante::N,ада,täti
248,Ehemann::N,рос,mies
249,Ehemann::N,рос,aviomies
250,Ehefrau::N,чӏужу,vaimo
251,Ehefrau::N,чӏужу,aviovaimo
252,Freude::N,ракӏбохи,ilo
253,Freude::N,ракӏбохи,riemu
254,Gelächter::N,релъи,nauru
255,Glück::N,талихӏ,onni
256,Glück::N,талихӏ-рохел,onni
257,Kummer::N,хӏалкъай,suru
258,Kummer::N,хӏалкъай,murhe
259,Wunsch::N,къасд,toive
260,Wunsch::N,къасд,toivomus
261,Lust::N,гъира,himo
262,Geist::N,чӏанкӏ,henki
263,Geist::N,рухӏ-жан,henki
264,Gedanke::N,пикру,aate
265,Gedanke::N,пикру,ajatus
266,Verstand::N,лумалъи,äly
267,Verstand::N,лумалъи,järki
268,Verstand::N,лумалъи,ymmärrys
269,Verstand::N,цӏодорлъи,äly
270,Verstand::N,цӏодорлъи,järki
271,Verstand::N,цӏодорлъи,ymmärrys
272,Sinn::N,магӏна,merkitys
273,Grund::N,багьана,syy
274,Grund::N,багьана,peruste
275,Wahrheit::N,ритӏухълъи,tosi
276,Wahrheit::N,ритӏухълъи,totuus
277,Gespräch::N,накъит,puhelu
278,Gespräch::N,накъит,keskustelu
279,Märchen::N,маргьа,satu
280,Erzählung::N,къиса,tarina
281,Erzählung::N,къиса,kertomus
282,Nachricht::N,хабар,tieto
283,Nachricht::N,хабар,ilmoitus
284,Neuigkeit::N,хабар-гӏазаб,uutinen
285,Name::N,цӏар,nimi
286,Rätsel::N,бицанкӏо,arvoitus
287,Rede::N,речь,puhe
288,Rede::N,калам,puhe
289,Sprache::N,мацӏ,kieli
290,Stimme::N,гьаракь,ääni
291,Wort::N,рагӏи,sana
292,Zeichen::N,ишара,merkki
293,Zeichen::N,гӏаламат,merkki
294,Ruf::N,ахӏи,kutsu
295,Lärm::N,хъуй,melu
296,Lärm::N,хъуй,hälinä
297,Lärm::N,хъуди,melu
298,Lärm::N,хъуди,hälinä
299,Laut::N,гьаракь,ääni
300,Laut::N,сас,ääni
301,Lied::N,кечӏ,laulu
302,Ruhe::N,рахӏат,lepo
303,Ruhe::N,рахӏат,rauha
304,Leute::N,гӏадамал,väki
305,Leute::N,гӏадамал,ihmiset
306,Volk::N,халкъ,kansa
307,Arbeit::N,хӏалтӏи,työ
308,Gast::N,гьобол,vieras
309,Geschenk::N,сайигъат,lahja
310,Spiel::N,хӏай,peli
311,Spiel::N,хӏай,leikki
312,Spiel::N,расанди,peli
313,Spiel::N,расанди,leikki
314,Gesellschaft::N,жамагӏат,seura
315,Hilfe::N,кумек,apu
316,Freund::N,гьудул,ystävä
317,Kamerad::N,гьалмагъ,toveri
318,Angelegenheit::N,къваригӏел,asia
