,Concept_ID,mrj,ce
0,Auge::N,сӹнзӓ,бӏаьрг
1,Ohr::N,пӹлӹш,лерг
2,Nase::N,нер,мара
3,Mund::N,ышма,бага
4,Zahn::N,пӱ,церг
5,Zunge::N,йӹлмӹ,мотт
6,Lippe::N,тӹрвӹ,балда
7,Wange::N,шӹргӹ,бесни
8,Gesicht::N,лицӓ,юьхь
9,Stirn::N,лепкӓ,хьаж
10,Haar::N,ӱп,мас
11,Schnurrbart::N,öрш,мекх
12,Bart::N,пандаш,маж
13,Kinn::N,онгылаш,чӏениг
14,Kiefer[Anatomie]::N,пӱ арата,мочхал
15,Kehle::N,логер,къамкъарг
16,Hals::N,шӱ,ворта
17,Genick::N,ланга,кӏесаркӏаг
18,Kopf::N,вуй,корта
19,Rücken::N,туп,букъ
20,Bauch::N,мӹшкӹр,кийра
21,Nabel::N,кӹлӹмдӹ,цӏонга
22,Busen::N,цӹзӹ,зударийн накха
23,Brust::N,мел,накха
24,Schulter::N,ӹнгӹжӓ,белш
25,Arm::N,кид,пхьарс
26,Ellenbogen::N,кӹнервуй,пхьаьрсан гола
27,Hand::N,лапа,куьг
28,Handfläche::N,кид лапа,кераюкъ
29,Finger::N,парня,пӏелг
30,Fingernagel::N,кӹч,мӏара
31,Nagel[Anatomie]::N,кӹч,мӏара
32,Zeh::N,парня,кога пӏелг
33,Fuß::N,ял лапа,ког
34,Ferse::N,ялгавал,кӏажа
35,Ferse::N,ял кавал,кӏажа
36,Knie::N,пылвуй,гола
37,Oberschenkel::N,ӓрдӹ,варе
38,Bein::N,ял,ког
39,Körper::N,монгыр,хӏума
40,Haut::N,кавашты,чкъор
41,Blut::N,вӹр,цӏий
42,Ader::N,вӹршӓр,пха
43,Sehne::N,кукшышӱн,хьорзам
44,Knochen::N,лу,даьӏахк
45,Gehirn::N,вим,хье
46,Herz::N,шӱм,дог
47,Magen::N,шӱм,зорх
48,Leber::N,мокш,доӏах
49,Atem::N,шӱлӹш,садеӏар
50,Hunger::N,шужымаш,мацалла
51,Träne::N,сӹнзӓвӹд,бӏаьрхи
52,Geschmack::N,тот,чам
53,Geruch::N,пыш,хьожа
54,Schlaf::N,ом,наб
55,Traum::N,ом,гӏан
56,Himmel::N,пӹлгом,стигал
57,Sonne::N,кечӹ,малх
58,Mond::N,тӹлзӹ,бутт
59,Stern::N,шӹдӹр,седа
60,Luft::N,юж,xӏаваъ
61,Luft::N,воздух,xӏаваъ
62,Wind::N,мардеж,мох
63,Welle::N,ко,тулгӏе
64,Welle::N,коэ,тулгӏе
65,Wasser::N,вӹд,хи
66,Stein::N,кӱ,тӏулг
67,Boden::N,рок,цӏенкъа
68,Erde::N,свет,латта
69,Staub::N,пырак,чан
70,Rauch::N,шӹкш,кӏур
71,Funke::N,ип,суй
72,Funke::N,тылип,суй
73,Feuer::N,тыл,цӏе
74,Licht::N,соты,серло
75,Licht::N,валгыды,серло
76,Schatten::N,ӹмӹл,ӏиндагӏ
77,Wetter::N,игечӹ,хенан хӏоттам
78,Nebel::N,тӹтӹрӓ,дохк
79,Wolke::N,пӹл,марха
80,Regen::N,юр,догӏа
81,Schnee::N,лым,ло
82,Eis::N,и,ша
83,Frost::N,ӱштӹ,шело
84,Kälte::N,ӱштӹ,шело
85,Hitze::N,шокшы,йовхо
86,Raureif::N,пöрш,йис
87,Regenbogen::N,шанавӹл,стелаӏад
88,Donner::N,хӹдӹртӹш,ткъес
89,Strömung::N,йогы,дӏаэхар
90,Strömung::N,йогы,дӏасалелар
91,Tropfen::N,капльы,тӏадам
92,Tropfen::N,капльык,тӏадам
93,Schaum::N,шонг,чопа
94,Schmutz::N,лявӹрӓ,хатт
95,See::N,йӓр,ӏам
96,Sumpf::N,лӱкӹ,уьшал
97,Moor::N,куп,уьшал
98,Wiese::N,алык,бай
99,Wald::N,шӹргӹ,хьун
100,Hügel::N,пӱгӹрикӓ,гу
101,Hügel::N,пӱгӹрикӓ,шу
102,Hügel::N,пӱгӹрикӓ,барз
103,Anhöhe::N,кӱкшикӓ,акъари
104,Berg::N,кырык,лам
105,Gipfel::N,неркӓ,бохь
106,Höhle::N,ы́раж,хьех
107,Abhang::N,полом,басе
108,Quelle::N,вӹдсӹнзӓ,шовда
109,Bach::N,ӓнгӹр,татол
110,Fluss::N,вӹд,хи
111,Ufer::N,сир,хийист
112,Küste::N,сир,йист
113,Festland::N,мӱлӓндӹ,латта
114,Meer::N,тангыж,xӏорд
115,Bucht::N,вӹдъял,чож
116,Insel::N,острок,гӏайре
117,Blume::N,пеледӹш,зезаг
118,Gras::N,шуды,буц
119,Wurzel::N,важ,орам
120,Baum::N,пушӓнгӹ,дитт
121,Stamm::N,пушӓнгӹ тӹнг,гӏад
122,Stamm::N,пушӓнгӹ тӹнг,тайпа
123,Rinde::N,каргыж,кевстиг
124,Ast::N,укш,га
125,Zweig::N,укш,га
126,Blatt::N,листӹ,гӏа
127,Birke::N,куги,дакх
128,Kiefer[Baum]::N,йӓктӹ,бага
129,Weide[Baum]::N,уа,дак
130,Tanne::N,кож,база
131,Horn::N,шур,маӏа
132,Feder::N,пын,пелаг
133,Fell::N,кавашты,цӏока
134,Flügel::N,шылдыр,тӏам
135,Klaue::N,кӹч,мӏара
136,Kralle::N,лапа,тlод
137,Schwanz::N,пач,цӏога
138,Ei::N,мыны,xӏoa
139,Nest::N,пӹжӓш,бен
140,Bau::N,ыраж,lуьрг
141,Tier::N,во́льык,дийнат
142,Herde::N,кӹтö,жа
143,Kuh::N,ышкал,етт
144,Bulle::N,ӱшкӱж,сту
145,Pferd::N,имни,говр
146,Schaf::N,шарык,жий
147,Schaf::N,шарык,уьстагӏ
148,Schwein::N,сасна,хьакха
149,Hund::N,пи,жӏаьла
150,Katze::N,коти,цициг
151,Bär::N,мöскӓ,ча
152,Eichhörnchen::N,ур,тарсал
153,Elch::N,шарды,сай
154,Fuchs::N,рӹвӹж,цхьогал
155,Hase::N,морен,пхьагал
156,Maus::N,каля,дахка
157,Wolf::N,пирӹ,борз
158,Vogel::N,кек,олхазар
159,Schwarm::N,цуца,
160,Huhn::N,цӹвӹ,котам
161,Hahn::N,ӓптӓн,нӏаьна
162,Hahn::N,ӓптӓн,боргӏал
163,Gans::N,комбы,гӏаз
164,Adler::N,кучкыж,aьрзу
165,Ente::N,лыды,бад
166,Eule::N,тымана,бухӏа
167,Kranich::N,тырня,гӏаргӏули
168,Kranich::N,тыртня,гӏаргӏули
169,Krähe::N,лудыгарак,къиг
170,Kuckuck::N,куку,aттйокх
171,Schwan::N,йӱксӹ,гӏургӏаз
172,Fisch::N,кол,чӏара
173,Barsch::N,алангы,окунь
174,Hecht::N,нуж,гӏазкхийн чӏара
175,Hecht::N,нужгол,гӏазкхийн чӏара
176,Schlange[Tier]::N,кӹшкы,лаьхьа
177,Wurm::N,шукш,нӏаьна
178,Spinne::N,ӓнгӹремшӹ,гезг
179,Ameise::N,кыткы,зингат
180,Laus::N,ти,меза
181,Laus::N,ти,гӏениг
182,Mücke::N,кужнер,чуьрк
183,Mücke::N,кужынер,чуьрк
184,Fliege::N,шӹнгӓ,моза
185,Schmetterling::N,лӹпӹ,полла
186,Beere::N,мöр,цӏазам
187,Apfel::N,олма,ӏаж
188,Pilz::N,понгы,жӏаьлин нускал
189,Zwiebel::N,охыра,xох
190,Saat::N,нӱшмӹ,чlу
191,Saat::N,нӱшмӱ,чlу
192,Korn::N,пӹрцӹ,буьртиг
193,Heu::N,шуды,йол
194,Schale::N,аваха,пардо
195,Schale::N,карлангы,пардо
196,Grube::N,йӓм,ор
197,Falle::N,лӱдӹ,кӏело
198,Falle::N,лӱдӹш,кӏело
199,Schlinge::N,онгы,
200,Spur::N,кишӓ,лар
201,Asche::N,ломых,чим
202,Asche::N,ломпыж,чим
203,Dreck::N,лявӹрӓ,мода
204,Eisen::N,кӹртни,эчиг
205,Gold::N,шöртни,деши
206,Gold::N,шöртньӹ,деши
207,Silber::N,ши,дети
208,Kohle::N,шӱ,кӏора
209,Glas::N,охоница,aнгали
210,Lehm::N,шун,поппар
211,Sand::N,ошма,гӏум
212,Mensch::N,эдем,адам
213,Mann::N,пӱэргӹ,майра
214,Frau::N,ӹдӹрӓмӓш,зуда
215,Kind::N,ӓзӓ,бер
216,Kind::N,шачшы,бер
217,Junge::N,рвезӹ,жимха
218,Junge::N,ӹрвезӹ,жимха
219,Mädchen::N,ӹдӹрӓш,жима йоӏ
220,Familie::N,йиш,доьзал
221,Familie::N,семня,доьзал
222,Großvater::N,тьоти,ненада
223,Großmutter::N,папа,денана
224,Eltern::N,ӓтя-ӓвӓ,да-нана
225,Vater::N,ӓтя,да
226,Mutter::N,ӓвӓ,нана
227,Sohn::N,эргӹ,кӏант
228,Tochter::N,ӹдӹр,йоӏ
229,Bruder::N,ӹза,ваша
230,Schwester::N,ӓкӓ,йиша
231,Onkel::N,кугуза,деваша
232,Tante::N,куака,дейиша
233,Ehemann::N,мары,майра
234,Ehefrau::N,вӓтӹ,зуда
235,Freude::N,ӹвӹртӹмӓш,самукъа
236,Freude::N,ӹвӹртӹмӓш,хазахетар
237,Gelächter::N,ваштылмаш,белам
238,Glück::N,пиӓл,ирс
239,Kummer::N,ясы,бала
240,Wunsch::N,охата,лаам
241,Wunsch::N,шанымаш,лаам
242,Lust::N,шӓр,лаам
243,Lust::N,охата,лаам
244,Lust::N,шанымаш,лаам
245,Geist::N,тух,са
246,Gedanke::N,шанымаш,ойла
247,Gedächtnis::N,ӓш,диццадалар
248,Verstand::N,ыш,хьекъал
249,Sinn::N,кын,маьӏна
250,Grund::N,вир,бахьана
251,Wahrheit::N,тöр,бакъдерг
252,Gespräch::N,хытырымаш,къамел
253,Märchen::N,ямак,туьйра
254,Erzählung::N,шайыштмаш,дийцар
255,Nachricht::N,увертӓрӹмӓш,хаам
256,Neuigkeit::N,увер,керланиг
257,Name::N,лӹм,цӏе
258,Rätsel::N,тышты,хӏетал-метал
259,Rede::N,шая,къамел
260,Rede::N,шамак,къамел
261,Sprache::N,йӹлмӹ,мотт
262,Stimme::N,юк,aз
263,Wort::N,шамак,дош
264,Zeichen::N,палӹ,билгало
265,Ruf::N,сӹгӹрӹмӓш,кхайкхар
266,Lärm::N,юкланымащ,гӏовгӏа
267,Laut::N,юк,аз
268,Ton::N,юк,aз
269,Lied::N,мыры,илли
270,Ruhe::N,тыр,тийналла
271,Leute::N,эдемвлӓ,нах
272,Volk::N,халык,халкъ
273,Arbeit::N,пӓшӓ,болх
274,Gast::N,хына,хьаша
275,Geschenk::N,подарка,совгӏат
276,Spiel::N,мадыш,ловзар
277,Gesellschaft::N,йӓл,юкъаралла
278,Gesellschaft::N,йӓлвлӓ,юкъаралла
279,Hilfe::N,палшык,гӏо
280,Freund::N,тӓнг,доттагl
281,Kamerad::N,тос,накъост
282,Angelegenheit::N,дела,гӏуллакх
283,Angelegenheit::N,йела,гӏуллакх
284,Angelegenheit::N,йыла,гӏуллакх
285,Angelegenheit::N,пӓшӓ,гӏуллакх
286,Anzahl::N,шот,терахь
287,Art::N,цӹре,
288,Stück::N,лаштык,юьхк
289,Teil::N,пай,дакъа
290,Teil::N,часть,дакъа
291,Hälfte::N,пел,ах
292,Kreis::N,тӹртӹш,го
293,Kreuz::N,крестӹ,жӏара
294,Abstand::N,ло,юкъ
295,Entfernung::N,ло,
296,Gegend::N,вӓр,мeттиг
297,Platz::N,вӓр,майда
298,Ort::N,вӓр,меттиг
299,Seite::N,öрдӹж,aгӏo
300,Mitte::N,ло,юкъ
301,Gegenstand::N,хӓдӹр,хӏума
302,Sache::N,хӓдӹр,хӏума
303,Rand::N,шöр,йист
304,Kante::N,шöр,йист
305,Ecke::N,лык,са
306,Spitze::N,вуй,ралла
307,Ende::N,вуй,юьхьиг
308,Ende::N,мычаш,юьхьиг
309,Loch::N,ыраж,ӏуьрг
310,Winkel::N,лык,са
311,Muster::N,тӹрлец,дагар
312,Muster::N,тӹрлец,тӏамар
313,Größe::N,кӱкшӹц,барам
314,Länge::N,кыт,йохалла
315,Höhe::N,кӱкшӹц,локхалла
316,Gewicht::N,нелӹц,йозалла
317,Menge::N,шот,дукхалла
318,Haufen::N,ара,сал
319,Haufen::N,ара,оьла
320,Reihe::N,ряд,рагӏ
321,Reihe::N,ряд,могӏа
322,Boot::N,пыш,кема
323,Ruder::N,вешлӓ,пийсиг
324,Schlitten::N,тир,салаз
325,Ski::N,ечӹ,когсалаз
326,Lagerfeuer::N,тыл,цӏе
327,Last::N,нелӹц,дукъ
328,Gang::N,ход,лелар
329,Schritt::N,ашкыл,гӏулч
330,Norden::N,йыдпелвел,къилбаседе
331,Süden::N,кечӹвӓлвел,къилбе
332,Westen::N,кечӹ шӹцмӹ,малхбузе
333,Osten::N,ирвел,малхбале
334,Osten::N,кечӹ лӱлтмӹ,малхбале
335,Holz::N,пушӓнгӹ,дечиг
336,Brett::N,ханга,у
337,Platte::N,плитӓ,у
338,Stütze::N,цӓрӓк,гӏopтоp
339,Stange::N,равы,гӏуркх
340,Stange::N,намаш,гӏуркх
341,Stock::N,панды,ӏаса
342,Stab::N,равы,гӏаж
343,Rohr::N,пыч,биргӏа
344,Haus::N,пöрт,цӏа
345,Heim::N,пöрт,кхерч
346,Ofen::N,камака,кхерч
347,Fußboden::N,седӹрӓ,цӏенкъа
348,Tisch::N,стöл,шун
349,Stuhl::N,пöкен,гӏант
350,Wiege::N,шипкӓ,ага
351,Bett::N,койка,маьнга
352,Bett::N,кравать,маьнга
353,Regal::N,полицӓ,терхи
354,Kiste::N,шӱ́ндӹк,яьшка
355,Fenster::N,окня,кор
356,Tür::N,амаса,неӏ
357,Tor::N,хапка,ков
358,Zaun::N,забор,керт
359,Dach::N,левӓш,тхов
360,Leiter::N,ташкалтыш,лами
361,Besen::N,сало,нуй
362,Besen::N,салко,нуй
363,Spaten::N,кольмы,бел
364,Schaufel::N,лоток,аьшкал
365,Gabel::N,ви́лка,мӏара
366,Löffel::N,савала,ӏайг
367,Messer::N,кӹзӹ,урс
368,Nagel::N,пыда,хьостам
369,Netz::N,вӓпш,бой
370,Haken::N,крӱк,мӏара
371,Haken::N,кагак,мӏара
372,Griff::N,кычем,
373,Schloss::N,замок,чӏега
374,Schloss::N,сыравач,чӏега
375,Bild::N,картин,сурт
376,Figur::N,кӓн,
377,Puppe::N,поханя,тайниг
378,Beutel::N,мешӓк,гали
379,Bündel::N,топ,кочар
380,Bündel::N,пидӹш,кочар
381,Bündel::N,кӹлдӹш,кочар
382,Tasche::N,сумкы,тӏоьрмиг
383,Eimer::N,ведӹрӓ,чийлик
384,Deckel::N,комдыш,негӏар
385,Geschirr::N,ӓтӹ,пхьегӏа
386,Sack::N,мешӓк,гали
387,Tasse::N,цӓшкӓ,кад
388,Topf::N,ми́ска,яй
389,Kessel::N,пад,яй
390,Essen::N,качкыш,юург
391,Essen::N,качкыш-йӱш,юург
392,Nahrung::N,качкыш,кхача
393,Nahrung::N,качкыш-йӱш,кхача
394,Speise::N,няня,юург
395,Fleisch::N,пай,жижиг
396,Getreide::N,киндӹ,буьртиг
397,Brei::N,шӹрӓш,xудар
398,Brot::N,сыкыр,бепиг
399,Brot::N,сыкыр,кхаллар
400,Scheibe::N,ламыт,цастар
401,Scheibe::N,лаштык,цастар
402,Fett::N,кая,мохь
403,Butter::N,ӱ,налха
404,Öl::N,ӱ,даьтта
405,Salz::N,санзал,туьха
406,Suppe::N,лем,чорпа
407,Honig::N,мӱ,моз
408,Milch::N,шӹшер,шура
409,Tee::N,чӓй,чай
410,Leder::N,шарга,цӏока
411,Leder::N,кавашты,цӏока
412,Wolle::N,миж,тӏapгӏa
413,Stoff::N,матер,кӏади
414,Stoff::N,матери,кӏади
415,Nadel::N,им,маха
416,Faden::N,шӹртӹ,тай
417,Knopf::N,полдыш,нуьйда
418,Knoten::N,пӱкшем,шад
419,Farbe::N,чиӓ,сир
420,Farbe::N,чиӓ,басар
421,Farbe::N,крӓскӓ,сир
422,Farbe::N,крӓскӓ,басар
423,Kleidung::N,выргем,бедар
424,Hemd::N,тыгыр,коч
425,Kragen::N,шӱ,кач
426,Ärmel::N,шокш,пхьош
427,Hose::N,ялаш,хеча
428,Gürtel::N,ӹштӹ,доьхка
429,Mütze::N,упш,куй
430,Schuh::N,ту́фльы,мача
431,Stiefel::N,кем,этка
432,Ring::N,шӓргӓш,чӏуг
433,Band::N,лемтӓ,лента
434,Kamm::N,шерге,ехк
435,Spiegel::N,тӹгӹр,куьзга
436,Riemen::N,прӓжӓ,доьхка
437,Schnur::N,кӓндӹра,муш
438,Leine::N,керем,кочатосу доьхка
439,Decke::N,одеял,юргӏа
440,Kissen::N,кӹпцӹк,гIайба
441,Tuch::N,савыц,исхар
442,Handtuch::N,шӹргӹсавыц,гата
443,Handtuch::N,шӹргӹмсавыц,гата
444,Kraft::N,ви,гӏора
445,Stärke::N,ви,гӏап
446,Gesundheit::N,шу,могашалла
447,Gesundheit::N,шулык,могашалла
448,Krankheit::N,мыж,цамгар
449,Schmerz::N,карштыш,лазар
450,Wunde::N,шушыр,чов
451,Fieber::N,ӱштӹмыж,xорша
452,Arznei::N,лекӓрцӹ,молха
453,Brücke::N,кӹвер,тӏай
454,Brunnen::N,вӹдсӹнзӓ,гӏу
455,Weide::N,ныр,дак
456,Pfad::N,ялгорны,тача
457,Weg::N,корны,некъ
458,Straße::N,корны,урам
459,Dorf::N,сола,юрт
460,Stadt::N,города,гӏала
461,Brief::N,сирмӓш,кехат
462,Buch::N,книгӓ,жайна
463,Buchstabe::N,буква́,элп
464,Zeitung::N,газет,газет
465,Zeitung::N,кайзет,газет
466,Leben::N,житя,дахар
467,Tod::N,смöрт,далар
468,Tod::N,смöрт,ӏожалла
469,Grab::N,шӹгер,каш
470,Grab::N,мыгилӓ,каш
471,Grab::N,шӹгерлӓ,каш
472,Kirche::N,церкӹ,килс
473,Sünde::N,сулык,къа
474,Gott::N,йымы,дела
475,Arbeiter::N,пӓшӓзӹ,белхало
476,Chef::N,вуй,хьаькам
477,Meister::N,мастар,говзанча
478,Arzt::N,доктор,лор
479,Lehrer::N,тымдышы,хьехархо
480,Geld::N,окса,aхча
481,Geschäft::N,торге́йӹмӓш,туька
482,Laden::N,лапка,туька
483,Laden::N,магазин,туька
484,Preis::N,ӓк,мах
485,Ware::N,товар,хlума
486,Nutzen::N,пайда,пайда
487,Reichtum::N,перке,хьал
488,Welt::N,сӓндӓлӹк,дуьне
489,Welt::N,свет,дуьне
490,Land::N,сӓндӓлӹк,мохк
491,Staat::N,кугижӓншӹ,пачхьалкх
492,König::N,король,паччахь
493,Macht::N,власть,ӏедал
494,Grenze::N,пӹсмӓн,доза
495,Krieg::N,вырсы,тӏом
496,Feind::N,тышман,мостагӏ
497,Gewalt::N,ви,гӏело
498,Kampf::N,кредӓлмӓш,къийсам
499,Bogen[Waffe]::N,янгеж,
500,Pfeil::N,пикш,пха
501,Gewehr::N,пичӓл,топ
502,Fehler::N,самынь,гӏалат
503,Lüge::N,шая,аьшпаш
504,Schaden::N,вре́дӓ,зен
505,Unglück::N,пёда,бала
506,Unglück::N,тымаша,бала
507,Schuld::N,вуйнамат,бехк
508,Alter::N,иӓш,хан
509,Alter::N,игечӹ,хан
510,Schluss::N,пӹтӓртӹш,чакхе
511,Zeit::N,веремӓ,хан
512,Tag::N,кечӹ,де
513,Morgen::N,ир,ӏуьйре
514,Morgen::N,ирок,ӏуьйре
515,Mittag::N,кечӹвӓл,делкъе
516,Abend::N,вады,суьйре
517,Nacht::N,йыд,буьйса
518,Woche::N,ӓрня,кӏира
519,Monat::N,тӹ́лзӹ,бутт
520,Jahr::N,год,шо
521,Frühling::N,шошым,бӏаьсте
522,Sommer::N,кӓнгӹж,аьхке
523,Herbst::N,шӹжӹ,гуьйре
524,Winter::N,тел,ӏа
525,Winter::N,телӹ,ӏа
526,Januar::N,январ,январь
527,Januar::N,январь,январь
528,Februar::N,февраль,февраль
529,März::N,март,март
530,April::N,апрель,апрель
531,Mai::N,май,май
