,Concept_ID,vep,bg
0,Auge::N,sil'm,око
1,Ohr::N,korv,ухо
2,Nase::N,nena,нос
3,Mund::N,su,уста
4,Zahn::N,pi,зъб
5,Zahn::N,hambaz,зъб
6,Zunge::N,kel',език
7,Lippe::N,hul',устна
8,Wange::N,modpolišk,буза
9,Gesicht::N,mod,лице
10,Gesicht::N,mod,образ
11,Stirn::N,oc,чело
12,Haar::N,tuk,коса
13,Haar::N,tuk,косъм
14,Haar::N,hibuz,коса
15,Haar::N,hibuz,косъм
16,Schnurrbart::N,habinod,мустаци
17,Bart::N,bard,брада
18,Kinn::N,löug,брада
19,Kinn::N,löug,брадичка
20,Kiefer[Anatomie]::N,hambazlu,челюст
21,Kehle::N,kurk,гърло
22,Hals::N,kagl,врат
23,Genick::N,tagarai,тил
24,Kopf::N,pä,глава
25,Rücken::N,sel'g,гръб
26,Bauch::N,vac,корем
27,Bauch::N,koht,корем
28,Nabel::N,naba,пъп
29,Busen::N,niža,бозка
30,Brust::N,rind,гръд
31,Schulter::N,oug,рамо
32,Schulter::N,oug,плещи
33,Arm::N,käzi,ръка
34,Ellenbogen::N,künambruz,лакът
35,Hand::N,käzi,ръка
36,Hand::N,käzi,китка
37,Hand::N,käzitera,ръка
38,Hand::N,käzitera,китка
39,Handfläche::N,kämen,длан
40,Finger::N,sor'm,пръст
41,Fingernagel::N,künz',нокът
42,Nagel[Anatomie]::N,künz',нокът
43,Zeh::N,barbaz,пръст на крак
44,Fuß::N,jaug,крак
45,Fuß::N,jaug,нога
46,Ferse::N,kand,пета
47,Knie::N,komb,коляно
48,Knie::N,pol'v,коляно
49,Oberschenkel::N,riiže,бедро
50,Bein::N,jaug,крак
51,Bein::N,jaug,нога
52,Körper::N,hibj,тяло
53,Haut::N,nahk,кожа
54,Blut::N,čak,кръв
55,Blut::N,veri,кръв
56,Ader::N,son',вена
57,Ader::N,son',артерия
58,Sehne::N,jände,жила
59,Sehne::N,jände,сухожилие
60,Knochen::N,lu,кост
61,Gehirn::N,aivod,мозък
62,Herz::N,südäin,сърце
63,Magen::N,südäikoht,стомах
64,Leber::N,maks,черен дроб
65,Atem::N,hengaiduz,дишане
66,Hunger::N,näl'g,глад
67,Träne::N,kündal',сълза
68,Geschmack::N,magu,вкус
69,Geruch::N,haju,миризма
70,Schlaf::N,uni,сън
71,Traum::N,unikuva,сън
72,Himmel::N,taivaz,небе
73,Sonne::N,päiväine,слънце
74,Mond::N,kudmaine,луна
75,Mond::N,kudmaine,месец
76,Stern::N,tähtaz,звезда
77,Luft::N,il'm,въздух
78,Wind::N,döl,вятър
79,Wind::N,tullei,вятър
80,Welle::N,ald,вълна
81,Welle::N,laineh,вълна
82,Wasser::N,vezi,вода
83,Stein::N,kivi,камък
84,Boden::N,ma,земя
85,Boden::N,ma,почва
86,Boden::N,pohj,земя
87,Boden::N,pohj,почва
88,Erde::N,ma,земя
89,Erde::N,ma,почва
90,Staub::N,pölü,прах
91,Rauch::N,savu,дим
92,Rauch::N,savu,пушек
93,Funke::N,kibin,искра
94,Feuer::N,lämoi,огън
