,Concept_ID,hu,bn
0,Auge::N,szem,চক্ষু
1,Ohr::N,fül,কর্ণ
2,Nase::N,orr,নাক
3,Mund::N,száj,মুখ
4,Zahn::N,fog,দাঁত
5,Zunge::N,nyelv,জিহবা
6,Lippe::N,ajak,অধর
7,Wange::N,orca,গণ্ড
8,Gesicht::N,arc,মুখমণ্ডল
9,Stirn::N,homlok,কপাল
10,Haar::N,haj,চুল
11,Schnurrbart::N,bajusz,গোঁফ
12,Bart::N,szakáll,শ্মশ্রু
13,Kinn::N,áll,চিবুক
14,Kiefer[Anatomie]::N,állkapocs,চোয়াল
15,Kehle::N,gége,কণ্ঠ
16,Kehle::N,torok,কণ্ঠ
17,Hals::N,nyak,গল
18,Genick::N,tarkó,ঘাড়
19,Kopf::N,fő,মাথা
20,Kopf::N,fej,মাথা
21,Rücken::N,hát,পৃষ্ঠ
22,Bauch::N,has,উদর
23,Nabel::N,köldök,নাভি
24,Busen::N,mell,স্তন
25,Busen::N,kebel,স্তন
26,Brust::N,mell,বুক
27,Schulter::N,váll,স্কন্ধ
28,Arm::N,kar,বাহু
29,Ellenbogen::N,könyök,কনুই
30,Hand::N,kéz,হাত
31,Handfläche::N,tenyér,করতল
32,Finger::N,ujj,আঙ্গুল
33,Fingernagel::N,köröm,হাতের নখ
34,Nagel[Anatomie]::N,köröm,নখ
35,Zeh::N,lábujj,আঙ্গুল
36,Fuß::N,láb,পা
37,Ferse::N,sarok,গোড়ালি
38,Knie::N,térd,হাঁটু
39,Oberschenkel::N,comb,ঊরু
40,Bein::N,láb,পা
41,Bein::N,lábszár,পা
42,Körper::N,test,দেহ
43,Haut::N,bőr,ত্বক
44,Blut::N,vér,রক্ত
45,Ader::N,ér,শিরা
46,Sehne::N,ín,কণ্ডরা
47,Knochen::N,csont,অস্থি
48,Gehirn::N,agy,মস্তিষ্ক
49,Gehirn::N,agyvelő,মস্তিষ্ক
50,Herz::N,szív,হৃৎপিণ্ড
51,Magen::N,gyomor,পাকস্থলী
52,Leber::N,máj,যকৃৎ
53,Atem::N,lehelet,শ্বাস
54,Atem::N,lélegzet,শ্বাস
55,Hunger::N,éhség,ক্ষুধা
56,Träne::N,könny,অশ্রু
57,Geschmack::N,íz,স্বাদ
58,Geruch::N,szag,গন্ধ
59,Schlaf::N,álom,ঘুম
60,Schlaf::N,alvás,ঘুম
61,Traum::N,álom,স্বপ্ন
62,Himmel::N,ég,আকাশ
63,Himmel::N,menny,আকাশ
64,Sonne::N,nap,সূর্য
65,Mond::N,hold,চন্দ্র
66,Stern::N,csillag,নক্ষত্র
67,Luft::N,levegő,বায়ু
68,Wind::N,szél,বাতাস
69,Welle::N,hullám,ঢেউ
70,Welle::N,hullám,তরঙ্গ
71,Wasser::N,víz,জল
72,Stein::N,kő,ঢিল
73,Stein::N,kő,প্রস্তর
74,Boden::N,föld,ভূতল
75,Boden::N,talaj,ভূতল
76,Erde::N,föld,ভূমি
77,Staub::N,por,ধুলা
78,Rauch::N,füst,ধোঁয়া
79,Funke::N,szikra,স্ফুলিঙ্গ
80,Feuer::N,tűz,অগ্নি
81,Licht::N,fény,আলো
