,Concept_ID,,bn
0,Auge::N,,চক্ষু
1,Ohr::N,,কর্ণ
2,Nase::N,,নাক
3,Mund::N,,মুখ
4,Zahn::N,,দাঁত
5,Zunge::N,,জিহবা
6,Lippe::N,,অধর
7,Wange::N,,গণ্ড
8,Gesicht::N,,মুখমণ্ডল
9,Stirn::N,,কপাল
10,Haar::N,,চুল
11,Schnurrbart::N,,গোঁফ
12,Bart::N,,শ্মশ্রু
13,Kinn::N,,চিবুক
14,Kiefer[Anatomie]::N,,চোয়াল
15,Kehle::N,,কণ্ঠ
16,Hals::N,,গল
17,Genick::N,,ঘাড়
18,Kopf::N,,মাথা
19,Rücken::N,,পৃষ্ঠ
20,Bauch::N,,উদর
21,Nabel::N,,নাভি
22,Busen::N,,স্তন
23,Brust::N,,বুক
24,Schulter::N,,স্কন্ধ
25,Arm::N,,বাহু
26,Ellenbogen::N,,কনুই
27,Hand::N,,হাত
28,Handfläche::N,,করতল
29,Finger::N,,আঙ্গুল
30,Fingernagel::N,,হাতের নখ
31,Nagel[Anatomie]::N,,নখ
32,Zeh::N,,আঙ্গুল
33,Fuß::N,,পা
34,Ferse::N,,গোড়ালি
35,Knie::N,,হাঁটু
36,Oberschenkel::N,,ঊরু
37,Bein::N,,পা
38,Körper::N,,দেহ
39,Haut::N,,ত্বক
40,Blut::N,,রক্ত
41,Ader::N,,শিরা
42,Sehne::N,,কণ্ডরা
43,Knochen::N,,অস্থি
44,Gehirn::N,,মস্তিষ্ক
45,Herz::N,,হৃৎপিণ্ড
46,Magen::N,,পাকস্থলী
47,Leber::N,,যকৃৎ
48,Atem::N,,শ্বাস
49,Hunger::N,,ক্ষুধা
50,Träne::N,,অশ্রু
51,Geschmack::N,,স্বাদ
52,Geruch::N,,গন্ধ
53,Schlaf::N,,ঘুম
54,Traum::N,,স্বপ্ন
55,Himmel::N,,আকাশ
56,Sonne::N,,সূর্য
57,Mond::N,,চন্দ্র
58,Stern::N,,নক্ষত্র
59,Luft::N,,বায়ু
60,Wind::N,,বাতাস
61,Welle::N,,ঢেউ
62,Welle::N,,তরঙ্গ
63,Wasser::N,,জল
64,Stein::N,,ঢিল
65,Stein::N,,প্রস্তর
66,Boden::N,,ভূতল
67,Erde::N,,ভূমি
68,Staub::N,,ধুলা
69,Rauch::N,,ধোঁয়া
70,Funke::N,,স্ফুলিঙ্গ
71,Feuer::N,,অগ্নি
72,Licht::N,,আলো
73,Schatten::N,,ছায়া
74,Wetter::N,,আবহাওয়া
75,Nebel::N,,কুহেলিকা
76,Wolke::N,,মেঘ
77,Regen::N,,বৃষ্টি
78,Schnee::N,,তুষার
79,Eis::N,,বরফ
80,Frost::N,,তুষার
81,Kälte::N,,শৈত্য
82,Hitze::N,,তাপ
83,Raureif::N,,তুহিন
84,Regenbogen::N,,রামধনু
85,Donner::N,,বজ্রধ্বনি
86,Strömung::N,,স্রোত
87,Tropfen::N,,ফোঁটা
88,Schaum::N,,ফেনা
89,Schmutz::N,,ধুলা
90,See::N,,হ্রদ
91,Sumpf::N,,জলা
92,Moor::N,,মাঠ
