,Concept_ID,cs,te
0,Auge::N,oko,కన్ను
1,Ohr::N,ucho,చెవి
2,Nase::N,nos,ముక్కు
3,Mund::N,pusa,నోరు
4,Zahn::N,zub,పల్లు
5,Zunge::N,jazyk,నాలుక
6,Lippe::N,ret,పెదవి
7,Wange::N,tvář,చెంప
8,Gesicht::N,obličej,ముఖము
9,Stirn::N,čelo,నుదురు
10,Haar::N,vlas,వెండ్రుక
11,Haar::N,vlasy,వెండ్రుక
12,Schnurrbart::N,kníry,మీసము
13,Bart::N,vousy,గడ్డము
14,Kinn::N,brada,గడ్డము
15,Kiefer[Anatomie]::N,čelist,దౌడ
16,Kehle::N,hrdlo,గొంతు
17,Hals::N,krk,మెడ
18,Genick::N,týl,మూపు
19,Kopf::N,hlava,తల
20,Rücken::N,záda,వెన్ను
21,Rücken::N,hřbet,వెన్ను
22,Bauch::N,břicho,కడుపు
23,Nabel::N,pupek,బొడ్డు
24,Busen::N,ňadra,స్తనము
25,Brust::N,prsa,ఱొమ్ము
26,Schulter::N,plece,భుజము
27,Schulter::N,rameno,భుజము
28,Arm::N,ruka,చేయి
29,Ellenbogen::N,loket,మోచేయి
30,Hand::N,ruka,చేయి
31,Handfläche::N,dlaň,అరచేయు
32,Finger::N,prst,చేతిప్రేలు
33,Fingernagel::N,nehet,గోరు
34,Nagel[Anatomie]::N,nehet,గోరు
35,Zeh::N,prst u nohy,కాలిప్రేలు
36,Fuß::N,noha,అడుగు
37,Ferse::N,pata,మడమ
38,Knie::N,koleno,మోకాలు
39,Oberschenkel::N,stehno,తొడ
40,Bein::N,noha,కాలు
41,Körper::N,tělo,కాయము
42,Haut::N,kůže,చర్మము
43,Blut::N,krev,రక్తము
44,Ader::N,céva,సిర
45,Sehne::N,šlacha,స్నాయువు
46,Knochen::N,kost,ఎముక
47,Gehirn::N,mozek,మెదడు
48,Herz::N,srdce,హృదయము
49,Magen::N,žaludek,కడుపు
50,Leber::N,játra,కాలేయము
51,Atem::N,dech,ఉపిరి
52,Hunger::N,hlad,ఆకలి
53,Träne::N,slza,కన్నీటిచుక్క
54,Geschmack::N,vkus,రుచి
55,Geruch::N,vůně,వాసన
56,Geruch::N,zápach,వాసన
57,Schlaf::N,spánek,నిద్ర
58,Traum::N,sen,కల
59,Himmel::N,nebe,ఆకాశము
60,Sonne::N,slunce,సూర్యుడు
61,Mond::N,měsíc,చంద్రుడు
62,Stern::N,hvězda,నక్షత్రము
63,Luft::N,vzduch,గాలి
64,Wind::N,vítr,వీచుచున్నగాలి
65,Welle::N,vlna,అల
66,Wasser::N,voda,నీరు
67,Stein::N,kámen,ఱాయి
68,Boden::N,půda,నేల
69,Erde::N,země,మన్ను
70,Staub::N,prach,దుమ్ము
71,Rauch::N,dým,పొగ
72,Rauch::N,kouř,పొగ
73,Funke::N,jiskra,అగ్నికణము
74,Feuer::N,oheň,అగ్ని
75,Licht::N,světlo,కాంతి
76,Schatten::N,stín,నీడ
77,Wetter::N,počasí,వాతావరణ స్థితి
78,Nebel::N,mlha,పొగమంచు
79,Wolke::N,mrak,మేఘము
80,Wolke::N,oblak,మేఘము
81,Regen::N,déšť,వాన
82,Schnee::N,sníh,హిమము
83,Eis::N,led,మంచుగడ్డ
84,Frost::N,mráz,పేరిన మంచు
85,Kälte::N,chlad,చలి
86,Hitze::N,horko,వేడిమి
87,Raureif::N,jinovatka,మంచు
88,Regenbogen::N,duha,ఇంద్రధనుస్సు
89,Donner::N,hrom,ఉరుము
90,Strömung::N,proudění,ప్రవాహము
91,Tropfen::N,kapka,చుక్క
92,Schaum::N,pěna,నురుగు
93,Schmutz::N,špína,మైల
94,See::N,jezero,సరస్సు
95,Sumpf::N,močál,చిత్తడినేల
96,Sumpf::N,bažina,చిత్తడినేల
97,Moor::N,bažina,చిత్తడినేల
98,Moor::N,slatina,చిత్తడినేల
99,Wiese::N,louka,పచ్చిక బయలు
100,Wald::N,les,అడవి
101,Hügel::N,kopec,చివ్నకొండ
102,Anhöhe::N,pahorek,కొండ
103,Berg::N,hora,పర్వతము
104,Gipfel::N,vrchol,శిఖరము
105,Höhle::N,jeskyně,గుహ
106,Abhang::N,svah,ఏటవాలు
107,Abhang::N,stráň,ఏటవాలు
108,Quelle::N,pramen,మూలము
109,Bach::N,potok,కాలువ
110,Fluss::N,řeka,నది
111,Ufer::N,břeh,తీరము
112,Küste::N,pobřeží,తీరము
113,Festland::N,souš,భూమి
114,Festland::N,pevnina,భూమి
115,Meer::N,moře,సముద్రము
116,Bucht::N,záliv,మరుగు
117,Bucht::N,zátoka,మరుగు
118,Insel::N,ostrov,దీవి
119,Blume::N,květina,పుష్పము
120,Gras::N,tráva,పచ్చగడ్డి
121,Wurzel::N,kořen,వేరు
122,Baum::N,strom,చెట్టు
123,Stamm::N,kmen,చెట్టుబోదె
124,Rinde::N,kůra,చెట్టుపట్ట
125,Ast::N,větev,కొమ్మ
126,Zweig::N,větev,చివుకు
127,Blatt::N,lupen,ఆకు
128,Birke::N,bříza,తరహా చెట్టు
129,Kiefer[Baum]::N,sosna,దేవదారు చెట్టు
130,Kiefer[Baum]::N,borovice,దేవదారు చెట్టు
131,Weide[Baum]::N,vrba,జాతిచెట్టు
132,Tanne::N,jedle,దేవదారుచెట్టు
133,Horn::N,roh,కొమ్ము
134,Feder::N,pero,ఈక
135,Fell::N,srst,తోలు
136,Flügel::N,křídlo,ఱెక్క
137,Klaue::N,dráp,వంకరగోరు
138,Klaue::N,pazneht,వంకరగోరు
139,Kralle::N,dráp,వంకరగోరు
140,Schwanz::N,ocas,తోక
141,Ei::N,vejce,గ్రుడ్డు
142,Nest::N,hnízdo,పక్షిగూడు
143,Bau::N,nora,గుహ
144,Tier::N,zvíře,జంతువు
145,Herde::N,stádo,మంద
146,Kuh::N,kráva,ఆవు
147,Bulle::N,býk,గిత్త
148,Pferd::N,kůň,గుఱ్ఱము
149,Schaf::N,ovce,గొఱ్ఱె
150,Schwein::N,vepř,పంది
151,Schwein::N,prase,పంది
152,Hund::N,pes,కుక్క
153,Katze::N,kočka,పిల్లి
