,Concept_ID,ba,cv
0,Auge::N,күҙ,куҫ
1,Ohr::N,ҡолаҡ,хӑлха
2,Nase::N,танау,сӑмса
3,Mund::N,ауыҙ,ҫӑвар
4,Zahn::N,теш,шӑл
5,Zunge::N,тел,чӗлхе
6,Lippe::N,ирен,тута
7,Wange::N,яцаҡтар,пит ҫӑмарти
8,Gesicht::N,бит,пит
9,Gesicht::N,бит,пит-куҫ
10,Stirn::N,маңлай,ҫамка
11,Haar::N,сәс,ҫӳҫ
12,Schnurrbart::N,мылтыҡ,усси
13,Bart::N,һаҡал,сухал
14,Kinn::N,эйэк,янах
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,янах
16,Kehle::N,тамаҡ,пыр
17,Kehle::N,тамаҡ,карланкӑ
18,Hals::N,муйын,пыр
19,Genick::N,соңҡа,ӗнсе
20,Kopf::N,баш,пуҫ
21,Rücken::N,арҡа,ҫурӑм
22,Bauch::N,ҡорһаҡ,
23,Nabel::N,кендек,кӑвапа
24,Busen::N,күкрәк,кӑкӑр
25,Brust::N,түш,умӗ
26,Schulter::N,яурын,хул пуҫҫи
27,Arm::N,ҡул,алӑ
28,Ellenbogen::N,терһәк,чавса
29,Hand::N,ҡул,алӑ сыппи
30,Hand::N,ҡул суғы,алӑ сыппи
31,Handfläche::N,ус төбө,ал лаппи
32,Finger::N,бармаҡ,пӳрне
33,Fingernagel::N,тырнаҡ,чӗрне
34,Nagel[Anatomie]::N,тырнаҡ,чӗрне
35,Zeh::N,бармаҡ,пӳрне
36,Fuß::N,табан,ура лаппи
37,Ferse::N,үксә,кӗле
38,Knie::N,тубыҡ,чӗркуҫҫи
39,Oberschenkel::N,сандыр,пӗҫӗ
40,Bein::N,аяҡ,ура
41,Körper::N,тән,ӳт
42,Körper::N,тән,ӳт-пӳ
43,Haut::N,тире,тир
44,Blut::N,ҡан,юн
45,Ader::N,тамыр,вена
46,Sehne::N,һеңер,шӑнӑр
47,Sehne::N,тарамыш,шӑнӑр
48,Knochen::N,һойәк,шӑмӑ
49,Gehirn::N,мейе,миме
50,Herz::N,йорәк,чӗре
51,Magen::N,ашҡаҙан,хырӑмлӑх
52,Leber::N,бауыр,пӗвер
53,Atem::N,һулыш,сывлав
54,Hunger::N,аслыҡ,выҫлӑх
55,Träne::N,күҙ иәше,куҫҫуль
56,Geschmack::N,тәм,техӗм
57,Geruch::N,еҫ,шӑршӑ
58,Schlaf::N,йоҡлау,ыйхӑ
59,Traum::N,төш,тӗлӗк
60,Himmel::N,күк,пӗлӗт
61,Sonne::N,ҡояш,хӗвел
62,Mond::N,ай,уйӑх
63,Stern::N,йондоҙ,ҫӑлтӑр
64,Luft::N,һауа,сывлӑш
65,Wind::N,ел,ҫил
66,Welle::N,тулҡын,хум
67,Wasser::N,һыу,шыв
68,Wasser::N,һыу,шыв-шур
69,Stein::N,таш,чул
70,Boden::N,тупраҡ,тӑпра
71,Erde::N,балсҡ,ҫӗр
72,Staub::N,туҙан,тусан
73,Rauch::N,төтөн,тӗтӗм
74,Funke::N,осҡон,хӗм
75,Feuer::N,ут,вут
76,Feuer::N,ут,ҫулӑм
77,Licht::N,яҡтылыҡ,ҫутӑ
78,Schatten::N,күләгә,сулхӑн
79,Wetter::N,һауа торошо,ҫанталӑк
80,Nebel::N,төман,тӗтре
81,Wolke::N,болот,пӗлӗт
82,Regen::N,ямғыр,ҫумӑр
83,Schnee::N,ҡар,юр
84,Eis::N,боҙ,пӑр
85,Frost::N,һалҡын,сивӗ
86,Kälte::N,һыуыҡ,сивӗ
87,Hitze::N,томра,вӗри
