,Concept_ID,udm,hr
0,Auge::N,син,oko
1,Ohr::N,пель,uho
2,Nase::N,ныр,nos
3,Mund::N,ым,usta
4,Zahn::N,пинь,zub
5,Zunge::N,кыл,jezik
6,Lippe::N,ымдур,usna
7,Wange::N,бам,obraz
8,Gesicht::N,ымныр,lice
9,Stirn::N,кымес,čelo
10,Haar::N,йырси,kosa
11,Schnurrbart::N,мыйык,brkovi
12,Bart::N,туш,brada
13,Kinn::N,ангес,brada
14,Kinn::N,ангес,podbradak
15,Kiefer[Anatomie]::N,ан,čeljust
16,Kiefer[Anatomie]::N,анлы,čeljust
17,Kehle::N,гульым,grlo
18,Hals::N,чырты,vrat
19,Genick::N,йырбер,zatiljak
20,Kopf::N,йыр,glava
21,Rücken::N,мыш,leđa
22,Rücken::N,мыш,hrbat
23,Bauch::N,кӧт,trbuh
24,Nabel::N,гогы,pupak
25,Busen::N,ноны,sisa
26,Busen::N,ноны,njedra
27,Brust::N,мӧля,prsa
28,Schulter::N,пельпум,rame
29,Schulter::N,пельпум,pleći
30,Arm::N,суй,ruka
31,Ellenbogen::N,гырпум,lakat
32,Hand::N,ки,ruka
33,Handfläche::N,ки пыдэс,dlan
34,Handfläche::N,кырым пыдэс,dlan
35,Finger::N,чиньы,prst
36,Fingernagel::N,гижы,nokat
37,Fingernagel::N,гиждӥнь,nokat
38,Nagel[Anatomie]::N,гижы,nokat
39,Zeh::N,пыдчиньы,nozni prst
40,Fuß::N,пыд,noga
41,Fuß::N,пыд,stopalo
42,Ferse::N,пыдбер,peta
43,Knie::N,пыдес,koljeno
44,Oberschenkel::N,макес,bedro
45,Bein::N,пыд,noga
46,Körper::N,мугор,tijelo
47,Körper::N,вылтыр,tijelo
48,Haut::N,ку,put
49,Haut::N,ку,koža
50,Blut::N,вир,krv
51,Ader::N,вирсэр,žila
52,Sehne::N,вуж,tetiva
53,Knochen::N,лы,kost
54,Gehirn::N,вим,
55,Herz::N,сюлэм,srce
56,Magen::N,ӝуш,stomak
57,Magen::N,ӝуш,želudac
58,Leber::N,мус,jetra
59,Atem::N,лул,dah
60,Atem::N,шокан,dah
61,Hunger::N,кӧтсюман,glad
62,Träne::N,синкыли,suza
63,Geschmack::N,шӧм,ukus
64,Geruch::N,зын,njuh
65,Geruch::N,зын,miris
66,Schlaf::N,вӧт,san
67,Traum::N,уйвӧт,san
68,Himmel::N,ин,nebo
69,Sonne::N,шунды,sunce
70,Mond::N,толэзь,mjesec
71,Stern::N,кизили,zvijezda
72,Luft::N,омыр,zrak
73,Wind::N,тӧл,vjetar
74,Welle::N,тулкым,val
75,Welle::N,тулкым,talas
76,Wasser::N,ву,voda
77,Stein::N,из,kamen
78,Boden::N,музъем,tlo
79,Boden::N,музъем,zemlja
80,Erde::N,му,zemlja
81,Staub::N,пыль,prah
82,Staub::N,пыль,prašina
83,Rauch::N,ӵын,dim
84,Funke::N,гизьы,iskra
85,Funke::N,гизьы,varnica
86,Feuer::N,тыл,vatra
87,Licht::N,тыл,svjetlo
88,Schatten::N,вужер,hlad
89,Schatten::N,вужер,sjena
90,Wetter::N,куазь,vrijeme
91,Nebel::N,бус,magla
92,Wolke::N,пилем,oblak
93,Regen::N,зор,kiša
94,Schnee::N,лымы,snijeg
95,Eis::N,йӧ,led
96,Frost::N,кезьыт,mraz
97,Kälte::N,кезьыт,studen
98,Kälte::N,кезьыт,hladnoća
99,Hitze::N,пӧсь,vrućina
100,Raureif::N,гӧр,inje
101,Regenbogen::N,вуюись,duga
102,Donner::N,гудыри,grom
103,Donner::N,гудыри,grmljavina
104,Strömung::N,бызён,struja
