,Concept_ID,et,mhr
0,Auge::N,silm,шинча́
1,Ohr::N,kõrv,пы́лыш
2,Nase::N,nina,нер
3,Mund::N,suu,умша́
4,Zahn::N,hammas,пӱй
5,Zunge::N,keel,йы́лме
6,Lippe::N,huul,тӱ́рвӧ
7,Wange::N,põsk,шӱ́ргӧ
8,Gesicht::N,nägu,чури́й
9,Stirn::N,otsmik,саҥга́
10,Haar::N,juus,ӱп
11,Schnurrbart::N,vurrud,ӧ́рыш
12,Schnurrbart::N,vuntsid,ӧ́рыш
13,Bart::N,habe,понда́ш
14,Kinn::N,lõug,оҥыла́ш
15,Kiefer[Anatomie]::N,lõualuu,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,lõualuu,пӱйората́
17,Kehle::N,kõri,лога́р
18,Hals::N,kael,шӱй
19,Genick::N,kukal,шӱйло́дыш
20,Kopf::N,pea,вуй
21,Rücken::N,selg,туп
22,Bauch::N,kõht,мӱ́шкыр
23,Nabel::N,naba,кы́лымде
24,Busen::N,rind,чы́зе
25,Brust::N,rind,оҥ
26,Schulter::N,õlg,ва́че
27,Arm::N,käsivars,кид
28,Ellenbogen::N,küünarnukk,кынерву́й
29,Hand::N,käsi,кид
30,Hand::N,käsi,копа́
31,Handfläche::N,pihk,со́во
32,Finger::N,sõrm,парня́
33,Fingernagel::N,küüs,кидкӱ́ч
34,Fingernagel::N,küüs,парнягӱ́ч
35,Nagel[Anatomie]::N,küüs,кӱч
36,Zeh::N,varvas,йолварня́
37,Fuß::N,jalg,йол
38,Fuß::N,jalg,йолкопа́
39,Ferse::N,kand,тага́н
40,Knie::N,põlv,пулву́й
41,Oberschenkel::N,reis,э́рде
42,Bein::N,jalg,йол
43,Körper::N,ihu,кап
44,Körper::N,keha,кап
45,Haut::N,nahk,кова́ште
46,Blut::N,veri,вӱр
47,Ader::N,veen,шӧн
48,Sehne::N,kõõlus,шӧн
49,Sehne::N,kõõlus,кӱсе́н
50,Knochen::N,luu,лу
51,Gehirn::N,aju,вем
52,Gehirn::N,aju,вуйве́м
53,Herz::N,süda,шӱм
54,Magen::N,magu,пага́р
55,Leber::N,maks,мокш
56,Atem::N,hingeõhk,шӱ́лыш
57,Atem::N,hingamine,шӱ́лыш
58,Hunger::N,nälg,шужыма́ш
59,Träne::N,pisar,шинчавӱ́д
60,Geschmack::N,maitse,там
61,Geruch::N,lõhn,пуш
62,Schlaf::N,uni,о́мо
63,Traum::N,unenägu,йӱдо́мо
64,Himmel::N,taevas,кава́
65,Sonne::N,päike,ке́че
66,Mond::N,kuu,ты́лзе
67,Stern::N,täht,шӱ́дыр
68,Luft::N,õhk,юж
69,Wind::N,tuul,марде́ж
70,Welle::N,laine,то́лкын
71,Wasser::N,vesi,вӱд
72,Stein::N,kivi,кӱ
73,Boden::N,maa,рок
74,Boden::N,pinnas,рок
75,Erde::N,maa,мла́нде
76,Staub::N,põrm,пура́к
77,Rauch::N,suits,шикш
78,Funke::N,säde,сеске́м
79,Funke::N,säde,тулйы́п
80,Feuer::N,tuli,тул
81,Licht::N,valgus,со́то
82,Schatten::N,vari,ӱ́мыл
83,Wetter::N,ilm,иге́че
84,Nebel::N,udu,тӱтыра́
85,Wolke::N,pilv,пыл
86,Regen::N,sadu,йӱр
87,Schnee::N,lumi,лум
88,Eis::N,jää,ий
89,Frost::N,pakane,чатлама́
90,Kälte::N,külm,йӱ́штӧ
91,Kälte::N,külmus,йӱ́штӧ
92,Hitze::N,kuumus,шо́кшо
93,Hitze::N,palavus,шо́кшо
94,Raureif::N,härmatis,пӧрш
95,Raureif::N,härmatis,по́кшым
96,Regenbogen::N,vikerkaar,шонанпы́л
97,Donner::N,kõu,кӱ́дырчӧ
98,Donner::N,müristamine,кӱ́дырчӧ
99,Strömung::N,voolus,йо́гын
100,Strömung::N,jõevool,йо́гын
101,Tropfen::N,tilk,чӱча́лтыш
102,Schaum::N,vaht,шоҥ
103,Schmutz::N,pori,лавыра́
104,Schmutz::N,mustus,лавыра́
105,See::N,järv,ер
106,Sumpf::N,soo,лӱ́кӧ
107,Moor::N,raba,куп
108,Wiese::N,aas,о́лык
109,Wiese::N,nurm,о́лык
110,Wald::N,mets,чодыра́
111,Hügel::N,küngas,арка́
112,Anhöhe::N,küngas,тӧва́
113,Anhöhe::N,küngas,кӱкшака́
114,Berg::N,mägi,ку́рык
115,Gipfel::N,mäetipp,чаҥга́
116,Gipfel::N,mäetipp,курыкву́й
117,Höhle::N,koobas,пеще́р
118,Höhle::N,koobas,курыкпо́мыш
119,Abhang::N,nõlvak,та́йыл
120,Quelle::N,allikas,важ
121,Quelle::N,allikas,вӱдшинча́
122,Bach::N,oja,изэҥе́р
123,Fluss::N,jõgi,эҥе́р
124,Ufer::N,kallas,сер
125,Küste::N,rannik,вӱдтӱ́р
126,Festland::N,mander,мла́нде
127,Festland::N,maismaa,мла́нде
128,Meer::N,meri,те́ҥыз
129,Bucht::N,laht,икса́
130,Insel::N,saar,отро́
131,Blume::N,lill,пеле́дыш
132,Gras::N,rohi,шу́до
133,Wurzel::N,juur,вож
134,Baum::N,puu,пуше́ҥге
135,Stamm::N,tüvi,йы́тыр
