,Concept_ID,ps,sk
0,Auge::N,سترګه,oko
1,Ohr::N,غوږ,ucho
2,Nase::N,پوزه,nos
3,Mund::N,خوله,ústa
4,Zahn::N,غاښ,zub
5,Zunge::N,جبه,jazyk
6,Lippe::N,شونډه,pera
7,Wange::N,باړخو,líce
8,Gesicht::N,مخ,tvár
9,Gesicht::N,مخ,obličaj
10,Stirn::N,تندی,čelo
11,Stirn::N,وچولی,čelo
12,Haar::N,وېښته,vlas
13,Schnurrbart::N,برېت,fúzy
14,Bart::N,ږیره,brada
15,Kinn::N,زنه,brada
16,Kiefer[Anatomie]::N,جامه,čeľusť
17,Kehle::N,غاړه,hrdlo
18,Hals::N,غاړه,krk
19,Genick::N,ورمېږ,väzy
20,Kopf::N,سر,hlava
21,Rücken::N,شا,chrbát
22,Bauch::N,نس,brucho
23,Bauch::N,ګېډه,brucho
24,Nabel::N,نوم,pupok
25,Busen::N,تی,prsia
26,Brust::N,سینه,hruď
27,Schulter::N,اوږه,plece
28,Arm::N,لاس,rameno
29,Ellenbogen::N,څنګل,lakeť
30,Hand::N,لاس,ruka
31,Handfläche::N,ورغوی,dlaň
32,Finger::N,ګوته,prst
33,Fingernagel::N,نوک,necht
34,Nagel[Anatomie]::N,نوک,necht
35,Zeh::N,ګوته,prst na nohe
36,Fuß::N,پښه,noha
37,Ferse::N,پونده,päta
38,Knie::N,زنګون,koleno
39,Oberschenkel::N,پتون,stehno
40,Bein::N,پښه,noha
41,Körper::N,ځان,telo
42,Haut::N,پوټکی,koža
43,Blut::N,وینه,krv
44,Ader::N,رګ,žila
45,Sehne::N,پله,šľacha
46,Knochen::N,هډوکی,kosť
47,Gehirn::N,ماغزه,mozog
48,Herz::N,زړه,srdce
49,Magen::N,معده,žalúdok
50,Leber::N,ينه,pečeň
51,Leber::N,ځیګر,pečeň
52,Atem::N,نفس,dych
53,Hunger::N,ولږه,hlad
54,Träne::N,اوښکه,slza
55,Geschmack::N,مزه,chuť
56,Geschmack::N,خوند,chuť
57,Geruch::N,بوی,pach
58,Schlaf::N,خوب,spánok
59,Traum::N,خوب,sen
60,Himmel::N,اسمان,nebo
61,Sonne::N,لمر,slnko
62,Mond::N,سپوږمۍ,mesiac
63,Stern::N,ستوری,hviezda
64,Luft::N,هوا,vzduch
65,Wind::N,ورښ,vietor
66,Welle::N,موج,vlna
67,Wasser::N,اوبه,voda
68,Stein::N,ډبره,kameň
69,Boden::N,مځکه,zem
70,Boden::N,مځکه,pôda
71,Erde::N,خاوره,zem
72,Staub::N,ګرد,prach
73,Staub::N,خاوره,prach
74,Rauch::N,دود,dym
75,Rauch::N,لوګی,dym
