,Concept_ID,ro,be
0,Auge::N,ochi,вока
1,Ohr::N,ureche,вуха
2,Nase::N,nas,нос
3,Mund::N,gură,рот
4,Zahn::N,dinte,зуб
5,Zunge::N,limbă,язык
6,Lippe::N,buză,губа
7,Wange::N,bucă,шчака
8,Wange::N,obraz,шчака
9,Gesicht::N,față,твар
10,Gesicht::N,figură,твар
11,Stirn::N,frunte,лоб
12,Haar::N,păr,волас
13,Haar::N,păr,валасы
14,Schnurrbart::N,mustață,вус
15,Schnurrbart::N,mustață,вусы
16,Bart::N,barbă,барада
17,Kinn::N,bărbie,падбародак
18,Kiefer[Anatomie]::N,falcă,сківіца
19,Kehle::N,beregată,горла
20,Hals::N,gât,шыя
21,Genick::N,ceafă,патыліца
22,Kopf::N,cap,галава
23,Rücken::N,dos,спіна
24,Rücken::N,spate,спіна
25,Rücken::N,spinare,спіна
26,Bauch::N,burtă,жывот
27,Bauch::N,pântece,жывот
28,Nabel::N,buric,пупок
29,Busen::N,sân,грудзі
30,Brust::N,piept,грудзі
31,Schulter::N,umăr,плячо
32,Schulter::N,spate,плячо
33,Arm::N,braț,рука
34,Ellenbogen::N,cot,локаць
35,Hand::N,mână,кісць
36,Handfläche::N,palmă,далонь
37,Finger::N,deget,палец
38,Fingernagel::N,unghie,ногаць
39,Nagel[Anatomie]::N,unghie,ногаць
40,Zeh::N,deget de la picior,палец
41,Fuß::N,picior,нага
42,Ferse::N,călcâi,пята
43,Ferse::N,călcâi,пятка
44,Knie::N,genunchi,калена
45,Oberschenkel::N,coapsă,бядро
46,Oberschenkel::N,coapsă,сцягно
47,Bein::N,picior,нага
48,Körper::N,corp,цела
49,Haut::N,piele,скура
50,Blut::N,sânge,кроў
51,Ader::N,vână,вена
52,Ader::N,vână,сасуд
53,Ader::N,arteră,вена
54,Ader::N,arteră,сасуд
55,Sehne::N,tendon,жыла
56,Sehne::N,tendon,цеціва
57,Sehne::N,tendon,сухажылле
58,Knochen::N,os,косць
59,Gehirn::N,creier,мозг
60,Herz::N,inimă,сэрца
61,Magen::N,stomac,страўнік
62,Leber::N,ficat,печань
63,Atem::N,răsuflare,дыханне
64,Atem::N,respirație,дыханне
65,Hunger::N,foame,голад
66,Träne::N,lacrimă,сляза
67,Geschmack::N,gust,смак
68,Geruch::N,miros,пах
69,Schlaf::N,somn,сон
70,Traum::N,vis,сон
71,Himmel::N,cer,неба
72,Sonne::N,soare,сонца
73,Mond::N,lună,месяц
74,Stern::N,stea,зорка
75,Luft::N,aer,паветра
76,Wind::N,vânt,вецер
77,Welle::N,val,хваля
78,Welle::N,undă,хваля
79,Wasser::N,apă,вада
80,Stein::N,piatră,камень
81,Boden::N,sol,глеба
82,Boden::N,pământ,глеба
83,Erde::N,pământ,зямля
84,Staub::N,praf,пыл
85,Rauch::N,fum,дым
86,Funke::N,scânteie,іскра
87,Feuer::N,foc,агонь
88,Licht::N,lumină,святло
89,Schatten::N,umbră,цень
90,Wetter::N,timp,пагода
91,Wetter::N,timp,надворʼе
92,Wetter::N,vreme,пагода
93,Wetter::N,vreme,надворʼе
94,Nebel::N,ceață,туман
95,Nebel::N,negură,туман
96,Wolke::N,nor,воблака
97,Regen::N,ploaie,дождж
98,Schnee::N,zăpadă,снег
99,Eis::N,gheață,лёд
100,Frost::N,ger,мароз
101,Kälte::N,frig,холад
