,Concept_ID,ce,uz
0,Auge::N,бӏаьрг,ko'z
1,Ohr::N,лерг,quloq
2,Nase::N,мара,burun
3,Mund::N,бага,og'iz
4,Zahn::N,церг,tish
5,Zunge::N,мотт,til
6,Lippe::N,балда,dudoq
7,Wange::N,бесни,bet
8,Gesicht::N,юьхь,yuz
9,Stirn::N,хьаж,manglay
10,Haar::N,мас,soch
11,Schnurrbart::N,мекх,mo'ylov
12,Bart::N,маж,soqol
13,Kinn::N,чӏениг,ängak
14,Kiefer[Anatomie]::N,мочхал,iyak
15,Kehle::N,къамкъарг,bo'g'iz
16,Hals::N,ворта,bo'yin
17,Genick::N,кӏесаркӏаг,gardan
18,Kopf::N,корта,bosh
19,Rücken::N,букъ,orqa
20,Bauch::N,кийра,qorin
21,Nabel::N,цӏонга,kindik
22,Busen::N,зударийн накха,ämchak
23,Brust::N,накха,ko'krak
24,Schulter::N,белш,elka
25,Arm::N,пхьарс,bilak
26,Ellenbogen::N,пхьаьрсан гола,tirsak
27,Hand::N,куьг,qo'l
28,Handfläche::N,кераюкъ,kaft
29,Finger::N,пӏелг,barmoq
30,Fingernagel::N,мӏара,tirnoq
31,Nagel[Anatomie]::N,мӏара,tirnoq
32,Zeh::N,кога пӏелг,oyoq barmog'i
33,Fuß::N,ког,oyoq
34,Ferse::N,кӏажа,tovon
35,Knie::N,гола,tiz
36,Oberschenkel::N,варе,son
37,Bein::N,ког,oyoq
38,Körper::N,хӏума,badna
39,Haut::N,чкъор,teri
40,Blut::N,цӏий,qon
41,Ader::N,пха,qon tomir
42,Sehne::N,хьорзам,tomir
43,Knochen::N,даьӏахк,suyak
44,Gehirn::N,хье,miya
45,Herz::N,дог,qalb
46,Magen::N,зорх,oshqozon
47,Leber::N,доӏах,bag'ir
48,Atem::N,садеӏар,dam
49,Hunger::N,мацалла,ochlik
50,Träne::N,бӏаьрхи,yosh
51,Geschmack::N,чам,tam
52,Geruch::N,хьожа,jid
53,Schlaf::N,наб,uyqu
54,Traum::N,гӏан,tush
55,Himmel::N,стигал,osmon
56,Sonne::N,малх,quyosh
57,Mond::N,бутт,oy
58,Stern::N,седа,yulduz
59,Luft::N,xӏаваъ,havo
60,Wind::N,мох,el
61,Welle::N,тулгӏе,to'lqin
62,Wasser::N,хи,suv
63,Stein::N,тӏулг,tosh
64,Boden::N,цӏенкъа,tuproq
65,Erde::N,латта,er
66,Staub::N,чан,chang
67,Rauch::N,кӏур,tutun
68,Funke::N,суй,yalt
69,Feuer::N,цӏе,o't
