,Concept_ID,hi,mhr
0,Auge::N,आँख,шинча́
1,Auge::N,चक्षु,шинча́
2,Ohr::N,कान,пы́лыш
3,Ohr::N,कर्ण,пы́лыш
4,Nase::N,नाक,нер
5,Nase::N,नासा,нер
6,Mund::N,मुख,умша́
7,Mund::N,मुँह,умша́
8,Zahn::N,दंत,пӱй
9,Zahn::N,दाँत,пӱй
10,Zunge::N,जीभ,йы́лме
11,Zunge::N,ज़बान,йы́лме
12,Zunge::N,जिह्वा,йы́лме
13,Lippe::N,ओंठ,тӱ́рвӧ
14,Lippe::N,होंठ,тӱ́рвӧ
15,Wange::N,गाल,шӱ́ргӧ
16,Wange::N,कपोल,шӱ́ргӧ
17,Gesicht::N,मुँह,чури́й
18,Gesicht::N,चेहरा,чури́й
19,Stirn::N,माथा,саҥга́
20,Stirn::N,मस्तक,саҥга́
21,Haar::N,बाल,ӱп
22,Schnurrbart::N,मूँछें,ӧ́рыш
23,Bart::N,दाढ़ी,понда́ш
24,Kinn::N,चिबुक,оҥыла́ш
25,Kiefer[Anatomie]::N,जबड़ा,пӱйдӱ́ҥ
26,Kiefer[Anatomie]::N,जबड़ा,пӱйората́
27,Kehle::N,गला,лога́р
28,Hals::N,गला,шӱй
29,Hals::N,गरदन,шӱй
30,Genick::N,गरदन,шӱйло́дыш
31,Genick::N,ग्रीवा,шӱйло́дыш
32,Kopf::N,सिर,вуй
33,Kopf::N,शीर्ष,вуй
34,Rücken::N,पीठ,туп
35,Bauch::N,उदर,мӱ́шкыр
36,Nabel::N,नाभि,кы́лымде
37,Nabel::N,ढोंढी,кы́лымде
38,Busen::N,कुच,чы́зе
39,Busen::N,स्तन,чы́зе
40,Brust::N,वक्ष,оҥ
41,Schulter::N,कंधा,ва́че
42,Schulter::N,स्कंध,ва́че
43,Arm::N,बाँह,кид
44,Arm::N,बाज़ू,кид
45,Ellenbogen::N,कुहनी,кынерву́й
46,Hand::N,हाथ,кид
47,Hand::N,हाथ,копа́
48,Hand::N,हस्त,кид
49,Hand::N,हस्त,копа́
50,Handfläche::N,हथेली,со́во
51,Finger::N,उँगली,парня́
52,Finger::N,अँगुली,парня́
53,Fingernagel::N,नख,кидкӱ́ч
54,Fingernagel::N,नख,парнягӱ́ч
55,Fingernagel::N,नाख़ून,кидкӱ́ч
56,Fingernagel::N,नाख़ून,парнягӱ́ч
57,Nagel[Anatomie]::N,नख,кӱч
58,Nagel[Anatomie]::N,नाख़ून,кӱч
59,Zeh::N,उँगली,йолварня́
60,Zeh::N,पाँव की उँगली,йолварня́
61,Fuß::N,चरण,йол
62,Fuß::N,चरण,йолкопа́
63,Fuß::N,पाँव,йол
64,Fuß::N,पाँव,йолкопа́
65,Ferse::N,एड़ी,тага́н
66,Knie::N,जानु,пулву́й
67,Knie::N,घुटना,пулву́й
68,Oberschenkel::N,उरु,э́рде
69,Bein::N,टाँग,йол
70,Körper::N,तन,кап
71,Körper::N,देह,кап
72,Körper::N,शरीर,кап
73,Haut::N,चर्म,кова́ште
74,Haut::N,त्वचा,кова́ште
75,Blut::N,लहू,вӱр
76,Blut::N,ख़ून,вӱр
77,Ader::N,रग,шӧн
78,Ader::N,शिरा,шӧн
79,Sehne::N,कंडरा,шӧн
80,Sehne::N,कंडरा,кӱсе́н
81,Sehne::N,स्नायु,шӧн
82,Sehne::N,स्नायु,кӱсе́н
83,Knochen::N,अस्थि,лу
84,Gehirn::N,दिमाग़,вем
85,Gehirn::N,दिमाग़,вуйве́м
86,Gehirn::N,मस्तिष्क,вем
87,Gehirn::N,मस्तिष्क,вуйве́м
88,Herz::N,दिल,шӱм
89,Herz::N,हृदय,шӱм
90,Magen::N,मेदा,пага́р
91,Magen::N,अमाशय,пага́р
92,Leber::N,जिगर,мокш
93,Leber::N,यकृत्,мокш
94,Atem::N,दम,шӱ́лыш
95,Atem::N,साँस,шӱ́лыш
96,Atem::N,श्वास,шӱ́лыш
97,Hunger::N,भूख,шужыма́ш
98,Hunger::N,क्षुधा,шужыма́ш
99,Träne::N,आँसू,шинчавӱ́д
100,Träne::N,अश्रु,шинчавӱ́д
101,Geschmack::N,स्वाद,там
