,Concept_ID,it,cy
0,Auge::N,occhio,llygad
1,Ohr::N,orecchio,clust
2,Nase::N,naso,trwyn
3,Mund::N,bocca,ceg
4,Zahn::N,dente,dant
5,Zunge::N,lingua,tafod
6,Lippe::N,labbro,gwefus
7,Wange::N,guancia,boch
8,Gesicht::N,viso,wyneb
9,Gesicht::N,faccia,wyneb
10,Stirn::N,fronte,talcen
11,Haar::N,capello,blew
12,Schnurrbart::N,baffi,mwstas
13,Schnurrbart::N,mustacchi,mwstas
14,Bart::N,barba,barf
15,Kinn::N,mento,gên
16,Kiefer[Anatomie]::N,mascella,gên
17,Kehle::N,gola,gwddf
18,Hals::N,collo,gwddf
19,Genick::N,nuca,gwar
20,Genick::N,nuca,gwegil
21,Kopf::N,capo,pen
22,Kopf::N,testa,pen
23,Rücken::N,dorso,cefn
24,Rücken::N,schiena,cefn
25,Bauch::N,ventre,bol
26,Nabel::N,ombelico,bogail
27,Busen::N,seno,bron
28,Brust::N,petto,brest
29,Schulter::N,spalla,ysgwydd
30,Arm::N,braccio,braich
31,Ellenbogen::N,gomito,penelin
32,Hand::N,mano,llaw
33,Handfläche::N,palma,palf
34,Finger::N,dito,bys
35,Fingernagel::N,unghia,ewin
36,Nagel[Anatomie]::N,unghia,ewin
37,Zeh::N,dito del piede,bys troed
38,Fuß::N,piede,troed
39,Ferse::N,tallone,sawdl
40,Ferse::N,calcagno,sawdl
41,Knie::N,ginocchio,glin
42,Oberschenkel::N,fèmore,clun
43,Bein::N,gamba,coes
44,Körper::N,corpo,corff
45,Haut::N,pelle,croen
46,Blut::N,sangue,gwaed
47,Ader::N,vena,gwythïen
48,Sehne::N,tèndine,gewyn
49,Knochen::N,osso,asgwrn
50,Gehirn::N,cervello,ymennydd
51,Herz::N,cuore,calon
52,Magen::N,stòmaco,cylla
53,Magen::N,stòmaco,stumog
54,Leber::N,fegato,iau
55,Atem::N,fiato,anadl
56,Atem::N,respiro,anadl
57,Hunger::N,fame,newyn
58,Träne::N,làcrima,deigryn
59,Geschmack::N,gusto,cyflas
60,Geschmack::N,sapore,cyflas
61,Geruch::N,odore,aroglau
62,Schlaf::N,sonno,cwsg
63,Traum::N,sogno,breuddwyd
64,Himmel::N,cielo,awyr
65,Sonne::N,sole,haul
66,Mond::N,luna,lleuad
67,Stern::N,stella,seren
68,Luft::N,aria,awyr
69,Wind::N,vento,gwynt
70,Welle::N,onda,ton
71,Wasser::N,acqua,dŵr
72,Stein::N,sasso,carreg
73,Stein::N,pietra,carreg
74,Boden::N,suolo,llawr
75,Boden::N,terreno,llawr
76,Erde::N,terra,pridd
77,Staub::N,polvere,llwch
78,Rauch::N,fumo,mwg
79,Funke::N,scintilla,gwreichioni
80,Feuer::N,fuoco,tân
81,Licht::N,luce,golau
82,Schatten::N,ombra,cysgod
83,Wetter::N,tempo,tywydd
84,Nebel::N,nebbia,niwl
85,Wolke::N,nube,cwmwl
86,Wolke::N,nùvola,cwmwl
87,Regen::N,pioggia,glaw
88,Schnee::N,neve,ôd
89,Schnee::N,neve,eira
90,Eis::N,ghiaccio,iâ
91,Frost::N,gelo,rhew
92,Kälte::N,freddo,oerni
93,Kälte::N,freddo,annwyd
94,Hitze::N,caldo,gwres
95,Hitze::N,calura,gwres
96,Raureif::N,brina,barrug
97,Regenbogen::N,arcobaleno,enfys
98,Donner::N,tuono,tyrfau
99,Strömung::N,corrente,cerrynt
100,Tropfen::N,goccia,dafn
101,Tropfen::N,goccia,diferyn
102,Schaum::N,spuma,ewyn
103,Schaum::N,schiuma,ewyn
104,Schmutz::N,sudiciume,baw
105,Schmutz::N,sudiciume,budreddi
106,See::N,lago,llyn
107,Sumpf::N,palude,cors
108,Moor::N,torbiera,rhos
109,Wiese::N,prato,dôl
110,Wald::N,bosco,coedwig
111,Wald::N,foresta,coedwig
112,Hügel::N,colle,bryn
113,Hügel::N,collina,bryn
114,Anhöhe::N,altura,bryn
115,Berg::N,monte,mynydd
116,Berg::N,montagna,mynydd
117,Gipfel::N,cima,copa
118,Höhle::N,grotta,ogof
119,Höhle::N,caverna,ogof
120,Abhang::N,pendìo,llethr
121,Quelle::N,sorgente,tarddiad
122,Quelle::N,sorgente,ffynhonnell
123,Bach::N,ruscello,nant
124,Bach::N,ruscello,afonig
125,Bach::N,ruscello,cornant
126,Fluss::N,fiume,afon
127,Ufer::N,riva,glan
128,Küste::N,costa,traeth
129,Küste::N,costa,arfordir
130,Festland::N,terraferma,tir
131,Meer::N,mare,môr
132,Bucht::N,cala,bae
133,Insel::N,ìsola,ynys
134,Blume::N,fiore,blodyn
135,Gras::N,erba,glaswellt
136,Wurzel::N,radice,gwreiddyn
137,Baum::N,àlbero,coeden
138,Stamm::N,tronco,colfen
139,Stamm::N,tronco,boncyff
140,Rinde::N,corteccia,rhisgl
141,Ast::N,ramo,cangen
142,Zweig::N,ramo,cainc
143,Zweig::N,ramo,cangen
144,Blatt::N,foglia,deilen
145,Birke::N,betulla,bedwen
146,Kiefer[Baum]::N,pino,pinwydden
147,Weide[Baum]::N,sàlice,helygen
148,Tanne::N,abete,ffynidwydden
149,Horn::N,corno,corn
150,Feder::N,penna,plufyn
151,Fell::N,manto,ffwr
152,Fell::N,pelame,ffwr
153,Flügel::N,ala,adain
154,Klaue::N,grinfia,crafanc
155,Kralle::N,unghia,ewin
156,Kralle::N,artiglio,ewin
157,Schwanz::N,coda,cwt
158,Schwanz::N,coda,cynffon
159,Ei::N,uovo,wy
160,Nest::N,nido,nyth
161,Bau::N,covo,ffau
162,Tier::N,bestia,anifail
163,Tier::N,animale,anifail
164,Herde::N,gregge,praidd
165,Herde::N,gregge,diadell
166,Kuh::N,vacca,buwch
167,Bulle::N,toro,tarw
168,Pferd::N,cavallo,ceffyl
169,Schaf::N,pècora,dafad
170,Schwein::N,porco,mochyn
171,Schwein::N,maiale,mochyn
172,Hund::N,cane,ci
173,Katze::N,gatta,cath
174,Bär::N,orso,arth
175,Eichhörnchen::N,scoiàttolo,gwiwer
176,Elch::N,alce,elc
177,Fuchs::N,volpe,cadno
178,Hase::N,lepre,ysgyfarnog
179,Maus::N,topo,llygoden
180,Maus::N,sorcio,llygoden
181,Wolf::N,lupo,blaidd
182,Vogel::N,uccello,aderyn
183,Schwarm::N,stormo,haid
184,Huhn::N,gallina,cyw
185,Hahn::N,gallo,ceiliog
186,Gans::N,oca,gŵydd
187,Adler::N,àquila,eryr
188,Ente::N,ànatra,hwyad
189,Eule::N,gufo,tylluan
190,Eule::N,civetta,tylluan
191,Kranich::N,gru,garan
192,Kranich::N,gru,crychydd
193,Krähe::N,cornacchia,brân
194,Kuckuck::N,cuccù,cog
195,Kuckuck::N,cuccù,cwcw
196,Kuckuck::N,cùculo,cog
197,Kuckuck::N,cùculo,cwcw
198,Schwan::N,cigno,alarch
199,Fisch::N,pesce,pysgod
200,Barsch::N,pèrsico,draenog
201,Hecht::N,luccio,penhwyad
202,Schlange[Tier]::N,serpente,neidr
203,Wurm::N,baco,abwydyn
204,Wurm::N,baco,pryf genwair
205,Wurm::N,verme,abwydyn
206,Wurm::N,verme,pryf genwair
207,Spinne::N,ragno,cor
208,Spinne::N,ragno,pryf copyn
209,Ameise::N,formica,morgrugyn
210,Laus::N,pidocchio,lleuen
211,Mücke::N,zanzara,gwybedyn
212,Fliege::N,mosca,cleren
213,Schmetterling::N,farfalla,glöyn byw
214,Schmetterling::N,farfalla,iâr fach yr haf
215,Beere::N,bacca,aeronen
216,Apfel::N,mela,afal
217,Pilz::N,fungo,madarch
218,Zwiebel::N,cipolla,nionyn
219,Zwiebel::N,cipolla,winwnsyn
220,Saat::N,semente,had
221,Korn::N,grano,grawn
222,Heu::N,fieno,gwair
223,Schale::N,buccia,croen
224,Schale::N,buccia,plisgyn
225,Grube::N,cava,pwll
226,Grube::N,cava,pydew
227,Grube::N,fossa,pwll
228,Grube::N,fossa,pydew
229,Falle::N,tràppola,magl
230,Schlinge::N,laccio,cwlwm rhedeg
231,Spur::N,traccia,ôl
232,Asche::N,cenere,lludw
233,Dreck::N,fango,baw
234,Dreck::N,fango,budreddi
235,Eisen::N,ferro,haearn
236,Gold::N,oro,aur
237,Silber::N,argento,arian
238,Kohle::N,carbone,glo
239,Glas::N,vetro,gwydr
240,Lehm::N,argilla,clai
241,Sand::N,arena,tywod
242,Sand::N,sabbia,tywod
243,Mensch::N,uomo,dyn
244,Mensch::N,èssere umano,dyn
245,Mann::N,uomo,dyn
246,Frau::N,donna,merch
247,Frau::N,donna,gwraig
248,Kind::N,bambino,plentyn
249,Junge::N,ragazzo,hogyn
250,Junge::N,ragazzo,bachgen
251,Mädchen::N,ragazza,merch
252,Mädchen::N,ragazza,geneth
253,Familie::N,famiglia,teulu
254,Familie::N,famiglia,tylwyth
255,Großvater::N,nonno,taid
256,Großvater::N,nonno,tad-cu
257,Großmutter::N,nonna,nain
258,Großmutter::N,nonna,mam-gu
259,Eltern::N,genitori,rhieni
260,Vater::N,padre,tad
261,Mutter::N,madre,mam
262,Sohn::N,figlio,mab
263,Tochter::N,figlia,merch
264,Bruder::N,fratello,brawd
265,Schwester::N,sorella,chwaer
266,Onkel::N,zio,ewythr
267,Tante::N,zia,modryb
268,Ehemann::N,marito,gŵr
269,Ehefrau::N,moglie,gwraig
270,Freude::N,gioia,gorfoledd
271,Freude::N,piacere,gorfoledd
272,Gelächter::N,risata,chwerthin
273,Glück::N,felicità,hapusrwydd
274,Kummer::N,afflizione,galar
275,Wunsch::N,desiderio,dymuniad
276,Lust::N,voglia,chwant
277,Geist::N,mente,ysbryd
278,Geist::N,spìrito,ysbryd
279,Gedanke::N,idea,meddwl
280,Gedanke::N,pensiero,meddwl
281,Gedächtnis::N,memoria,cof
282,Verstand::N,intelletto,meddwl
283,Sinn::N,senso,ystyr
284,Sinn::N,significato,ystyr
285,Grund::N,causa,achos
286,Grund::N,causa,rheswm
287,Grund::N,motivo,achos
288,Grund::N,motivo,rheswm
289,Grund::N,ragione,achos
290,Grund::N,ragione,rheswm
291,Wahrheit::N,verità,gwir
292,Wahrheit::N,verità,gwirionedd
293,Gespräch::N,discorso,sgwrs
294,Gespräch::N,conversazione,sgwrs
295,Märchen::N,fiaba,chwedl werin
