,Concept_ID,zh,fi
0,Auge::N,眼睛,silmä
1,Ohr::N,耳朵,korva
2,Nase::N,鼻子,nenä
3,Mund::N,嘴,suu
4,Zahn::N,牙齿,hammas
5,Zunge::N,舌头,kieli
6,Lippe::N,嘴唇,huuli
7,Wange::N,面颊,poski
8,Gesicht::N,脸,naama
9,Gesicht::N,脸,kasvot
10,Stirn::N,额,otsa
11,Haar::N,头发,hius
12,Haar::N,头发,tukka
13,Schnurrbart::N,髭须,viikset
14,Bart::N,胡子,parta
15,Kinn::N,下巴,leuka
16,Kiefer[Anatomie]::N,颌,leukaluu
17,Kehle::N,嗓子,kurkku
18,Hals::N,颈,kaula
19,Genick::N,后颈,niska
20,Kopf::N,头,pää
21,Rücken::N,背,selkä
22,Bauch::N,肚子,maha
23,Bauch::N,肚子,vatsa
24,Nabel::N,肚脐,napa
25,Busen::N,胸脯,rinta
26,Brust::N,胸,rinta
27,Schulter::N,肩膀,olka
28,Schulter::N,肩膀,hartia
29,Schulter::N,肩膀,olkapää
30,Arm::N,臂膀,käsivarsi
31,Ellenbogen::N,肘,kyynärpää
32,Hand::N,手,käsi
33,Handfläche::N,手掌,kämmen
34,Finger::N,手指,sormi
35,Fingernagel::N,指甲,kynsi
36,Nagel[Anatomie]::N,指甲,kynsi
37,Zeh::N,脚趾,varvas
38,Fuß::N,脚,jalka
39,Ferse::N,后跟,kantapää
40,Knie::N,膝,polvi
41,Oberschenkel::N,大腿,reisi
42,Bein::N,腿,jalka
43,Körper::N,身体,keho
44,Körper::N,身体,ruumis
45,Haut::N,皮肤,iho
46,Blut::N,血,veri
47,Ader::N,血管,suoni
48,Sehne::N,腱,jänne
49,Knochen::N,骨,luu
50,Gehirn::N,脑,aivot
51,Herz::N,心,sydän
52,Magen::N,胃,maha
53,Magen::N,胃,vatsa
54,Leber::N,肝,maksa
55,Atem::N,呼吸,henki
56,Atem::N,呼吸,hengitys
57,Hunger::N,饿,nälkä
58,Träne::N,眼泪,kyynel
59,Geschmack::N,味道,maku
60,Geruch::N,气味,haju
61,Schlaf::N,睡眠,uni
62,Traum::N,梦,uni
63,Himmel::N,天空,taivas
64,Sonne::N,太阳,aurinko
65,Mond::N,月亮,kuu
66,Stern::N,星,tähti
67,Luft::N,空气,ilma
68,Wind::N,风,tuuli
69,Welle::N,波,aalto
70,Wasser::N,水,vesi
71,Stein::N,石头,kivi
72,Boden::N,地面,maa
73,Boden::N,地面,maaperä
74,Erde::N,地,maa
75,Staub::N,灰尘,pöly
76,Rauch::N,烟,savu
77,Funke::N,火花,kipinä
78,Feuer::N,火,tuli
