,Concept_ID,bn,eu
0,Auge::N,চক্ষু,begi
1,Ohr::N,কর্ণ,belarri
2,Nase::N,নাক,sudur
3,Mund::N,মুখ,aho
4,Zahn::N,দাঁত,hortz
5,Zunge::N,জিহবা,mihi
6,Lippe::N,অধর,ezpain
7,Wange::N,গণ্ড,masail
8,Gesicht::N,মুখমণ্ডল,aurpegi
9,Stirn::N,কপাল,bekoki
10,Haar::N,চুল,ile
11,Haar::N,চুল,bilo
12,Schnurrbart::N,গোঁফ,bibote
13,Schnurrbart::N,গোঁফ,sudurpeko
14,Bart::N,শ্মশ্রু,bizar
15,Kinn::N,চিবুক,kokots
16,Kiefer[Anatomie]::N,চোয়াল,masailezur
17,Kehle::N,কণ্ঠ,eztarri
18,Hals::N,গল,sama
19,Genick::N,ঘাড়,garondo
20,Kopf::N,মাথা,buru
21,Rücken::N,পৃষ্ঠ,bizkar
22,Bauch::N,উদর,sabel
23,Nabel::N,নাভি,zilbor
24,Busen::N,স্তন,titi
25,Busen::N,স্তন,ugatz
26,Brust::N,বুক,bular
27,Schulter::N,স্কন্ধ,besaburu
28,Arm::N,বাহু,beso
29,Ellenbogen::N,কনুই,ukondo
30,Hand::N,হাত,esku
31,Handfläche::N,করতল,ahur
32,Finger::N,আঙ্গুল,hatz
33,Fingernagel::N,হাতের নখ,azazkal
34,Nagel[Anatomie]::N,নখ,azazkal
35,Zeh::N,আঙ্গুল,behatz
36,Fuß::N,পা,oin
37,Ferse::N,গোড়ালি,orpo
38,Ferse::N,গোড়ালি,oinburu
39,Knie::N,হাঁটু,belaun
40,Oberschenkel::N,ঊরু,izter
41,Bein::N,পা,zango
42,Körper::N,দেহ,soin
43,Haut::N,ত্বক,azal
44,Blut::N,রক্ত,odol
45,Ader::N,শিরা,zain
46,Sehne::N,কণ্ডরা,gihar-zain
47,Knochen::N,অস্থি,hezur
48,Gehirn::N,মস্তিষ্ক,garun
49,Gehirn::N,মস্তিষ্ক,burmuin
50,Herz::N,হৃৎপিণ্ড,bihotz
51,Magen::N,পাকস্থলী,urdail
52,Leber::N,যকৃৎ,gibel
53,Atem::N,শ্বাস,hats
54,Atem::N,শ্বাস,arnasa
55,Hunger::N,ক্ষুধা,gose
56,Träne::N,অশ্রু,malko
57,Geschmack::N,স্বাদ,dasta
58,Geruch::N,গন্ধ,usain
59,Schlaf::N,ঘুম,lo
60,Traum::N,স্বপ্ন,amets
61,Himmel::N,আকাশ,zeru
62,Sonne::N,সূর্য,eguzki
63,Mond::N,চন্দ্র,ilargi
64,Stern::N,নক্ষত্র,izar
65,Luft::N,বায়ু,aire
66,Wind::N,বাতাস,haize
67,Welle::N,ঢেউ,uhin
68,Welle::N,ঢেউ,olatu
69,Welle::N,তরঙ্গ,uhin
70,Welle::N,তরঙ্গ,olatu
71,Wasser::N,জল,ur
72,Stein::N,ঢিল,harri
73,Stein::N,প্রস্তর,harri
74,Boden::N,ভূতল,lur
75,Boden::N,ভূতল,zoru
76,Erde::N,ভূমি,lur
77,Staub::N,ধুলা,hauts
78,Rauch::N,ধোঁয়া,ke
79,Funke::N,স্ফুলিঙ্গ,zirta
80,Funke::N,স্ফুলিঙ্গ,txinparta
81,Feuer::N,অগ্নি,su
82,Licht::N,আলো,argi
83,Schatten::N,ছায়া,itzal
84,Schatten::N,ছায়া,geriza
85,Wetter::N,আবহাওয়া,eguraldi
86,Nebel::N,কুহেলিকা,laino
87,Wolke::N,মেঘ,hodei
88,Regen::N,বৃষ্টি,euri
89,Schnee::N,তুষার,elur
90,Eis::N,বরফ,horma
91,Frost::N,তুষার,izotzaldi
92,Kälte::N,শৈত্য,hotz
93,Hitze::N,তাপ,bero
94,Raureif::N,তুহিন,antzigar
95,Regenbogen::N,রামধনু,ostadar
96,Regenbogen::N,রামধনু,ortzadar
97,Donner::N,বজ্রধ্বনি,ostots
98,Donner::N,বজ্রধ্বনি,ihurtzuri
99,Strömung::N,স্রোত,laster
100,Tropfen::N,ফোঁটা,xorta
101,Schaum::N,ফেনা,bits
102,Schmutz::N,ধুলা,lohi
103,Schmutz::N,ধুলা,zikin
104,See::N,হ্রদ,laku
105,See::N,হ্রদ,aintzira
106,Sumpf::N,জলা,zingira
107,Moor::N,মাঠ,zohikaztegi
108,Wiese::N,তৃণভূমি,larre
109,Wiese::N,তৃণভূমি,belardi
110,Wald::N,বন,baso
111,Wald::N,বন,oihan
112,Hügel::N,পাহাড়,muino
113,Hügel::N,পাহাড়,pentoka
114,Anhöhe::N,টিলা,garai
115,Anhöhe::N,টিলা,goragune
116,Berg::N,পর্বত,mendi
117,Gipfel::N,শীর্ষ,gain
118,Gipfel::N,শীর্ষ,tontor
119,Höhle::N,গুহা,kobazulo
120,Abhang::N,ঢাল,aldapa
121,Quelle::N,উৎস,iturri
122,Quelle::N,উৎস,iturbegi
123,Bach::N,ক্ষুদ্র নদী,lats
124,Bach::N,ক্ষুদ্র নদী,erreka
125,Fluss::N,নদী,ibai
126,Fluss::N,নদী,uhaitz
127,Ufer::N,উপকূল,bazter
128,Küste::N,তীর,itsasalde
129,Festland::N,ভূমি,lehor
130,Meer::N,সমুদ্র,itsaso
131,Bucht::N,উপসাগর,golko
132,Insel::N,দ্বীপ,irla
133,Insel::N,দ্বীপ,uharte
134,Blume::N,ফুল,lili
135,Gras::N,ঘাস,belar
136,Wurzel::N,শিকড়,zuztar
137,Wurzel::N,শিকড়,sustrai
138,Baum::N,গাছ,zuhaitz
139,Stamm::N,স্কন্ধ,enbor
140,Rinde::N,বল্কল,azal
141,Ast::N,শাখা,adar
142,Zweig::N,ডাল,abar
143,Blatt::N,পর্ণ,hosto
144,Birke::N,ভুর্জ,urki
145,Kiefer[Baum]::N,পাইন গাছ,ler
146,Weide[Baum]::N,উইলো,zume
147,Weide[Baum]::N,উইলো,sahats
148,Tanne::N,দেবদারূ গাছ,izei
149,Horn::N,শিং,adar
150,Feder::N,পালক,luma
151,Feder::N,পালক,hegaki
152,Fell::N,রোম,ile
153,Fell::N,রোম,larru
154,Flügel::N,ডানা,hego
155,Klaue::N,নখর,atzapar
156,Kralle::N,নখর,erpe
157,Kralle::N,নখর,atzapar
158,Schwanz::N,লেজ,isats
159,Schwanz::N,লেজ,buztan
160,Ei::N,ডিম,arrautza
161,Nest::N,কুলায়,habia
162,Bau::N,ডেরা,ohantze
163,Tier::N,জন্তু,abere
164,Tier::N,জন্তু,piztia
165,Herde::N,ঝাঁক,saldo
166,Herde::N,ঝাঁক,abere talde
167,Kuh::N,গোরু,behi
168,Bulle::N,বৃষ,zezen
169,Pferd::N,ঘোড়া,zaldi
170,Schaf::N,ভেড়া,ardi
171,Schwein::N,শূকর,urde
172,Schwein::N,শূকর,txerri
173,Hund::N,কুকুর,txakur
174,Katze::N,বেড়াল,katu
175,Bär::N,ভল্লুক,hartz
176,Eichhörnchen::N,কাঠবিড়াল,urtxintxa
177,Elch::N,হরিণবিশেষ,altze
178,Fuchs::N,পাঁতিশিয়াল,azeri
179,Hase::N,শশক,erbi
180,Maus::N,নেংটি ইঁদুর,sagu
181,Wolf::N,নেকড়ে,otso
182,Vogel::N,পক্ষী,txori
183,Vogel::N,পক্ষী,hegazti
184,Schwarm::N,ঝাঁক,aldra
185,Huhn::N,মোরগ,oilo
186,Hahn::N,কুক্কুট,oilar
187,Gans::N,হংসী,antzara
188,Adler::N,ইগল,arrano
189,Ente::N,হংসী,ahate
190,Eule::N,পেচক,hontza
191,Kranich::N,সারস,kurrilo
192,Krähe::N,কাক,bele
193,Kuckuck::N,কোকিল,kuku
194,Schwan::N,মরাল,beltxarga
195,Fisch::N,মাছ,arrain
196,Barsch::N,মৎন্যবিশেষ,perka
197,Hecht::N,বানমাছ,lutxo
198,Schlange[Tier]::N,সর্প,suge
199,Wurm::N,কীট,har
200,Spinne::N,মাকড়সা,armiarma
201,Ameise::N,পিপীলিকা,inurri
202,Laus::N,উকুন,zorri
203,Mücke::N,মশা,eltxo
204,Fliege::N,মাছি,euli
205,Schmetterling::N,প্রজাপতি,pinpirin
206,Schmetterling::N,প্রজাপতি,tximeleta
207,Beere::N,বেরি,baia
208,Apfel::N,আপেল,sagar
209,Pilz::N,ছত্রক,onddo
210,Pilz::N,ছত্রক,perretxiko
