,Concept_ID,ab,sq
0,Auge::N,ала,sy
1,Ohr::N,алымҳа,vesh
2,Nase::N,аҧынҵа,hundë
3,Mund::N,аҧышə,gojë
4,Zahn::N,ахаҧыц,dhëmb
5,Zunge::N,абз,gjuhë
6,Lippe::N,ақьышə,buzë
7,Wange::N,аӡамҩа,faqe
8,Wange::N,аӡамҩа,mollëz
9,Gesicht::N,аҿы,fytyrë
10,Stirn::N,алахь,ballë
11,Haar::N,ахəыц,flokë
12,Schnurrbart::N,аҧаҵа,mustaqe
13,Bart::N,ажакьа,mjekër
14,Kinn::N,ацламкəыгə,mjekër
15,Kiefer[Anatomie]::N,ацламҳəа,nofull
16,Kehle::N,ахəда,fyt
17,Kehle::N,ахəда,grykë
18,Hals::N,ахəда,qafë
19,Genick::N,ахəдаџьал,arrëz
20,Kopf::N,ахы,kokë
21,Rücken::N,азқəа,kurriz
22,Bauch::N,амгəа,bark
23,Nabel::N,аҷапан,kërthizë
24,Busen::N,агəыҧҳəы,gji
25,Brust::N,агəышҧы,gjoks
26,Brust::N,агəышҧы,kraharor
27,Schulter::N,ажəҩахыр,sup
28,Schulter::N,ажəҩахыр,krah
29,Arm::N,амахəар,krah
30,Ellenbogen::N,амашьхəылҵ,bërryl
31,Hand::N,анапы,dorë
32,Handfläche::N,анапсаргəыҵа,pëllëmbë
33,Finger::N,анацəа,gisht
34,Fingernagel::N,анапхыц,thua
35,Nagel[Anatomie]::N,ашьапхыц,thua
36,Zeh::N,ашьацəа,gisht i këmbës
37,Fuß::N,ашьапсыргəыҵа,këmbë
38,Ferse::N,ашьхəа,thembër
39,Knie::N,ашьамхы,gju
40,Oberschenkel::N,ауаҭəа,kofshë
41,Bein::N,ашьапы,këmbë
42,Körper::N,ацəеижь,trup
43,Haut::N,ацəа,lëkurë
44,Blut::N,ашьа,gjak
45,Ader::N,ада,venë
46,Sehne::N,адаш,dell
47,Knochen::N,абаҩ,asht
48,Knochen::N,абаҩ,kockë
49,Gehirn::N,ахшлыбаҩ,tru
50,Gehirn::N,ахшыбаҩ,tru
51,Herz::N,агəы,zemër
52,Magen::N,аца,stomak
53,Magen::N,ацар,stomak
54,Leber::N,агəаҵəа,mëlçi
55,Atem::N,аҧсыҧлагаҩгара,frymë
56,Hunger::N,амла,uri
57,Träne::N,алабжыш,lot
58,Geschmack::N,агьама,shije
59,Geruch::N,афҩы,erë
60,Schlaf::N,ацəа,gjumë
61,Traum::N,аҧхыӡ,ëndërr
62,Himmel::N,ажəҩан,qiell
63,Sonne::N,амра,diell
64,Mond::N,амза,hënë
65,Stern::N,аеҵəа,yll
66,Luft::N,аҳаир,ajër
67,Wind::N,аҧша,erë
68,Welle::N,ацəқəырҧа,valë
69,Welle::N,ацəқəырҧа,dallgë
70,Wasser::N,аӡы,ujë
71,Stein::N,ахаҳə,gur
72,Boden::N,адгьыл,tokë
73,Boden::N,адгьыл,truall
74,Erde::N,адгьыл,dhe
75,Erde::N,адгьыл,baltë
76,Staub::N,асаба,pluhur
77,Rauch::N,алҩа,tym
78,Funke::N,акəиц,xixë
79,Funke::N,акəиц,shkëndijë
80,Funke::N,ацҧхь,xixë
81,Funke::N,ацҧхь,shkëndijë
82,Feuer::N,амца,zjarr
83,Licht::N,алашара,dritë
84,Schatten::N,ашəшьыра,hije
85,Wetter::N,амш,mot
86,Nebel::N,анаҟəа,mjegull
87,Wolke::N,аҧсҭҳəа,re
88,Regen::N,ақəа,shi
89,Schnee::N,асы,borë
90,Eis::N,аҵаа,akull
91,Frost::N,аҵаа,ngricë
92,Kälte::N,ахьҭа,të ftohtë
93,Hitze::N,ашоура,vapë
94,Hitze::N,ашоура,nxehtësi
95,Raureif::N,аҵааҧшқа,cikmë
96,Regenbogen::N,ацəаҟəа,ylber
97,Donner::N,адыд,gjëmim
98,Donner::N,адыд,bubullimë
99,Strömung::N,аиасра,rrymë
100,Strömung::N,амҩасра,rrymë
101,Tropfen::N,ацəыкəбар,pikë
102,Schaum::N,ашəах,shkumë
103,Schmutz::N,алымт,baltë
104,See::N,аӡиа,liqen
105,Sumpf::N,аӡмах,batak
106,Wiese::N,адəы,livadh
107,Wald::N,абна,pyll
108,Hügel::N,ахəы,kodër
109,Anhöhe::N,аҳаракыра,bregore
110,Berg::N,ашьха,mal
111,Gipfel::N,ацəқəа,kulm
112,Höhle::N,аҳаҧы,shpellë
113,Höhle::N,аҳаҧы,zgafelle
114,Abhang::N,анаара,shpat
115,Abhang::N,анаара,tatëpjetë
116,Quelle::N,аҵҵырҭа,krua
117,Quelle::N,аҵҵырҭа,burim
118,Bach::N,акəараҷҷа,virua
119,Fluss::N,аӡиас,lumë
120,Ufer::N,ахықə,breg
121,Küste::N,ахықə,anëdet
122,Küste::N,ахықə,bregdet
123,Festland::N,абарра,kontinent
124,Meer::N,амшын,det
125,Bucht::N,аӡбжьахала,gji deti
126,Insel::N,адгьылбжьаха,ishull
127,Insel::N,адгьылбжьаха,ujdhesë
128,Blume::N,ашəҭ,lule
129,Gras::N,аҳасакьын,bar
130,Wurzel::N,адац,rrënjë
131,Baum::N,аҵла,pemë
132,Stamm::N,ашьапы,trung
133,Rinde::N,ацəа,lëvore
134,Ast::N,амахə,degë
135,Ast::N,амахəҭа,degë
136,Zweig::N,амахə,bisk
137,Zweig::N,амахəҭа,bisk
138,Blatt::N,абҕьы,fletë
139,Blatt::N,абҕьы,gjethe
140,Birke::N,аҵааҵла,mështekën
141,Kiefer[Baum]::N,амза,pishë
142,Weide[Baum]::N,аҧслыш,shelg
143,Tanne::N,аҧсаӡ,bredh
144,Horn::N,атəыҩа,bri
145,Feder::N,ахӡы,pupël
146,Fell::N,ацəа,lëkurë
147,Flügel::N,амҵəыжəа,krah
148,Flügel::N,амҵəыжəа,fletë
149,Klaue::N,ашьапхыц,kthetër
150,Schwanz::N,аҵыхəа,bisht
151,Ei::N,акəтаӷь,vezë
152,Nest::N,аҭра,fole
153,Nest::N,аҵысҭра,fole
154,Bau::N,аҭыҩра,strofkë
155,Tier::N,аҧстəы,kafshë
156,Tier::N,агыгшəыг,kafshë
157,Herde::N,агəарҭа,kope
158,Herde::N,агəарҭа,grigjë
159,Kuh::N,ажə,lopë
160,Bulle::N,ацə,dem
161,Pferd::N,аҽы,kalë
162,Schaf::N,ауаса,dele
163,Schwein::N,аҳəа,derr
164,Hund::N,ала,qen
165,Katze::N,ацгəы,mace
166,Bär::N,амшə,ari
167,Eichhörnchen::N,аеш,ketër
168,Elch::N,аҽаҩа,dre brilopatë
169,Fuchs::N,абгахəыҷы,dhelpër
170,Hase::N,ажьа,lepur
171,Maus::N,аҳəынаҧ,mi
172,Wolf::N,абгаду,ujk
173,Vogel::N,аҧсаатə,zog
174,Vogel::N,аҧсаатə,shpend
175,Huhn::N,акəты,pulë
176,Hahn::N,арбаҕь,gjel
177,Hahn::N,арбаҕь,këndes
178,Gans::N,аҟыз,patë
179,Adler::N,ауарба,shqiponjë
180,Ente::N,акəата,rosë
181,Eule::N,аты,buf
182,Kranich::N,апҟа,lejlek
183,Kranich::N,апҟа,kurrillë
184,Krähe::N,аҟəараан,sorrë
185,Kuckuck::N,акəыкəу,qyqe
186,Schwan::N,агьад,mjellmë
187,Fisch::N,аҧсыӡ,peshk
188,Barsch::N,ацəыбла,purtekë
189,Hecht::N,ахиаала,mlysh
190,Schlange[Tier]::N,амаҭ,gjarpër
191,Wurm::N,ахəа,krimb
192,Wurm::N,ахəац,krimb
193,Spinne::N,абызкаҭаҳа,marimangë
194,Ameise::N,ашышкамс,thnegël
195,Ameise::N,ашышкамс,milingonë
196,Laus::N,аҵа,morr
197,Mücke::N,акəыбры,kunup
198,Mücke::N,акəыбры,mushkonjë
199,Fliege::N,амҵ,mizë
200,Schmetterling::N,аҧарҧалыкь,flutur
201,Beere::N,аргуц,frutë
202,Beere::N,аргуц,manaferrë
203,Apfel::N,аҵəа,mollë
204,Pilz::N,акəкəбаа,kërpudhë
205,Zwiebel::N,аџьымшьы,qepë
206,Zwiebel::N,аџьымшьхы,qepë
207,Saat::N,ажəла,farë
208,Korn::N,арыц,grurë
209,Korn::N,арыц,kokërr
210,Heu::N,аҭəа,sanë
211,Schale::N,ацəа,lëkurë
212,Grube::N,ажра,gropë
213,Grube::N,атыша,gropë
214,Falle::N,арыҧҟьа,kurth
215,Falle::N,арыҧҟьа,grackë
216,Schlinge::N,аҟəараҟəантə,nyjë
217,Spur::N,ашьҭа,gjurmë
218,Asche::N,ахəа,hi
219,Dreck::N,аҳəынҵəа,baltë
220,Dreck::N,аҟьамсар,baltë
221,Eisen::N,аиха,hekur
222,Gold::N,ахьы,ar
223,Gold::N,ахьы,flori
224,Silber::N,аразны,argjend
225,Kohle::N,арацəа,qymyr
226,Glas::N,асаркьа,qelq
227,Lehm::N,анышəаҧшь,argjilë
228,Sand::N,аҧслымӡ,rërë
229,Mensch::N,ауаҩы,njeri
230,Mann::N,ахаҵа,burrë
231,Mann::N,ахаҵа,mashkull
232,Frau::N,аҧҳəыс,grua
233,Frau::N,аҧҳəыс,femër
234,Kind::N,ахəыҷы,kalama
235,Junge::N,аҷкəын,djalë
236,Junge::N,ахаҵарҧыс,djalë
237,Mädchen::N,аӡӷаб,gocë
238,Mädchen::N,аӡӷаб,vajzë
239,Familie::N,аҭаацəа,familje
240,Großvater::N,абду,gjysh
241,Großmutter::N,анду,gjyshe
242,Eltern::N,ани аби,prindër
243,Vater::N,аб,atë
244,Mutter::N,ан,nënë
245,Sohn::N,аҧа,bir
246,Tochter::N,аҧҳа,bijë
247,Bruder::N,аиашьа,vëlla
248,Schwester::N,Аҳəшьа,motër
249,Onkel::N,абиашьа,dajë
250,Onkel::N,абиашьа,xhaxha
251,Onkel::N,аншьа,dajë
252,Onkel::N,аншьа,xhaxha
