,Concept_ID,ab,kl
0,Auge::N,ала,isi
1,Ohr::N,алымҳа,siut
2,Nase::N,аҧынҵа,
3,Mund::N,аҧышə,paaq
4,Mund::N,аҧышə,qaneq
5,Zahn::N,ахаҧыц,kigut
6,Zunge::N,абз,oqaq
7,Lippe::N,ақьышə,qarloq
8,Wange::N,аӡамҩа,ersaq
9,Gesicht::N,аҿы,kiinaq
10,Stirn::N,алахь,qaaq
11,Haar::N,ахəыц,meqqoq
12,Schnurrbart::N,аҧаҵа,
13,Bart::N,ажакьа,umik
14,Kinn::N,ацламкəыгə,talloq
15,Kiefer[Anatomie]::N,ацламҳəа,alleroq
16,Kehle::N,ахəда,malaq
17,Hals::N,ахəда,qungaseq
18,Genick::N,ахəдаџьал,pukusuk
19,Kopf::N,ахы,niaqoq
20,Rücken::N,азқəа,qimerlut
21,Bauch::N,амгəа,naaq
22,Nabel::N,аҷапан,qalaseq
23,Busen::N,агəыҧҳəы,iviangeq
24,Brust::N,агəышҧы,iviangeq
25,Schulter::N,ажəҩахыр,ersik
26,Schulter::N,ажəҩахыр,assaqqoq
27,Arm::N,амахəар,taleq
28,Ellenbogen::N,амашьхəылҵ,ikusik
29,Hand::N,анапы,assak
30,Handfläche::N,анапсаргəыҵа,itumak
31,Finger::N,анацəа,inuak
32,Fingernagel::N,анапхыц,kikiak
33,Nagel[Anatomie]::N,ашьапхыц,kukik
34,Zeh::N,ашьацəа,isigak
35,Fuß::N,ашьапсыргəыҵа,
36,Ferse::N,ашьхəа,kimmik
37,Knie::N,ашьамхы,seeqqoq
38,Oberschenkel::N,ауаҭəа,uppat
39,Oberschenkel::N,ауаҭəа,quttoraq
40,Bein::N,ашьапы,isigak
41,Körper::N,ацəеижь,timi
42,Haut::N,ацəа,mattak
43,Blut::N,ашьа,aak
44,Ader::N,ада,taqaq
45,Sehne::N,адаш,ujalu
46,Sehne::N,адаш,ujaloq
47,Knochen::N,абаҩ,saanikut
48,Gehirn::N,ахшлыбаҩ,qarasaq
49,Gehirn::N,ахшыбаҩ,qarasaq
50,Herz::N,агəы,uummat
51,Magen::N,аца,aqajaroq
52,Magen::N,ацар,aqajaroq
53,Leber::N,агəаҵəа,tinguk
54,Atem::N,аҧсыҧлагаҩгара,anerneq
55,Hunger::N,амла,kaanneq
56,Träne::N,алабжыш,qia
57,Träne::N,алабжыш,qiak
58,Geschmack::N,агьама,qilanaartuut
59,Geruch::N,афҩы,tipi
60,Geruch::N,афҩы,tipik
61,Schlaf::N,ацəа,
62,Traum::N,аҧхыӡ,sinnattoq
63,Traum::N,аҧхыӡ,sinnattugaq
64,Himmel::N,ажəҩан,qilak
65,Sonne::N,амра,seqineq
66,Mond::N,амза,qaammat
67,Stern::N,аеҵəа,ulloriaq
68,Luft::N,аҳаир,silaannaq
69,Wind::N,аҧша,anori
70,Wind::N,аҧша,anorsarik
71,Welle::N,ацəқəырҧа,aalappaa
72,Wasser::N,аӡы,imeq
73,Stein::N,ахаҳə,ujarak
74,Boden::N,адгьыл,nateq
75,Erde::N,адгьыл,issoq
76,Staub::N,асаба,pujualanerit
77,Staub::N,асаба,pujoralanerit
78,Rauch::N,алҩа,iseq
79,Rauch::N,алҩа,pujoq
80,Funke::N,акəиц,illoorneq
81,Funke::N,ацҧхь,illoorneq
82,Feuer::N,амца,inneq
83,Licht::N,алашара,qaamaneq
84,Schatten::N,ашəшьыра,tarraq
85,Wetter::N,амш,sila
86,Nebel::N,анаҟəа,pujoq
87,Wolke::N,аҧсҭҳəа,nuia
88,Regen::N,ақəа,sialuk
89,Schnee::N,асы,aput
90,Eis::N,аҵаа,siku
91,Frost::N,аҵаа,issi
92,Frost::N,аҵаа,issik
93,Kälte::N,ахьҭа,issi
94,Hitze::N,ашоура,kianneq
95,Hitze::N,ашоура,kiassuseq
96,Raureif::N,аҵааҧшқа,kaneq
97,Regenbogen::N,ацəаҟəа,neriusaaq
98,Donner::N,адыд,kalleq
99,Strömung::N,аиасра,
100,Strömung::N,амҩасра,
101,Tropfen::N,ацəыкəбар,kuseriarneq
102,Schaum::N,ашəах,qapuk
103,Schmutz::N,алымт,minguk
104,See::N,аӡиа,taseq
105,Sumpf::N,аӡмах,maqulluk
106,Wiese::N,адəы,masarsuk
107,Wald::N,абна,
108,Hügel::N,ахəы,qattuneq
109,Hügel::N,ахəы,majuariaq
110,Hügel::N,ахəы,majorajaaq
111,Hügel::N,ахəы,qaqqannguaq
112,Anhöhe::N,аҳаракыра,
113,Berg::N,ашьха,qaqqaq
114,Gipfel::N,ацəқəа,
115,Höhle::N,аҳаҧы,qaarusuk
116,Abhang::N,анаара,ippik
117,Abhang::N,анаара,sivinganeq
118,Abhang::N,анаара,sivingajaaq
119,Abhang::N,анаара,kussangajaaq
120,Quelle::N,аҵҵырҭа,
121,Bach::N,акəараҷҷа,kuunnguaq
122,Fluss::N,аӡиас,kuuk
123,Ufer::N,ахықə,sissap sinaa
124,Küste::N,ахықə,sineriak
125,Festland::N,абарра,
126,Meer::N,амшын,imaq
127,Bucht::N,аӡбжьахала,ikeq
128,Bucht::N,аӡбжьахала,kangerluk
129,Bucht::N,аӡбжьахала,kangerliumaneq
130,Insel::N,адгьылбжьаха,qeqertaq
131,Blume::N,ашəҭ,naasoq
132,Gras::N,аҳасакьын,ivigaq
133,Wurzel::N,адац,niulutaq
134,Baum::N,аҵла,orpik
135,Stamm::N,ашьапы,kanaartaq
136,Rinde::N,ацəа,ameraq
137,Ast::N,амахə,avalequt
138,Ast::N,амахəҭа,avalequt
139,Zweig::N,амахə,avalequt
140,Zweig::N,амахəҭа,avalequt
141,Blatt::N,абҕьы,pilutaq
142,Birke::N,аҵааҵла,patitsit
143,Kiefer[Baum]::N,амза,
144,Weide[Baum]::N,аҧслыш,palleq
145,Tanne::N,аҧсаӡ,orsuerneq
146,Horn::N,атəыҩа,nassuk
147,Feder::N,ахӡы,suluk
148,Fell::N,ацəа,ameq
149,Flügel::N,амҵəыжəа,suluk
150,Flügel::N,амҵəыжəа,isaroq
