,Concept_ID,ce,it
0,Auge::N,бӏаьрг,occhio
1,Ohr::N,лерг,orecchio
2,Nase::N,мара,naso
3,Mund::N,бага,bocca
4,Zahn::N,церг,dente
5,Zunge::N,мотт,lingua
6,Lippe::N,балда,labbro
7,Wange::N,бесни,guancia
8,Gesicht::N,юьхь,viso
9,Gesicht::N,юьхь,faccia
10,Stirn::N,хьаж,fronte
11,Haar::N,мас,capello
12,Schnurrbart::N,мекх,baffi
13,Schnurrbart::N,мекх,mustacchi
14,Bart::N,маж,barba
15,Kinn::N,чӏениг,mento
16,Kiefer[Anatomie]::N,мочхал,mascella
17,Kehle::N,къамкъарг,gola
18,Hals::N,ворта,collo
19,Genick::N,кӏесаркӏаг,nuca
20,Kopf::N,корта,capo
21,Kopf::N,корта,testa
22,Rücken::N,букъ,dorso
23,Rücken::N,букъ,schiena
24,Bauch::N,кийра,ventre
25,Nabel::N,цӏонга,ombelico
26,Busen::N,зударийн накха,seno
27,Brust::N,накха,petto
28,Schulter::N,белш,spalla
29,Arm::N,пхьарс,braccio
30,Ellenbogen::N,пхьаьрсан гола,gomito
31,Hand::N,куьг,mano
32,Handfläche::N,кераюкъ,palma
33,Finger::N,пӏелг,dito
34,Fingernagel::N,мӏара,unghia
35,Nagel[Anatomie]::N,мӏара,unghia
36,Zeh::N,кога пӏелг,dito del piede
37,Fuß::N,ког,piede
38,Ferse::N,кӏажа,tallone
39,Ferse::N,кӏажа,calcagno
40,Knie::N,гола,ginocchio
41,Oberschenkel::N,варе,fèmore
42,Bein::N,ког,gamba
43,Körper::N,хӏума,corpo
44,Haut::N,чкъор,pelle
45,Blut::N,цӏий,sangue
46,Ader::N,пха,vena
47,Sehne::N,хьорзам,tèndine
48,Knochen::N,даьӏахк,osso
49,Gehirn::N,хье,cervello
50,Herz::N,дог,cuore
51,Magen::N,зорх,stòmaco
52,Leber::N,доӏах,fegato
53,Atem::N,садеӏар,fiato
54,Atem::N,садеӏар,respiro
55,Hunger::N,мацалла,fame
56,Träne::N,бӏаьрхи,làcrima
57,Geschmack::N,чам,gusto
58,Geschmack::N,чам,sapore
59,Geruch::N,хьожа,odore
60,Schlaf::N,наб,sonno
61,Traum::N,гӏан,sogno
62,Himmel::N,стигал,cielo
63,Sonne::N,малх,sole
64,Mond::N,бутт,luna
65,Stern::N,седа,stella
66,Luft::N,xӏаваъ,aria
67,Wind::N,мох,vento
68,Welle::N,тулгӏе,onda
69,Wasser::N,хи,acqua
70,Stein::N,тӏулг,sasso
71,Stein::N,тӏулг,pietra
72,Boden::N,цӏенкъа,suolo
73,Boden::N,цӏенкъа,terreno
74,Erde::N,латта,terra
75,Staub::N,чан,polvere
76,Rauch::N,кӏур,fumo
77,Funke::N,суй,scintilla
78,Feuer::N,цӏе,fuoco
79,Licht::N,серло,luce
80,Schatten::N,ӏиндагӏ,ombra
81,Wetter::N,хенан хӏоттам,tempo
82,Nebel::N,дохк,nebbia
83,Wolke::N,марха,nube
84,Wolke::N,марха,nùvola
85,Regen::N,догӏа,pioggia
86,Schnee::N,ло,neve
87,Eis::N,ша,ghiaccio
88,Frost::N,шело,gelo
89,Kälte::N,шело,freddo
90,Hitze::N,йовхо,caldo
91,Hitze::N,йовхо,calura
92,Raureif::N,йис,brina
93,Regenbogen::N,стелаӏад,arcobaleno
94,Donner::N,ткъес,tuono
95,Strömung::N,дӏаэхар,corrente
96,Strömung::N,дӏасалелар,corrente
97,Tropfen::N,тӏадам,goccia
98,Schaum::N,чопа,spuma
99,Schaum::N,чопа,schiuma
100,Schmutz::N,хатт,sudiciume
101,See::N,ӏам,lago
102,Sumpf::N,уьшал,palude
103,Moor::N,уьшал,torbiera
104,Wiese::N,бай,prato
105,Wald::N,хьун,bosco
106,Wald::N,хьун,foresta
107,Hügel::N,гу,colle
108,Hügel::N,гу,collina
109,Hügel::N,шу,colle
110,Hügel::N,шу,collina
111,Hügel::N,барз,colle
112,Hügel::N,барз,collina
113,Anhöhe::N,акъари,altura
114,Berg::N,лам,monte
115,Berg::N,лам,montagna
116,Gipfel::N,бохь,cima
117,Höhle::N,хьех,grotta
118,Höhle::N,хьех,caverna
119,Abhang::N,басе,pendìo
120,Quelle::N,шовда,sorgente
121,Bach::N,татол,ruscello
122,Fluss::N,хи,fiume
123,Ufer::N,хийист,riva
124,Küste::N,йист,costa
125,Festland::N,латта,terraferma
126,Meer::N,xӏорд,mare
127,Bucht::N,чож,cala
