,Concept_ID,ru,mn
0,Auge::N,глаз,нүд
1,Ohr::N,ухо,чих
2,Nase::N,нос,хамар
3,Mund::N,рот,ам
4,Zahn::N,зуб,шүд
5,Zunge::N,язык,хэл
6,Lippe::N,губа,уруул
7,Wange::N,щека,хацар
8,Gesicht::N,лицо,царай
9,Gesicht::N,лицо,нүүр
10,Stirn::N,лоб,дух
11,Haar::N,волос,үс
12,Haar::N,волосы,үс
13,Schnurrbart::N,ус,дээд сахал
14,Schnurrbart::N,ус,живэр сахал
15,Schnurrbart::N,усы,дээд сахал
16,Schnurrbart::N,усы,живэр сахал
17,Bart::N,борода,сахал
18,Kinn::N,подбородок,эрүү
19,Kiefer[Anatomie]::N,челюсть,эрүү
20,Kehle::N,горло,хоолой
21,Hals::N,шея,хүзүү
22,Genick::N,затылок,шил
23,Genick::N,затылок,хүзүү
24,Kopf::N,голова,толгой
25,Rücken::N,спина,ар
26,Rücken::N,спина,нуруу
27,Bauch::N,живот,хэвлий
28,Bauch::N,живот,гэдэс
29,Nabel::N,пупок,хүйс
30,Busen::N,женская грудь,хөх
31,Brust::N,грудь,цээж
32,Schulter::N,плечо,мөр
33,Schulter::N,плечо,бугалга
34,Arm::N,рука,гар
35,Ellenbogen::N,локоть,тохой
36,Hand::N,кисть,гар
37,Hand::N,кисть,алга
38,Handfläche::N,ладонь,алга
39,Finger::N,палец,хуруу
40,Fingernagel::N,ноготь,хурууны хумс
41,Nagel[Anatomie]::N,ноготь,хумс
42,Zeh::N,палец,хуруу
43,Fuß::N,ступня,хөл
44,Ferse::N,пята,өсгий
45,Ferse::N,пятка,өсгий
46,Knie::N,колено,өвдөг
47,Oberschenkel::N,бедро,гуя
48,Bein::N,нога,хөл
49,Körper::N,тело,бие
50,Haut::N,кожа,арьс
51,Blut::N,кровь,цус
52,Ader::N,вена,судас
53,Ader::N,сосуд,судас
54,Sehne::N,жила,бүлх
55,Sehne::N,жила,шандас
56,Sehne::N,тетива,бүлх
57,Sehne::N,тетива,шандас
58,Sehne::N,сухожилие,бүлх
59,Sehne::N,сухожилие,шандас
60,Knochen::N,кость,яс
61,Gehirn::N,мозг,тархи
62,Herz::N,сердце,зүрх
63,Magen::N,желудок,ходоод
64,Leber::N,печень,элэг
65,Atem::N,дух,амьсгаа
66,Atem::N,дыхание,амьсгаа
67,Hunger::N,голод,өлсгөлөн
68,Träne::N,слеза,нулимс
69,Geschmack::N,вкус,амт
70,Geruch::N,запах,үнэр
71,Schlaf::N,сон,нойр
72,Traum::N,сновидение,зүүд
73,Himmel::N,небо,тэнгэр
74,Himmel::N,небо,огторгуй
75,Sonne::N,солнце,нар
76,Mond::N,луна,сар
77,Stern::N,звезда,од
78,Luft::N,воздух,агаар
79,Wind::N,ветер,салхи
80,Welle::N,волна,долгио
81,Welle::N,волна,давалгаа
82,Wasser::N,вода,ус
83,Stein::N,камень,чулуу
84,Boden::N,почва,хөрс
85,Erde::N,земля,газар
86,Erde::N,земля,шороо
87,Staub::N,пыль,тоос
88,Rauch::N,дым,утаа
89,Funke::N,искра,оч
90,Feuer::N,огонь,гал
91,Licht::N,свет,гэрэл
92,Licht::N,свет,гэгээ
93,Schatten::N,тень,сүүдэр
94,Wetter::N,погода,тэнгэр
95,Wetter::N,погода,цаг уур
96,Nebel::N,туман,будан
97,Wolke::N,облако,үүл
98,Regen::N,дождь,бороо
99,Schnee::N,снег,цас
100,Eis::N,лед,мөс
101,Frost::N,мороз,хүйт
102,Kälte::N,холод,хүйт
103,Hitze::N,жара,халуун
104,Raureif::N,иней,цан
105,Raureif::N,иней,хяруу
106,Regenbogen::N,радуга,солонго
107,Donner::N,гром,тэнгэрийн дуу
108,Strömung::N,течение,урсгал
109,Tropfen::N,капля,дусал
110,Schaum::N,пена,хөөс
111,Schmutz::N,грязь,хир
112,Schmutz::N,грязь,шавхай
113,See::N,озеро,нуур
114,Sumpf::N,топь,намаг
115,Sumpf::N,топь,балчиг
116,Moor::N,болото,хүлрийн намаг
117,Wiese::N,луг,нуга
118,Wald::N,лес,ой
119,Hügel::N,холм,болдог
120,Anhöhe::N,возвышенность,гүвээ
121,Berg::N,гора,уул
122,Gipfel::N,вершина,орой
123,Gipfel::N,вершина,оргил
124,Höhle::N,пещера,агуй
125,Abhang::N,склон,хүр
126,Quelle::N,источник,булаг
127,Bach::N,ручей,горхи
128,Fluss::N,река,гол
129,Fluss::N,река,мөрөн
130,Ufer::N,берег,эрэг
131,Küste::N,побережье,эрэг
132,Festland::N,суша,хуурай газар
133,Meer::N,море,далай
134,Meer::N,море,тэнгис
135,Bucht::N,бухта,булан
136,Bucht::N,бухта,далайн тохой
137,Insel::N,остров,арал
138,Blume::N,цветок,цэцэг
139,Gras::N,трава,өвс
140,Gras::N,трава,ногоо
141,Wurzel::N,корень,үндэс
142,Baum::N,дерево,мод
143,Stamm::N,ствол,иш
144,Stamm::N,ствол,гуалин
145,Rinde::N,кора,холтос
146,Ast::N,сук,гишүү
147,Zweig::N,ветвь,салаа
148,Blatt::N,лист,навч
149,Birke::N,береза,хус
150,Kiefer[Baum]::N,сосна,нарс
151,Weide[Baum]::N,ива,уд
152,Weide[Baum]::N,ива,бургас
