,Concept_ID,eu,fr
149,Ufer::N,bazter,bord
150,Ufer::N,bazter,rivage
151,Küste::N,itsasalde,côte
152,Festland::N,lehor,terre ferme
153,Meer::N,itsaso,mer
154,Bucht::N,golko,baie
155,Insel::N,irla,île
156,Insel::N,uharte,île
157,Blume::N,lili,fleur
158,Gras::N,belar,herbe
159,Wurzel::N,zuztar,racine
160,Wurzel::N,sustrai,racine
161,Baum::N,zuhaitz,arbre
162,Stamm::N,enbor,tronc
163,Rinde::N,azal,écorce
164,Ast::N,adar,branche
165,Zweig::N,abar,rameau
166,Blatt::N,hosto,feuille
167,Birke::N,urki,bouleau
168,Kiefer[Baum]::N,ler,pin
169,Weide[Baum]::N,zume,saule
170,Weide[Baum]::N,sahats,saule
171,Tanne::N,izei,sapin
172,Horn::N,adar,corne
173,Feder::N,luma,plume
174,Feder::N,hegaki,plume
175,Fell::N,ile,peau
176,Fell::N,larru,peau
177,Flügel::N,hego,aile
178,Klaue::N,atzapar,serre
179,Kralle::N,erpe,ongle
180,Kralle::N,erpe,griffe
181,Kralle::N,atzapar,ongle
182,Kralle::N,atzapar,griffe
183,Schwanz::N,isats,queue
184,Schwanz::N,buztan,queue
185,Ei::N,arrautza,œuf
186,Nest::N,habia,nid
187,Bau::N,ohantze,terrier
188,Tier::N,abere,animal
189,Tier::N,piztia,animal
190,Herde::N,saldo,troupeau
191,Herde::N,abere talde,troupeau
192,Kuh::N,behi,vache
193,Bulle::N,zezen,taureau
194,Pferd::N,zaldi,cheval
195,Schaf::N,ardi,mouton
196,Schwein::N,urde,porc
197,Schwein::N,urde,cochon
198,Schwein::N,txerri,porc
199,Schwein::N,txerri,cochon
200,Hund::N,txakur,chien
201,Katze::N,katu,chat
202,Bär::N,hartz,ours
203,Eichhörnchen::N,urtxintxa,écureuil
204,Elch::N,altze,élan
205,Fuchs::N,azeri,renard
206,Hase::N,erbi,lièvre
207,Maus::N,sagu,souris
208,Wolf::N,otso,loup
209,Vogel::N,txori,oiseau
210,Vogel::N,hegazti,oiseau
211,Schwarm::N,aldra,nuée
212,Schwarm::N,aldra,volée
213,Huhn::N,oilo,poule
214,Hahn::N,oilar,coq
215,Gans::N,antzara,oie
216,Adler::N,arrano,aigle
217,Ente::N,ahate,canard
218,Eule::N,hontza,hibou
219,Kranich::N,kurrilo,grue
220,Krähe::N,bele,corneille
221,Kuckuck::N,kuku,coucou
222,Schwan::N,beltxarga,cygne
223,Fisch::N,arrain,poisson
224,Barsch::N,perka,perche
225,Hecht::N,lutxo,brochet
226,Schlange[Tier]::N,suge,serpent
227,Wurm::N,har,ver
228,Spinne::N,armiarma,araignée
229,Ameise::N,inurri,fourmi
230,Laus::N,zorri,pou
231,Mücke::N,eltxo,moucheron
232,Fliege::N,euli,mouche
233,Schmetterling::N,pinpirin,papillon
234,Schmetterling::N,tximeleta,papillon
235,Beere::N,baia,baie
236,Apfel::N,sagar,pomme
237,Pilz::N,onddo,champignon
238,Pilz::N,perretxiko,champignon
239,Zwiebel::N,tipula,oignon
240,Saat::N,haziak,semence
241,Korn::N,ale,grain
242,Korn::N,pikor,grain
243,Heu::N,belar ondu,foin
244,Schale::N,azal,pelure
245,Grube::N,hobi,fosse
246,Falle::N,harrapagailu,piège
247,Schlinge::N,bilur,lacs
248,Schlinge::N,xedera,lacs
249,Spur::N,lorratz,trace
250,Asche::N,errauts,cendre
251,Dreck::N,satsukeria,crotte
252,Eisen::N,burdina,fer
253,Gold::N,urre,or
254,Gold::N,urregorri,or
255,Silber::N,zilar,argent
256,Silber::N,urrezuri,argent
257,Kohle::N,ikatz,charbon
258,Glas::N,beira,verre
259,Lehm::N,buztin,glaise
260,Sand::N,harea,sable
261,Sand::N,hondar,sable
262,Mensch::N,gizaki,homme
263,Mann::N,gizon,homme
264,Frau::N,andere,femme
265,Frau::N,emakume,femme
266,Kind::N,haur,enfant
267,Junge::N,mutil,garçon
268,Mädchen::N,neska,fille
269,Mädchen::N,neska,jeune fille
270,Familie::N,sendi,famille
271,Familie::N,familia,famille
272,Großvater::N,aitona,grand-père
273,Großvater::N,aitatxi,grand-père
274,Großmutter::N,amona,grand-mère
275,Großmutter::N,amatxi,grand-mère
276,Eltern::N,gurasoak,parents
277,Vater::N,aita,père
278,Mutter::N,ama,mère
279,Sohn::N,seme,fils
280,Tochter::N,alaba,fille
281,Bruder::N,neba,frère
282,Bruder::N,anaia,frère
283,Schwester::N,ahizpa,sœur
284,Onkel::N,osaba,oncle
285,Tante::N,izeba,tante
286,Ehemann::N,senar,mari
287,Ehemann::N,senar,époux
288,Ehefrau::N,emazte,femme
289,Ehefrau::N,emazte,épouse
290,Freude::N,poz,joie
291,Freude::N,poz,plaisir
292,Freude::N,pozkari,joie
293,Freude::N,pozkari,plaisir
294,Gelächter::N,barre,rires
295,Gelächter::N,karkara,rires
296,Glück::N,zori,bonheur
297,Kummer::N,xangrin,peine
298,Kummer::N,xangrin,chagrin
299,Kummer::N,atsekabe,peine
300,Kummer::N,atsekabe,chagrin
301,Wunsch::N,nahi,désir
302,Wunsch::N,nahikunde,désir
303,Lust::N,gogo,envie
304,Geist::N,gogo,esprit
305,Gedanke::N,gogoeta,idée
306,Gedanke::N,gogoeta,pensée
307,Gedächtnis::N,oroimen,mémoire
308,Gedächtnis::N,gogoramen,mémoire
309,Verstand::N,adimen,raison
310,Verstand::N,ulermen,raison
311,Sinn::N,zentzu,sens
312,Grund::N,zergati,cause
313,Grund::N,zergati,raison
314,Wahrheit::N,egia,vérité
315,Gespräch::N,hizketa,conversation
316,Gespräch::N,elkarrizketa,conversation
317,Märchen::N,ipuin,conte
318,Märchen::N,ipuin,conte de fées
319,Erzählung::N,edesti,conte
320,Erzählung::N,edesti,narration
