,Concept_ID,et,et
0,Auge::N,silm,silm
1,Ohr::N,kõrv,kõrv
2,Nase::N,nina,nina
3,Mund::N,suu,suu
4,Zahn::N,hammas,hammas
5,Zunge::N,keel,keel
6,Lippe::N,huul,huul
7,Wange::N,põsk,põsk
8,Gesicht::N,nägu,nägu
9,Stirn::N,otsmik,otsmik
10,Haar::N,juus,juus
11,Schnurrbart::N,vurrud,vurrud
12,Schnurrbart::N,vurrud,vuntsid
13,Schnurrbart::N,vuntsid,vurrud
14,Schnurrbart::N,vuntsid,vuntsid
15,Bart::N,habe,habe
16,Kinn::N,lõug,lõug
17,Kiefer[Anatomie]::N,lõualuu,lõualuu
18,Kehle::N,kõri,kõri
19,Hals::N,kael,kael
20,Genick::N,kukal,kukal
21,Kopf::N,pea,pea
22,Rücken::N,selg,selg
23,Bauch::N,kõht,kõht
24,Nabel::N,naba,naba
25,Busen::N,rind,rind
26,Brust::N,rind,rind
27,Schulter::N,õlg,õlg
28,Arm::N,käsivars,käsivars
29,Ellenbogen::N,küünarnukk,küünarnukk
30,Hand::N,käsi,käsi
31,Handfläche::N,pihk,pihk
32,Finger::N,sõrm,sõrm
33,Fingernagel::N,küüs,küüs
34,Nagel[Anatomie]::N,küüs,küüs
35,Zeh::N,varvas,varvas
36,Fuß::N,jalg,jalg
37,Ferse::N,kand,kand
38,Knie::N,põlv,põlv
39,Oberschenkel::N,reis,reis
40,Bein::N,jalg,jalg
41,Körper::N,ihu,ihu
42,Körper::N,ihu,keha
43,Körper::N,keha,ihu
44,Körper::N,keha,keha
45,Haut::N,nahk,nahk
46,Blut::N,veri,veri
47,Ader::N,veen,veen
48,Sehne::N,kõõlus,kõõlus
49,Knochen::N,luu,luu
50,Gehirn::N,aju,aju
51,Herz::N,süda,süda
52,Magen::N,magu,magu
53,Leber::N,maks,maks
54,Atem::N,hingeõhk,hingeõhk
55,Atem::N,hingeõhk,hingamine
56,Atem::N,hingamine,hingeõhk
57,Atem::N,hingamine,hingamine
58,Hunger::N,nälg,nälg
59,Träne::N,pisar,pisar
60,Geschmack::N,maitse,maitse
61,Geruch::N,lõhn,lõhn
62,Schlaf::N,uni,uni
63,Traum::N,unenägu,unenägu
64,Himmel::N,taevas,taevas
65,Sonne::N,päike,päike
66,Mond::N,kuu,kuu
67,Stern::N,täht,täht
68,Luft::N,õhk,õhk
69,Wind::N,tuul,tuul
70,Welle::N,laine,laine
71,Wasser::N,vesi,vesi
72,Stein::N,kivi,kivi
73,Boden::N,maa,maa
74,Boden::N,maa,pinnas
75,Boden::N,pinnas,maa
76,Boden::N,pinnas,pinnas
77,Erde::N,maa,maa
78,Staub::N,põrm,põrm
79,Rauch::N,suits,suits
80,Funke::N,säde,säde
81,Feuer::N,tuli,tuli
82,Licht::N,valgus,valgus
83,Schatten::N,vari,vari
84,Wetter::N,ilm,ilm
85,Nebel::N,udu,udu
86,Wolke::N,pilv,pilv
87,Regen::N,sadu,sadu
88,Schnee::N,lumi,lumi
89,Eis::N,jää,jää
90,Frost::N,pakane,pakane
91,Kälte::N,külm,külm
92,Kälte::N,külm,külmus
93,Kälte::N,külmus,külm
94,Kälte::N,külmus,külmus
95,Hitze::N,kuumus,kuumus
96,Hitze::N,kuumus,palavus
97,Hitze::N,palavus,kuumus
98,Hitze::N,palavus,palavus
99,Raureif::N,härmatis,härmatis
100,Regenbogen::N,vikerkaar,vikerkaar
101,Donner::N,kõu,kõu
102,Donner::N,kõu,müristamine
103,Donner::N,müristamine,kõu
104,Donner::N,müristamine,müristamine
105,Strömung::N,voolus,voolus
106,Strömung::N,voolus,jõevool
107,Strömung::N,jõevool,voolus
108,Strömung::N,jõevool,jõevool
109,Tropfen::N,tilk,tilk
110,Schaum::N,vaht,vaht
111,Schmutz::N,pori,pori
112,Schmutz::N,pori,mustus
113,Schmutz::N,mustus,pori
114,Schmutz::N,mustus,mustus
115,See::N,järv,järv
116,Sumpf::N,soo,soo
117,Moor::N,raba,raba
118,Wiese::N,aas,aas
119,Wiese::N,aas,nurm
120,Wiese::N,nurm,aas
121,Wiese::N,nurm,nurm
122,Wald::N,mets,mets
123,Hügel::N,küngas,küngas
124,Anhöhe::N,küngas,küngas
125,Berg::N,mägi,mägi
126,Gipfel::N,mäetipp,mäetipp
127,Höhle::N,koobas,koobas
128,Abhang::N,nõlvak,nõlvak
129,Quelle::N,allikas,allikas
130,Bach::N,oja,oja
131,Fluss::N,jõgi,jõgi
132,Ufer::N,kallas,kallas
133,Küste::N,rannik,rannik
134,Festland::N,mander,mander
135,Festland::N,mander,maismaa
136,Festland::N,maismaa,mander
137,Festland::N,maismaa,maismaa
138,Meer::N,meri,meri
139,Bucht::N,laht,laht
140,Insel::N,saar,saar
141,Blume::N,lill,lill
142,Gras::N,rohi,rohi
143,Wurzel::N,juur,juur
144,Baum::N,puu,puu
145,Stamm::N,tüvi,tüvi
146,Rinde::N,koor,koor
147,Ast::N,oks,oks
148,Zweig::N,oks,oks
149,Blatt::N,leht,leht
150,Birke::N,kask,kask
151,Kiefer[Baum]::N,mänd,mänd
152,Weide[Baum]::N,paju,paju
153,Tanne::N,nulg,nulg
154,Horn::N,sarv,sarv
155,Feder::N,sulg,sulg
156,Fell::N,karvkate,karvkate
157,Fell::N,karvkate,karusnahk
158,Fell::N,karusnahk,karvkate
159,Fell::N,karusnahk,karusnahk
160,Flügel::N,tiib,tiib
161,Flügel::N,tiib,tiivik
162,Flügel::N,tiivik,tiib
163,Flügel::N,tiivik,tiivik
164,Klaue::N,küüs,küüs
165,Kralle::N,küünis,küünis
166,Schwanz::N,saba,saba
167,Ei::N,muna,muna
168,Nest::N,pesa,pesa
169,Bau::N,urg,urg
170,Tier::N,loom,loom
171,Herde::N,kari,kari
172,Kuh::N,lehm,lehm
173,Bulle::N,pull,pull
174,Pferd::N,hobune,hobune
175,Schaf::N,lammas,lammas
176,Schwein::N,siga,siga
177,Hund::N,koer,koer
178,Katze::N,kass,kass
179,Bär::N,karu,karu
180,Eichhörnchen::N,orav,orav
181,Elch::N,põder,põder
182,Fuchs::N,rebane,rebane
183,Hase::N,jänes,jänes
184,Maus::N,hiir,hiir
185,Wolf::N,hunt,hunt
186,Vogel::N,lind,lind
187,Schwarm::N,parv,parv
188,Huhn::N,kana,kana
189,Hahn::N,kukk,kukk
190,Gans::N,hani,hani
191,Adler::N,kotkas,kotkas
192,Ente::N,part,part
193,Eule::N,kakk,kakk
194,Eule::N,kakk,öökull
195,Eule::N,öökull,kakk
196,Eule::N,öökull,öökull
197,Kranich::N,kurg,kurg
198,Krähe::N,vares,vares
199,Kuckuck::N,kägu,kägu
200,Schwan::N,luik,luik
201,Fisch::N,kala,kala
202,Barsch::N,ahven,ahven
203,Hecht::N,haug,haug
204,Schlange[Tier]::N,uss,uss
205,Wurm::N,uss,uss
206,Wurm::N,uss,vagel
207,Wurm::N,vagel,uss
208,Wurm::N,vagel,vagel
209,Spinne::N,ämblik,ämblik
210,Ameise::N,sipelgas,sipelgas
211,Laus::N,täi,täi
212,Mücke::N,sääsk,sääsk
213,Fliege::N,kärbes,kärbes
214,Schmetterling::N,liblikas,liblikas
215,Beere::N,mari,mari
216,Apfel::N,õun,õun
217,Pilz::N,seen,seen
218,Zwiebel::N,sibul,sibul
219,Saat::N,seeme,seeme
220,Korn::N,iva,iva
221,Korn::N,iva,tera
222,Korn::N,tera,iva
223,Korn::N,tera,tera
224,Heu::N,hein,hein
225,Schale::N,koor,koor
226,Grube::N,kaevand,kaevand
227,Falle::N,lõks,lõks
228,Falle::N,lõks,püünis
229,Falle::N,püünis,lõks
230,Falle::N,püünis,püünis
231,Schlinge::N,aas,aas
232,Spur::N,jälg,jälg
233,Asche::N,tuhk,tuhk
234,Dreck::N,saast,saast
235,Dreck::N,saast,mustus
236,Dreck::N,mustus,saast
237,Dreck::N,mustus,mustus
238,Eisen::N,raud,raud
239,Gold::N,kuld,kuld
240,Silber::N,hõbe,hõbe
241,Kohle::N,süsi,süsi
242,Glas::N,klaas,klaas
243,Lehm::N,savi,savi
244,Sand::N,liiv,liiv
245,Mensch::N,inimene,inimene
246,Mann::N,mees,mees
247,Frau::N,naine,naine
248,Kind::N,laps,laps
249,Junge::N,poiss,poiss
250,Mädchen::N,tüdruk,tüdruk
251,Familie::N,perekond,perekond
252,Großvater::N,vanaisa,vanaisa
253,Großmutter::N,vanaema,vanaema
254,Eltern::N,vanemad,vanemad
255,Vater::N,isa,isa
256,Mutter::N,ema,ema
257,Sohn::N,poeg,poeg
258,Tochter::N,tütar,tütar
259,Bruder::N,vend,vend
260,Schwester::N,õde,õde
261,Onkel::N,onu,onu
262,Tante::N,tädi,tädi
263,Ehemann::N,mees,mees
264,Ehemann::N,mees,abikaasa
265,Ehemann::N,abikaasa,mees
266,Ehemann::N,abikaasa,abikaasa
267,Ehefrau::N,naine,naine
268,Ehefrau::N,naine,abikaasa
269,Ehefrau::N,abikaasa,naine
270,Ehefrau::N,abikaasa,abikaasa
271,Freude::N,rõõm,rõõm
272,Gelächter::N,naer,naer
273,Glück::N,õnn,õnn
274,Kummer::N,mure,mure
275,Kummer::N,mure,kurbus
276,Kummer::N,kurbus,mure
277,Kummer::N,kurbus,kurbus
278,Wunsch::N,soov,soov
279,Lust::N,himu,himu
280,Geist::N,vaim,vaim
281,Gedanke::N,mõte,mõte
282,Gedächtnis::N,mälu,mälu
283,Verstand::N,aru,aru
284,Verstand::N,aru,mõistus
285,Verstand::N,mõistus,aru
286,Verstand::N,mõistus,mõistus
287,Sinn::N,tähendus,tähendus
288,Grund::N,põhjus,põhjus
289,Wahrheit::N,tõde,tõde
290,Gespräch::N,kõne,kõne
291,Gespräch::N,kõne,vestlus
292,Gespräch::N,vestlus,kõne
293,Gespräch::N,vestlus,vestlus
294,Märchen::N,muinasjutt,muinasjutt
295,Erzählung::N,jutustus,jutustus
296,Nachricht::N,teade,teade
297,Neuigkeit::N,uudis,uudis
298,Name::N,nimi,nimi
299,Rätsel::N,mõistatus,mõistatus
300,Rede::N,kõne,kõne
301,Sprache::N,keel,keel
302,Stimme::N,hääl,hääl
303,Wort::N,sõna,sõna
304,Zeichen::N,märk,märk
305,Ruf::N,hüüe,hüüe
306,Lärm::N,müra,müra
307,Laut::N,hääl,hääl
308,Ton::N,toon,toon
309,Lied::N,laul,laul
310,Ruhe::N,rahu,rahu
311,Ruhe::N,rahu,vaikus
312,Ruhe::N,vaikus,rahu
313,Ruhe::N,vaikus,vaikus
314,Leute::N,inimesed,inimesed
315,Volk::N,rahvas,rahvas
316,Arbeit::N,töö,töö
317,Gast::N,külaline,külaline
318,Geschenk::N,kingitus,kingitus
