,Concept_ID,xal,ko
0,Auge::N,нүдн,눈
1,Ohr::N,чикн,귀
2,Nase::N,хамр,코
3,Mund::N,амн,입
4,Zahn::N,шүдн,이
5,Zunge::N,келн,혀
6,Lippe::N,урл,입술
7,Wange::N,халх,뺨
8,Gesicht::N,нүр,얼굴
9,Stirn::N,маңна,이마
10,Haar::N,үсн,털
11,Schnurrbart::N,сахл,윗수몀
12,Schnurrbart::N,сахл,코밑수염
13,Bart::N,сахл,수엄
14,Bart::N,өргнә сахл,수엄
15,Kinn::N,өргн,아래턱
16,Kiefer[Anatomie]::N,өргн,턱
17,Kehle::N,хол,인후
18,Hals::N,күзүн,목
19,Genick::N,гиҗг,먹덜이
20,Kopf::N,толһа,머리
21,Rücken::N,нурһн,든
22,Bauch::N,гесн,배
23,Nabel::N,киисн,배꼽
24,Busen::N,көкн,가슴속
25,Brust::N,чееҗ,가슴
26,Schulter::N,ээм,어깨
27,Arm::N,һар,팔
28,Ellenbogen::N,тоха,팔쿰치
29,Hand::N,баһлцг,손
30,Handfläche::N,альхн,손바닥
31,Finger::N,хурһн,속가락
32,Finger::N,һарин хурһн,속가락
33,Fingernagel::N,хумсн,손톱
34,Nagel[Anatomie]::N,хумсн,손톱
35,Zeh::N,хурһн,발가락
36,Zeh::N,көлин хурһн,발가락
37,Fuß::N,тавг,발
38,Ferse::N,өскә,발꿈치
39,Knie::N,өвдг,무릎
40,Oberschenkel::N,һуй,허벅다리
41,Bein::N,көл,다리
42,Körper::N,махмуд,구간
43,Haut::N,арсн,살갗
44,Blut::N,цусн,피
45,Ader::N,судцн,정맥
46,Sehne::N,шүрүсн,현
47,Knochen::N,ясн,뼈
48,Gehirn::N,экн,뇌
49,Gehirn::N,экн,뇌수
50,Herz::N,зүркн,염통
51,Magen::N,гесн,위
52,Leber::N,элкн,간
53,Atem::N,әмсхл,기식
54,Hunger::N,харһнлһн,공복
55,Träne::N,нульмсн,눈물
56,Geschmack::N,амтн,기호
57,Geruch::N,үнр,냄새
58,Schlaf::N,нөр,수면
59,Traum::N,зүүдн,쿰
60,Himmel::N,теңгр,하늘
61,Sonne::N,нарн,해
62,Mond::N,сар,달
63,Stern::N,одн,별
64,Luft::N,аһар,동준
65,Luft::N,аһар,가스채
66,Wind::N,салькн,바람
67,Welle::N,дольган,물결
68,Wasser::N,усн,물
69,Stein::N,чолун,돌
70,Boden::N,Һазр,바닥
71,Erde::N,Һазр,흙
72,Staub::N,тоосн,먼지
73,Rauch::N,утан,연기
74,Funke::N,очн,불티
75,Feuer::N,һал,불
76,Licht::N,герл,불
77,Schatten::N,сүүдр,어스레함
78,Wetter::N,теңгр,기상
79,Nebel::N,будн,안개
80,Wolke::N,үүлн,구름
81,Regen::N,хур,비
82,Schnee::N,цасн,눈
83,Eis::N,мөсн,얼음
84,Frost::N,киитн,혹한
85,Kälte::N,киитн,추위
86,Kälte::N,киитн,차가움
87,Hitze::N,халун,고온
88,Hitze::N,халун,더위
89,Raureif::N,цаң,
90,Raureif::N,кирү,
91,Regenbogen::N,солңһ,무지개
92,Donner::N,оһтрһун дун,뇌명
93,Strömung::N,урсхл,유동
94,Tropfen::N,дусал,물방울
95,Schaum::N,көөсн,포말
96,Schmutz::N,кир,때
97,See::N,нур,호수
98,Sumpf::N,унул,습지
99,Moor::N,улм,저습지
100,Wiese::N,хадлһн,목초지
101,Wald::N,ө-модн,숲
102,Hügel::N,толһа,언덕
103,Anhöhe::N,хамр,언덕
104,Berg::N,уул,산
105,Gipfel::N,ора,졀졍
106,Höhle::N,хадин көндә,공동
107,Abhang::N,ташу,몰매
108,Quelle::N,булг,근원
109,Bach::N,һооҗур,내
110,Fluss::N,һол,강
111,Ufer::N,көвә,강변
112,Ufer::N,көвә,바닷가
113,Küste::N,көвә,해변
114,Küste::N,көвә,해변가
115,Küste::N,теңгсин көвә,해변
116,Küste::N,теңгсин көвә,해변가
117,Festland::N,хүүрә һазр,본토
118,Meer::N,теңгс,바다
119,Bucht::N,цекә,협만
120,Bucht::N,теңгсин цекә,협만
121,Insel::N,арл,섬
122,Blume::N,цецг,꽃
123,Gras::N,ноһан,풀
124,Wurzel::N,уңг,뿌리
