,Concept_ID,ka,mrj
0,Auge::N,თვალი,сӹнзӓ
1,Ohr::N,ყური,пӹлӹш
2,Nase::N,ცხვირი,нер
3,Mund::N,პირი,ышма
4,Zahn::N,კბილი,пӱ
5,Zunge::N,ენა,йӹлмӹ
6,Lippe::N,ბაგე,тӹрвӹ
7,Wange::N,ლოყა,шӹргӹ
8,Gesicht::N,სახე,лицӓ
9,Stirn::N,შუბლი,лепкӓ
10,Haar::N,თმა,ӱп
11,Schnurrbart::N,ულვაში,öрш
12,Bart::N,წვერი,пандаш
13,Kinn::N,ნიკაპი,онгылаш
14,Kiefer[Anatomie]::N,ყბა,пӱ арата
15,Kehle::N,ყელი,логер
16,Hals::N,ყელი,шӱ
17,Hals::N,კისერი,шӱ
18,Genick::N,კეფა,ланга
19,Kopf::N,თავი,вуй
20,Rücken::N,ზურგი,туп
21,Bauch::N,მუცელი,мӹшкӹр
22,Nabel::N,ჭიპი,кӹлӹмдӹ
23,Busen::N,ძუძუ,цӹзӹ
24,Brust::N,მკერდი,мел
25,Schulter::N,მხარი,ӹнгӹжӓ
26,Schulter::N,მკლავი,ӹнгӹжӓ
27,Arm::N,ხელი,кид
28,Ellenbogen::N,იდაყვი,кӹнервуй
29,Hand::N,ხელი,лапа
30,Handfläche::N,ნები,кид лапа
31,Handfläche::N,ხელისგული,кид лапа
32,Finger::N,თითი,парня
33,Fingernagel::N,ფრჩხილი,кӹч
34,Nagel[Anatomie]::N,ფრჩხილი,кӹч
35,Zeh::N,ფეხის თითი,парня
36,Fuß::N,ტერფი,ял лапа
37,Fuß::N,ფეხისგული,ял лапа
38,Ferse::N,ქუსლი,ялгавал
39,Ferse::N,ქუსლი,ял кавал
40,Knie::N,მუხლი,пылвуй
41,Oberschenkel::N,ბარძაყი,ӓрдӹ
42,Bein::N,ფეხი,ял
43,Körper::N,ტანი,монгыр
44,Körper::N,სხეული,монгыр
45,Haut::N,კანი,кавашты
46,Blut::N,სისხლი,вӹр
47,Ader::N,ძარღვი,вӹршӓр
48,Sehne::N,მყესი,кукшышӱн
49,Knochen::N,ძვალი,лу
50,Gehirn::N,ტვინი,вим
51,Herz::N,გული,шӱм
52,Magen::N,კუჭი,шӱм
53,Leber::N,ღვიძლი,мокш
54,Atem::N,სუნთქვა,шӱлӹш
55,Hunger::N,შიმშილი,шужымаш
56,Träne::N,ცრემლი,сӹнзӓвӹд
57,Geschmack::N,გემო,тот
58,Geruch::N,სუნი,пыш
59,Schlaf::N,ძილი,ом
60,Traum::N,სიზმარი,ом
61,Himmel::N,ცა,пӹлгом
62,Sonne::N,მზე,кечӹ
63,Mond::N,მთვარე,тӹлзӹ
64,Stern::N,ვარსკვლავი,шӹдӹр
65,Luft::N,ჰაერი,юж
66,Luft::N,ჰაერი,воздух
67,Wind::N,ქარი,мардеж
68,Welle::N,ტალღა,ко
69,Welle::N,ტალღა,коэ
70,Wasser::N,წყალი,вӹд
71,Stein::N,ქვა,кӱ
72,Boden::N,მიწა,рок
73,Erde::N,ნიადაგი,свет
74,Staub::N,მტვერი,пырак
75,Rauch::N,ბოლი,шӹкш
76,Rauch::N,კვამლი,шӹкш
77,Funke::N,ნაკვესი,ип
78,Funke::N,ნაკვესი,тылип
79,Feuer::N,ცეცხლი,тыл
80,Licht::N,შუქი,соты
81,Licht::N,შუქი,валгыды
82,Licht::N,სინათლე,соты
83,Licht::N,სინათლე,валгыды
84,Schatten::N,ლანდი,ӹмӹл
85,Schatten::N,ჩრდილი,ӹмӹл
86,Wetter::N,ამინდი,игечӹ
87,Nebel::N,ნისლი,тӹтӹрӓ
