,Concept_ID,de,pl
0,Auge::N,Auge,oko
1,Ohr::N,Ohr,ucho
2,Nase::N,Nase,nos
3,Mund::N,Mund,usta
4,Zahn::N,Zahn,ząb
5,Zunge::N,Zunge,język
6,Lippe::N,Lippe,warga
7,Wange::N,Wange,policzek
8,Gesicht::N,Gesicht,twarz
9,Stirn::N,Stirn,czoło
10,Haar::N,Haar,włos
11,Haar::N,Haar,włosy
12,Schnurrbart::N,Schnurrbart,wąsy
13,Bart::N,Bart,broda
14,Kinn::N,Kinn,podbródek
15,Kiefer[Anatomie]::N,Kiefer,czeluść
16,Kehle::N,Kehle,gardło
17,Hals::N,Hals,szyja
18,Genick::N,Genick,kark
19,Kopf::N,Kopf,głowa
20,Rücken::N,Rücken,plecy
21,Rücken::N,Rücken,grzbiet
22,Bauch::N,Bauch,brzuch
23,Nabel::N,Nabel,pępek
24,Busen::N,Busen,biust
25,Brust::N,Brust,pierś
26,Schulter::N,Schulter,bark
27,Schulter::N,Schulter,ramię
28,Arm::N,Arm,ręka
29,Arm::N,Arm,ramię
30,Ellenbogen::N,Ellenbogen,łokieć
31,Hand::N,Hand,dłoń
32,Handfläche::N,Handfläche,dłoń
33,Finger::N,Finger,palec
34,Fingernagel::N,Fingernagel,paznokieć
35,Nagel[Anatomie]::N,Nagel,paznokieć
36,Zeh::N,Zeh,palec
37,Fuß::N,Fuß,stopa
38,Ferse::N,Ferse,pięta
39,Knie::N,Knie,kolano
40,Oberschenkel::N,Oberschenkel,udo
41,Bein::N,Bein,noga
42,Körper::N,Körper,ciało
43,Haut::N,Haut,skóra
44,Blut::N,Blut,krew
45,Ader::N,Ader,żyła
46,Sehne::N,Sehne,ścięgno
47,Knochen::N,Knochen,kość
48,Gehirn::N,Gehirn,mózg
49,Herz::N,Herz,serce
50,Magen::N,Magen,żołądek
51,Leber::N,Leber,wątroba
52,Atem::N,Atem,dech
53,Atem::N,Atem,oddech
54,Hunger::N,Hunger,głód
55,Träne::N,Träne,łza
56,Geschmack::N,Geschmack,smak
57,Geruch::N,Geruch,woń
58,Geruch::N,Geruch,zapach
59,Schlaf::N,Schlaf,sen
60,Traum::N,Traum,sen
61,Himmel::N,Himmel,niebo
62,Sonne::N,Sonne,słońce
63,Mond::N,Mond,księżyc
64,Stern::N,Stern,gwiazda
65,Luft::N,Luft,powietrze
66,Wind::N,Wind,wiatr
67,Welle::N,Welle,fala
68,Wasser::N,Wasser,woda
69,Stein::N,Stein,kamień
70,Boden::N,Boden,grunt
71,Erde::N,Erde,ziemia
72,Staub::N,Staub,pył
73,Staub::N,Staub,kurz
74,Rauch::N,Rauch,dym
75,Funke::N,Funke,iskra
76,Feuer::N,Feuer,ogień
77,Licht::N,Licht,światło
78,Schatten::N,Schatten,cień
79,Wetter::N,Wetter,pogoda
80,Nebel::N,Nebel,mgła
81,Wolke::N,Wolke,obłok
82,Wolke::N,Wolke,chmura
83,Regen::N,Regen,deszcz
84,Schnee::N,Schnee,śnieg
85,Eis::N,Eis,lód
86,Frost::N,Frost,mróz
87,Kälte::N,Kälte,chłód
88,Hitze::N,Hitze,gorąco
89,Raureif::N,Raureif,szron
90,Regenbogen::N,Regenbogen,tęcza
91,Donner::N,Donner,grzmot
92,Strömung::N,Strömung,nurt
93,Tropfen::N,Tropfen,kropla
94,Schaum::N,Schaum,piana
95,Schmutz::N,Schmutz,brud
96,See::N,See,jezioro
97,Sumpf::N,Sumpf,bagno
98,Moor::N,Moor,bagno
99,Wiese::N,Wiese,łąka
100,Wald::N,Wald,las
101,Hügel::N,Hügel,pagórek
102,Anhöhe::N,Anhöhe,wzgórze
103,Berg::N,Berg,góra
104,Gipfel::N,Gipfel,szczyt
105,Gipfel::N,Gipfel,wierzchołek
106,Höhle::N,Höhle,pieczara
107,Abhang::N,Abhang,stok
108,Abhang::N,Abhang,zbocze
109,Quelle::N,Quelle,zdrój
110,Quelle::N,Quelle,źródło
111,Bach::N,Bach,potok
112,Bach::N,Bach,strumień
113,Fluss::N,Fluss,rzeka
114,Ufer::N,Ufer,brzeg
115,Küste::N,Küste,wybrzeże
116,Festland::N,Festland,ląd
117,Meer::N,Meer,morze
118,Bucht::N,Bucht,zatoka
119,Insel::N,Insel,wyspa
120,Blume::N,Blume,kwiat
121,Gras::N,Gras,trawa
122,Wurzel::N,Wurzel,korzeń
123,Baum::N,Baum,drzewo
124,Stamm::N,Stamm,pień
125,Rinde::N,Rinde,kora
126,Ast::N,Ast,gałąź
