,Concept_ID,ga,sl
0,Auge::N,súil,okó
1,Ohr::N,cluas,uhó
2,Nase::N,soc,nós
3,Mund::N,béal,ústa
4,Zahn::N,fiacail,zób
5,Zunge::N,teanga,jêzik
6,Lippe::N,liopa,ústnica
7,Wange::N,grua,líce
8,Wange::N,leiceann,líce
9,Gesicht::N,éadan,oblíčje
10,Gesicht::N,aghaidh,oblíčje
11,Stirn::N,baithis,čêlo
12,Stirn::N,clár éadain,čêlo
13,Haar::N,gruaig,lás
14,Schnurrbart::N,croiméal,bŕki
15,Bart::N,féasóg,bráda
16,Kinn::N,smig,bráda
17,Kiefer[Anatomie]::N,giall,čeljúst
18,Kehle::N,scornach,gŕlo
19,Hals::N,muinéal,vrát
20,Genick::N,baic,zatílnik
21,Kopf::N,ceann,gláva
22,Rücken::N,droim,hrbèt
23,Bauch::N,bolg,trébuh
24,Nabel::N,imleacán,pópek
25,Busen::N,cíoch,nédrja
26,Brust::N,brollach,pŕsi
27,Schulter::N,gualainn,ráma
28,Schulter::N,gualainn,plêče
29,Arm::N,lámh,rôka
30,Ellenbogen::N,uillinn,komólec
31,Hand::N,lámh,rôka
32,Handfläche::N,bos,dlán
33,Finger::N,méar,pŕst
34,Fingernagel::N,ionga,nóht na rôki
35,Nagel[Anatomie]::N,ionga,nóht
36,Zeh::N,ladhar,pŕst na nôgi
37,Fuß::N,cos,nôga
38,Fuß::N,troigh,nôga
39,Ferse::N,sáil,pêta
40,Knie::N,glúin,koléno
41,Oberschenkel::N,ceathrú,stêgno
42,Bein::N,cos,nôga
43,Körper::N,corp,teló
44,Körper::N,colainn,teló
45,Haut::N,cneas,kóža
46,Haut::N,craiceann,kóža
47,Blut::N,fuil,krí
48,Sehne::N,teannán,kíta
49,Sehne::N,féitheog,kíta
50,Knochen::N,cnámh,kóst
51,Gehirn::N,inchinn,možgáni
52,Herz::N,croí,srcé
53,Magen::N,bolg,želódec
54,Magen::N,goile,želódec
55,Leber::N,ae,jétra
56,Atem::N,anáil,díh
57,Hunger::N,ocras,glád
58,Träne::N,deoir,sólza
59,Geschmack::N,blas,okús
60,Geruch::N,boladh,vónj
61,Schlaf::N,suan,sèn
62,Schlaf::N,suan,spánec
63,Schlaf::N,codladh,sèn
64,Schlaf::N,codladh,spánec
65,Traum::N,taibhreamh,sánje
66,Himmel::N,spéir,nebó
67,Sonne::N,grian,sónce
68,Mond::N,ré,lúna
69,Mond::N,ré,mésec
70,Mond::N,gealach,lúna
71,Mond::N,gealach,mésec
72,Stern::N,rinn,zvézda
73,Stern::N,réalta,zvézda
74,Luft::N,aer,zràk
75,Wind::N,gaoth,véter
76,Welle::N,tonn,vál
77,Wasser::N,uisce,vôda
78,Stein::N,cloch,kámen
79,Boden::N,talamh,tlà
80,Erde::N,cré,pŕst
81,Erde::N,cré,zêmlja
82,Erde::N,ithir,pŕst
83,Erde::N,ithir,zêmlja
84,Staub::N,dusta,práh
85,Staub::N,deannach,práh
86,Rauch::N,toit,dìm
87,Rauch::N,deatach,dìm
88,Funke::N,drithle,ískra
89,Feuer::N,tine,ôgenj
90,Licht::N,solas,lúč
91,Schatten::N,scáth,sénca
92,Wetter::N,aimsir,vrême
93,Nebel::N,ceo,meglà
94,Wolke::N,néal,oblák
95,Wolke::N,scamall,oblák
96,Regen::N,báisteach,dèž
97,Regen::N,fearthainn,dèž
98,Schnee::N,sneachta,snég
99,Eis::N,oighear,léd
100,Frost::N,sioc,zmrzál
101,Kälte::N,fuacht,mràz
102,Hitze::N,teas,pripéka
103,Hitze::N,teocht,pripéka
104,Raureif::N,sioc bán,ívje
105,Raureif::N,sioc bán,slána
106,Regenbogen::N,stua ceatha,mávrica
107,Regenbogen::N,bogha báistí,mávrica
108,Donner::N,toirneach,gròm
109,Strömung::N,sruth,strúja
110,Tropfen::N,deoir,káplja
111,Schaum::N,cúr,péna
112,Schmutz::N,salachar,nesnága
113,See::N,loch,jézero
114,Sumpf::N,portach,močvírje
115,Moor::N,caorán,bárje
116,Moor::N,móinteán,bárje
117,Wiese::N,cluain,trávnik
118,Wiese::N,móinéar,trávnik
119,Wald::N,coill,lés
120,Wald::N,coill,gòzd
121,Wald::N,foraois,lés
122,Wald::N,foraois,gòzd
123,Hügel::N,ard,brég
124,Hügel::N,ard,goríca
