,Concept_ID,lez,tt
0,Auge::N,вил,күз
1,Ohr::N,яб,колак
2,Nase::N,нер,борын
3,Mund::N,сив,авыз
4,Mund::N,сив,тамак
5,Zahn::N,сас,теш
6,Zahn::N,свах,теш
7,Zunge::N,мез,тел
8,Lippe::N,пӏуз,ирен
9,Wange::N,хъвехъ,яңак
10,Gesicht::N,ччин,йөз
11,Stirn::N,пел,маңгай
12,Haar::N,чӏар,чәч
13,Schnurrbart::N,спел,мыек
14,Schnurrbart::N,спелар,мыек
15,Bart::N,ччуру,сакал
16,Kinn::N,чене,ияк
17,Kiefer[Anatomie]::N,чене,казналык
18,Kehle::N,туьд,тамак
19,Hals::N,гардан,бугаз
20,Genick::N,кьам,җилкә
21,Kopf::N,кьил,баш
22,Rücken::N,далу,сырт
23,Bauch::N,руфун,корсак
24,Nabel::N,пицӏ,кендек
25,Busen::N,мам,түш
26,Brust::N,хур,имчәк
27,Brust::N,хур,күкрәк
28,Schulter::N,къуьн,иңбаш
29,Schulter::N,къуьн,кулбаш
30,Arm::N,гъил,кул
31,Ellenbogen::N,кьуьнт,терсәк
32,Hand::N,капаш,кул
33,Handfläche::N,капан юкь,уч
34,Finger::N,тӏуб,бармак
35,Fingernagel::N,кек,тырнак
36,Nagel[Anatomie]::N,кек,тырнак
37,Zeh::N,кул,бармак
38,Fuß::N,кӏвач,табан
39,Ferse::N,дабан,үкчә
40,Knie::N,мет,тез
41,Bein::N,кӏвач,аяк
42,Körper::N,беден,тән
43,Körper::N,беден,җисем
44,Haut::N,хам,тире
45,Blut::N,иви,кан
46,Ader::N,дамар,тамыр
47,Sehne::N,кьуру дамар,сеңер
48,Knochen::N,кӏараб,сөяк
49,Gehirn::N,мефт,ми
50,Herz::N,рикӏ,йөрәк
51,Magen::N,хук,ашказаны
52,Leber::N,лекь,бавыр
53,Atem::N,ял,сулыш
54,Atem::N,нефес,сулыш
55,Hunger::N,каш,ачлык
56,Träne::N,вилин нагъв,яшь
57,Geschmack::N,дад,тәм
58,Geschmack::N,дад,зәвык
59,Geschmack::N,тӏям,тәм
60,Geschmack::N,тӏям,зәвык
61,Geruch::N,ни,ис
62,Schlaf::N,ахвар,йокы
63,Traum::N,ахвар,төш
64,Himmel::N,цав,күк
65,Sonne::N,рагъ,кояш
66,Mond::N,варз,ай
67,Stern::N,гъед,йолдыз
68,Luft::N,гьава,һава
69,Wind::N,гар,җил
70,Welle::N,лепе,дулкын
71,Wasser::N,яд,су
72,Stein::N,къван,таш
73,Boden::N,накьв,туфрак
74,Erde::N,ччил,җир
75,Staub::N,руг,тузан
76,Rauch::N,гум,төтен
77,Funke::N,цӏелхем,очкын
78,Feuer::N,цӏай,ут
79,Licht::N,экв,якты
80,Schatten::N,серин,күләгә
81,Wetter::N,гьава,һава
82,Nebel::N,ччилин циф,томан
83,Wolke::N,циф,болыт
84,Regen::N,марф,яңгыр
85,Schnee::N,жив,кар
86,Eis::N,мурк,боз
87,Frost::N,аяз,суык
88,Frost::N,аяз,салкын
89,Kälte::N,мекь,суык
