,Concept_ID,cs,ga
0,Auge::N,oko,súil
1,Ohr::N,ucho,cluas
2,Nase::N,nos,soc
3,Mund::N,pusa,béal
4,Zahn::N,zub,fiacail
5,Zunge::N,jazyk,teanga
6,Lippe::N,ret,liopa
7,Wange::N,tvář,grua
8,Wange::N,tvář,leiceann
9,Gesicht::N,obličej,éadan
10,Gesicht::N,obličej,aghaidh
11,Stirn::N,čelo,baithis
12,Stirn::N,čelo,clár éadain
13,Haar::N,vlas,gruaig
14,Haar::N,vlasy,gruaig
15,Schnurrbart::N,kníry,croiméal
16,Bart::N,vousy,féasóg
17,Kinn::N,brada,smig
18,Kiefer[Anatomie]::N,čelist,giall
19,Kehle::N,hrdlo,scornach
20,Hals::N,krk,muinéal
21,Genick::N,týl,baic
22,Kopf::N,hlava,ceann
23,Rücken::N,záda,droim
24,Rücken::N,hřbet,droim
25,Bauch::N,břicho,bolg
26,Nabel::N,pupek,imleacán
27,Busen::N,ňadra,cíoch
28,Brust::N,prsa,brollach
29,Schulter::N,plece,gualainn
30,Schulter::N,rameno,gualainn
31,Arm::N,ruka,lámh
32,Ellenbogen::N,loket,uillinn
33,Hand::N,ruka,lámh
34,Handfläche::N,dlaň,bos
35,Finger::N,prst,méar
36,Fingernagel::N,nehet,ionga
37,Nagel[Anatomie]::N,nehet,ionga
38,Zeh::N,prst u nohy,ladhar
39,Fuß::N,noha,cos
40,Fuß::N,noha,troigh
41,Ferse::N,pata,sáil
42,Knie::N,koleno,glúin
43,Oberschenkel::N,stehno,ceathrú
44,Bein::N,noha,cos
45,Körper::N,tělo,corp
46,Körper::N,tělo,colainn
47,Haut::N,kůže,cneas
48,Haut::N,kůže,craiceann
49,Blut::N,krev,fuil
50,Ader::N,céva,
51,Sehne::N,šlacha,teannán
52,Sehne::N,šlacha,féitheog
53,Knochen::N,kost,cnámh
54,Gehirn::N,mozek,inchinn
55,Herz::N,srdce,croí
56,Magen::N,žaludek,bolg
57,Magen::N,žaludek,goile
58,Leber::N,játra,ae
59,Atem::N,dech,anáil
60,Hunger::N,hlad,ocras
61,Träne::N,slza,deoir
62,Geschmack::N,vkus,blas
63,Geruch::N,vůně,boladh
64,Geruch::N,zápach,boladh
65,Schlaf::N,spánek,suan
66,Schlaf::N,spánek,codladh
67,Traum::N,sen,taibhreamh
68,Himmel::N,nebe,spéir
69,Sonne::N,slunce,grian
70,Mond::N,měsíc,ré
71,Mond::N,měsíc,gealach
72,Stern::N,hvězda,rinn
73,Stern::N,hvězda,réalta
74,Luft::N,vzduch,aer
75,Wind::N,vítr,gaoth
76,Welle::N,vlna,tonn
77,Wasser::N,voda,uisce
78,Stein::N,kámen,cloch
79,Boden::N,půda,talamh
80,Erde::N,země,cré
81,Erde::N,země,ithir
82,Staub::N,prach,dusta
83,Staub::N,prach,deannach
84,Rauch::N,dým,toit
85,Rauch::N,dým,deatach
86,Rauch::N,kouř,toit
87,Rauch::N,kouř,deatach
88,Funke::N,jiskra,drithle
89,Feuer::N,oheň,tine
90,Licht::N,světlo,solas
91,Schatten::N,stín,scáth
92,Wetter::N,počasí,aimsir
93,Nebel::N,mlha,ceo
94,Wolke::N,mrak,néal
95,Wolke::N,mrak,scamall
96,Wolke::N,oblak,néal
97,Wolke::N,oblak,scamall
98,Regen::N,déšť,báisteach
99,Regen::N,déšť,fearthainn
100,Schnee::N,sníh,sneachta
101,Eis::N,led,oighear
102,Frost::N,mráz,sioc
103,Kälte::N,chlad,fuacht
104,Hitze::N,horko,teas
105,Hitze::N,horko,teocht
106,Raureif::N,jinovatka,sioc bán
107,Regenbogen::N,duha,stua ceatha
108,Regenbogen::N,duha,bogha báistí
109,Donner::N,hrom,toirneach
110,Strömung::N,proudění,sruth
111,Tropfen::N,kapka,deoir
112,Schaum::N,pěna,cúr
113,Schmutz::N,špína,salachar
114,See::N,jezero,loch
115,Sumpf::N,močál,portach
116,Sumpf::N,bažina,portach
117,Moor::N,bažina,caorán
118,Moor::N,bažina,móinteán
119,Moor::N,slatina,caorán
120,Moor::N,slatina,móinteán
121,Wiese::N,louka,cluain
122,Wiese::N,louka,móinéar
123,Wald::N,les,coill
124,Wald::N,les,foraois
125,Hügel::N,kopec,ard
126,Anhöhe::N,pahorek,ard
127,Anhöhe::N,pahorek,ardán
128,Berg::N,hora,sliabh
129,Gipfel::N,vrchol,barr
130,Gipfel::N,vrchol,mullach
131,Höhle::N,jeskyně,uaimh
132,Höhle::N,jeskyně,pluais
133,Abhang::N,svah,fána
134,Abhang::N,stráň,fána
135,Quelle::N,pramen,foinse
136,Bach::N,potok,sruthán
137,Fluss::N,řeka,abhainn
138,Ufer::N,břeh,bruach
139,Küste::N,pobřeží,cósta
140,Küste::N,pobřeží,cladach
141,Festland::N,souš,míntír
142,Festland::N,pevnina,míntír
143,Meer::N,moře,muir
144,Meer::N,moře,farraige
145,Bucht::N,záliv,bá
146,Bucht::N,záliv,cuan
147,Bucht::N,zátoka,bá
148,Bucht::N,zátoka,cuan
149,Insel::N,ostrov,inis
150,Insel::N,ostrov,oileán
151,Blume::N,květina,bláth
152,Gras::N,tráva,féar
153,Wurzel::N,kořen,rúta
154,Wurzel::N,kořen,fréamh
155,Baum::N,strom,crann
156,Stamm::N,kmen,stoc
157,Stamm::N,kmen,tamhan
158,Rinde::N,kůra,coirt
159,Rinde::N,kůra,craiceann
160,Ast::N,větev,géag
161,Zweig::N,větev,géag
162,Zweig::N,větev,craobh
163,Blatt::N,lupen,duille
164,Blatt::N,lupen,duilleog
165,Birke::N,bříza,beith
166,Birke::N,bříza,crann beithe
167,Kiefer[Baum]::N,sosna,péine
168,Kiefer[Baum]::N,borovice,péine
169,Weide[Baum]::N,vrba,saileach
