,Concept_ID,fa,la
0,Auge::N,چشم,oculus
1,Ohr::N,گوش,auris
2,Nase::N,بینی,nasus
3,Mund::N,دهان,os
4,Zahn::N,دندان,dens
5,Zunge::N,زبان,lingua
6,Lippe::N,لب,labrum
7,Wange::N,لپ,gena
8,Gesicht::N,رو,vultus
9,Gesicht::N,چهره,vultus
10,Stirn::N,پیشانی,frons
11,Haar::N,مو,capillus
12,Schnurrbart::N,سبیل,barba labri superioris
13,Bart::N,ریش,barba
14,Kinn::N,چانه,mentum
15,Kiefer[Anatomie]::N,فک,mala
16,Kiefer[Anatomie]::N,آرواره,mala
17,Kehle::N,حلق,iugulums
18,Hals::N,گردن,collum
19,Genick::N,پشت گردن,cervices
20,Kopf::N,سر,caput
21,Kopf::N,کله,caput
22,Rücken::N,پشت,tergum
23,Bauch::N,شکم,venter
24,Nabel::N,ناف,umbilicus
25,Busen::N,پستان,sinus
26,Brust::N,سینه,pectus
27,Schulter::N,دوش,umerus
28,Schulter::N,شانه,umerus
29,Arm::N,بازو,bracchium
30,Ellenbogen::N,آرنج,cubitum
31,Hand::N,دست,manus
32,Handfläche::N,کف دست,palma
33,Finger::N,انگشت,digitus
34,Fingernagel::N,ناخن دست,unguiculus
35,Nagel[Anatomie]::N,ناخن,unguis
36,Zeh::N,انگشت پا,digitus
37,Fuß::N,پا,pes
38,Ferse::N,پاشنه,calx
39,Knie::N,زانو,genu
40,Oberschenkel::N,ران,femur
41,Bein::N,پا,crus
42,Bein::N,لنگ,crus
43,Körper::N,تن,corpus
44,Körper::N,بدن,corpus
45,Haut::N,پوست,cutis
46,Haut::N,پوست,pellis
47,Blut::N,خون,sanguis
48,Ader::N,رگ,vena
49,Sehne::N,زردپی,nervus
50,Knochen::N,استخوان,os
51,Gehirn::N,مخ,cerebrum
52,Gehirn::N,مغز,cerebrum
53,Herz::N,دل,cor
54,Herz::N,دل,animus
55,Herz::N,قلب,cor
56,Herz::N,قلب,animus
57,Magen::N,معده,stomachus
58,Leber::N,کبد,iecur
59,Atem::N,نفس,spiritus
60,Hunger::N,گرسنگی,fames
61,Träne::N,اشک,lacrima
62,Geschmack::N,مزه,sapor
63,Geschmack::N,مزه,gustus
64,Geruch::N,بو,odor
65,Schlaf::N,خواب,somnus
66,Traum::N,رؤیا,somnium
67,Himmel::N,فلک,caelum
68,Himmel::N,آسمان,caelum
69,Sonne::N,آفتاب,sol
70,Sonne::N,خورشید,sol
71,Mond::N,ماه,luna
72,Stern::N,ستاره,sidus
73,Stern::N,ستاره,stella
74,Luft::N,هوا,aer
75,Wind::N,باد,ventus
76,Welle::N,موج,unda
77,Wasser::N,آب,aqua
78,Stein::N,سنگ,lapis
79,Boden::N,زمین,solum
80,Erde::N,خاک,terra
81,Erde::N,زمین,terra
82,Staub::N,گرد,pulvis
83,Staub::N,غبار,pulvis
84,Rauch::N,دود,fumus
85,Funke::N,جرقه,scintilla
86,Feuer::N,آتش,ignis
87,Licht::N,نور,lux
88,Licht::N,نور,lumen
89,Licht::N,روشنی,lux
90,Licht::N,روشنی,lumen
91,Schatten::N,سایه,umbra
92,Wetter::N,هوا,caelum
93,Wetter::N,هوا,tempestas
94,Nebel::N,مه,nebula
95,Wolke::N,ابر,nubes
96,Regen::N,باران,imber
97,Regen::N,باران,pluvia
98,Schnee::N,برف,nix
99,Eis::N,یخ,glacies
100,Frost::N,یخبندان,gelu
101,Kälte::N,سرما,frigus
102,Hitze::N,گرما,calor
103,Hitze::N,گرما,aestus
104,Hitze::N,حرارت,calor
105,Hitze::N,حرارت,aestus
106,Raureif::N,برف ریزه,pruina
107,Regenbogen::N,رنگین‌کمان,arcus
108,Donner::N,رعد,tonitrus
109,Strömung::N,جریان,fluctus
110,Tropfen::N,قطره,gutta
111,Schaum::N,کف,spuma
112,Schmutz::N,گل,sordes
113,Schmutz::N,گل,squalor
114,Schmutz::N,کثافت,sordes
115,Schmutz::N,کثافت,squalor
116,See::N,دریاچه,lacus
117,Sumpf::N,مرداب,palus
118,Sumpf::N,باتلاق,palus
119,Moor::N,باتلاق,palus
120,Wiese::N,چمن,pratum
121,Wald::N,جنگل,silva
122,Hügel::N,تل,collis
123,Hügel::N,تپه,collis
124,Anhöhe::N,بلندی,specula
125,Berg::N,کوه,mons
126,Gipfel::N,قله,vertex
127,Höhle::N,غار,caverna
128,Höhle::N,غار,spelunca
129,Abhang::N,سرازیری,declivum
130,Quelle::N,چشمه,fons
131,Bach::N,نهر,rivus
132,Fluss::N,رود,flumen
133,Ufer::N,ساحل,ripa
134,Ufer::N,کرانه,ripa
135,Küste::N,ساحل,litus
136,Festland::N,خشکی,continens
137,Meer::N,دریا,mare
138,Bucht::N,خلیج,sinus
139,Insel::N,جزیره,insula
140,Blume::N,گل,flos
141,Gras::N,علف,herba
142,Gras::N,علف,gramen
143,Wurzel::N,ریشه,radix
144,Baum::N,درخت,arbor
145,Stamm::N,تنه,truncus
146,Rinde::N,توژ,cortex
147,Rinde::N,پوست,cortex
148,Ast::N,شاخه,ramus
149,Zweig::N,شاخه,ramus
150,Blatt::N,برگ,folium
151,Birke::N,غان,betulla
152,Kiefer[Baum]::N,کاج,pinus
153,Weide[Baum]::N,بید,salix
154,Tanne::N,صنوبر,abies
155,Horn::N,شاخ,cornu
156,Feder::N,پر,penna
157,Fell::N,خز,pellis
158,Flügel::N,پر,ala
159,Flügel::N,بال,ala
160,Klaue::N,چنگ,unguis
161,Klaue::N,پنجه,unguis
162,Kralle::N,پنجه,unguis
163,Schwanz::N,دم,cauda
164,Ei::N,تخم,ovum
165,Nest::N,لانه,nidus
166,Bau::N,بنا,cavum
167,Bau::N,بنا,latibulum
168,Bau::N,ساختمان,cavum
169,Bau::N,ساختمان,latibulum
170,Tier::N,هیوان,bestia
171,Herde::N,رمه,grex
172,Kuh::N,گاو,vacca
173,Bulle::N,گاو نر,taurus
174,Pferd::N,اسب,equus
175,Schaf::N,گوسفند,ovis
176,Schwein::N,خوک,sus
177,Schwein::N,خوک,porcus
178,Hund::N,سگ,canis
179,Katze::N,گربه,felis
180,Bär::N,خرس,ursus
181,Eichhörnchen::N,سنجاب,sciurus
182,Elch::N,گوزن شمالی,alces
183,Fuchs::N,روباه,vulpes
184,Hase::N,خرگوش,lepus
185,Maus::N,موش,mus
186,Wolf::N,گرگ,lupus
187,Vogel::N,پرنده,avis
188,Schwarm::N,دسته,examen
189,Huhn::N,مرغ,gallina
190,Hahn::N,خروس,gallus
191,Gans::N,غاز,anser
192,Adler::N,عقاب,aquila
193,Ente::N,اردک,anas
194,Ente::N,مرغابی,anas
195,Eule::N,جغد,ulula
196,Eule::N,جغد,noctua
197,Kranich::N,درنا,grus
198,Krähe::N,زاغ,cornix
199,Krähe::N,کلاغ,cornix
200,Kuckuck::N,فاخته,cuculus
201,Schwan::N,قو,olor
202,Schwan::N,قو,cycnus
203,Fisch::N,ماهی,piscis
204,Barsch::N,ماهی خاردار,perca
205,Hecht::N,اردک ماهی,esox
206,Schlange[Tier]::N,مار,serpens
207,Wurm::N,کرم,vermis
208,Spinne::N,عنکبوت,aranea
209,Ameise::N,مورچه,formica
210,Laus::N,شپش,pediculus
211,Mücke::N,پشه,culex
212,Fliege::N,مگس,musca
213,Schmetterling::N,پروانه,papilio
214,Beere::N,گیله,baca
215,Apfel::N,سیب,malum
216,Pilz::N,قارچ,fungus
217,Zwiebel::N,پیاز,cepa
218,Saat::N,بذر,seges
219,Korn::N,تخم,granum
220,Korn::N,دانه,granum
221,Heu::N,علف خشک,faenum
222,Schale::N,پوست,putamen
223,Grube::N,گودال,fovea
224,Falle::N,دام,pedica
225,Schlinge::N,حلقه,laqueus
226,Spur::N,رد,vestigium
227,Asche::N,خاکستر,cinis
228,Dreck::N,کثافت,lutum
229,Eisen::N,آهن,ferrum
230,Gold::N,زر,aurum
231,Gold::N,طلا,aurum
232,Silber::N,نقره,argentum
233,Kohle::N,زغال,carbo
234,Glas::N,شیشه,vitrum
235,Lehm::N,گل,lutum
236,Sand::N,شن,arena
237,Sand::N,ماسه,arena
238,Mensch::N,آدم,homo
239,Mensch::N,انسان,homo
240,Mann::N,مرد,vir
241,Frau::N,زن,mulier
242,Kind::N,بچه,puer
243,Kind::N,بچه,infans
244,Kind::N,کودک,puer
245,Kind::N,کودک,infans
246,Junge::N,پسر,puer
247,Mädchen::N,دختر,puella
248,Familie::N,فامیل,familia
249,Familie::N,خانواده,familia
250,Großvater::N,پدربزرگ,avus
251,Großmutter::N,مادر‌بزرگ,avia
252,Eltern::N,والدین,parentes
253,Eltern::N,پدر‌و‌مادر,parentes
254,Vater::N,پدر,pater
255,Mutter::N,مادر,mater
256,Sohn::N,پسر,filius
257,Tochter::N,دختر,filia
258,Bruder::N,برادر,frater
259,Schwester::N,خواهر,soror
260,Onkel::N,عمو,patruus
261,Onkel::N,عمو,avunculus
262,Onkel::N,دایی,patruus
263,Onkel::N,دایی,avunculus
264,Tante::N,عمه,amita
265,Tante::N,خاله,amita
266,Ehemann::N,همسر,maritus
267,Ehefrau::N,همسر,uxor
268,Freude::N,شادی,gaudium
269,Freude::N,شادی,laetitia
270,Gelächter::N,خنده,risus
271,Gelächter::N,قاه‌قاه,risus
272,Glück::N,اقبال,felicitas
273,Kummer::N,غم,aegritudo
274,Kummer::N,غصه,aegritudo
275,Wunsch::N,آرزو,voluntas
276,Wunsch::N,آرزو,desiderium
277,Lust::N,هوس,libido
278,Lust::N,هوس,voluptas
279,Geist::N,روح,mens
280,Geist::N,روح,animus
281,Gedanke::N,فکر,sententia
282,Gedächtnis::N,حافظه,memoria
283,Verstand::N,هوش,ratio
284,Verstand::N,هوش,ingenium
285,Sinn::N,معنا,sensus
286,Sinn::N,مفهوم,sensus
287,Grund::N,سبب,causa
288,Grund::N,دلیل,causa
289,Wahrheit::N,حقیقت,veritas
290,Gespräch::N,صحبت,sermo
291,Gespräch::N,گفتگو,sermo
292,Märchen::N,قصه,fabula
293,Märchen::N,افسانه,fabula
294,Erzählung::N,داستان,fabula
295,Erzählung::N,داستان,narratio
296,Nachricht::N,خبر,nuntius
297,Neuigkeit::N,خبر تازه,novitas
298,Name::N,اسم,nomen
299,Rätsel::N,معما,aenigma
300,Rede::N,سخن,oratio
301,Sprache::N,زبان,lingua
302,Stimme::N,صدا,vox
303,Wort::N,کلمه,verbum
304,Wort::N,کلمه,vocabulum
305,Zeichen::N,نشان,signum
306,Zeichen::N,علامت,signum
