,Concept_ID,lez,myv
0,Auge::N,вил,сельме
1,Ohr::N,яб,пиле
2,Nase::N,нер,судо
3,Mund::N,сив,курго
4,Zahn::N,сас,пей
5,Zahn::N,свах,пей
6,Zunge::N,мез,кель
7,Lippe::N,пӏуз,турва
8,Wange::N,хъвехъ,чамабока
9,Wange::N,хъвехъ,чамаумарь
10,Gesicht::N,ччин,чама
11,Stirn::N,пел,коня
12,Haar::N,чӏар,черь
13,Schnurrbart::N,спел,ус
14,Schnurrbart::N,спел,муюк
15,Schnurrbart::N,спелар,ус
16,Schnurrbart::N,спелар,муюк
17,Bart::N,ччуру,сакал
18,Kinn::N,чене,уло
19,Kiefer[Anatomie]::N,чене,пейпакар
20,Kiefer[Anatomie]::N,чене,пейловажа
21,Kehle::N,туьд,кирьгапарь
22,Hals::N,гардан,кирьга
23,Genick::N,кьам,човонь
24,Kopf::N,кьил,пря
25,Rücken::N,далу,копорь
26,Bauch::N,руфун,пеке
27,Nabel::N,пицӏ,почо
28,Busen::N,мам,поте
29,Brust::N,хур,меште
30,Schulter::N,къуьн,лавтов
31,Arm::N,гъил,кедь
32,Ellenbogen::N,кьуьнт,кенерепакарь
33,Hand::N,капаш,кедь
34,Handfläche::N,капан юкь,кедькуншка
35,Handfläche::N,капан юкь,кедьлапушка
36,Finger::N,тӏуб,сур
37,Fingernagel::N,кек,кенже
38,Nagel[Anatomie]::N,кек,кенже
39,Zeh::N,кул,пильге сур
40,Fuß::N,кӏвач,пильге
41,Ferse::N,дабан,кочкаря
42,Knie::N,мет,эле
43,Knie::N,мет,эзне
44,Knie::N,мет,кумажа
45,Bein::N,кӏвач,пильге
46,Körper::N,беден,рунго
47,Haut::N,хам,киське
48,Blut::N,иви,верь
49,Ader::N,дамар,сан
50,Sehne::N,кьуру дамар,коське сан
51,Knochen::N,кӏараб,пакарь
52,Gehirn::N,мефт,удем
53,Herz::N,рикӏ,седей
54,Magen::N,хук,пеке
55,Leber::N,лекь,максо
56,Atem::N,ял,лексема
57,Atem::N,ял,оймень таргсема
58,Atem::N,нефес,лексема
59,Atem::N,нефес,оймень таргсема
60,Hunger::N,каш,вачочи
61,Träne::N,вилин нагъв,селведь
62,Geschmack::N,дад,тансть
63,Geschmack::N,тӏям,тансть
64,Geruch::N,ни,чине
65,Schlaf::N,ахвар,удома
66,Traum::N,ахвар,он
67,Himmel::N,цав,менель
68,Sonne::N,рагъ,чи
69,Mond::N,варз,ков
70,Stern::N,гъед,теште
71,Luft::N,гьава,кошт
72,Wind::N,гар,варма
73,Welle::N,лепе,толкун
74,Wasser::N,яд,ведь
75,Stein::N,къван,кев
76,Boden::N,накьв,мода
77,Erde::N,ччил,мастор
78,Staub::N,руг,пуль
79,Rauch::N,гум,качамо
80,Funke::N,цӏелхем,сятко
81,Feuer::N,цӏай,тол
82,Licht::N,экв,валдо
83,Schatten::N,серин,сулей
84,Schatten::N,серин,сулейкс
85,Wetter::N,гьава,ушо
86,Nebel::N,ччилин циф,сув
87,Wolke::N,циф,пель
88,Regen::N,марф,пиземс
89,Schnee::N,жив,лов
90,Eis::N,мурк,эй
91,Frost::N,аяз,кельме
92,Kälte::N,мекь,якшамо
93,Kälte::N,мекьивал,якшамо
94,Hitze::N,зегьем,пси
95,Raureif::N,къирав,лекш
96,Regenbogen::N,яргъируш,пурьгинечирьке
97,Regenbogen::N,яргъируш,пурьгинеёнкс
98,Donner::N,цавун ван,пурьгине
99,Tropfen::N,стӏал,петнявкс
100,Schaum::N,каф,чов
101,Schmutz::N,чирк,рудаз
102,Schmutz::N,кьуруш,рудаз
103,See::N,вир,эрьке
104,Sumpf::N,уьлен,чей
105,Wiese::N,векь,луга
106,Wald::N,там,вирь
107,Hügel::N,кӏунтӏ,губорь
108,Hügel::N,кӏунтӏ,пандыне
109,Anhöhe::N,тепе,губорь
110,Anhöhe::N,тепе,пандыне
111,Anhöhe::N,гьуьндуьрвал,губорь
112,Anhöhe::N,гьуьндуьрвал,пандыне
113,Berg::N,дагъ,пандо
114,Gipfel::N,кӏукӏ,пря
115,Höhle::N,кьветӏ,пещера
116,Abhang::N,гуьне,пандочама
117,Quelle::N,чешме,ушодкс
118,Bach::N,булах,чудикерькс
119,Fluss::N,вацӏ,лей
120,Ufer::N,къерех,чире
121,Küste::N,къерех,лейчире
122,Festland::N,кьурамат,мода
123,Meer::N,гьуьл,моря
124,Bucht::N,бухта,усия
125,Insel::N,остров,усия
126,Blume::N,цуьк,цеця
127,Gras::N,хъач,тикше
128,Wurzel::N,дувул,юр
129,Wurzel::N,дувул,ундокс
130,Baum::N,ттар,чувто
131,Stamm::N,тан,рунго
132,Rinde::N,чкал,суд
133,Rinde::N,чкал,керь
134,Ast::N,тӏур,морго
135,Zweig::N,хел,тарад
136,Blatt::N,пеш,лопа
137,Birke::N,верх,килей
138,Kiefer[Baum]::N,шамагъаж,пиче
139,Weide[Baum]::N,цӏвелин ттар,каль
140,Tanne::N,ель,куз
141,Horn::N,карч,сюро
142,Feder::N,цӏакул,толга
143,Fell::N,хам,пона
144,Flügel::N,лув,сёлмо
145,Klaue::N,къармах,кенже
146,Kralle::N,пац,кенже
147,Kralle::N,тапас,кенже
148,Schwanz::N,ттум,пуло
149,Ei::N,кака,ал
150,Nest::N,муг,пизэ
151,Bau::N,тӏеквен,варя
152,Bau::N,тӏеквен,пизе
153,Tier::N,гьайван,ракша
154,Herde::N,суьруь,стада
155,Kuh::N,ккал,скал
156,Bulle::N,яц,бука
157,Bulle::N,бугъа,бука
158,Pferd::N,балкӏан,лишме
159,Schaf::N,хеб,реве
160,Schwein::N,вак,туво
161,Hund::N,кицӏ,пине
162,Hund::N,кицӏ,киска
163,Katze::N,кац,псака
164,Bär::N,сев,овто
165,Eichhörnchen::N,белка,ур
166,Elch::N,лось,сярдо
167,Fuchs::N,сикӏ,ривезь
168,Hase::N,къуьр,нумоло
169,Maus::N,кьиф,чеерь
170,Wolf::N,жанавур,верьгиз
171,Vogel::N,луван ничхир,нармунь
172,Schwarm::N,луж,полк
173,Schwarm::N,луж,стада
174,Huhn::N,верч,сараз
175,Hahn::N,кӏек,атякш
176,Gans::N,къаз,гала
177,Gans::N,къаз,мацей
178,Adler::N,лекь,куцькан
179,Adler::N,лекь,тумоатякш
180,Ente::N,пӏатӏ,яксярго
181,Eule::N,тӏиб,корж
182,Kranich::N,дурна,карго
183,Krähe::N,къаргъа,варака
184,Kuckuck::N,кукупӏ,куко
185,Schwan::N,къугь,локсей
186,Fisch::N,гъед,кал
187,Barsch::N,окунь,окунь
188,Hecht::N,щука,щука
189,Schlange[Tier]::N,илан,гуй
190,Schlange[Tier]::N,гъуьлягъ,гуй
191,Wurm::N,квак,сукс
192,Spinne::N,хуьшрекан,шанжав
193,Ameise::N,цегв,коткудав
194,Laus::N,нет,сий
195,Mücke::N,ветӏ,сеське
196,Fliege::N,тӏветӏ,карво
197,Schmetterling::N,чепелукь,нимиляв
198,Beere::N,куьлуь емиш,умарь
199,Apfel::N,ич,умарь
200,Pilz::N,къарникъуз,панго
201,Zwiebel::N,чичӏек,чурька
202,Saat::N,тумар,видьметь
203,Korn::N,твар,сюро
204,Heu::N,векь,тикше
205,Heu::N,векьер,тикше
206,Schale::N,пириш,кедь
207,Schale::N,пириш,ваткавкс
208,Schale::N,хъуьруьш,кедь
209,Schale::N,хъуьруьш,ваткавкс
210,Grube::N,фур,латко
211,Falle::N,ракьар,тувор
