,Concept_ID,,te
0,Auge::N,,కన్ను
1,Ohr::N,,చెవి
2,Nase::N,,ముక్కు
3,Mund::N,,నోరు
4,Zahn::N,,పల్లు
5,Zunge::N,,నాలుక
6,Lippe::N,,పెదవి
7,Wange::N,,చెంప
8,Gesicht::N,,ముఖము
9,Stirn::N,,నుదురు
10,Haar::N,,వెండ్రుక
11,Schnurrbart::N,,మీసము
12,Bart::N,,గడ్డము
13,Kinn::N,,గడ్డము
14,Kiefer[Anatomie]::N,,దౌడ
15,Kehle::N,,గొంతు
16,Hals::N,,మెడ
17,Genick::N,,మూపు
18,Kopf::N,,తల
19,Rücken::N,,వెన్ను
20,Bauch::N,,కడుపు
21,Nabel::N,,బొడ్డు
22,Busen::N,,స్తనము
23,Brust::N,,ఱొమ్ము
24,Schulter::N,,భుజము
25,Arm::N,,చేయి
26,Ellenbogen::N,,మోచేయి
27,Hand::N,,చేయి
28,Handfläche::N,,అరచేయు
29,Finger::N,,చేతిప్రేలు
30,Fingernagel::N,,గోరు
31,Nagel[Anatomie]::N,,గోరు
32,Zeh::N,,కాలిప్రేలు
33,Fuß::N,,అడుగు
34,Ferse::N,,మడమ
35,Knie::N,,మోకాలు
36,Oberschenkel::N,,తొడ
37,Bein::N,,కాలు
38,Körper::N,,కాయము
39,Haut::N,,చర్మము
40,Blut::N,,రక్తము
41,Ader::N,,సిర
42,Sehne::N,,స్నాయువు
43,Knochen::N,,ఎముక
44,Gehirn::N,,మెదడు
45,Herz::N,,హృదయము
46,Magen::N,,కడుపు
47,Leber::N,,కాలేయము
48,Atem::N,,ఉపిరి
49,Hunger::N,,ఆకలి
50,Träne::N,,కన్నీటిచుక్క
51,Geschmack::N,,రుచి
52,Geruch::N,,వాసన
53,Schlaf::N,,నిద్ర
54,Traum::N,,కల
55,Himmel::N,,ఆకాశము
56,Sonne::N,,సూర్యుడు
57,Mond::N,,చంద్రుడు
58,Stern::N,,నక్షత్రము
59,Luft::N,,గాలి
60,Wind::N,,వీచుచున్నగాలి
61,Welle::N,,అల
62,Wasser::N,,నీరు
63,Stein::N,,ఱాయి
64,Boden::N,,నేల
65,Erde::N,,మన్ను
66,Staub::N,,దుమ్ము
67,Rauch::N,,పొగ
68,Funke::N,,అగ్నికణము
69,Feuer::N,,అగ్ని
70,Licht::N,,కాంతి
71,Schatten::N,,నీడ
72,Wetter::N,,వాతావరణ స్థితి
73,Nebel::N,,పొగమంచు
74,Wolke::N,,మేఘము
75,Regen::N,,వాన
76,Schnee::N,,హిమము
77,Eis::N,,మంచుగడ్డ
78,Frost::N,,పేరిన మంచు
79,Kälte::N,,చలి
80,Hitze::N,,వేడిమి
81,Raureif::N,,మంచు
82,Regenbogen::N,,ఇంద్రధనుస్సు
83,Donner::N,,ఉరుము
84,Strömung::N,,ప్రవాహము
85,Tropfen::N,,చుక్క
86,Schaum::N,,నురుగు
87,Schmutz::N,,మైల
88,See::N,,సరస్సు
89,Sumpf::N,,చిత్తడినేల
90,Moor::N,,చిత్తడినేల
91,Wiese::N,,పచ్చిక బయలు
92,Wald::N,,అడవి
93,Hügel::N,,చివ్నకొండ
94,Anhöhe::N,,కొండ
95,Berg::N,,పర్వతము
96,Gipfel::N,,శిఖరము
97,Höhle::N,,గుహ
98,Abhang::N,,ఏటవాలు
99,Quelle::N,,మూలము
100,Bach::N,,కాలువ
101,Fluss::N,,నది
102,Ufer::N,,తీరము
103,Küste::N,,తీరము
104,Festland::N,,భూమి
105,Meer::N,,సముద్రము
106,Bucht::N,,మరుగు
107,Insel::N,,దీవి
108,Blume::N,,పుష్పము
109,Gras::N,,పచ్చగడ్డి
110,Wurzel::N,,వేరు
111,Baum::N,,చెట్టు
112,Stamm::N,,చెట్టుబోదె
113,Rinde::N,,చెట్టుపట్ట
114,Ast::N,,కొమ్మ
115,Zweig::N,,చివుకు
116,Blatt::N,,ఆకు
117,Birke::N,,తరహా చెట్టు
118,Kiefer[Baum]::N,,దేవదారు చెట్టు
119,Weide[Baum]::N,,జాతిచెట్టు
120,Tanne::N,,దేవదారుచెట్టు
121,Horn::N,,కొమ్ము
122,Feder::N,,ఈక
123,Fell::N,,తోలు
124,Flügel::N,,ఱెక్క
125,Klaue::N,,వంకరగోరు
126,Kralle::N,,వంకరగోరు
127,Schwanz::N,,తోక
128,Ei::N,,గ్రుడ్డు
129,Nest::N,,పక్షిగూడు
130,Bau::N,,గుహ
131,Tier::N,,జంతువు
132,Herde::N,,మంద
133,Kuh::N,,ఆవు
134,Bulle::N,,గిత్త
135,Pferd::N,,గుఱ్ఱము
136,Schaf::N,,గొఱ్ఱె
137,Schwein::N,,పంది
138,Hund::N,,కుక్క
139,Katze::N,,పిల్లి
140,Bär::N,,ఎలుగుబంటి
141,Eichhörnchen::N,,ఉడుత
142,Elch::N,,కణంజు
143,Fuchs::N,,గుంటనక్క
144,Hase::N,,కుందేలు
145,Maus::N,,చిట్టెలుక
146,Wolf::N,,తోడేలు
147,Vogel::N,,పక్షి
148,Schwarm::N,,గుంపు
149,Huhn::N,,కోడిపిల్ల
150,Hahn::N,,కోడివుంజు
151,Gans::N,,ఆడుబాతు
152,Adler::N,,గ్రద్ద
153,Ente::N,,పాట్టిబాతు
154,Eule::N,,గ్రుడ్లగూబ
155,Kranich::N,,కొంగ
156,Krähe::N,,కాకి
157,Kuckuck::N,,కోయల
158,Schwan::N,,హంస
159,Fisch::N,,చేప
160,Barsch::N,,ఒకచేఁప
161,Hecht::N,,గండుమీను
162,Schlange[Tier]::N,,పాము
163,Wurm::N,,పురుగు
164,Spinne::N,,సాలె పురుగు
165,Ameise::N,,చీమ
166,Laus::N,,పేను
167,Mücke::N,,చీకటీగ
168,Fliege::N,,ఈగ
169,Schmetterling::N,,సీతాకోకచిలుక
170,Beere::N,,కాయ
171,Apfel::N,,ఆపిల్ పండు
172,Pilz::N,,కుక్కగొడుగు
173,Zwiebel::N,,నీరుల్లి
174,Saat::N,,విత్తనము
175,Korn::N,,గింజ
176,Heu::N,,ఎండుగడ్డి
177,Schale::N,,పొట్టు
178,Grube::N,,గొయ్యి
179,Falle::N,,బోను
180,Schlinge::N,,ఉరి
181,Spur::N,,జాడ
182,Asche::N,,బూడిద
183,Dreck::N,,ముఱికి
184,Eisen::N,,ఇనుము
185,Gold::N,,బంగారము
186,Silber::N,,వెండి
187,Kohle::N,,నేలబొగ్గు
188,Glas::N,,గాజు
189,Lehm::N,,బంకమన్ను
190,Sand::N,,ఇసుక
191,Mensch::N,,నరుడు
192,Mann::N,,పురుమడు
193,Frau::N,,ఆడుది
194,Kind::N,,బిడ్డ
195,Junge::N,,బాలుడు
196,Mädchen::N,,బాలిక
197,Familie::N,,కుటుంబము
198,Großvater::N,,తాత
199,Großmutter::N,,అయ్యమ్మ
200,Eltern::N,,తల్లితండ్రులు
201,Vater::N,,తండ్రి
202,Mutter::N,,తల్లి
203,Sohn::N,,కొడుకు
204,Tochter::N,,కూతురు
205,Bruder::N,,పోదరుడు
206,Schwester::N,,సోదరి
207,Onkel::N,,మేనమామ
208,Tante::N,,మేనత్త
209,Tante::N,,పినతల్లి
210,Ehemann::N,,భర్త
211,Ehefrau::N,,భార్య
212,Freude::N,,సంతోషము
213,Gelächter::N,,నవ్వు
214,Glück::N,,సంతోషము
215,Kummer::N,,దుఃఖము
216,Wunsch::N,,కోరిక
217,Lust::N,,కోరిక
218,Geist::N,,ఆత్మ
219,Gedanke::N,,ఆలోచన
220,Gedächtnis::N,,జ్ఞాపకము
221,Verstand::N,,మనస్సు
222,Sinn::N,,అర్థము
223,Grund::N,,కారణము
224,Wahrheit::N,,సత్యము
225,Gespräch::N,,పంభాషణ
226,Märchen::N,,అద్భుతకథ
227,Erzählung::N,,కథ
228,Nachricht::N,,వార్త
229,Neuigkeit::N,,వార్త
230,Name::N,,పేరు
231,Rätsel::N,,చిక్కు
232,Rede::N,,ఉపన్యాసము
233,Sprache::N,,భాష
234,Stimme::N,,కంరథ్సని
235,Wort::N,,మాట
236,Zeichen::N,,గుర్తు
237,Ruf::N,,పిలువు
238,Lärm::N,,సందడి
239,Laut::N,,ధ్వని
240,Ton::N,,స్వరము
241,Lied::N,,పాట
242,Ruhe::N,,గాలిలేమి
243,Leute::N,,జనులు
244,Volk::N,,జాతి
245,Arbeit::N,,పని
246,Gast::N,,అతిధి
247,Geschenk::N,,దానము
248,Spiel::N,,ఆట
249,Gesellschaft::N,,జట్టు
250,Hilfe::N,,సాహాయ్యము
251,Freund::N,,స్నేహితుడు
252,Kamerad::N,,చెలికాడు
253,Angelegenheit::N,,విషయము
254,Anzahl::N,,లెక్క
255,Art::N,,జాతి
256,Stück::N,,తునుక
257,Teil::N,,భాగము
258,Hälfte::N,,సగము
259,Kreis::N,,వృత్తము
260,Kreuz::N,,సిలువ
261,Linie::N,,గీత
262,Strich::N,,గీత
263,Abstand::N,,సందు
264,Entfernung::N,,దూరము
265,Gegend::N,,విస్తీర్ణము
266,Platz::N,,ఎడము
267,Ort::N,,స్థలము
268,Seite::N,,ప్రక్క
269,Mitte::N,,నడిమి
270,Gegenstand::N,,పద్దు
271,Sache::N,,వస్తువు
272,Rand::N,,అంచు
273,Kante::N,,అంచు
274,Ecke::N,,మూల
275,Spitze::N,,మొన
276,Ende::N,,కొన
277,Loch::N,,రంధ్రము
278,Winkel::N,,కోణము
279,Muster::N,,మాదిరి
280,Größe::N,,పరిమాణము
281,Länge::N,,పొడుగు
282,Höhe::N,,పొడుగు
283,Gewicht::N,,భారము
284,Menge::N,,మొత్తము
285,Haufen::N,,రాశి
286,Reihe::N,,వరుస
287,Boot::N,,పడవ
288,Ruder::N,,అడక
289,Schlitten::N,,సరవండ్లు
290,Ski::N,,స్కీ
291,Lagerfeuer::N,,నెగడు
292,Last::N,,బరువు
293,Gang::N,,నడక
294,Schritt::N,,అడుగు
295,Norden::N,,ఉత్తరదిక్కు
296,Süden::N,,దక్షిణము
297,Westen::N,,పడమర
298,Osten::N,,తూర్పు
299,Holz::N,,కొయ్య
300,Brett::N,,పలక
301,Platte::N,,పలక
302,Stütze::N,,వాల్సేడ్లు
303,Stange::N,,స్తంభము
304,Stock::N,,కఱ్ఱ
305,Stab::N,,కఱ్ఱ
306,Rohr::N,,గొట్టము
307,Haus::N,,ఇల్లు
308,Heim::N,,స్వగృహము
309,Ofen::N,,పొయ్యి
310,Fußboden::N,,నేల
311,Tisch::N,,మేజా
312,Stuhl::N,,కుర్చీ
313,Wiege::N,,ఉయ్యాల
314,Bett::N,,పడక
315,Bett::N,,మంచం
316,Regal::N,,అటక
317,Kiste::N,,వెట్టె
318,Fenster::N,,కిటికి
319,Tür::N,,ద్వారము
320,Tor::N,,ద్వారము
321,Zaun::N,,కంచె
322,Dach::N,,ఇంటివైకప్పు
323,Leiter::N,,నిచ్చెన
324,Besen::N,,చీపురుకట్ట
325,Spaten::N,,పాఱ
326,Schaufel::N,,పాఱ
327,Gabel::N,,ముండ్లగరిటె
328,Löffel::N,,గరిటె
329,Messer::N,,కత్తి
330,Nagel::N,,మేకు
331,Netz::N,,వల
332,Haken::N,,కొక్కెము
333,Griff::N,,పిడి
334,Schloss::N,,తాళము
335,Bild::N,,చిత్రము
336,Figur::N,,రూపము
337,Puppe::N,,బొమ్మ
338,Beutel::N,,సంచి
339,Bündel::N,,మూట
340,Tasche::N,,సంచి
341,Eimer::N,,చేద
342,Deckel::N,,మూత
343,Geschirr::N,,వంటకాలు
344,Sack::N,,గోనెసంచి
345,Tasse::N,,గిన్నె
346,Topf::N,,కుండ
347,Kessel::N,,నీరుకాచుపాత్ర
348,Essen::N,,ఆహారము
349,Nahrung::N,,ఆహారము
350,Speise::N,,ఆహారము
351,Fleisch::N,,మాంసము
352,Getreide::N,,ధాన్యము
353,Brei::N,,గుజ్జు
