,Concept_ID,es,bn
0,Auge::N,ojo,চক্ষু
1,Ohr::N,oreja,কর্ণ
2,Nase::N,nariz,নাক
3,Mund::N,boca,মুখ
4,Zahn::N,diente,দাঁত
5,Zunge::N,lengua,জিহবা
6,Lippe::N,labio,অধর
7,Wange::N,mejilla,গণ্ড
8,Gesicht::N,cara,মুখমণ্ডল
9,Stirn::N,frente,কপাল
10,Haar::N,cabello,চুল
11,Schnurrbart::N,bigote,গোঁফ
12,Bart::N,barba,শ্মশ্রু
13,Kinn::N,barbilla,চিবুক
14,Kiefer[Anatomie]::N,mandíbula,চোয়াল
15,Kehle::N,garganta,কণ্ঠ
16,Hals::N,cuello,গল
17,Genick::N,nuca,ঘাড়
18,Genick::N,cerviz,ঘাড়
19,Kopf::N,cabeza,মাথা
20,Rücken::N,espalda,পৃষ্ঠ
21,Bauch::N,vientre,উদর
22,Nabel::N,ombligo,নাভি
23,Busen::N,pecho,স্তন
24,Brust::N,pecho,বুক
25,Schulter::N,hombro,স্কন্ধ
26,Arm::N,brazo,বাহু
27,Ellenbogen::N,codo,কনুই
28,Hand::N,mano,হাত
29,Handfläche::N,palma,করতল
30,Finger::N,dedo,আঙ্গুল
31,Fingernagel::N,uña,হাতের নখ
32,Nagel[Anatomie]::N,uña,নখ
33,Zeh::N,dedo del pie,আঙ্গুল
34,Fuß::N,pie,পা
35,Ferse::N,talón,গোড়ালি
36,Knie::N,rodilla,হাঁটু
37,Oberschenkel::N,muslo,ঊরু
38,Bein::N,pierna,পা
39,Körper::N,cuerpo,দেহ
40,Haut::N,piel,ত্বক
41,Blut::N,sangre,রক্ত
42,Ader::N,vena,শিরা
43,Sehne::N,tendón,কণ্ডরা
44,Knochen::N,hueso,অস্থি
45,Gehirn::N,cerebro,মস্তিষ্ক
46,Gehirn::N,encéfalo,মস্তিষ্ক
47,Herz::N,corazón,হৃৎপিণ্ড
48,Magen::N,estómago,পাকস্থলী
49,Leber::N,hígado,যকৃৎ
50,Atem::N,aliento,শ্বাস
51,Hunger::N,hambre,ক্ষুধা
52,Träne::N,lágrima,অশ্রু
53,Geschmack::N,gusto,স্বাদ
54,Geruch::N,olor,গন্ধ
55,Schlaf::N,sueño,ঘুম
56,Traum::N,sueño,স্বপ্ন
57,Traum::N,ensueño,স্বপ্ন
58,Himmel::N,cielo,আকাশ
59,Sonne::N,sol,সূর্য
60,Mond::N,luna,চন্দ্র
61,Stern::N,estrella,নক্ষত্র
62,Luft::N,aire,বায়ু
63,Wind::N,viento,বাতাস
64,Welle::N,ola,ঢেউ
65,Welle::N,ola,তরঙ্গ
66,Welle::N,onda,ঢেউ
67,Welle::N,onda,তরঙ্গ
68,Wasser::N,agua,জল
69,Stein::N,piedra,ঢিল
70,Stein::N,piedra,প্রস্তর
71,Boden::N,suelo,ভূতল
72,Erde::N,tierra,ভূমি
73,Staub::N,polvo,ধুলা
74,Rauch::N,humo,ধোঁয়া
75,Funke::N,chispa,স্ফুলিঙ্গ
76,Feuer::N,fuego,অগ্নি
77,Licht::N,luz,আলো
78,Schatten::N,sombra,ছায়া
79,Wetter::N,tiempo,আবহাওয়া
80,Nebel::N,niebla,কুহেলিকা
81,Wolke::N,nube,মেঘ
82,Regen::N,lluvia,বৃষ্টি
83,Schnee::N,nieve,তুষার
84,Eis::N,hielo,বরফ
85,Frost::N,helada,তুষার
86,Kälte::N,frío,শৈত্য
87,Hitze::N,calor,তাপ
88,Raureif::N,escarcha,তুহিন
89,Regenbogen::N,arco iris,রামধনু
90,Donner::N,trueno,বজ্রধ্বনি
91,Strömung::N,corriente,স্রোত
92,Tropfen::N,gota,ফোঁটা
93,Schaum::N,espuma,ফেনা
94,Schmutz::N,suciedad,ধুলা
95,See::N,lago,হ্রদ
96,Sumpf::N,pantano,জলা
97,Moor::N,turbera,মাঠ
98,Wiese::N,prado,তৃণভূমি
99,Wiese::N,pradera,তৃণভূমি
100,Wald::N,bosque,বন
101,Hügel::N,colina,পাহাড়
102,Anhöhe::N,cerro,টিলা
103,Berg::N,monte,পর্বত
104,Berg::N,montaña,পর্বত
105,Gipfel::N,cima,শীর্ষ
106,Gipfel::N,cumbre,শীর্ষ
107,Höhle::N,cueva,গুহা
108,Höhle::N,caverna,গুহা
109,Abhang::N,cuesta,ঢাল
110,Abhang::N,declive,ঢাল
111,Quelle::N,fuente,উৎস
112,Quelle::N,manantial,উৎস
113,Bach::N,arroyo,ক্ষুদ্র নদী
114,Fluss::N,río,নদী
115,Ufer::N,orilla,উপকূল
116,Küste::N,costa,তীর
117,Festland::N,tierra firme,ভূমি
118,Meer::N,mar,সমুদ্র
119,Bucht::N,cala,উপসাগর
120,Bucht::N,bahía,উপসাগর
121,Insel::N,isla,দ্বীপ
122,Blume::N,flor,ফুল
123,Gras::N,hierba,ঘাস
124,Wurzel::N,raíz,শিকড়
125,Baum::N,árbol,গাছ
126,Stamm::N,tronco,স্কন্ধ
127,Rinde::N,corteza,বল্কল
128,Ast::N,rama,শাখা
129,Zweig::N,ramo,ডাল
130,Blatt::N,hoja,পর্ণ
131,Birke::N,abedul,ভুর্জ
132,Kiefer[Baum]::N,pino,পাইন গাছ
133,Weide[Baum]::N,sauce,উইলো
134,Tanne::N,abeto,দেবদারূ গাছ
135,Horn::N,asta,শিং
136,Horn::N,cuerno,শিং
137,Feder::N,pluma,পালক
138,Fell::N,piel,রোম
139,Flügel::N,ala,ডানা
140,Klaue::N,garra,নখর
141,Kralle::N,uña,নখর
142,Kralle::N,garra,নখর
143,Schwanz::N,cola,লেজ
144,Ei::N,huevo,ডিম
145,Nest::N,nido,কুলায়
146,Bau::N,madriguera,ডেরা
147,Tier::N,animal,জন্তু
148,Herde::N,rebaño,ঝাঁক
149,Kuh::N,vaca,গোরু
