,Concept_ID,hy,tt
0,Auge::N,աչք,күз
1,Ohr::N,ականջ,колак
2,Nase::N,քիթ,борын
3,Mund::N,բերան,авыз
4,Mund::N,բերան,тамак
5,Zahn::N,ատամ,теш
6,Zunge::N,լեզու,тел
7,Lippe::N,շրթունք,ирен
8,Wange::N,այտ,яңак
9,Wange::N,թուշ,яңак
10,Gesicht::N,դեմք,йөз
11,Stirn::N,ճակատ,маңгай
12,Haar::N,մազ,чәч
13,Schnurrbart::N,բեղ,мыек
14,Bart::N,մորուք,сакал
15,Kinn::N,կզակ,ияк
16,Kiefer[Anatomie]::N,ծնոտ,казналык
17,Kehle::N,կոկորդ,тамак
18,Hals::N,վիզ,бугаз
19,Hals::N,պարանոց,бугаз
20,Genick::N,ծոծրակ,җилкә
21,Kopf::N,գլուխ,баш
22,Rücken::N,մեջք,сырт
23,Bauch::N,փոր,корсак
24,Bauch::N,որովայն,корсак
25,Nabel::N,պորտ,кендек
26,Busen::N,ծոց,түш
27,Brust::N,կուրծք,имчәк
28,Brust::N,կուրծք,күкрәк
29,Schulter::N,ուս,иңбаш
30,Schulter::N,ուս,кулбаш
31,Arm::N,թեւ,кул
32,Arm::N,բազուկ,кул
33,Ellenbogen::N,արմունկ,терсәк
34,Hand::N,ձեռք,кул
35,Handfläche::N,ափ,уч
36,Finger::N,մատ,бармак
37,Fingernagel::N,եղունգ,тырнак
38,Nagel[Anatomie]::N,եղունգ,тырнак
39,Zeh::N,ոտքի մատ,бармак
40,Fuß::N,ոտք,табан
41,Ferse::N,գարշապար,үкчә
42,Knie::N,ծունկ,тез
43,Oberschenkel::N,ազդր,бот
44,Bein::N,ոտք,аяк
45,Körper::N,մարմին,тән
46,Körper::N,մարմին,җисем
47,Haut::N,մաշկ,тире
48,Blut::N,արյուն,кан
49,Ader::N,երակ,тамыр
50,Sehne::N,ջիղ,сеңер
51,Sehne::N,ձգտան,сеңер
52,Knochen::N,ոսկոր,сөяк
53,Gehirn::N,խելք,ми
54,Herz::N,սիրտ,йөрәк
55,Magen::N,ստամոքս,ашказаны
56,Leber::N,լյարդ,бавыр
57,Atem::N,շունչ,сулыш
58,Hunger::N,քաղց,ачлык
59,Träne::N,արտասուք,яшь
60,Geschmack::N,համ,тәм
61,Geschmack::N,համ,зәвык
62,Geschmack::N,բուրմունք,тәм
63,Geschmack::N,բուրմունք,зәвык
64,Geruch::N,հոտ,ис
65,Geruch::N,բուրում,ис
66,Schlaf::N,քուն,йокы
67,Traum::N,երազ,төш
68,Himmel::N,երկինք,күк
69,Sonne::N,արեւ,кояш
70,Mond::N,լուսին,ай
71,Stern::N,աստղ,йолдыз
72,Luft::N,օդ,һава
73,Wind::N,քամի,җил
74,Welle::N,ալիք,дулкын
75,Wasser::N,ջուր,су
76,Stein::N,քար,таш
77,Boden::N,գետին,туфрак
78,Erde::N,հող,җир
79,Staub::N,փոշի,тузан
80,Rauch::N,ծուխ,төтен
81,Funke::N,կայծ,очкын
82,Feuer::N,կրակ,ут
83,Feuer::N,հրդեհ,ут
84,Licht::N,լույս,якты
85,Schatten::N,ստվեր,күләгә
86,Wetter::N,եղանակ,һава
87,Nebel::N,մեգ,томан
88,Nebel::N,մառախուղ,томан
89,Wolke::N,ամպ,болыт
90,Regen::N,անձրև,яңгыр
91,Schnee::N,ձյուն,кар
92,Eis::N,սառույց,боз
93,Frost::N,սառնամանիք,суык
94,Frost::N,սառնամանիք,салкын
95,Kälte::N,դող,суык
96,Kälte::N,դող,салкын
97,Hitze::N,շոգ,эсселек
98,Raureif::N,ցօղեղեամ,бәс
99,Raureif::N,ցօղեղեամ,сыкы
100,Regenbogen::N,ծիածան,салават күпере
101,Donner::N,որոտ,күкрәү
102,Strömung::N,հոսանք,агыш'агым
103,Tropfen::N,կաթիլ,тамчы
104,Schaum::N,փրփուր,күбек
105,Schmutz::N,կեղտ,пычрак
106,See::N,լիճ,күл
107,Sumpf::N,ճահիճ,саз
108,Moor::N,ճահիճ,торфлык
109,Wiese::N,մարգագետին,болын
110,Wald::N,անտառ,урман
111,Hügel::N,բլուր,калку
112,Anhöhe::N,բարձունք,үр
113,Berg::N,լեռ,тау
114,Gipfel::N,գագաթ,оч
115,Gipfel::N,կատար,оч
116,Höhle::N,քարայր,мәгарә
117,Abhang::N,լանջ,кабырга
118,Abhang::N,զառիվայր,кабырга
119,Quelle::N,աղբյուր,чишмә
120,Bach::N,վտակ,елга
121,Fluss::N,գետ,дәрья
122,Ufer::N,ծովափ,су кырые
123,Küste::N,ափ,яр буе
124,Küste::N,ծովափ,яр буе
125,Festland::N,ցամաք,коры җир
126,Meer::N,ծով,диңгез
127,Bucht::N,հաչիւն,бухта
128,Bucht::N,հաչիւն,култык
129,Insel::N,վղզի,атау
130,Insel::N,վղզի,утрау
131,Blume::N,ծաղիկ,чәчкә
132,Gras::N,խոտ,үлән
133,Wurzel::N,արմատ,тамыр
134,Baum::N,ծառ,агач
135,Stamm::N,իրան,кәүсә
136,Rinde::N,կեղեւ,кабык
137,Rinde::N,հաչոց,кабык
138,Ast::N,ճյուղ,ботак
139,Zweig::N,ճյուղ,ботак
140,Zweig::N,ճյուղ,тармак
141,Blatt::N,տերեւ,яфрак
142,Birke::N,ցարասի,каен
