,Concept_ID,te,hu
0,Auge::N,కన్ను,szem
1,Ohr::N,చెవి,fül
2,Nase::N,ముక్కు,orr
3,Mund::N,నోరు,száj
4,Zahn::N,పల్లు,fog
5,Zunge::N,నాలుక,nyelv
6,Lippe::N,పెదవి,ajak
7,Wange::N,చెంప,orca
8,Gesicht::N,ముఖము,arc
9,Stirn::N,నుదురు,homlok
10,Haar::N,వెండ్రుక,haj
11,Schnurrbart::N,మీసము,bajusz
12,Bart::N,గడ్డము,szakáll
13,Kinn::N,గడ్డము,áll
14,Kiefer[Anatomie]::N,దౌడ,állkapocs
15,Kehle::N,గొంతు,gége
16,Kehle::N,గొంతు,torok
17,Hals::N,మెడ,nyak
18,Genick::N,మూపు,tarkó
19,Kopf::N,తల,fő
20,Kopf::N,తల,fej
21,Rücken::N,వెన్ను,hát
22,Bauch::N,కడుపు,has
23,Nabel::N,బొడ్డు,köldök
24,Busen::N,స్తనము,mell
25,Busen::N,స్తనము,kebel
26,Brust::N,ఱొమ్ము,mell
27,Schulter::N,భుజము,váll
28,Arm::N,చేయి,kar
29,Ellenbogen::N,మోచేయి,könyök
30,Hand::N,చేయి,kéz
31,Handfläche::N,అరచేయు,tenyér
32,Finger::N,చేతిప్రేలు,ujj
33,Fingernagel::N,గోరు,köröm
34,Nagel[Anatomie]::N,గోరు,köröm
35,Zeh::N,కాలిప్రేలు,lábujj
36,Fuß::N,అడుగు,láb
37,Ferse::N,మడమ,sarok
38,Knie::N,మోకాలు,térd
39,Oberschenkel::N,తొడ,comb
40,Bein::N,కాలు,láb
41,Bein::N,కాలు,lábszár
42,Körper::N,కాయము,test
43,Haut::N,చర్మము,bőr
44,Blut::N,రక్తము,vér
45,Ader::N,సిర,ér
46,Sehne::N,స్నాయువు,ín
47,Knochen::N,ఎముక,csont
48,Gehirn::N,మెదడు,agy
49,Gehirn::N,మెదడు,agyvelő
50,Herz::N,హృదయము,szív
51,Magen::N,కడుపు,gyomor
52,Leber::N,కాలేయము,máj
53,Atem::N,ఉపిరి,lehelet
54,Atem::N,ఉపిరి,lélegzet
55,Hunger::N,ఆకలి,éhség
56,Träne::N,కన్నీటిచుక్క,könny
57,Geschmack::N,రుచి,íz
58,Geruch::N,వాసన,szag
59,Schlaf::N,నిద్ర,álom
60,Schlaf::N,నిద్ర,alvás
61,Traum::N,కల,álom
62,Himmel::N,ఆకాశము,ég
63,Himmel::N,ఆకాశము,menny
64,Sonne::N,సూర్యుడు,nap
65,Mond::N,చంద్రుడు,hold
66,Stern::N,నక్షత్రము,csillag
67,Luft::N,గాలి,levegő
68,Wind::N,వీచుచున్నగాలి,szél
69,Welle::N,అల,hullám
70,Wasser::N,నీరు,víz
71,Stein::N,ఱాయి,kő
72,Boden::N,నేల,föld
73,Boden::N,నేల,talaj
74,Erde::N,మన్ను,föld
75,Staub::N,దుమ్ము,por
76,Rauch::N,పొగ,füst
77,Funke::N,అగ్నికణము,szikra
78,Feuer::N,అగ్ని,tűz
79,Licht::N,కాంతి,fény
80,Schatten::N,నీడ,árnyék
81,Wetter::N,వాతావరణ స్థితి,idő
82,Wetter::N,వాతావరణ స్థితి,időjárás
83,Nebel::N,పొగమంచు,köd
84,Wolke::N,మేఘము,felhő
85,Regen::N,వాన,eső
86,Schnee::N,హిమము,hó
87,Eis::N,మంచుగడ్డ,jég
88,Frost::N,పేరిన మంచు,fagy
89,Kälte::N,చలి,hideg
90,Hitze::N,వేడిమి,hő
91,Hitze::N,వేడిమి,hőség
92,Raureif::N,మంచు,zúzmara
93,Regenbogen::N,ఇంద్రధనుస్సు,szivárvány
94,Donner::N,ఉరుము,dörgés
95,Donner::N,ఉరుము,mennydörgés
96,Strömung::N,ప్రవాహము,áramlat
97,Tropfen::N,చుక్క,csepp
98,Schaum::N,నురుగు,hab
99,Schaum::N,నురుగు,tajték
100,Schmutz::N,మైల,piszok
101,See::N,సరస్సు,tó
102,Sumpf::N,చిత్తడినేల,mocsár
103,Moor::N,చిత్తడినేల,láp
104,Wiese::N,పచ్చిక బయలు,rét
105,Wiese::N,పచ్చిక బయలు,mező
106,Wald::N,అడవి,erdő
107,Hügel::N,చివ్నకొండ,domb
108,Anhöhe::N,కొండ,magaslat
109,Berg::N,పర్వతము,hegy
110,Gipfel::N,శిఖరము,csúcs
111,Höhle::N,గుహ,barlang
112,Abhang::N,ఏటవాలు,lejtő
113,Quelle::N,మూలము,forrás
114,Bach::N,కాలువ,patak
115,Fluss::N,నది,folyó
116,Ufer::N,తీరము,part
117,Küste::N,తీరము,tengerpart
118,Festland::N,భూమి,szárazföld
119,Meer::N,సముద్రము,tenger
120,Bucht::N,మరుగు,öböl
121,Insel::N,దీవి,sziget
122,Blume::N,పుష్పము,virág
123,Gras::N,పచ్చగడ్డి,fű
124,Wurzel::N,వేరు,gyökér
125,Baum::N,చెట్టు,fa
126,Stamm::N,చెట్టుబోదె,tő
127,Stamm::N,చెట్టుబోదె,törzs
128,Rinde::N,చెట్టుపట్ట,kéreg
129,Ast::N,కొమ్మ,ág
130,Zweig::N,చివుకు,gally
131,Blatt::N,ఆకు,levél
132,Birke::N,తరహా చెట్టు,nyír
133,Kiefer[Baum]::N,దేవదారు చెట్టు,fenyő
134,Weide[Baum]::N,జాతిచెట్టు,fűz
135,Tanne::N,దేవదారుచెట్టు,fenyő
136,Horn::N,కొమ్ము,szarv
137,Feder::N,ఈక,toll
138,Fell::N,తోలు,szőr
139,Fell::N,తోలు,bunda
140,Flügel::N,ఱెక్క,szárny
141,Klaue::N,వంకరగోరు,köröm
