,Concept_ID,la,udm
0,Auge::N,oculus,син
1,Ohr::N,auris,пель
2,Nase::N,nasus,ныр
3,Mund::N,os,ым
4,Zahn::N,dens,пинь
5,Zunge::N,lingua,кыл
6,Lippe::N,labrum,ымдур
7,Wange::N,gena,бам
8,Gesicht::N,vultus,ымныр
9,Stirn::N,frons,кымес
10,Haar::N,capillus,йырси
11,Schnurrbart::N,barba labri superioris,мыйык
12,Bart::N,barba,туш
13,Kinn::N,mentum,ангес
14,Kiefer[Anatomie]::N,mala,ан
15,Kiefer[Anatomie]::N,mala,анлы
16,Kehle::N,iugulums,гульым
17,Hals::N,collum,чырты
18,Genick::N,cervices,йырбер
19,Kopf::N,caput,йыр
20,Rücken::N,tergum,мыш
21,Bauch::N,venter,кӧт
22,Nabel::N,umbilicus,гогы
23,Busen::N,sinus,ноны
24,Brust::N,pectus,мӧля
25,Schulter::N,umerus,пельпум
26,Arm::N,bracchium,суй
27,Ellenbogen::N,cubitum,гырпум
28,Hand::N,manus,ки
29,Handfläche::N,palma,ки пыдэс
30,Handfläche::N,palma,кырым пыдэс
31,Finger::N,digitus,чиньы
32,Fingernagel::N,unguiculus,гижы
33,Fingernagel::N,unguiculus,гиждӥнь
34,Nagel[Anatomie]::N,unguis,гижы
35,Zeh::N,digitus,пыдчиньы
36,Fuß::N,pes,пыд
37,Ferse::N,calx,пыдбер
38,Knie::N,genu,пыдес
39,Oberschenkel::N,femur,макес
40,Bein::N,crus,пыд
41,Körper::N,corpus,мугор
42,Körper::N,corpus,вылтыр
43,Haut::N,cutis,ку
44,Haut::N,pellis,ку
45,Blut::N,sanguis,вир
46,Ader::N,vena,вирсэр
47,Sehne::N,nervus,вуж
48,Knochen::N,os,лы
49,Gehirn::N,cerebrum,вим
50,Herz::N,cor,сюлэм
51,Herz::N,animus,сюлэм
52,Magen::N,stomachus,ӝуш
53,Leber::N,iecur,мус
54,Atem::N,spiritus,лул
55,Atem::N,spiritus,шокан
56,Hunger::N,fames,кӧтсюман
57,Träne::N,lacrima,синкыли
58,Geschmack::N,sapor,шӧм
59,Geschmack::N,gustus,шӧм
60,Geruch::N,odor,зын
61,Schlaf::N,somnus,вӧт
62,Traum::N,somnium,уйвӧт
63,Himmel::N,caelum,ин
64,Sonne::N,sol,шунды
65,Mond::N,luna,толэзь
66,Stern::N,sidus,кизили
67,Stern::N,stella,кизили
68,Luft::N,aer,омыр
69,Wind::N,ventus,тӧл
70,Welle::N,unda,тулкым
71,Wasser::N,aqua,ву
72,Stein::N,lapis,из
73,Boden::N,solum,музъем
74,Erde::N,terra,му
75,Staub::N,pulvis,пыль
76,Rauch::N,fumus,ӵын
77,Funke::N,scintilla,гизьы
78,Feuer::N,ignis,тыл
79,Licht::N,lux,тыл
80,Licht::N,lumen,тыл
81,Schatten::N,umbra,вужер
82,Wetter::N,caelum,куазь
83,Wetter::N,tempestas,куазь
