,Concept_ID,ja,la
0,Auge::N,目,oculus
1,Ohr::N,耳,auris
2,Nase::N,鼻,nasus
3,Mund::N,口,os
4,Zahn::N,歯,dens
5,Zunge::N,舌,lingua
6,Lippe::N,唇,labrum
7,Wange::N,頬,gena
8,Gesicht::N,顔,vultus
9,Stirn::N,額,frons
10,Haar::N,髪,capillus
11,Schnurrbart::N,口髭,barba labri superioris
12,Bart::N,髭,barba
13,Kinn::N,顎,mentum
14,Kiefer[Anatomie]::N,顎,mala
15,Kehle::N,喉,iugulums
16,Hals::N,首,collum
17,Genick::N,首,cervices
18,Kopf::N,頭,caput
19,Rücken::N,背中,tergum
20,Bauch::N,腹,venter
21,Bauch::N,お腹,venter
22,Nabel::N,へそ,umbilicus
23,Busen::N,乳房,sinus
24,Brust::N,胸,pectus
25,Schulter::N,肩,umerus
26,Arm::N,腕,bracchium
27,Ellenbogen::N,肘,cubitum
28,Hand::N,手,manus
29,Handfläche::N,手のひら,palma
30,Finger::N,指,digitus
31,Fingernagel::N,爪,unguiculus
32,Nagel[Anatomie]::N,爪,unguis
33,Zeh::N,足の指,digitus
34,Fuß::N,足,pes
35,Ferse::N,かかと,calx
36,Knie::N,膝,genu
37,Oberschenkel::N,上腿,femur
38,Bein::N,足,crus
39,Körper::N,体,corpus
40,Haut::N,皮膚,cutis
41,Haut::N,皮膚,pellis
42,Blut::N,血,sanguis
43,Ader::N,血管,vena
44,Sehne::N,腱,nervus
45,Knochen::N,骨,os
46,Gehirn::N,脳,cerebrum
47,Herz::N,心,cor
48,Herz::N,心,animus
49,Herz::N,心臓,cor
50,Herz::N,心臓,animus
51,Magen::N,胃,stomachus
52,Leber::N,肝臓,iecur
53,Atem::N,息,spiritus
54,Atem::N,呼吸,spiritus
55,Hunger::N,空腹,fames
56,Träne::N,涙,lacrima
57,Geschmack::N,味,sapor
58,Geschmack::N,味,gustus
59,Geruch::N,匂い,odor
60,Schlaf::N,睡眠,somnus
61,Traum::N,夢,somnium
62,Himmel::N,空,caelum
63,Sonne::N,太陽,sol
64,Mond::N,月,luna
65,Stern::N,星,sidus
66,Stern::N,星,stella
67,Luft::N,空気,aer
68,Wind::N,風,ventus
69,Welle::N,波,unda
70,Wasser::N,水,aqua
71,Stein::N,石,lapis
72,Boden::N,土地,solum
73,Erde::N,土,terra
74,Staub::N,埃,pulvis
75,Rauch::N,煙,fumus
76,Funke::N,火花,scintilla
77,Feuer::N,火,ignis
78,Licht::N,光,lux
79,Licht::N,光,lumen
80,Schatten::N,陰,umbra
81,Wetter::N,天気,caelum
82,Wetter::N,天気,tempestas
83,Nebel::N,霧,nebula
84,Wolke::N,雲,nubes
85,Regen::N,雨,imber
86,Regen::N,雨,pluvia
87,Schnee::N,雪,nix
88,Eis::N,氷,glacies
89,Frost::N,霜,gelu
90,Kälte::N,寒さ,frigus
91,Hitze::N,暑さ,calor
92,Hitze::N,暑さ,aestus
93,Raureif::N,霧氷,pruina
94,Regenbogen::N,虹,arcus
95,Donner::N,雷,tonitrus
96,Strömung::N,流れ,fluctus
97,Tropfen::N,滴,gutta
98,Schaum::N,泡,spuma
99,Schmutz::N,汚れ,sordes
100,Schmutz::N,汚れ,squalor
101,See::N,湖,lacus
102,Sumpf::N,沼,palus
103,Moor::N,湿原,palus
104,Wiese::N,草原,pratum
105,Wald::N,森,silva
106,Hügel::N,丘,collis
107,Anhöhe::N,高み,specula
108,Berg::N,山,mons
109,Gipfel::N,頂上,vertex
110,Höhle::N,洞窟,caverna
111,Höhle::N,洞窟,spelunca
112,Abhang::N,斜面,declivum
113,Quelle::N,泉,fons
114,Bach::N,小川,rivus
115,Fluss::N,川,flumen
116,Ufer::N,岸,ripa
117,Küste::N,海岸,litus
118,Festland::N,陸,continens
119,Meer::N,海,mare
120,Bucht::N,湾,sinus
121,Insel::N,島,insula
122,Blume::N,花,flos
123,Gras::N,草,herba
124,Gras::N,草,gramen
125,Wurzel::N,根,radix
126,Baum::N,木,arbor
127,Stamm::N,幹,truncus
128,Rinde::N,皮層,cortex
129,Ast::N,枝,ramus
130,Zweig::N,小枝,ramus
131,Blatt::N,葉,folium
132,Birke::N,樺,betulla
133,Kiefer[Baum]::N,松,pinus
134,Weide[Baum]::N,柳,salix
135,Tanne::N,樅,abies
136,Horn::N,角,cornu
137,Feder::N,羽根,penna
138,Fell::N,毛皮,pellis
139,Flügel::N,羽,ala
140,Klaue::N,鉤爪,unguis
141,Kralle::N,爪,unguis
142,Schwanz::N,尻尾,cauda
143,Ei::N,卵,ovum
144,Nest::N,巣,nidus
145,Bau::N,穴,cavum
146,Bau::N,穴,latibulum
147,Tier::N,動物,bestia
148,Herde::N,群れ,grex
149,Kuh::N,牛,vacca
150,Bulle::N,雄牛,taurus
151,Pferd::N,馬,equus
152,Schaf::N,羊,ovis
153,Schwein::N,豚,sus
154,Schwein::N,豚,porcus
155,Hund::N,犬,canis
156,Katze::N,猫,felis
157,Bär::N,熊,ursus
158,Eichhörnchen::N,栗鼠,sciurus
159,Elch::N,ヘラジカ,alces
160,Fuchs::N,狐,vulpes
161,Hase::N,兎,lepus
162,Maus::N,鼠,mus
163,Wolf::N,狼,lupus
164,Vogel::N,鳥,avis
165,Schwarm::N,群れ,examen
166,Huhn::N,鶏,gallina
167,Hahn::N,雄鶏,gallus
168,Gans::N,ガチョウ,anser
169,Adler::N,鷲,aquila
170,Ente::N,鴨,anas
171,Eule::N,フクロウ,ulula
172,Eule::N,フクロウ,noctua
173,Kranich::N,鶴,grus
174,Krähe::N,烏,cornix
175,Kuckuck::N,郭公,cuculus
176,Schwan::N,白鳥,olor
177,Schwan::N,白鳥,cycnus
178,Fisch::N,魚,piscis
179,Barsch::N,鱸,perca
180,Hecht::N,川魳,esox
181,Schlange[Tier]::N,蛇,serpens
182,Wurm::N,虫,vermis
183,Spinne::N,蜘蛛,aranea
184,Ameise::N,蟻,formica
185,Laus::N,虱,pediculus
186,Mücke::N,蚊,culex
187,Fliege::N,蝿,musca
188,Schmetterling::N,蝶,papilio
189,Beere::N,漿果,baca
190,Apfel::N,林檎,malum
191,Pilz::N,茸,fungus
192,Zwiebel::N,玉葱,cepa
193,Saat::N,種,seges
194,Korn::N,粒,granum
195,Heu::N,干し草,faenum
196,Schale::N,皮,putamen
197,Grube::N,穴,fovea
198,Falle::N,わな,pedica
199,Schlinge::N,輪,laqueus
200,Spur::N,跡,vestigium
201,Asche::N,灰,cinis
202,Dreck::N,泥,lutum
203,Eisen::N,鉄,ferrum
204,Gold::N,金,aurum
205,Silber::N,銀,argentum
206,Kohle::N,炭,carbo
207,Glas::N,ガラス,vitrum
208,Lehm::N,ローム,lutum
209,Sand::N,砂,arena
210,Mensch::N,人,homo
211,Mann::N,男,vir
212,Mann::N,男性,vir
213,Frau::N,女,mulier
214,Frau::N,女性,mulier
215,Kind::N,子,puer
216,Kind::N,子,infans
217,Kind::N,子供,puer
218,Kind::N,子供,infans
219,Junge::N,男の子,puer
220,Mädchen::N,女の子,puella
221,Familie::N,家族,familia
222,Großvater::N,祖父,avus
223,Großvater::N,おじいさん,avus
224,Großmutter::N,祖母,avia
225,Großmutter::N,おばあさん,avia
226,Eltern::N,親,parentes
227,Eltern::N,両親,parentes
228,Vater::N,父,pater
229,Vater::N,お父さん,pater
230,Mutter::N,母,mater
231,Mutter::N,お母さん,mater
232,Sohn::N,息子,filius
233,Sohn::N,息子さん,filius
234,Tochter::N,娘,filia
235,Tochter::N,お嬢さん,filia
236,Bruder::N,弟,frater
237,Schwester::N,妹,soror
238,Onkel::N,伯父,patruus
239,Onkel::N,伯父,avunculus
240,Onkel::N,伯父さん,patruus
241,Onkel::N,伯父さん,avunculus
242,Tante::N,叔母,amita
243,Tante::N,叔母さん,amita
244,Ehemann::N,夫,maritus
245,Ehemann::N,主人,maritus
246,Ehefrau::N,妻,uxor
247,Ehefrau::N,奥さん,uxor
248,Freude::N,喜び,gaudium
249,Freude::N,喜び,laetitia
250,Gelächter::N,笑い,risus
251,Glück::N,幸せ,felicitas
252,Kummer::N,悩み,aegritudo
253,Wunsch::N,希望,voluntas
254,Wunsch::N,希望,desiderium
255,Lust::N,気,libido
256,Lust::N,気,voluptas
257,Geist::N,精神,mens
258,Geist::N,精神,animus
259,Gedanke::N,考え,sententia
260,Gedächtnis::N,記憶,memoria
261,Verstand::N,理解力,ratio
262,Verstand::N,理解力,ingenium
