,Concept_ID,be,kl
0,Auge::N,вока,isi
1,Ohr::N,вуха,siut
2,Nase::N,нос,
3,Mund::N,рот,paaq
4,Mund::N,рот,qaneq
5,Zahn::N,зуб,kigut
6,Zunge::N,язык,oqaq
7,Lippe::N,губа,qarloq
8,Wange::N,шчака,ersaq
9,Gesicht::N,твар,kiinaq
10,Stirn::N,лоб,qaaq
11,Haar::N,волас,meqqoq
12,Haar::N,валасы,meqqoq
13,Schnurrbart::N,вус,
14,Schnurrbart::N,вусы,
15,Bart::N,барада,umik
16,Kinn::N,падбародак,talloq
17,Kiefer[Anatomie]::N,сківіца,alleroq
18,Kehle::N,горла,malaq
19,Hals::N,шыя,qungaseq
20,Genick::N,патыліца,pukusuk
21,Kopf::N,галава,niaqoq
22,Rücken::N,спіна,qimerlut
23,Bauch::N,жывот,naaq
24,Nabel::N,пупок,qalaseq
25,Busen::N,грудзі,iviangeq
26,Brust::N,грудзі,iviangeq
27,Schulter::N,плячо,ersik
28,Schulter::N,плячо,assaqqoq
29,Arm::N,рука,taleq
30,Ellenbogen::N,локаць,ikusik
31,Hand::N,кісць,assak
32,Handfläche::N,далонь,itumak
33,Finger::N,палец,inuak
34,Fingernagel::N,ногаць,kikiak
35,Nagel[Anatomie]::N,ногаць,kukik
36,Zeh::N,палец,isigak
37,Fuß::N,нага,
38,Ferse::N,пята,kimmik
39,Ferse::N,пятка,kimmik
40,Knie::N,калена,seeqqoq
41,Oberschenkel::N,бядро,uppat
42,Oberschenkel::N,бядро,quttoraq
43,Oberschenkel::N,сцягно,uppat
44,Oberschenkel::N,сцягно,quttoraq
45,Bein::N,нага,isigak
46,Körper::N,цела,timi
47,Haut::N,скура,mattak
48,Blut::N,кроў,aak
49,Ader::N,вена,taqaq
50,Ader::N,сасуд,taqaq
51,Sehne::N,жыла,ujalu
52,Sehne::N,жыла,ujaloq
53,Sehne::N,цеціва,ujalu
54,Sehne::N,цеціва,ujaloq
55,Sehne::N,сухажылле,ujalu
56,Sehne::N,сухажылле,ujaloq
57,Knochen::N,косць,saanikut
58,Gehirn::N,мозг,qarasaq
59,Herz::N,сэрца,uummat
60,Magen::N,страўнік,aqajaroq
61,Leber::N,печань,tinguk
62,Atem::N,дыханне,anerneq
63,Hunger::N,голад,kaanneq
64,Träne::N,сляза,qia
65,Träne::N,сляза,qiak
66,Geschmack::N,смак,qilanaartuut
67,Geruch::N,пах,tipi
68,Geruch::N,пах,tipik
69,Schlaf::N,сон,
70,Traum::N,сон,sinnattoq
71,Traum::N,сон,sinnattugaq
72,Himmel::N,неба,qilak
73,Sonne::N,сонца,seqineq
74,Mond::N,месяц,qaammat
75,Stern::N,зорка,ulloriaq
76,Luft::N,паветра,silaannaq
77,Wind::N,вецер,anori
78,Wind::N,вецер,anorsarik
79,Welle::N,хваля,aalappaa
80,Wasser::N,вада,imeq
81,Stein::N,камень,ujarak
82,Boden::N,глеба,nateq
83,Erde::N,зямля,issoq
84,Staub::N,пыл,pujualanerit
85,Staub::N,пыл,pujoralanerit
86,Rauch::N,дым,iseq
87,Rauch::N,дым,pujoq
88,Funke::N,іскра,illoorneq
89,Feuer::N,агонь,inneq
90,Licht::N,святло,qaamaneq
91,Schatten::N,цень,tarraq
92,Wetter::N,пагода,sila
93,Wetter::N,надворʼе,sila
94,Nebel::N,туман,pujoq
95,Wolke::N,воблака,nuia
96,Regen::N,дождж,sialuk
97,Schnee::N,снег,aput
98,Eis::N,лёд,siku
99,Frost::N,мароз,issi
100,Frost::N,мароз,issik
101,Kälte::N,холад,issi
102,Hitze::N,спёка,kianneq
103,Hitze::N,спёка,kiassuseq
104,Raureif::N,іней,kaneq
105,Regenbogen::N,вясёлка,neriusaaq
106,Donner::N,гром,kalleq
107,Strömung::N,цячэнне,
108,Tropfen::N,кропля,kuseriarneq
109,Schaum::N,пена,qapuk
110,Schmutz::N,гразь,minguk
111,See::N,возера,taseq
112,Sumpf::N,багна,maqulluk
113,Moor::N,балота,
114,Wiese::N,луг,masarsuk
