,Concept_ID,kv,nl
0,Auge::N,син,oog
1,Ohr::N,пель,oor
2,Nase::N,ныр,neus
3,Mund::N,ӧм,mond
4,Zahn::N,пинь,tand
5,Zunge::N,кыв,tong
6,Lippe::N,тырп,lip
7,Wange::N,рожабан,wang
8,Gesicht::N,бан,gelaat
9,Gesicht::N,бан,gezicht
10,Stirn::N,кымӧс,voorhoofd
11,Haar::N,юрси,haar
12,Schnurrbart::N,уссэз,snor
13,Bart::N,тош,baard
14,Kinn::N,тшӧка,kin
15,Kiefer[Anatomie]::N,ан,kaak
16,Kehle::N,юан,keel
17,Kehle::N,юан,strot
18,Hals::N,юан,hals
19,Genick::N,юр бӧр,nek
20,Kopf::N,юр,hoofd
21,Rücken::N,мышк,rug
22,Bauch::N,кынӧм,buik
23,Nabel::N,гӧг,navel
24,Busen::N,морос,boezem
25,Brust::N,морос,borst
26,Schulter::N,пельпон,schouder
27,Arm::N,ки,arm
28,Ellenbogen::N,гырдзза,elleboog
29,Hand::N,кикар,hand
30,Handfläche::N,ки пыдӧс,handpalm
31,Finger::N,чунь,vinger
32,Fingernagel::N,гыж,nagel
33,Nagel[Anatomie]::N,гыж,nagel
34,Zeh::N,чунь,teen
35,Fuß::N,кокпыдӧс,voet
36,Ferse::N,кокдзир,hak
37,Ferse::N,кокдзир,hiel
38,Knie::N,пидзӧс,knie
39,Oberschenkel::N,лядьбей,dij
40,Bein::N,кок,been
41,Körper::N,вывтыр,lichaam
42,Haut::N,кучик,huid
43,Blut::N,вир,bloed
44,Ader::N,сӧн,ader
45,Sehne::N,жила,pees
46,Knochen::N,коска,bot
47,Knochen::N,коска,been
48,Knochen::N,коска,knook
49,Gehirn::N,вем,hersenen
50,Herz::N,сьӧлӧм,hart
51,Magen::N,жӧвдӧк,maag
52,Leber::N,мус,lever
53,Atem::N,лолалӧм,adem
54,Hunger::N,тшыг,honger
55,Träne::N,синва,traan
56,Geschmack::N,кӧр,smaak
57,Geruch::N,дук,geur
58,Schlaf::N,он,slaap
59,Traum::N,вӧт,droom
60,Himmel::N,небо,hemel
61,Sonne::N,шондi,zon
62,Mond::N,тӧлiсь,maan
63,Stern::N,кӧдзыв,ster
64,Luft::N,ру,lucht
65,Wind::N,тӧв,wind
66,Welle::N,гы,golf
67,Wasser::N,ва,water
68,Stein::N,из,steen
69,Boden::N,му,grond
70,Erde::N,му,aarde
71,Staub::N,бус,stof
72,Rauch::N,тшын,rook
73,Funke::N,бичир,vonk
74,Feuer::N,би,vuur
75,Licht::N,би,licht
76,Schatten::N,вуджӧр,schaduw
77,Wetter::N,погоддя,weer
78,Nebel::N,туман,mist
79,Nebel::N,туман,nevel
80,Wolke::N,кымӧр,wolk
81,Regen::N,зэр,regen
82,Schnee::N,лым,sneeuw
83,Eis::N,йы,ijs
84,Frost::N,мороз,vorst
85,Kälte::N,кӧдзыт,kou
86,Kälte::N,кӧдзыт,koude
87,Hitze::N,ӧд,hitte
88,Raureif::N,кижа,rijp
89,Regenbogen::N,енӧшка,regenboog
90,Donner::N,гым,donder
91,Strömung::N,визывтӧм,stroming
92,Tropfen::N,тёп,druppel
93,Schaum::N,быг,schuim
94,Schmutz::N,нять,vuil
95,See::N,ты,meer
96,Sumpf::N,арай,moeras
97,Moor::N,нюр,veen
98,Wiese::N,видз,wei
99,Wiese::N,видз,weide
100,Wald::N,вӧр,bos
101,Hügel::N,мыльк,heuvel
102,Anhöhe::N,вывтас,hoogte
103,Anhöhe::N,вылынін,hoogte
104,Berg::N,керӧс,berg
105,Gipfel::N,йыв,top
106,Höhle::N,нора,hol
107,Abhang::N,покат,helling
108,Quelle::N,больган,bron
109,Bach::N,шор,beek
110,Fluss::N,ю,stroom
111,Ufer::N,берег,wal
112,Ufer::N,берег,oever
113,Küste::N,берег,kust
114,Festland::N,му,vasteland
115,Meer::N,море,zee
116,Bucht::N,курья,baai
117,Bucht::N,курья,inham
118,Blume::N,цветок,bloem
119,Gras::N,турун,gras
120,Wurzel::N,вуж,wortel
121,Baum::N,пу,boom
122,Stamm::N,мыр,stam
123,Stamm::N,кер,stam
124,Rinde::N,кач,schors
125,Ast::N,ув,tak
126,Zweig::N,ув,twijg
127,Blatt::N,лист,blad
128,Birke::N,кыдз,berk
129,Kiefer[Baum]::N,пожум,den
130,Weide[Baum]::N,бадь,wilg
131,Tanne::N,кӧз,spar
132,Horn::N,сюр,hoorn
