,Concept_ID,hr,lez
0,Auge::N,oko,вил
1,Ohr::N,uho,яб
2,Nase::N,nos,нер
3,Mund::N,usta,сив
4,Zahn::N,zub,сас
5,Zahn::N,zub,свах
6,Zunge::N,jezik,мез
7,Lippe::N,usna,пӏуз
8,Wange::N,obraz,хъвехъ
9,Gesicht::N,lice,ччин
10,Stirn::N,čelo,пел
11,Haar::N,kosa,чӏар
12,Schnurrbart::N,brkovi,спел
13,Schnurrbart::N,brkovi,спелар
14,Bart::N,brada,ччуру
15,Kinn::N,brada,чене
16,Kinn::N,podbradak,чене
17,Kiefer[Anatomie]::N,čeljust,чене
18,Kehle::N,grlo,туьд
19,Hals::N,vrat,гардан
20,Genick::N,zatiljak,кьам
21,Kopf::N,glava,кьил
22,Rücken::N,leđa,далу
23,Rücken::N,hrbat,далу
24,Bauch::N,trbuh,руфун
25,Nabel::N,pupak,пицӏ
26,Busen::N,sisa,мам
27,Busen::N,njedra,мам
28,Brust::N,prsa,хур
29,Schulter::N,rame,къуьн
30,Schulter::N,pleći,къуьн
31,Arm::N,ruka,гъил
32,Ellenbogen::N,lakat,кьуьнт
33,Hand::N,ruka,капаш
34,Handfläche::N,dlan,капан юкь
35,Finger::N,prst,тӏуб
36,Fingernagel::N,nokat,кек
37,Nagel[Anatomie]::N,nokat,кек
38,Zeh::N,nozni prst,кул
39,Fuß::N,noga,кӏвач
40,Fuß::N,stopalo,кӏвач
41,Ferse::N,peta,дабан
42,Knie::N,koljeno,мет
43,Oberschenkel::N,bedro,
44,Bein::N,noga,кӏвач
45,Körper::N,tijelo,беден
46,Haut::N,put,хам
47,Haut::N,koža,хам
48,Blut::N,krv,иви
49,Ader::N,žila,дамар
50,Sehne::N,tetiva,кьуру дамар
51,Knochen::N,kost,кӏараб
52,Herz::N,srce,рикӏ
53,Magen::N,stomak,хук
54,Magen::N,želudac,хук
55,Leber::N,jetra,лекь
56,Atem::N,dah,ял
57,Atem::N,dah,нефес
58,Hunger::N,glad,каш
59,Träne::N,suza,вилин нагъв
60,Geschmack::N,ukus,дад
61,Geschmack::N,ukus,тӏям
62,Geruch::N,njuh,ни
63,Geruch::N,miris,ни
64,Schlaf::N,san,ахвар
65,Traum::N,san,ахвар
66,Himmel::N,nebo,цав
67,Sonne::N,sunce,рагъ
68,Mond::N,mjesec,варз
69,Stern::N,zvijezda,гъед
70,Luft::N,zrak,гьава
71,Wind::N,vjetar,гар
72,Welle::N,val,лепе
73,Welle::N,talas,лепе
74,Wasser::N,voda,яд
75,Stein::N,kamen,къван
76,Boden::N,tlo,накьв
77,Boden::N,zemlja,накьв
78,Erde::N,zemlja,ччил
79,Staub::N,prah,руг
80,Staub::N,prašina,руг
81,Rauch::N,dim,гум
82,Funke::N,iskra,цӏелхем
83,Funke::N,varnica,цӏелхем
84,Feuer::N,vatra,цӏай
85,Licht::N,svjetlo,экв
86,Schatten::N,hlad,серин
87,Schatten::N,sjena,серин
88,Wetter::N,vrijeme,гьава
89,Nebel::N,magla,ччилин циф
90,Wolke::N,oblak,циф
91,Regen::N,kiša,марф
92,Schnee::N,snijeg,жив
93,Eis::N,led,мурк
94,Frost::N,mraz,аяз
95,Kälte::N,studen,мекь
96,Kälte::N,studen,мекьивал
97,Kälte::N,hladnoća,мекь
98,Kälte::N,hladnoća,мекьивал
99,Hitze::N,vrućina,зегьем
100,Raureif::N,inje,къирав
101,Regenbogen::N,duga,яргъируш
102,Donner::N,grom,цавун ван
103,Donner::N,grmljavina,цавун ван
104,Strömung::N,struja,
105,Strömung::N,strujanje,
106,Tropfen::N,kap,стӏал
107,Tropfen::N,kaplja,стӏал
108,Schaum::N,pjena,каф
109,Schmutz::N,nečistoća,чирк
110,Schmutz::N,nečistoća,кьуруш
111,Schmutz::N,prljavština,чирк
112,Schmutz::N,prljavština,кьуруш
113,See::N,jezero,вир
114,Sumpf::N,bara,уьлен
115,Moor::N,močvara,
116,Wiese::N,livada,векь
117,Wald::N,šuma,там
118,Hügel::N,brijeg,кӏунтӏ
119,Hügel::N,brežuljak,кӏунтӏ
120,Anhöhe::N,uzvišica,тепе
121,Anhöhe::N,uzvišica,гьуьндуьрвал
122,Berg::N,brdo,дагъ
123,Gipfel::N,vrh,кӏукӏ
124,Höhle::N,pećina,кьветӏ
125,Höhle::N,spilja,кьветӏ
126,Abhang::N,obronak,гуьне
127,Abhang::N,nizbrdica,гуьне
128,Quelle::N,izvor,чешме
129,Quelle::N,vrelo,чешме
130,Bach::N,potok,булах
131,Fluss::N,rijeka,вацӏ
132,Ufer::N,obala,къерех
133,Küste::N,obala,къерех
134,Küste::N,morska obala,къерех
135,Festland::N,kopno,кьурамат
136,Meer::N,more,гьуьл
137,Bucht::N,zaliv,бухта
138,Insel::N,ada,остров
139,Insel::N,otok,остров
140,Blume::N,cvijet,цуьк
141,Gras::N,trava,хъач
142,Wurzel::N,korijen,дувул
143,Baum::N,drvo,ттар
144,Baum::N,stablo,ттар
145,Stamm::N,deblo,тан
146,Stamm::N,stablo,тан
147,Rinde::N,kora,чкал
148,Ast::N,grana,тӏур
149,Zweig::N,grana,хел
150,Blatt::N,list,пеш
151,Birke::N,breza,верх
152,Kiefer[Baum]::N,bor,шамагъаж
153,Weide[Baum]::N,iva,цӏвелин ттар
154,Weide[Baum]::N,vŕba,цӏвелин ттар
155,Tanne::N,jela,ель
156,Horn::N,rog,карч
157,Feder::N,pero,цӏакул
158,Fell::N,koža,хам
159,Flügel::N,krilo,лув
160,Klaue::N,papak,къармах
161,Kralle::N,pandža,пац
162,Kralle::N,pandža,тапас
163,Schwanz::N,rep,ттум
164,Ei::N,jaje,кака
165,Nest::N,gnijezdo,муг
166,Bau::N,jazbina,тӏеквен
167,Tier::N,životinja,гьайван
168,Herde::N,krdo,суьруь
169,Herde::N,stado,суьруь
170,Kuh::N,krava,ккал
171,Bulle::N,bik,яц
172,Bulle::N,bik,бугъа
173,Pferd::N,konj,балкӏан
174,Schaf::N,ovca,хеб
175,Schwein::N,svinja,вак
176,Hund::N,pas,кицӏ
177,Hund::N,pseto,кицӏ
178,Katze::N,mačka,кац
179,Bär::N,medvjed,сев
180,Eichhörnchen::N,vjeverica,белка
181,Elch::N,los,лось
182,Fuchs::N,lisica,сикӏ
183,Hase::N,zec,къуьр
184,Maus::N,miš,кьиф
185,Wolf::N,vuk,жанавур
186,Wolf::N,kurjak,жанавур
187,Vogel::N,ptica,луван ничхир
188,Schwarm::N,roj,луж
189,Schwarm::N,jato,луж
190,Huhn::N,kokoš,верч
191,Hahn::N,kokot,кӏек
192,Hahn::N,pijevac,кӏек
193,Gans::N,guska,къаз
194,Adler::N,orao,лекь
195,Ente::N,patka,пӏатӏ
196,Eule::N,sova,тӏиб
197,Kranich::N,ždral,дурна
198,Krähe::N,vrana,къаргъа
199,Kuckuck::N,kukavica,кукупӏ
200,Schwan::N,labud,къугь
201,Fisch::N,riba,гъед
202,Barsch::N,grgeč,окунь
203,Hecht::N,štuka,щука
204,Schlange[Tier]::N,guja,илан
205,Schlange[Tier]::N,guja,гъуьлягъ
206,Schlange[Tier]::N,zmija,илан
207,Schlange[Tier]::N,zmija,гъуьлягъ
208,Wurm::N,crv,квак
209,Spinne::N,pauk,хуьшрекан
210,Ameise::N,mrav,цегв
211,Laus::N,uš,нет
212,Mücke::N,komarac,ветӏ
213,Fliege::N,muha,тӏветӏ
214,Schmetterling::N,leptir,чепелукь
215,Beere::N,boba,куьлуь емиш
216,Beere::N,bobica,куьлуь емиш
217,Apfel::N,jabuka,ич
218,Pilz::N,pečurka,къарникъуз
219,Zwiebel::N,luk,чичӏек
220,Zwiebel::N,kapula,чичӏек
221,Saat::N,sjemenje,тумар
222,Korn::N,zrno,твар
223,Heu::N,sijeno,векь
224,Heu::N,sijeno,векьер
225,Schale::N,kora,пириш
226,Schale::N,kora,хъуьруьш
227,Schale::N,ljuska,пириш
228,Schale::N,ljuska,хъуьруьш
229,Grube::N,jama,фур
230,Falle::N,zamka,ракьар
231,Falle::N,klopka,ракьар
232,Schlinge::N,uzao,гьалкъа
233,Schlinge::N,petlja,гьалкъа
234,Spur::N,trag,гел
235,Spur::N,slijed,гел
236,Asche::N,pepeo,руьхъ
237,Dreck::N,blato,чирк
238,Dreck::N,blato,кьуруш
239,Eisen::N,željezo,ракь
240,Gold::N,zlato,алтун
241,Silber::N,srebro,гимиш
242,Kohle::N,ugalj,цӏивин
243,Kohle::N,ugljen,цӏивин
244,Glas::N,staklo,шуьше
245,Lehm::N,glina,ччеб
246,Lehm::N,ilovača,ччеб
247,Sand::N,pijesak,къум
248,Mensch::N,čovjek,инсан
249,Mann::N,muškarac,итим
250,Frau::N,žena,паб
251,Frau::N,žena,дишегьли
252,Kind::N,čedo,аял
253,Kind::N,dijete,аял
254,Junge::N,momče,гада
255,Junge::N,dječak,гада
256,Mädchen::N,djevojka,руш
257,Mädchen::N,djevojčica,руш
258,Familie::N,obitelj,хзан
259,Familie::N,obitelj,килфет
260,Familie::N,porodica,хзан
261,Familie::N,porodica,килфет
262,Großvater::N,djed,чӏехи буба
263,Großmutter::N,baka,чӏехи диде
264,Eltern::N,roditelji,диде-буба
265,Vater::N,otac,буба
266,Mutter::N,majka,диде
267,Sohn::N,sin,хва
268,Tochter::N,kći,руш
269,Tochter::N,kćerka,руш
270,Bruder::N,brat,стха
271,Schwester::N,sestra,вах
272,Onkel::N,čika,ими
273,Onkel::N,čika,халу
274,Onkel::N,ujak,ими
275,Onkel::N,ujak,халу
276,Tante::N,ujna,эме
277,Tante::N,ujna,хала
278,Tante::N,tetka,эме
279,Tante::N,tetka,хала
280,Ehemann::N,muž,гъуьл
281,Ehemann::N,suprug,гъуьл
282,Ehefrau::N,žena,паб
283,Ehefrau::N,supruga,паб
