,Concept_ID,ce,bg
0,Auge::N,бӏаьрг,око
1,Ohr::N,лерг,ухо
2,Nase::N,мара,нос
3,Mund::N,бага,уста
4,Zahn::N,церг,зъб
5,Zunge::N,мотт,език
6,Lippe::N,балда,устна
7,Wange::N,бесни,буза
8,Gesicht::N,юьхь,лице
9,Gesicht::N,юьхь,образ
10,Stirn::N,хьаж,чело
11,Haar::N,мас,коса
12,Haar::N,мас,косъм
13,Schnurrbart::N,мекх,мустаци
14,Bart::N,маж,брада
15,Kinn::N,чӏениг,брада
16,Kinn::N,чӏениг,брадичка
17,Kiefer[Anatomie]::N,мочхал,челюст
18,Kehle::N,къамкъарг,гърло
19,Hals::N,ворта,врат
20,Genick::N,кӏесаркӏаг,тил
21,Kopf::N,корта,глава
22,Rücken::N,букъ,гръб
23,Bauch::N,кийра,корем
24,Nabel::N,цӏонга,пъп
25,Busen::N,зударийн накха,бозка
26,Brust::N,накха,гръд
27,Schulter::N,белш,рамо
28,Schulter::N,белш,плещи
29,Arm::N,пхьарс,ръка
30,Ellenbogen::N,пхьаьрсан гола,лакът
31,Hand::N,куьг,ръка
32,Hand::N,куьг,китка
33,Handfläche::N,кераюкъ,длан
34,Finger::N,пӏелг,пръст
35,Fingernagel::N,мӏара,нокът
36,Nagel[Anatomie]::N,мӏара,нокът
37,Zeh::N,кога пӏелг,пръст на крак
38,Fuß::N,ког,крак
39,Fuß::N,ког,нога
40,Ferse::N,кӏажа,пета
41,Knie::N,гола,коляно
42,Oberschenkel::N,варе,бедро
43,Bein::N,ког,крак
44,Bein::N,ког,нога
45,Körper::N,хӏума,тяло
46,Haut::N,чкъор,кожа
47,Blut::N,цӏий,кръв
48,Ader::N,пха,вена
49,Ader::N,пха,артерия
50,Sehne::N,хьорзам,жила
51,Sehne::N,хьорзам,сухожилие
52,Knochen::N,даьӏахк,кост
53,Gehirn::N,хье,мозък
54,Herz::N,дог,сърце
55,Magen::N,зорх,стомах
56,Leber::N,доӏах,черен дроб
57,Atem::N,садеӏар,дишане
58,Hunger::N,мацалла,глад
59,Träne::N,бӏаьрхи,сълза
60,Geschmack::N,чам,вкус
61,Geruch::N,хьожа,миризма
62,Schlaf::N,наб,сън
63,Traum::N,гӏан,сън
64,Himmel::N,стигал,небе
65,Sonne::N,малх,слънце
66,Mond::N,бутт,луна
67,Mond::N,бутт,месец
68,Stern::N,седа,звезда
69,Luft::N,xӏаваъ,въздух
70,Wind::N,мох,вятър
71,Welle::N,тулгӏе,вълна
72,Wasser::N,хи,вода
73,Stein::N,тӏулг,камък
74,Boden::N,цӏенкъа,земя
75,Boden::N,цӏенкъа,почва
76,Erde::N,латта,земя
77,Erde::N,латта,почва
78,Staub::N,чан,прах
79,Rauch::N,кӏур,дим
80,Rauch::N,кӏур,пушек
81,Funke::N,суй,искра
82,Feuer::N,цӏе,огън
83,Licht::N,серло,светлина
84,Schatten::N,ӏиндагӏ,сянка
85,Wetter::N,хенан хӏоттам,време
86,Nebel::N,дохк,мъгла
87,Wolke::N,марха,облак
88,Regen::N,догӏа,дъжд
89,Schnee::N,ло,сняг
90,Eis::N,ша,лед
91,Frost::N,шело,мраз
92,Kälte::N,шело,студ
93,Hitze::N,йовхо,жега
94,Hitze::N,йовхо,горещина
95,Raureif::N,йис,скреж
96,Raureif::N,йис,слана
97,Regenbogen::N,стелаӏад,дъга
98,Donner::N,ткъес,гръм
99,Strömung::N,дӏаэхар,течение
100,Strömung::N,дӏасалелар,течение
101,Tropfen::N,тӏадам,капка
102,Schaum::N,чопа,пяна
103,Schmutz::N,хатт,кал
104,Schmutz::N,хатт,мръсотия
105,See::N,ӏам,езеро
106,Sumpf::N,уьшал,блато
107,Moor::N,уьшал,мочурище
108,Wiese::N,бай,ливада
109,Wald::N,хьун,гора
110,Hügel::N,гу,рид
111,Hügel::N,гу,хълм
112,Hügel::N,шу,рид
113,Hügel::N,шу,хълм
114,Hügel::N,барз,рид
115,Hügel::N,барз,хълм
116,Anhöhe::N,акъари,могила
117,Anhöhe::N,акъари,възвишение
118,Berg::N,лам,планина
119,Gipfel::N,бохь,връх
120,Höhle::N,хьех,пещера
121,Abhang::N,басе,склон
122,Abhang::N,басе,стръмнина
123,Quelle::N,шовда,извор
124,Bach::N,татол,поток
125,Fluss::N,хи,река
126,Ufer::N,хийист,бряг
127,Küste::N,йист,бряг
128,Küste::N,йист,крайбрежие
129,Festland::N,латта,суша
130,Meer::N,xӏорд,море
131,Bucht::N,чож,залив
132,Insel::N,гӏайре,остров
133,Blume::N,зезаг,цвете
134,Gras::N,буц,трева
135,Wurzel::N,орам,корен
136,Baum::N,дитт,дърво
137,Stamm::N,гӏад,стъбло
138,Stamm::N,тайпа,стъбло
139,Rinde::N,кевстиг,кора
140,Ast::N,га,клон
141,Zweig::N,га,клон
142,Blatt::N,гӏа,лист
143,Birke::N,дакх,бреза
144,Kiefer[Baum]::N,бага,бор
145,Weide[Baum]::N,дак,върба
146,Tanne::N,база,ела
147,Horn::N,маӏа,рог
148,Feder::N,пелаг,перо
149,Fell::N,цӏока,кожа
150,Flügel::N,тӏам,крило
151,Klaue::N,мӏара,нокът
152,Kralle::N,тlод,нокът
153,Schwanz::N,цӏога,опашка
154,Ei::N,xӏoa,яйце
155,Nest::N,бен,гнездо
156,Bau::N,lуьрг,дупка
157,Tier::N,дийнат,животно
158,Herde::N,жа,стадо
159,Kuh::N,етт,крава
160,Bulle::N,сту,бик
161,Pferd::N,говр,кон
162,Schaf::N,жий,овца
163,Schaf::N,уьстагӏ,овца
164,Schwein::N,хьакха,свиня
165,Hund::N,жӏаьла,куче
166,Katze::N,цициг,котка
167,Bär::N,ча,мечка
168,Eichhörnchen::N,тарсал,катерица
169,Elch::N,сай,лос
170,Fuchs::N,цхьогал,лисица
171,Hase::N,пхьагал,заек
172,Maus::N,дахка,мишка
173,Wolf::N,борз,вълк
174,Vogel::N,олхазар,птица
175,Huhn::N,котам,кокошка
176,Hahn::N,нӏаьна,петел
177,Hahn::N,боргӏал,петел
178,Gans::N,гӏаз,гъска
179,Adler::N,aьрзу,орел
180,Ente::N,бад,патица
181,Eule::N,бухӏа,сова
182,Kranich::N,гӏаргӏули,жерав
183,Krähe::N,къиг,врана
184,Kuckuck::N,aттйокх,кукувица
185,Schwan::N,гӏургӏаз,лебед
186,Fisch::N,чӏара,риба
187,Barsch::N,окунь,костур
188,Hecht::N,гӏазкхийн чӏара,щука
189,Schlange[Tier]::N,лаьхьа,змия
