,Concept_ID,sv,te
0,Auge::N,öga,కన్ను
1,Ohr::N,öra,చెవి
2,Nase::N,näsa,ముక్కు
3,Mund::N,mun,నోరు
4,Zahn::N,tand,పల్లు
5,Zunge::N,tunga,నాలుక
6,Lippe::N,läpp,పెదవి
7,Wange::N,kind,చెంప
8,Gesicht::N,syn,ముఖము
9,Gesicht::N,ansikte,ముఖము
10,Stirn::N,panna,నుదురు
11,Haar::N,hår,వెండ్రుక
12,Schnurrbart::N,mustasch,మీసము
13,Bart::N,skägg,గడ్డము
14,Kinn::N,haka,గడ్డము
15,Kiefer[Anatomie]::N,käke,దౌడ
16,Kehle::N,strupe,గొంతు
17,Hals::N,hals,మెడ
18,Genick::N,nacke,మూపు
19,Kopf::N,huvud,తల
20,Rücken::N,rygg,వెన్ను
21,Bauch::N,buk,కడుపు
22,Bauch::N,mage,కడుపు
23,Nabel::N,navel,బొడ్డు
24,Busen::N,barm,స్తనము
25,Brust::N,bröst,ఱొమ్ము
26,Schulter::N,skuldra,భుజము
27,Arm::N,arm,చేయి
28,Ellenbogen::N,armbåge,మోచేయి
29,Hand::N,hand,చేయి
30,Handfläche::N,handflata,అరచేయు
31,Finger::N,finger,చేతిప్రేలు
32,Fingernagel::N,fingernagel,గోరు
33,Nagel[Anatomie]::N,nagel,గోరు
34,Zeh::N,tå,కాలిప్రేలు
35,Fuß::N,fot,అడుగు
36,Ferse::N,häl,మడమ
37,Knie::N,knä,మోకాలు
38,Oberschenkel::N,lår,తొడ
39,Bein::N,ben,కాలు
40,Körper::N,kropp,కాయము
41,Haut::N,hud,చర్మము
42,Haut::N,skinn,చర్మము
43,Blut::N,blod,రక్తము
44,Ader::N,åder,సిర
45,Sehne::N,sena,స్నాయువు
46,Knochen::N,ben,ఎముక
47,Gehirn::N,hjärna,మెదడు
48,Herz::N,hjärta,హృదయము
49,Magen::N,mage,కడుపు
50,Leber::N,lever,కాలేయము
51,Atem::N,anda,ఉపిరి
52,Atem::N,andedräkt,ఉపిరి
53,Hunger::N,svält,ఆకలి
54,Hunger::N,hunger,ఆకలి
55,Träne::N,tår,కన్నీటిచుక్క
56,Geschmack::N,smak,రుచి
57,Geruch::N,lukt,వాసన
58,Schlaf::N,sömn,నిద్ర
59,Traum::N,dröm,కల
60,Himmel::N,himmel,ఆకాశము
61,Sonne::N,sol,సూర్యుడు
62,Mond::N,måne,చంద్రుడు
63,Stern::N,stjärna,నక్షత్రము
64,Luft::N,luft,గాలి
65,Wind::N,vind,వీచుచున్నగాలి
66,Welle::N,våg,అల
67,Welle::N,bölja,అల
68,Wasser::N,vatten,నీరు
69,Stein::N,sten,ఱాయి
70,Boden::N,mark,నేల
71,Erde::N,jord,మన్ను
72,Staub::N,damm,దుమ్ము
73,Rauch::N,rök,పొగ
74,Funke::N,gnista,అగ్నికణము
75,Feuer::N,eld,అగ్ని
76,Licht::N,ljus,కాంతి
77,Schatten::N,skugga,నీడ
78,Wetter::N,väder,వాతావరణ స్థితి
79,Nebel::N,dimma,పొగమంచు
80,Nebel::N,töcken,పొగమంచు
81,Wolke::N,sky,మేఘము
82,Wolke::N,moln,మేఘము
83,Regen::N,regn,వాన
84,Schnee::N,snö,హిమము
85,Eis::N,is,మంచుగడ్డ
86,Frost::N,frost,పేరిన మంచు
87,Kälte::N,köld,చలి
88,Hitze::N,hetta,వేడిమి
89,Raureif::N,rimfrost,మంచు
90,Regenbogen::N,regnbåge,ఇంద్రధనుస్సు
91,Donner::N,åska,ఉరుము
92,Donner::N,dunder,ఉరుము
93,Strömung::N,strömning,ప్రవాహము
94,Tropfen::N,dropper,చుక్క
95,Schaum::N,skum,నురుగు
96,Schmutz::N,lort,మైల
97,Schmutz::N,smuts,మైల
98,See::N,sjö,సరస్సు
99,Sumpf::N,träsk,చిత్తడినేల
100,Moor::N,myr,చిత్తడినేల
101,Moor::N,mosse,చిత్తడినేల
102,Wiese::N,äng,పచ్చిక బయలు
103,Wald::N,skog,అడవి
104,Hügel::N,höjd,చివ్నకొండ
105,Hügel::N,kulle,చివ్నకొండ
106,Anhöhe::N,höjd,కొండ
107,Anhöhe::N,backe,కొండ
108,Berg::N,berg,పర్వతము
109,Berg::N,fjäll,పర్వతము
110,Gipfel::N,topp,శిఖరము
111,Höhle::N,håla,గుహ
112,Höhle::N,grotta,గుహ
113,Abhang::N,slänt,ఏటవాలు
114,Abhang::N,sluttning,ఏటవాలు
115,Quelle::N,källa,మూలము
116,Bach::N,bäck,కాలువ
117,Fluss::N,älv,నది
118,Fluss::N,flod,నది
119,Ufer::N,strand,తీరము
120,Küste::N,kust,తీరము
121,Festland::N,fastland,భూమి
122,Meer::N,hav,సముద్రము
123,Bucht::N,vik,మరుగు
124,Bucht::N,bukt,మరుగు
125,Insel::N,ö,దీవి
126,Blume::N,blomma,పుష్పము
127,Blume::N,blomster,పుష్పము
128,Gras::N,gräs,పచ్చగడ్డి
129,Wurzel::N,rot,వేరు
130,Baum::N,träd,చెట్టు
131,Stamm::N,stam,చెట్టుబోదె
132,Rinde::N,bark,చెట్టుపట్ట
133,Ast::N,gren,కొమ్మ
134,Zweig::N,kvist,చివుకు
135,Blatt::N,löv,ఆకు
136,Blatt::N,blad,ఆకు
137,Birke::N,björk,తరహా చెట్టు
138,Kiefer[Baum]::N,tall,దేవదారు చెట్టు
139,Weide[Baum]::N,pil,జాతిచెట్టు
140,Weide[Baum]::N,vide,జాతిచెట్టు
141,Tanne::N,gran,దేవదారుచెట్టు
142,Horn::N,horn,కొమ్ము
143,Feder::N,fjäder,ఈక
144,Fell::N,fäll,తోలు
145,Fell::N,skinn,తోలు
146,Flügel::N,vinge,ఱెక్క
147,Klaue::N,klöv,వంకరగోరు
148,Kralle::N,klo,వంకరగోరు
149,Schwanz::N,svans,తోక
150,Schwanz::N,stjärt,తోక
151,Ei::N,ägg,గ్రుడ్డు
152,Nest::N,rede,పక్షిగూడు
153,Nest::N,näste,పక్షిగూడు
154,Bau::N,bo,గుహ
155,Tier::N,djur,జంతువు
156,Herde::N,flock,మంద
157,Kuh::N,ko,ఆవు
158,Bulle::N,tjur,గిత్త
159,Pferd::N,häst,గుఱ్ఱము
160,Schaf::N,får,గొఱ్ఱె
161,Schwein::N,svin,పంది
162,Hund::N,hund,కుక్క
163,Katze::N,katt,పిల్లి
164,Bär::N,björn,ఎలుగుబంటి
165,Eichhörnchen::N,ekorre,ఉడుత
166,Elch::N,älg,కణంజు
167,Fuchs::N,räv,గుంటనక్క
168,Hase::N,hare,కుందేలు
169,Maus::N,mus,చిట్టెలుక
170,Wolf::N,varg,తోడేలు
171,Vogel::N,fågel,పక్షి
172,Schwarm::N,svärm,గుంపు
173,Huhn::N,höns,కోడిపిల్ల
174,Hahn::N,tupp,కోడివుంజు
175,Gans::N,gås,ఆడుబాతు
176,Adler::N,örn,గ్రద్ద
177,Ente::N,anka,పాట్టిబాతు
178,Eule::N,uggla,గ్రుడ్లగూబ
179,Kranich::N,trana,కొంగ
180,Krähe::N,kråka,కాకి
181,Kuckuck::N,gök,కోయల
182,Schwan::N,svan,హంస
183,Fisch::N,fisk,చేప
184,Barsch::N,abborre,ఒకచేఁప
185,Hecht::N,gädda,గండుమీను
186,Schlange[Tier]::N,orm,పాము
187,Wurm::N,mask,పురుగు
188,Spinne::N,spindel,సాలె పురుగు
189,Ameise::N,myra,చీమ
190,Laus::N,lus,పేను
191,Mücke::N,mygga,చీకటీగ
192,Fliege::N,fluga,ఈగ
193,Schmetterling::N,fjäril,సీతాకోకచిలుక
194,Beere::N,bär,కాయ
195,Apfel::N,äpple,ఆపిల్ పండు
196,Pilz::N,svamp,కుక్కగొడుగు
197,Zwiebel::N,lök,నీరుల్లి
198,Saat::N,sådd,విత్తనము
199,Korn::N,korn,గింజ
200,Heu::N,hö,ఎండుగడ్డి
201,Schale::N,skal,పొట్టు
202,Grube::N,grop,గొయ్యి
203,Falle::N,fälla,బోను
204,Schlinge::N,snara,ఉరి
205,Spur::N,spår,జాడ
206,Asche::N,aska,బూడిద
207,Dreck::N,lort,ముఱికి
208,Eisen::N,järn,ఇనుము
209,Gold::N,guld,బంగారము
210,Silber::N,silver,వెండి
211,Kohle::N,kol,నేలబొగ్గు
212,Glas::N,glas,గాజు
213,Lehm::N,lera,బంకమన్ను
214,Sand::N,sand,ఇసుక
215,Mensch::N,människa,నరుడు
216,Mann::N,man,పురుమడు
217,Frau::N,kvinna,ఆడుది
218,Kind::N,barn,బిడ్డ
219,Junge::N,pojke,బాలుడు
220,Mädchen::N,flicka,బాలిక
221,Familie::N,familj,కుటుంబము
222,Großvater::N,morfar,తాత
223,Großmutter::N,farmor,అయ్యమ్మ
224,Eltern::N,föräldrar,తల్లితండ్రులు
225,Vater::N,far,తండ్రి
226,Mutter::N,mor,తల్లి
227,Sohn::N,son,కొడుకు
228,Tochter::N,dotter,కూతురు
229,Bruder::N,bror,పోదరుడు
230,Schwester::N,syster,సోదరి
231,Onkel::N,morbror,మేనమామ
232,Tante::N,tant,మేనత్త
233,Tante::N,tant,పినతల్లి
234,Ehemann::N,äkta man,భర్త
235,Ehefrau::N,hustru,భార్య
236,Freude::N,fröjd,సంతోషము
237,Freude::N,glädje,సంతోషము
238,Gelächter::N,åtlöje,నవ్వు
239,Glück::N,lycka,సంతోషము
240,Kummer::N,sorg,దుఃఖము
241,Wunsch::N,önskan,కోరిక
242,Lust::N,lust,కోరిక
243,Geist::N,ande,ఆత్మ
244,Gedanke::N,tanke,ఆలోచన
245,Gedächtnis::N,minne,జ్ఞాపకము
246,Verstand::N,förstånd,మనస్సు
247,Sinn::N,mening,అర్థము
248,Sinn::N,betydelse,అర్థము
249,Grund::N,skäl,కారణము
250,Grund::N,grund,కారణము
251,Wahrheit::N,sanning,సత్యము
252,Gespräch::N,samtal,పంభాషణ
253,Märchen::N,saga,అద్భుతకథ
254,Erzählung::N,berättelse,కథ
255,Nachricht::N,meddelande,వార్త
256,Neuigkeit::N,nyhet,వార్త
257,Name::N,namn,పేరు
258,Rätsel::N,gåta,చిక్కు
259,Rede::N,tal,ఉపన్యాసము
260,Sprache::N,språk,భాష
261,Stimme::N,stämma,కంరథ్సని
262,Wort::N,ord,మాట
263,Zeichen::N,tecken,గుర్తు
264,Ruf::N,rop,పిలువు
265,Lärm::N,bråk,సందడి
266,Lärm::N,oväsen,సందడి
267,Laut::N,ljud,ధ్వని
268,Ton::N,ton,స్వరము
269,Lied::N,sång,పాట
270,Ruhe::N,ro,గాలిలేమి
271,Ruhe::N,lugn,గాలిలేమి
272,Leute::N,folk,జనులు
273,Volk::N,folk,జాతి
274,Arbeit::N,arbete,పని
275,Gast::N,gäst,అతిధి
276,Geschenk::N,gåva,దానము
277,Geschenk::N,present,దానము
278,Spiel::N,lek,ఆట
279,Spiel::N,spel,ఆట
280,Gesellschaft::N,sällskap,జట్టు
281,Hilfe::N,hjälp,సాహాయ్యము
282,Freund::N,vän,స్నేహితుడు
283,Kamerad::N,kamrat,చెలికాడు
284,Angelegenheit::N,ärende,విషయము
285,Angelegenheit::N,angelägenhet,విషయము
286,Anzahl::N,antal,లెక్క
287,Art::N,art,జాతి
288,Art::N,slag,జాతి
289,Stück::N,stycke,తునుక
290,Teil::N,del,భాగము
291,Hälfte::N,halva,సగము
292,Kreis::N,krets,వృత్తము
293,Kreis::N,cirkel,వృత్తము
294,Kreuz::N,kors,సిలువ
295,Kreuz::N,kryss,సిలువ
296,Linie::N,linje,గీత
297,Strich::N,streck,గీత
298,Abstand::N,avstånd,సందు
299,Entfernung::N,avstånd,దూరము
300,Gegend::N,trakt,విస్తీర్ణము
301,Platz::N,plats,ఎడము
302,Ort::N,plats,స్థలము
303,Ort::N,ställe,స్థలము
304,Seite::N,sida,ప్రక్క
305,Mitte::N,mitt,నడిమి
306,Gegenstand::N,föremål,పద్దు
307,Sache::N,sak,వస్తువు
308,Rand::N,rand,అంచు
309,Kante::N,kant,అంచు
310,Ecke::N,vrå,మూల
311,Ecke::N,hörn,మూల
312,Spitze::N,spets,మొన
313,Ende::N,ända,కొన
314,Loch::N,hål,రంధ్రము
315,Winkel::N,vinkel,కోణము
316,Muster::N,mönster,మాదిరి
317,Größe::N,storlek,పరిమాణము
318,Länge::N,längd,పొడుగు
319,Höhe::N,höjd,పొడుగు
320,Gewicht::N,tyngd,భారము
321,Menge::N,mängd,మొత్తము
322,Haufen::N,hög,రాశి
323,Reihe::N,rad,వరుస
324,Boot::N,båt,పడవ
325,Ruder::N,åra,అడక
326,Schlitten::N,släde,సరవండ్లు
327,Ski::N,skida,స్కీ
328,Lagerfeuer::N,lägereld,నెగడు
329,Last::N,last,బరువు
330,Last::N,börda,బరువు
331,Gang::N,gång,నడక
332,Schritt::N,steg,అడుగు
333,Norden::N,norr,ఉత్తరదిక్కు
334,Süden::N,söder,దక్షిణము
335,Westen::N,väster,పడమర
336,Osten::N,öster,తూర్పు
337,Holz::N,trä,కొయ్య
338,Brett::N,bräda,పలక
339,Platte::N,platta,పలక
