,Concept_ID,ar,mrj
0,Auge::N,عين,сӹнзӓ
1,Ohr::N,أذن,пӹлӹш
2,Nase::N,أنف,нер
3,Mund::N,فم,ышма
4,Zahn::N,سن,пӱ
5,Zunge::N,لسان,йӹлмӹ
6,Lippe::N,شفة,тӹрвӹ
7,Wange::N,خد,шӹргӹ
8,Wange::N,وجنة,шӹргӹ
9,Gesicht::N,وجه,лицӓ
10,Stirn::N,جبين,лепкӓ
11,Haar::N,شعر,ӱп
12,Schnurrbart::N,شارب,öрш
13,Bart::N,لحية,пандаш
14,Kinn::N,ذقن,онгылаш
15,Kiefer[Anatomie]::N,فك,пӱ арата
16,Kehle::N,حلق,логер
17,Hals::N,عنق,шӱ
18,Hals::N,رقبة,шӱ
19,Genick::N,قفا,ланга
20,Kopf::N,رأس,вуй
21,Rücken::N,ظهر,туп
22,Bauch::N,بطن,мӹшкӹр
23,Nabel::N,سرة,кӹлӹмдӹ
24,Busen::N,ثدي,цӹзӹ
25,Brust::N,صدر,мел
26,Schulter::N,كتف,ӹнгӹжӓ
27,Arm::N,ذراع,кид
28,Ellenbogen::N,كوع,кӹнервуй
29,Hand::N,يد,лапа
30,Handfläche::N,كف,кид лапа
31,Finger::N,إصبع,парня
32,Fingernagel::N,ظفر,кӹч
33,Nagel[Anatomie]::N,ظفر,кӹч
34,Zeh::N,إصبع القدم,парня
35,Fuß::N,قدم,ял лапа
36,Ferse::N,كعب,ялгавал
37,Ferse::N,كعب,ял кавал
38,Knie::N,ركبة,пылвуй
39,Oberschenkel::N,فخذ,ӓрдӹ
40,Bein::N,ساق,ял
41,Körper::N,جسم,монгыр
42,Haut::N,بشرة,кавашты
43,Blut::N,دم,вӹр
44,Ader::N,عرق,вӹршӓр
45,Sehne::N,طنب,кукшышӱн
46,Knochen::N,عظم,лу
47,Gehirn::N,دماغ,вим
48,Herz::N,قلب,шӱм
49,Magen::N,معدة,шӱм
50,Leber::N,كبد,мокш
51,Atem::N,نفس,шӱлӹш
52,Hunger::N,جوع,шужымаш
53,Träne::N,دمعة,сӹнзӓвӹд
54,Geschmack::N,طعم,тот
55,Geschmack::N,مذاق,тот
56,Geruch::N,رائحة,пыш
57,Schlaf::N,نوم,ом
58,Schlaf::N,منام,ом
59,Traum::N,حلم,ом
60,Himmel::N,سماء,пӹлгом
61,Sonne::N,شمس,кечӹ
62,Mond::N,قمر,тӹлзӹ
63,Stern::N,نجم,шӹдӹр
64,Stern::N,كوكب,шӹдӹр
65,Luft::N,هواء,юж
66,Luft::N,هواء,воздух
67,Wind::N,ريح,мардеж
68,Welle::N,موجة,ко
69,Welle::N,موجة,коэ
70,Wasser::N,ماء,вӹд
71,Stein::N,حجر,кӱ
72,Boden::N,تراب,рок
73,Erde::N,أرض,свет
74,Staub::N,غبار,пырак
75,Rauch::N,دخان,шӹкш
76,Funke::N,شرارة,ип
77,Funke::N,شرارة,тылип
78,Feuer::N,نار,тыл
79,Licht::N,نور,соты
80,Licht::N,نور,валгыды
81,Licht::N,ضوء,соты
82,Licht::N,ضوء,валгыды
83,Schatten::N,ظل,ӹмӹл
84,Schatten::N,فيء,ӹмӹл
85,Wetter::N,جو,игечӹ
86,Wetter::N,طقس,игечӹ
87,Nebel::N,ضباب,тӹтӹрӓ
88,Wolke::N,غيمة,пӹл
89,Wolke::N,سحابة,пӹл
90,Regen::N,مطر,юр
91,Schnee::N,ثلج,лым
92,Eis::N,جليد,и
93,Frost::N,صقيع,ӱштӹ
94,Kälte::N,برد,ӱштӹ
95,Hitze::N,حر,шокшы
96,Hitze::N,حرارة,шокшы
97,Raureif::N,صقيع,пöрш
98,Regenbogen::N,قوس قزح,шанавӹл
99,Donner::N,رعد,хӹдӹртӹш
100,Strömung::N,تيار,йогы
101,Tropfen::N,قطرة,капльы
102,Tropfen::N,قطرة,капльык
103,Schaum::N,زبد,шонг
104,Schaum::N,رغوة,шонг
105,Schmutz::N,وسخ,лявӹрӓ
106,See::N,بحيرة,йӓр
107,Sumpf::N,مستنقع,лӱкӹ
108,Moor::N,مستنقع,куп
109,Wiese::N,مرج,алык
110,Wald::N,غابة,шӹргӹ
111,Hügel::N,تل,пӱгӹрикӓ
112,Anhöhe::N,تل,кӱкшикӓ
113,Berg::N,جبل,кырык
