,Concept_ID,ml,av
0,Auge::N,കണ്ണ്,
1,Ohr::N,ചെവി,гӏин
2,Nase::N,മൂക്ക്,мегӏер
3,Mund::N,വായ,кӏал
4,Zahn::N,പല്ല്,гӏус
5,Zunge::N,നാക്ക്,мацӏ
6,Lippe::N,ചുണ്ട്,кӏветӏ
7,Wange::N,കവിൾത്തടം,гӏоно
8,Gesicht::N,മുഖം,гьумер
9,Stirn::N,നെറ്റി,нодо
10,Haar::N,തലമുടി,рас
11,Schnurrbart::N,മീശ,михъ
12,Bart::N,താടിരോമം,мегеж
13,Kinn::N,താടി,нилъу
14,Kiefer[Anatomie]::N,താടിയെല്ല്,чанагъ
15,Kehle::N,കണ്ഠനാളം,щекъер
16,Hals::N,കഴുത്ത്,габур
17,Genick::N,പിടലി,гъванща
18,Kopf::N,തല,бетӏер
19,Rücken::N,മുതുക്,мугъ
20,Bauch::N,നയറ്,чехь
21,Nabel::N,നാഭി,цӏину
22,Busen::N,സ്തനം,керен
23,Brust::N,സ്തനം,керен
24,Schulter::N,തോൾ,гъажазубетӏер
25,Arm::N,കൈ,гъеж
26,Ellenbogen::N,കൈമുട്ട്,гӏункӏрукь
27,Hand::N,കൈ,квер
28,Handfläche::N,ഉള്ളം കൈ,огъохъат
29,Handfläche::N,ഉള്ളം കൈ,жанисахъат
30,Finger::N,വിരൽ,килищ
31,Fingernagel::N,നഖം,малъ
32,Nagel[Anatomie]::N,നഖം,малъ
33,Zeh::N,കാൽവിരൽ,килищ
34,Fuß::N,കാൽപ്പാദം,хӏетӏ
35,Fuß::N,കാൽപ്പാദം,хӏетӏе
36,Ferse::N,ഉപ്പൂറ്റി,эгъе
37,Knie::N,കാൽമുട്ട്,наку
38,Oberschenkel::N,തുട,мачӏ
39,Bein::N,കാൽ,бох
40,Körper::N,ശരീരം,къаркъала
41,Haut::N,ചർമ്മം,тӏом
42,Blut::N,രക്തം,би
43,Ader::N,ഞരമ്പ്,бидурихь
44,Sehne::N,സ്നായു,
45,Knochen::N,അസ്ഥി,ракьа
46,Gehirn::N,തലച്ചോറ്,гӏадалнах
47,Herz::N,ഹൃദയം,ракӏ
48,Magen::N,വയർ,кванирукъ
49,Leber::N,കരൾ,тӏул
50,Atem::N,ശ്വാസം,хӏухь
51,Hunger::N,വിശപ്പ്,ракъи
52,Träne::N,കണ്ണീർ,магӏу
53,Geschmack::N,രുചി,тату
54,Geruch::N,ഗന്ധം,махӏ
55,Schlaf::N,ഉറകും,макьу
56,Traum::N,സ്വപ്നം,макьу
57,Himmel::N,ആകാശം,зоб
58,Sonne::N,സൂര്യൻ,бакъ
59,Mond::N,ചന്ദ്രൻ,моцӏ
60,Stern::N,നക്ഷത്രം,цӏва
61,Luft::N,കാറ്റ്,гьава
62,Wind::N,കാറ്റ്,гьури
63,Welle::N,തിരമാല,карачел
64,Wasser::N,വെള്ളം,лъим
65,Stein::N,ശില,гьецӏо
66,Stein::N,കല്ല്,гьецӏо
67,Boden::N,തറ,ракь
68,Boden::N,നിലം,ракь
69,Erde::N,മണ്ണ്,ракь
70,Erde::N,മണ്ണ്,дуниял
71,Staub::N,പൊടി,хӏур
72,Rauch::N,പുക,кӏкӏуй
73,Funke::N,തീപ്പൊരി,
74,Feuer::N,തീ,цӏа
75,Licht::N,വിളക്ക്,канлъи
76,Licht::N,സൂര്യപ്രകാശം,канлъи
77,Schatten::N,തണൽ,рагӏад
78,Wetter::N,കാലാവസ്ഥ,гьава-бакъ
79,Nebel::N,മൂടൽമഞ്ഞ്,гӏодобнакӏкӏ
80,Wolke::N,മേഘം,накӏкӏ
81,Regen::N,മഴ,цӏад
82,Schnee::N,മഞ്ഞ്,гӏазу
83,Eis::N,ഐസ്,цӏер
84,Frost::N,മൂടൽമഞ്ഞ്,замгьари
85,Kälte::N,തണുപ്പ്,квач
86,Hitze::N,ചൂട്,багӏари
87,Raureif::N,കോടമഞ്ഞ്,мартӏ
88,Regenbogen::N,മഴവില്ല്,нур
89,Regenbogen::N,മഴവില്ല്,чамбара
90,Donner::N,ഇടി,гъугъай
91,Donner::N,ഇടി,гъугъади
92,Strömung::N,പ്രവാഹം,чвахи
93,Tropfen::N,തുള്ളി,резел
94,Tropfen::N,തുള്ളി,тӏинкӏ
95,Tropfen::N,തുള്ളി,къатӏра
96,Tropfen::N,തുള്ളി,тӏенкӏел
97,Schaum::N,നുര,полоп
98,Schmutz::N,അഴുക്ക്,чороклъи
99,See::N,തടാകം,хӏор
100,Sumpf::N,ചതുപ്പുനിലം,хьуцӏ
101,Moor::N,പാഴ്നിലം,
102,Wiese::N,പുൽത്തകിടി,мегъ
103,Wiese::N,പുൽത്തകിടി,гӏурдаллъи
104,Wald::N,വനം,рохь
105,Wald::N,കാട്,рохь
106,Hügel::N,കുന്ന്,гохӏ
107,Anhöhe::N,ഉയർന്ന ഭൂമി,сийитма
108,Berg::N,പർവ്വതം,мегӏер
109,Gipfel::N,ഉച്ചകോടി,тӏогь
110,Höhle::N,ഗുഹ,нохъо
111,Abhang::N,ചരിവ്,лабаллъи
112,Quelle::N,ഉറവിടം,ицц
113,Bach::N,അരുവി,лъар
114,Fluss::N,നദി,гӏор
115,Ufer::N,തീരം,рагӏал
116,Küste::N,കടൽത്തീരം,рагӏал
117,Festland::N,കര,ракь
118,Festland::N,കര,ракъдаллъи
119,Meer::N,കടൽ,ралъад
120,Bucht::N,ഉൾക്കടല്,кӏветӏ
121,Insel::N,ദ്വീപ്,чӏинкӏиллъи
122,Blume::N,പൂവ്,тӏегь
123,Gras::N,പുല്ല്,хер
124,Wurzel::N,വേര്,кьибил
125,Baum::N,മരം,гъветӏ
126,Stamm::N,തായ്ത്തടി,рохти
127,Rinde::N,പട്ട,макъар
128,Ast::N,ശാഖ,ноцӏ
129,Zweig::N,ശാഖ,гӏаркьел
130,Blatt::N,ഇല,тӏамах
131,Birke::N,പൂവരശ്,мах
132,Birke::N,പൂവരശ്,махигъветӏ
133,Kiefer[Baum]::N,പൈൻമരം,накӏкӏигъветӏ
134,Weide[Baum]::N,വില്ലോ,рицӏцӏ
135,Weide[Baum]::N,വില്ലോ,рицӏцӏигъветӏ
136,Tanne::N,ദേവദാരു,ёлка
137,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,лълъар
138,Feder::N,തൂവൽ,хӏули
139,Fell::N,മൃദുരോമം,тӏом
140,Fell::N,മൃദുരോമം,цӏоко
141,Flügel::N,ചിറക്,кваркьи
142,Klaue::N,നഖം,галъ
143,Kralle::N,നഖം,квачӏ
144,Kralle::N,നഖം,катиквачӏ
145,Schwanz::N,വാൽ,рачӏ
146,Ei::N,മുട്ട,хоно
147,Nest::N,കൂട്,бусен
148,Bau::N,മാളം,каратӏ
149,Tier::N,മൃഗം,хӏайван
150,Herde::N,കൂട്ടം,рехъен
151,Herde::N,കൂട്ടം,рехъед
152,Kuh::N,പശു,гӏака
153,Bulle::N,കാള,оц
154,Pferd::N,കുതിര,чу
155,Schaf::N,ആട്,чахъу
156,Schwein::N,പന്നി,болъон
157,Hund::N,നായ്,гьой
158,Katze::N,പൂച്ച,кету
159,Bär::N,കരടി,ци
160,Eichhörnchen::N,അണ്ണാൻ,гвангва
161,Elch::N,കടമാന്,
162,Fuchs::N,കുറുക്കൻ,цер
163,Hase::N,മുയൽ,гӏанкӏ
164,Maus::N,ചുണ്ടലി,гӏункӏкӏ
165,Wolf::N,ചെന്നായ,бацӏ
166,Vogel::N,പക്ഷി,хӏинчӏ
167,Schwarm::N,കൂട്ടം,тӏел
168,Huhn::N,കോഴി,гӏанкӏу
169,Hahn::N,പൂവൻകോഴി,хӏелеко
170,Gans::N,അരയന്നം,хъаз
171,Adler::N,കഴുകൻ,цӏум
172,Ente::N,താറാവ്,ордек
173,Eule::N,മൂങ്ങ,беццаруз
174,Kranich::N,കൊക്ക്,къункъра
